date,open,high,low,close,volume
2023-01-24 00:00:00+05:30,98.0,98.0,98.0,98.0,3000
2023-01-30 00:00:00+05:30,98.0,98.55,98.0,98.55,3000
2023-01-31 00:00:00+05:30,98.5,98.5,98.5,98.5,4000
2023-02-06 00:00:00+05:30,98.5,98.5,98.5,98.5,6500
2023-02-07 00:00:00+05:30,98.5,98.5,98.5,98.5,8500
2023-02-08 00:00:00+05:30,98.5,98.5,98.5,98.5,2000
2023-05-08 00:00:00+05:30,98.5,98.5,98.5,98.5,200
2023-05-09 00:00:00+05:30,98.65,98.65,98.5,98.5,4800
2023-05-15 00:00:00+05:30,98.5,98.5,98.5,98.5,3000
2023-05-17 00:00:00+05:30,98.0,98.0,98.0,98.0,2000
2023-05-23 00:00:00+05:30,98.5,98.5,98.5,98.5,4000
2023-05-25 00:00:00+05:30,98.5,98.5,98.5,98.5,4000
2023-05-29 00:00:00+05:30,98.5,98.5,98.5,98.5,4500
2023-06-09 00:00:00+05:30,98.2,98.2,98.2,98.2,200
2023-06-19 00:00:00+05:30,103.11,103.11,103.11,103.11,100
2023-06-22 00:00:00+05:30,103.11,103.11,103.11,103.11,200
2023-08-10 00:00:00+05:30,101.21,101.21,101.21,101.21,1000
2023-08-22 00:00:00+05:30,101.21,101.21,101.21,101.21,100
2023-08-29 00:00:00+05:30,101.21,101.21,101.21,101.21,3000
2023-09-04 00:00:00+05:30,101.21,101.21,101.21,101.21,8000
2023-09-21 00:00:00+05:30,101.21,101.21,101.21,101.21,2000
2023-10-09 00:00:00+05:30,101.21,101.21,101.21,101.21,4000
2023-10-11 00:00:00+05:30,103.05,103.05,103.05,103.05,4000
2023-10-12 00:00:00+05:30,102.55,102.55,102.0,102.0,5400
2023-10-13 00:00:00+05:30,101.0,101.0,101.0,101.0,5000
2023-10-16 00:00:00+05:30,100.5,100.5,100.5,100.5,600
2023-10-17 00:00:00+05:30,100.5,100.5,100.5,100.5,3400
2023-10-18 00:00:00+05:30,100.5,100.5,100.5,100.5,21000
2023-11-09 00:00:00+05:30,103.14,103.14,103.14,103.14,400
2023-11-29 00:00:00+05:30,104.56,104.56,104.56,104.56,23700
2023-12-27 00:00:00+05:30,100.25,100.25,100.0,100.0,2000
2024-01-03 00:00:00+05:30,104.99,104.99,102.5,102.5,300
2024-01-16 00:00:00+05:30,100.0,100.0,99.0,99.0,2000
2024-01-25 00:00:00+05:30,99.0,99.05,99.0,99.05,5600
2024-02-08 00:00:00+05:30,99.0,99.0,98.0,98.0,15000
2024-02-14 00:00:00+05:30,98.01,100.0,98.0,100.0,2200
2024-02-20 00:00:00+05:30,100.0,100.0,100.0,100.0,1000
2024-02-27 00:00:00+05:30,100.0,100.0,100.0,100.0,2000
2024-03-04 00:00:00+05:30,100.0,100.0,100.0,100.0,2000
2024-03-12 00:00:00+05:30,100.0,100.0,100.0,100.0,2000
2024-04-04 00:00:00+05:30,99.99,99.99,99.99,99.99,5000
2024-04-23 00:00:00+05:30,95.0,100.0,95.0,100.0,5500
