date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,28.95,29.65,28.95,29.45,350749
2019-01-02 00:00:00+05:30,29.6,29.75,29.0,29.2,307456
2019-01-03 00:00:00+05:30,28.95,29.6,28.35,28.6,538805
2019-01-04 00:00:00+05:30,28.85,29.35,28.65,29.05,314083
2019-01-07 00:00:00+05:30,29.3,29.5,28.5,28.7,124220
2019-01-08 00:00:00+05:30,28.55,29.7,28.4,29.25,345593
2019-01-09 00:00:00+05:30,29.7,29.9,28.85,29.05,323572
2019-01-10 00:00:00+05:30,29.2,29.2,28.75,28.9,159735
2019-01-11 00:00:00+05:30,28.9,29.1,28.55,28.7,97303
2019-01-14 00:00:00+05:30,28.6,28.75,27.95,28.55,157275
2019-01-15 00:00:00+05:30,29.1,29.1,28.55,28.8,177780
2019-01-16 00:00:00+05:30,28.85,29.1,28.35,28.55,348265
2019-01-17 00:00:00+05:30,28.65,28.85,28.2,28.45,147060
2019-01-18 00:00:00+05:30,28.55,28.6,27.9,28.0,114858
2019-01-21 00:00:00+05:30,28.0,28.25,27.15,27.35,188718
2019-01-22 00:00:00+05:30,27.5,27.5,26.8,27.05,165557
2019-01-23 00:00:00+05:30,27.0,27.45,27.0,27.4,114861
2019-01-24 00:00:00+05:30,27.2,27.25,26.8,27.0,101800
2019-01-25 00:00:00+05:30,26.9,27.3,26.3,26.55,113175
2019-01-28 00:00:00+05:30,26.55,26.7,25.3,25.75,163245
2019-01-29 00:00:00+05:30,25.25,26.85,25.25,26.3,142772
2019-01-30 00:00:00+05:30,26.4,26.95,25.8,26.2,342131
2019-01-31 00:00:00+05:30,26.5,26.55,26.0,26.2,111731
2019-02-01 00:00:00+05:30,26.95,26.95,25.65,25.9,179820
2019-02-04 00:00:00+05:30,25.6,26.0,25.3,25.8,134113
2019-02-05 00:00:00+05:30,25.8,25.9,25.4,25.65,167148
2019-02-06 00:00:00+05:30,25.35,25.95,25.05,25.45,147369
2019-02-07 00:00:00+05:30,25.4,26.05,25.2,25.35,165503
2019-02-08 00:00:00+05:30,25.2,25.5,24.8,25.0,136978
