date,open,high,low,close,volume
2022-06-03 00:00:00+05:30,1000.0,1000.0,1000.0,1000.0,3
2022-06-28 00:00:00+05:30,980.0,980.0,980.0,980.0,3
2022-06-29 00:00:00+05:30,975.0,975.0,975.0,975.0,17
2022-08-17 00:00:00+05:30,1000.0,1000.0,1000.0,1000.0,26
2022-09-05 00:00:00+05:30,920.0,920.0,920.0,920.0,15
2022-09-06 00:00:00+05:30,920.0,1045.0,920.0,1045.0,38
2022-09-07 00:00:00+05:30,920.0,920.0,920.0,920.0,20
2022-09-08 00:00:00+05:30,1045.0,1045.0,1045.0,1045.0,20
2022-09-09 00:00:00+05:30,836.5,1042.0,836.5,1042.0,118
2022-09-19 00:00:00+05:30,850.0,1025.0,850.0,1025.0,36
2022-09-20 00:00:00+05:30,1040.0,1040.0,1000.0,1000.0,56
2022-09-22 00:00:00+05:30,990.0,990.0,990.0,990.0,10
2022-10-11 00:00:00+05:30,863.1,865.0,832.8,865.0,1015
2022-10-12 00:00:00+05:30,899.9,949.9,899.9,949.9,11
2022-10-19 00:00:00+05:30,915.05,915.05,915.05,915.05,10
2022-11-09 00:00:00+05:30,917.05,917.05,876.0,876.09,897
2022-11-15 00:00:00+05:30,977.0,977.0,911.0,915.2,64
2022-11-16 00:00:00+05:30,939.0,939.0,939.0,939.0,60
2022-11-17 00:00:00+05:30,939.0,939.0,939.0,939.0,100
2022-11-18 00:00:00+05:30,928.0,928.0,915.0,915.0,62
2022-11-21 00:00:00+05:30,955.0,955.0,915.0,915.0,13
2022-11-28 00:00:00+05:30,939.0,939.0,910.0,910.05,108
2022-12-05 00:00:00+05:30,920.01,921.02,920.01,921.02,50
2022-12-06 00:00:00+05:30,931.0,931.0,931.0,931.0,2
2022-12-09 00:00:00+05:30,965.0,965.0,938.0,938.0,63
2022-12-16 00:00:00+05:30,974.9,974.9,974.9,974.9,5
2022-12-21 00:00:00+05:30,969.9,969.9,969.9,969.9,50
2022-12-22 00:00:00+05:30,972.0,972.0,972.0,972.0,5
2022-12-28 00:00:00+05:30,960.0,975.0,960.0,967.5,20
2023-01-02 00:00:00+05:30,975.0,975.0,974.9,974.9,28
2023-01-03 00:00:00+05:30,950.0,950.0,950.0,950.0,10
2023-01-11 00:00:00+05:30,930.0,965.0,930.0,965.0,204
2023-01-16 00:00:00+05:30,965.0,965.0,933.01,933.01,40
2023-01-19 00:00:00+05:30,960.0,960.0,960.0,960.0,11
2023-01-27 00:00:00+05:30,960.0,960.0,960.0,960.0,2
2023-02-09 00:00:00+05:30,960.0,960.0,960.0,960.0,15
2023-02-17 00:00:00+05:30,945.0,945.0,945.0,945.0,10
2023-02-27 00:00:00+05:30,926.0,926.0,916.0,921.2,48
2023-02-28 00:00:00+05:30,945.0,949.9,943.95,943.95,160
2023-03-03 00:00:00+05:30,935.0,935.0,933.0,933.08,25
2023-03-08 00:00:00+05:30,910.1,910.1,910.1,910.1,20
2023-03-09 00:00:00+05:30,949.5,949.5,949.5,949.5,10
2023-03-10 00:00:00+05:30,947.8,947.8,947.8,947.8,80
2023-03-13 00:00:00+05:30,945.0,945.0,945.0,945.0,25
2023-03-16 00:00:00+05:30,944.0,959.9,915.1,915.1,195
2023-03-17 00:00:00+05:30,940.0,940.0,940.0,940.0,25
2023-03-23 00:00:00+05:30,930.0,930.0,930.0,930.0,5
2023-03-28 00:00:00+05:30,930.0,930.0,930.0,930.0,1
2023-03-29 00:00:00+05:30,885.0,915.69,885.0,915.19,6
2023-03-31 00:00:00+05:30,910.0,916.0,910.0,916.0,15
2023-04-03 00:00:00+05:30,944.9,944.9,944.9,944.9,50
2023-04-05 00:00:00+05:30,949.0,949.0,891.1,949.0,35
2023-04-06 00:00:00+05:30,948.0,948.0,948.0,948.0,5
2023-04-12 00:00:00+05:30,955.0,955.0,955.0,955.0,5
2023-04-26 00:00:00+05:30,947.0,947.0,947.0,947.0,5
2023-04-27 00:00:00+05:30,954.9,954.9,954.9,954.9,5
2023-05-04 00:00:00+05:30,954.9,954.9,950.0,954.9,38
2023-05-23 00:00:00+05:30,934.9,977.0,934.9,955.95,10
2023-05-24 00:00:00+05:30,902.0,1100.0,902.0,1044.0,109
2023-05-29 00:00:00+05:30,882.0,970.0,882.0,970.0,164
2023-05-30 00:00:00+05:30,970.0,970.0,970.0,970.0,20
2023-05-31 00:00:00+05:30,970.0,970.0,970.0,970.0,40
2023-06-01 00:00:00+05:30,942.0,999.0,942.0,997.0,168
2023-06-07 00:00:00+05:30,902.0,999.0,902.0,999.0,168
2023-06-13 00:00:00+05:30,902.0,998.0,902.0,950.0,150
2023-06-21 00:00:00+05:30,978.0,998.0,906.0,995.0,261
2023-06-26 00:00:00+05:30,911.0,969.0,911.0,969.0,148
2023-07-04 00:00:00+05:30,911.0,999.99,911.0,998.0,330
2023-07-07 00:00:00+05:30,915.0,998.0,912.5,942.82,288
2023-07-12 00:00:00+05:30,997.0,997.0,997.0,997.0,50
2023-07-18 00:00:00+05:30,915.0,995.0,915.0,995.0,236
2023-07-21 00:00:00+05:30,816.0,990.0,816.0,820.0,184
2023-07-25 00:00:00+05:30,980.0,980.0,980.0,980.0,72
2023-07-26 00:00:00+05:30,901.0,949.98,880.0,949.98,890
2023-07-27 00:00:00+05:30,915.0,949.5,900.0,948.8,606
2023-07-31 00:00:00+05:30,947.9,947.9,930.0,939.9,32
