date,open,high,low,close,volume
2023-04-05 00:00:00+05:30,999.0,999.0,999.0,999.0,1
2023-04-06 00:00:00+05:30,999.0,999.0,999.0,999.0,2
2023-04-11 00:00:00+05:30,805.1,990.0,805.1,945.0,21
2023-04-19 00:00:00+05:30,999.0,999.0,999.0,999.0,8
2023-05-02 00:00:00+05:30,990.0,990.0,990.0,990.0,7
2023-05-04 00:00:00+05:30,991.0,991.0,980.0,980.0,6
2023-05-17 00:00:00+05:30,980.0,980.0,970.0,970.0,11
2023-05-24 00:00:00+05:30,990.0,990.0,990.0,990.0,11
2023-06-01 00:00:00+05:30,990.0,990.0,990.0,990.0,9
2023-06-21 00:00:00+05:30,950.0,950.0,950.0,950.0,1
2023-06-26 00:00:00+05:30,955.0,955.0,955.0,955.0,36
2023-07-06 00:00:00+05:30,950.01,950.01,840.0,840.0,500
2023-07-07 00:00:00+05:30,960.0,960.0,956.99,956.99,64
2023-07-10 00:00:00+05:30,957.99,958.0,955.0,955.0,15
2023-07-11 00:00:00+05:30,955.0,955.0,955.0,955.0,11
2023-07-13 00:00:00+05:30,955.0,955.0,955.0,955.0,15
2023-07-18 00:00:00+05:30,970.0,970.0,970.0,970.0,5
2023-07-19 00:00:00+05:30,970.0,970.0,970.0,970.0,11
2023-07-20 00:00:00+05:30,965.0,965.0,965.0,965.0,80
2023-07-21 00:00:00+05:30,951.0,951.0,950.0,950.0,10
2023-08-01 00:00:00+05:30,974.99,980.0,974.99,980.0,46
2023-08-31 00:00:00+05:30,980.0,980.0,980.0,980.0,25
2023-09-05 00:00:00+05:30,975.0,975.0,975.0,975.0,20
2023-09-07 00:00:00+05:30,975.0,975.0,955.0,955.0,332
2023-09-08 00:00:00+05:30,955.0,955.0,955.0,955.0,178
2023-09-13 00:00:00+05:30,900.1,955.0,800.0,952.5,510
2023-09-14 00:00:00+05:30,925.0,925.0,920.0,920.0,20
2023-09-20 00:00:00+05:30,940.0,940.0,940.0,940.0,10
2023-09-26 00:00:00+05:30,940.05,940.05,940.05,940.05,37
2023-09-27 00:00:00+05:30,950.05,950.05,950.05,950.05,22
2023-09-28 00:00:00+05:30,979.0,979.0,950.0,960.0,126
2023-09-29 00:00:00+05:30,960.0,960.0,959.9,959.9,18
2023-10-06 00:00:00+05:30,935.0,935.0,930.0,933.0,35
2023-10-09 00:00:00+05:30,940.0,940.0,940.0,940.0,50
2023-10-10 00:00:00+05:30,965.0,965.0,965.0,965.0,14
2023-10-16 00:00:00+05:30,964.99,964.99,964.99,964.99,1
2023-10-18 00:00:00+05:30,964.99,964.99,925.0,941.0,399
2023-10-19 00:00:00+05:30,949.13,949.64,943.98,943.98,253
2023-10-26 00:00:00+05:30,921.0,921.0,921.0,921.0,10
2023-10-30 00:00:00+05:30,960.0,960.0,949.99,949.99,6
2023-11-03 00:00:00+05:30,959.99,959.99,959.99,959.99,1
2023-11-08 00:00:00+05:30,969.99,970.0,969.99,969.99,10
2023-11-10 00:00:00+05:30,960.0,960.0,960.0,960.0,2
2023-11-15 00:00:00+05:30,959.99,959.99,959.99,959.99,6
2023-11-17 00:00:00+05:30,960.0,960.0,956.0,956.0,10
2023-11-20 00:00:00+05:30,957.0,957.0,957.0,957.0,102
2023-11-21 00:00:00+05:30,980.99,980.99,980.99,980.99,1
2023-11-22 00:00:00+05:30,980.0,980.0,979.99,979.99,8
2023-11-23 00:00:00+05:30,979.98,979.99,979.98,979.98,24
2023-11-28 00:00:00+05:30,977.99,977.99,960.0,960.0,15
2023-11-29 00:00:00+05:30,960.0,960.0,960.0,960.0,20
