date,open,high,low,close,volume
2023-12-15 00:00:00+05:30,300.0,315.0,285.0,315.0,2900000
2023-12-18 00:00:00+05:30,329.9,329.9,299.25,299.25,851000
2023-12-19 00:00:00+05:30,290.0,299.5,284.3,286.75,495000
2023-12-20 00:00:00+05:30,285.75,292.0,272.45,272.45,314000
2023-12-21 00:00:00+05:30,258.9,280.0,258.9,279.2,162000
2023-12-22 00:00:00+05:30,283.0,292.95,275.0,288.55,251000
2023-12-26 00:00:00+05:30,291.0,291.0,276.0,279.45,67000
2023-12-27 00:00:00+05:30,280.0,286.0,267.25,271.15,122000
2023-12-28 00:00:00+05:30,270.1,284.7,267.15,284.7,125000
2023-12-29 00:00:00+05:30,289.0,295.0,286.0,292.4,136000
2024-01-01 00:00:00+05:30,294.0,309.0,294.0,304.35,181000
2024-01-02 00:00:00+05:30,306.0,307.9,288.0,289.45,216000
2024-01-03 00:00:00+05:30,286.05,312.5,286.0,309.3,271000
2024-01-04 00:00:00+05:30,314.0,361.8,313.0,354.8,1164000
2024-01-05 00:00:00+05:30,359.0,364.0,328.75,333.65,351000
2024-01-08 00:00:00+05:30,334.0,339.4,317.0,320.15,254000
2024-01-09 00:00:00+05:30,326.0,329.95,320.0,322.25,116000
2024-01-10 00:00:00+05:30,323.0,325.0,315.8,317.3,107000
2024-01-11 00:00:00+05:30,317.3,327.95,317.3,324.7,124000
2024-01-12 00:00:00+05:30,328.95,339.0,320.0,321.2,98000
2024-01-15 00:00:00+05:30,325.0,325.0,300.5,303.2,207000
2024-01-16 00:00:00+05:30,305.9,315.0,300.0,305.25,674000
2024-01-17 00:00:00+05:30,304.0,314.0,303.0,304.7,139000
2024-01-18 00:00:00+05:30,309.35,328.95,302.0,318.25,264000
2024-01-19 00:00:00+05:30,329.8,330.0,310.0,312.3,183000
2024-01-20 00:00:00+05:30,312.6,319.45,304.85,307.05,111000
2024-01-23 00:00:00+05:30,310.0,318.0,303.0,304.4,125000
2024-01-24 00:00:00+05:30,308.95,313.5,303.55,304.25,46000
2024-01-25 00:00:00+05:30,307.0,312.2,302.5,304.7,63000
2024-01-29 00:00:00+05:30,307.55,311.5,304.3,304.35,65000
2024-01-30 00:00:00+05:30,304.0,304.35,292.0,292.95,131000
2024-01-31 00:00:00+05:30,292.95,294.9,288.0,291.15,87000
2024-02-01 00:00:00+05:30,290.0,296.0,289.0,293.3,39000
2024-02-02 00:00:00+05:30,290.0,294.5,285.9,287.5,72000
2024-02-05 00:00:00+05:30,291.5,291.5,265.0,276.6,156000
2024-02-06 00:00:00+05:30,278.0,289.6,267.0,287.25,69000
2024-02-07 00:00:00+05:30,287.5,290.0,277.5,282.2,43000
