date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,374.45,389.0,372.55,382.3,15067
2019-01-02 00:00:00+05:30,378.6,384.85,368.0,373.75,7910
2019-01-03 00:00:00+05:30,371.7,375.1,367.0,367.95,2853
2019-01-04 00:00:00+05:30,370.0,372.5,365.0,367.7,2479
2019-01-07 00:00:00+05:30,371.75,373.0,365.0,366.65,3303
2019-01-08 00:00:00+05:30,370.0,371.75,365.55,367.55,1629
2019-01-09 00:00:00+05:30,369.95,372.55,367.4,368.8,3240
2019-01-10 00:00:00+05:30,389.9,413.15,385.0,397.05,393307
2019-01-11 00:00:00+05:30,393.95,398.0,381.0,392.4,32782
2019-01-14 00:00:00+05:30,394.9,394.9,380.1,381.3,10533
2019-01-15 00:00:00+05:30,381.6,385.05,375.0,378.05,6660
2019-01-16 00:00:00+05:30,384.7,401.4,381.0,390.8,49213
2019-01-17 00:00:00+05:30,388.0,392.7,380.05,382.5,8063
2019-01-18 00:00:00+05:30,382.45,382.45,372.45,373.8,10545
2019-01-21 00:00:00+05:30,371.1,375.0,370.1,371.7,5988
2019-01-22 00:00:00+05:30,371.55,371.55,363.0,365.75,3620
2019-01-23 00:00:00+05:30,365.05,371.05,358.3,361.45,8781
2019-01-24 00:00:00+05:30,364.95,364.95,355.0,356.1,7565
2019-01-25 00:00:00+05:30,360.0,364.9,350.0,350.85,7671
2019-01-28 00:00:00+05:30,353.9,353.9,318.0,322.0,14317
2019-01-29 00:00:00+05:30,329.0,358.0,311.9,337.95,39148
2019-01-30 00:00:00+05:30,339.85,359.8,339.85,348.7,15215
2019-01-31 00:00:00+05:30,349.95,355.0,346.9,349.65,11112
2019-02-01 00:00:00+05:30,352.05,353.9,335.6,337.5,5139
2019-02-04 00:00:00+05:30,340.0,340.0,327.1,328.2,4227
2019-02-05 00:00:00+05:30,327.0,344.3,325.4,338.4,12055
2019-02-06 00:00:00+05:30,340.0,344.0,324.5,328.4,10781
2019-02-07 00:00:00+05:30,333.25,333.25,323.95,328.65,5313
2019-02-08 00:00:00+05:30,331.7,332.0,320.1,323.85,2410
2019-02-11 00:00:00+05:30,329.6,329.6,323.0,323.4,2840
2019-02-12 00:00:00+05:30,323.15,325.9,319.1,321.65,2410
2019-02-13 00:00:00+05:30,322.0,326.9,315.25,321.8,2165
2019-02-14 00:00:00+05:30,320.1,320.75,314.1,315.95,3492
2019-02-15 00:00:00+05:30,319.5,319.5,308.15,309.15,11734
2019-02-18 00:00:00+05:30,312.05,312.05,290.0,291.95,11050
2019-02-19 00:00:00+05:30,288.0,294.9,288.0,292.5,4562
2019-02-20 00:00:00+05:30,297.0,317.0,289.95,306.1,8937
2019-02-21 00:00:00+05:30,306.0,311.25,306.0,309.2,2631
2019-02-22 00:00:00+05:30,307.05,316.65,305.25,312.55,3999
2019-02-25 00:00:00+05:30,312.05,315.0,306.55,310.45,1781
2019-02-26 00:00:00+05:30,308.95,310.0,303.0,307.95,2396
2019-02-27 00:00:00+05:30,307.25,330.0,306.05,312.5,12525
2019-02-28 00:00:00+05:30,311.1,322.0,310.1,318.9,2723
2019-03-01 00:00:00+05:30,319.0,330.0,312.0,323.95,9181
2019-03-05 00:00:00+05:30,326.3,349.3,324.45,344.55,21103
2019-03-06 00:00:00+05:30,346.85,350.0,336.25,340.55,10396
