date,open,high,low,close,volume
2023-04-24 00:00:00+05:30,60.0,61.5,57.25,60.1,468000
2023-04-25 00:00:00+05:30,61.95,61.95,57.55,58.75,42000
2023-04-26 00:00:00+05:30,58.6,58.6,55.85,55.9,70000
2023-04-27 00:00:00+05:30,57.0,58.0,53.25,57.55,28000
2023-04-28 00:00:00+05:30,57.55,58.5,54.7,55.6,44000
2023-05-02 00:00:00+05:30,58.35,58.35,58.35,58.35,2000
2023-05-03 00:00:00+05:30,55.6,56.0,55.45,55.45,26000
2023-05-04 00:00:00+05:30,53.1,54.35,52.7,54.35,30000
2023-05-05 00:00:00+05:30,55.9,56.5,52.0,53.2,52000
2023-05-08 00:00:00+05:30,54.0,54.0,51.75,51.75,10000
2023-05-09 00:00:00+05:30,52.0,56.0,51.75,54.1,40000
2023-05-10 00:00:00+05:30,54.0,54.0,54.0,54.0,2000
2023-05-11 00:00:00+05:30,53.2,53.25,50.1,50.1,26000
2023-05-12 00:00:00+05:30,50.1,53.0,50.1,52.55,24000
2023-05-15 00:00:00+05:30,51.5,51.5,50.1,50.15,8000
2023-05-16 00:00:00+05:30,51.9,51.9,49.0,49.2,8000
2023-05-17 00:00:00+05:30,48.0,51.0,47.05,50.9,32000
2023-05-18 00:00:00+05:30,49.2,49.2,49.2,49.2,2000
2023-05-19 00:00:00+05:30,49.1,49.1,49.1,49.1,2000
2023-05-22 00:00:00+05:30,52.5,55.0,52.5,53.9,26000
2023-05-23 00:00:00+05:30,53.9,55.0,53.9,53.95,12000
2023-05-24 00:00:00+05:30,55.0,55.0,55.0,55.0,2000
2023-05-26 00:00:00+05:30,51.7,52.25,51.7,52.25,6000
2023-05-29 00:00:00+05:30,54.9,54.9,54.0,54.0,16000
2023-05-30 00:00:00+05:30,54.0,54.0,53.1,53.1,4000
2023-05-31 00:00:00+05:30,51.1,51.4,50.9,51.4,12000
2023-06-02 00:00:00+05:30,51.0,51.0,51.0,51.0,2000
2023-06-05 00:00:00+05:30,48.75,48.75,48.75,48.75,2000
2023-06-08 00:00:00+05:30,48.8,48.8,48.05,48.05,4000
2023-06-09 00:00:00+05:30,50.0,50.0,50.0,50.0,2000
2023-06-13 00:00:00+05:30,50.0,50.0,50.0,50.0,2000
2023-06-14 00:00:00+05:30,49.0,49.0,48.5,48.5,4000
2023-06-16 00:00:00+05:30,45.55,46.0,45.0,45.3,28000
