date,open,high,low,close,volume
2019-03-11 00:00:00+05:30,26.95,27.25,20.0,27.25,18000
2019-03-19 00:00:00+05:30,22.0,25.0,22.0,24.0,18000
2019-04-10 00:00:00+05:30,25.5,25.5,25.5,25.5,6000
2019-04-11 00:00:00+05:30,27.0,27.0,27.0,27.0,6000
2019-04-16 00:00:00+05:30,28.5,28.5,28.5,28.5,6000
2019-04-25 00:00:00+05:30,26.8,26.8,26.8,26.8,12000
2019-06-04 00:00:00+05:30,28.5,28.5,28.5,28.5,6000
2019-06-06 00:00:00+05:30,29.05,29.2,29.05,29.2,12000
2019-06-07 00:00:00+05:30,29.75,29.75,29.75,29.75,6000
2019-06-10 00:00:00+05:30,30.35,30.35,30.35,30.35,12000
2019-06-11 00:00:00+05:30,29.95,29.95,29.95,29.95,6000
2019-06-12 00:00:00+05:30,30.7,31.05,30.7,31.05,24000
2019-06-14 00:00:00+05:30,30.7,30.75,30.7,30.75,12000
2019-06-18 00:00:00+05:30,30.55,30.6,30.55,30.6,12000
2019-06-21 00:00:00+05:30,31.05,31.05,31.05,31.05,12000
2019-07-08 00:00:00+05:30,31.1,31.1,31.1,31.1,6000
2019-07-17 00:00:00+05:30,31.6,31.6,31.6,31.6,12000
2019-07-19 00:00:00+05:30,31.45,31.45,31.45,31.45,6000
2019-09-03 00:00:00+05:30,30.85,30.85,30.85,30.85,6000
2019-09-13 00:00:00+05:30,31.5,31.5,31.5,31.5,6000
2019-09-16 00:00:00+05:30,31.5,31.5,31.5,31.5,30000
2019-09-17 00:00:00+05:30,31.55,31.55,31.55,31.55,18000
2019-09-18 00:00:00+05:30,31.6,31.6,31.6,31.6,6000
2019-09-19 00:00:00+05:30,31.5,31.5,31.5,31.5,6000
2019-11-11 00:00:00+05:30,31.6,31.6,31.6,31.6,24000
2019-11-13 00:00:00+05:30,31.5,31.5,31.4,31.4,18000
2019-11-26 00:00:00+05:30,28.5,28.5,28.5,28.5,12000
2019-11-27 00:00:00+05:30,29.5,29.75,29.5,29.75,24000
2019-11-28 00:00:00+05:30,30.7,30.8,30.7,30.8,12000
2019-12-02 00:00:00+05:30,30.8,30.8,30.8,30.8,6000
2019-12-03 00:00:00+05:30,31.5,31.5,31.5,31.5,6000
2019-12-04 00:00:00+05:30,31.6,31.6,31.6,31.6,12000
2019-12-05 00:00:00+05:30,31.75,31.75,31.75,31.75,18000
2019-12-09 00:00:00+05:30,31.75,31.75,31.75,31.75,6000
2019-12-11 00:00:00+05:30,31.8,31.8,31.8,31.8,18000
2019-12-18 00:00:00+05:30,31.55,31.55,31.55,31.55,12000
2019-12-19 00:00:00+05:30,31.55,31.55,31.55,31.55,6000
2019-12-31 00:00:00+05:30,31.45,31.45,31.45,31.45,18000
2020-02-19 00:00:00+05:30,29.0,29.0,29.0,29.0,12000
2020-03-03 00:00:00+05:30,25.0,25.0,25.0,25.0,12000
2020-03-23 00:00:00+05:30,25.0,25.0,25.0,25.0,24000
2020-03-24 00:00:00+05:30,25.0,25.0,25.0,25.0,96000
2020-03-27 00:00:00+05:30,25.0,25.0,25.0,25.0,24000
2020-07-28 00:00:00+05:30,24.0,24.0,24.0,24.0,24000
2020-07-29 00:00:00+05:30,24.0,24.0,24.0,24.0,48000
2020-07-30 00:00:00+05:30,23.0,23.0,23.0,23.0,24000
2020-07-31 00:00:00+05:30,23.0,23.0,23.0,23.0,18000
2020-08-03 00:00:00+05:30,23.0,23.0,23.0,23.0,12000
2020-09-17 00:00:00+05:30,21.85,21.85,21.85,21.85,6000
2020-09-18 00:00:00+05:30,20.75,20.75,20.75,20.75,6000
2020-09-22 00:00:00+05:30,19.7,19.7,19.7,19.7,6000
2021-03-15 00:00:00+05:30,16.0,19.85,16.0,19.85,12000
2021-03-22 00:00:00+05:30,16.0,19.8,16.0,19.8,12000
2021-07-14 00:00:00+05:30,16.25,23.25,16.25,23.25,18000
2021-12-09 00:00:00+05:30,21.0,21.0,21.0,21.0,6000
2021-12-16 00:00:00+05:30,21.0,21.0,21.0,21.0,6000
2022-03-31 00:00:00+05:30,17.0,17.0,17.0,17.0,24000
2022-06-08 00:00:00+05:30,16.2,16.2,16.2,16.2,18000
2022-06-10 00:00:00+05:30,17.0,17.05,17.0,17.05,12000
2022-06-21 00:00:00+05:30,16.2,16.2,16.2,16.2,12000
2022-07-08 00:00:00+05:30,15.55,15.55,15.55,15.55,18000
2022-08-02 00:00:00+05:30,15.55,15.55,15.55,15.55,6000
2022-08-05 00:00:00+05:30,14.85,14.85,14.85,14.85,12000
2022-08-16 00:00:00+05:30,15.0,15.0,15.0,15.0,18000
2022-09-28 00:00:00+05:30,14.3,14.3,14.3,14.3,24000
2023-02-07 00:00:00+05:30,11.85,11.85,11.85,11.85,36000
2023-02-08 00:00:00+05:30,10.55,11.95,10.55,11.95,42000
2023-02-10 00:00:00+05:30,11.25,12.5,11.25,11.6,30000
2023-02-13 00:00:00+05:30,11.3,11.3,11.3,11.3,24000
2023-02-15 00:00:00+05:30,10.8,10.8,10.8,10.8,6000
2023-02-17 00:00:00+05:30,9.9,9.9,9.9,9.9,6000
2023-02-20 00:00:00+05:30,9.55,9.75,9.55,9.75,30000
2023-02-24 00:00:00+05:30,7.95,7.95,7.95,7.95,6000
2023-03-06 00:00:00+05:30,8.7,8.7,8.7,8.7,24000
2023-06-06 00:00:00+05:30,9.1,9.1,9.1,9.1,192000
2023-06-15 00:00:00+05:30,10.0,10.0,10.0,10.0,6000
2023-06-19 00:00:00+05:30,9.55,9.55,9.55,9.55,6000
2023-06-20 00:00:00+05:30,9.15,9.15,9.15,9.15,6000
2023-06-23 00:00:00+05:30,9.4,9.4,9.0,9.0,30000
2023-07-04 00:00:00+05:30,9.0,9.0,8.6,8.6,24000
2023-07-06 00:00:00+05:30,9.45,9.45,9.45,9.45,12000
2023-07-12 00:00:00+05:30,10.35,10.35,10.35,10.35,12000
2023-07-13 00:00:00+05:30,10.8,10.8,10.8,10.8,6000
2023-07-14 00:00:00+05:30,11.85,11.85,11.85,11.85,6000
2023-07-17 00:00:00+05:30,13.0,13.0,13.0,13.0,6000
2023-07-18 00:00:00+05:30,13.65,13.65,13.65,13.65,6000
2023-07-19 00:00:00+05:30,14.3,14.3,14.3,14.3,6000
2023-07-20 00:00:00+05:30,15.0,15.0,15.0,15.0,6000
2023-07-25 00:00:00+05:30,15.75,15.75,15.75,15.75,6000
2023-08-02 00:00:00+05:30,15.05,15.05,15.05,15.05,6000
2024-03-27 00:00:00+05:30,15.5,15.5,15.5,15.5,6000
2024-05-23 00:00:00+05:30,15.6,15.6,15.6,15.6,66000
