date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,21.1,22.45,21.1,21.7,943
2019-01-02 00:00:00+05:30,20.75,23.5,20.75,23.15,8741
2019-01-03 00:00:00+05:30,23.45,23.5,22.25,22.65,1861
2019-01-04 00:00:00+05:30,21.8,22.9,21.7,21.95,1893
2019-01-07 00:00:00+05:30,22.5,24.1,22.5,23.0,8969
2019-01-08 00:00:00+05:30,23.5,23.9,22.7,23.55,3827
2019-01-09 00:00:00+05:30,24.1,24.8,22.3,24.0,5335
2019-01-10 00:00:00+05:30,26.0,26.0,23.15,24.2,180
2019-01-11 00:00:00+05:30,26.45,26.45,22.8,24.0,311
2019-01-14 00:00:00+05:30,25.9,25.9,24.0,25.35,2374
2019-01-15 00:00:00+05:30,25.35,26.4,25.15,26.25,5598
2019-01-16 00:00:00+05:30,27.0,27.9,24.9,26.5,1250
2019-01-17 00:00:00+05:30,26.5,26.95,24.65,25.35,2421
2019-01-18 00:00:00+05:30,25.85,25.85,23.9,25.8,379
2019-01-21 00:00:00+05:30,25.05,28.25,24.1,25.65,10290
2019-01-22 00:00:00+05:30,25.7,27.8,25.0,25.65,7247
2019-01-23 00:00:00+05:30,26.45,26.45,24.0,24.2,2070
2019-01-24 00:00:00+05:30,24.25,26.35,24.25,25.6,1767
2019-01-25 00:00:00+05:30,25.0,26.0,23.95,24.55,1194
2019-01-28 00:00:00+05:30,26.55,26.55,22.75,24.9,308
2019-01-29 00:00:00+05:30,24.9,26.0,22.8,23.55,16581
2019-01-30 00:00:00+05:30,25.7,25.7,21.2,22.15,10563
2019-01-31 00:00:00+05:30,22.0,23.9,21.2,22.45,1098
2019-02-01 00:00:00+05:30,23.1,23.95,21.1,22.65,2507
2019-02-04 00:00:00+05:30,24.0,24.9,21.3,23.9,7738
2019-02-05 00:00:00+05:30,21.85,23.9,21.85,23.8,155
2019-02-06 00:00:00+05:30,25.65,26.15,21.95,22.05,21903
2019-02-07 00:00:00+05:30,23.6,23.9,21.35,21.85,2082
2019-02-08 00:00:00+05:30,23.4,23.8,21.65,22.6,1137
2019-02-11 00:00:00+05:30,21.6,23.8,20.9,21.2,7859
2019-02-12 00:00:00+05:30,20.5,21.75,20.05,20.95,3533
2019-02-13 00:00:00+05:30,21.0,21.9,20.5,21.9,2526
2019-02-14 00:00:00+05:30,23.2,23.2,20.6,21.25,3003
2019-02-15 00:00:00+05:30,20.1,21.5,20.1,21.5,2101
2019-02-18 00:00:00+05:30,21.5,21.7,20.0,20.9,2149
2019-02-19 00:00:00+05:30,20.6,22.35,19.75,22.3,3583
2019-02-20 00:00:00+05:30,22.3,22.3,21.6,21.6,2074
2019-02-21 00:00:00+05:30,21.05,22.0,21.05,22.0,3102
2019-02-22 00:00:00+05:30,22.0,23.7,20.55,23.3,1051
2019-02-25 00:00:00+05:30,23.3,23.3,21.0,22.2,1349
2019-02-26 00:00:00+05:30,23.0,23.0,20.8,22.5,1009
2019-02-27 00:00:00+05:30,22.5,26.8,22.0,22.55,23036
2019-02-28 00:00:00+05:30,23.9,23.9,21.4,23.5,12240
2019-03-01 00:00:00+05:30,23.0,24.0,21.6,22.4,5285
2019-03-05 00:00:00+05:30,22.65,23.9,22.65,22.9,1060
2019-03-06 00:00:00+05:30,22.9,23.4,22.9,23.05,1002
2019-03-07 00:00:00+05:30,23.0,23.0,23.0,23.0,151
2019-03-08 00:00:00+05:30,23.0,23.0,22.55,22.8,143
2019-03-11 00:00:00+05:30,22.9,26.65,22.85,23.9,3983
2019-03-12 00:00:00+05:30,23.9,24.45,23.3,23.8,828
2019-03-13 00:00:00+05:30,24.5,24.5,24.5,24.5,13
2019-03-14 00:00:00+05:30,24.5,24.5,23.05,24.0,126
2019-03-15 00:00:00+05:30,24.95,24.95,22.1,22.55,1528
2019-03-18 00:00:00+05:30,23.7,26.7,23.7,24.1,15744
2019-03-19 00:00:00+05:30,24.0,25.55,23.2,23.8,1947
2019-03-20 00:00:00+05:30,23.65,25.3,22.8,23.85,3087
2019-03-22 00:00:00+05:30,24.9,24.9,23.0,23.2,6500
2019-03-25 00:00:00+05:30,23.0,24.7,21.8,22.85,4667
2019-03-26 00:00:00+05:30,22.5,23.0,22.5,22.65,226
2019-03-27 00:00:00+05:30,24.1,24.1,21.25,22.0,7665
2019-03-28 00:00:00+05:30,22.0,23.8,21.75,22.35,6428
2019-03-29 00:00:00+05:30,22.3,23.7,22.0,22.4,971
2019-04-01 00:00:00+05:30,23.9,23.9,21.1,22.0,3296
2019-04-02 00:00:00+05:30,23.0,23.8,22.1,22.55,5402
2019-04-03 00:00:00+05:30,23.5,23.85,21.3,22.3,2978
2019-04-04 00:00:00+05:30,22.45,22.7,21.65,22.2,2300
2019-04-05 00:00:00+05:30,22.0,22.65,21.55,22.1,1351
2019-04-08 00:00:00+05:30,21.8,22.55,21.8,22.45,212
2019-04-09 00:00:00+05:30,22.45,22.45,21.5,22.15,2883
2019-04-10 00:00:00+05:30,21.7,22.4,21.55,22.4,230
2019-04-11 00:00:00+05:30,22.45,22.5,21.45,21.6,1981
2019-04-12 00:00:00+05:30,21.7,22.3,21.7,22.1,417
2019-04-15 00:00:00+05:30,22.0,22.75,21.1,21.85,10196
2019-04-16 00:00:00+05:30,22.85,23.1,21.85,22.2,436
2019-04-18 00:00:00+05:30,22.0,22.15,21.5,21.5,1354
2019-04-22 00:00:00+05:30,22.4,22.5,21.65,22.05,655
2019-04-23 00:00:00+05:30,22.05,22.05,21.1,21.9,840
2019-04-24 00:00:00+05:30,21.6,21.85,21.05,21.55,697
2019-04-25 00:00:00+05:30,22.0,22.0,21.0,21.7,160
2019-04-26 00:00:00+05:30,21.3,21.65,21.0,21.6,837
2019-04-30 00:00:00+05:30,21.2,21.6,19.25,19.8,5935
2019-05-02 00:00:00+05:30,20.35,21.0,18.0,19.45,4443
2019-05-03 00:00:00+05:30,20.0,20.5,19.45,19.5,3507
2019-05-06 00:00:00+05:30,19.55,19.55,18.5,18.7,10226
2019-05-07 00:00:00+05:30,18.7,19.85,18.65,19.1,4731
2019-05-08 00:00:00+05:30,18.1,18.95,17.7,18.0,2932
2019-05-09 00:00:00+05:30,18.8,18.8,18.8,18.8,397
2019-05-10 00:00:00+05:30,18.0,18.95,18.0,18.75,37
2019-05-14 00:00:00+05:30,20.2,20.85,17.35,19.6,3792
2019-05-15 00:00:00+05:30,20.9,20.9,19.0,19.0,2575
2019-05-16 00:00:00+05:30,18.0,21.0,17.5,19.75,1418
2019-05-17 00:00:00+05:30,18.4,19.8,18.1,19.25,1078
2019-05-20 00:00:00+05:30,19.0,19.55,18.2,18.65,2500
2019-05-21 00:00:00+05:30,19.8,19.8,18.3,18.8,937
2019-05-22 00:00:00+05:30,18.8,19.9,18.8,19.85,362
2019-05-23 00:00:00+05:30,20.0,20.0,18.25,18.55,650
2019-05-24 00:00:00+05:30,18.2,19.7,18.2,18.7,4666
2019-05-27 00:00:00+05:30,18.45,20.6,18.45,19.45,2965
2019-05-28 00:00:00+05:30,20.0,20.0,18.85,19.9,386
2019-05-29 00:00:00+05:30,20.0,20.0,19.2,19.75,1678
2019-05-30 00:00:00+05:30,19.0,22.8,18.75,20.45,9295
2019-05-31 00:00:00+05:30,19.6,20.4,18.7,18.85,5523
2019-06-03 00:00:00+05:30,19.5,20.8,18.8,20.5,14360
2019-06-04 00:00:00+05:30,20.65,21.5,20.1,21.3,11019
2019-06-06 00:00:00+05:30,21.0,23.9,20.0,22.5,14697
2019-06-07 00:00:00+05:30,23.75,23.9,22.05,22.75,6333
2019-06-10 00:00:00+05:30,23.0,24.2,20.8,23.75,35341
2019-06-11 00:00:00+05:30,24.25,25.9,22.3,23.9,90589
2019-06-12 00:00:00+05:30,23.9,23.9,22.1,23.05,15452
2019-06-13 00:00:00+05:30,22.5,23.45,20.3,22.45,11804
2019-06-14 00:00:00+05:30,19.55,22.5,19.55,20.65,5441
2019-06-17 00:00:00+05:30,22.0,22.0,16.55,16.8,40037
