date,open,high,low,close,volume
2024-04-09 00:00:00+05:30,45.0,47.25,45.0,47.25,1989000
2024-04-10 00:00:00+05:30,47.9,47.9,44.9,45.35,1326000
2024-04-12 00:00:00+05:30,45.0,45.7,43.1,44.0,363000
2024-04-15 00:00:00+05:30,42.5,44.0,41.8,42.25,237000
2024-04-16 00:00:00+05:30,41.5,42.15,40.65,41.3,81000
2024-04-18 00:00:00+05:30,42.85,43.35,39.5,43.25,276000
2024-04-19 00:00:00+05:30,41.6,44.55,41.5,44.45,231000
2024-04-22 00:00:00+05:30,46.55,46.65,45.55,46.65,459000
2024-04-23 00:00:00+05:30,47.6,48.4,46.75,47.35,291000
2024-04-24 00:00:00+05:30,47.95,48.6,45.15,46.15,198000
2024-04-25 00:00:00+05:30,45.5,48.0,45.2,46.3,273000
2024-04-26 00:00:00+05:30,46.3,47.45,46.0,46.4,282000
2024-04-29 00:00:00+05:30,46.2,47.05,46.0,46.25,189000
2024-04-30 00:00:00+05:30,46.15,47.5,46.0,46.05,261000
2024-05-02 00:00:00+05:30,46.9,47.45,46.0,46.1,258000
2024-05-03 00:00:00+05:30,46.25,53.7,46.25,51.0,843000
2024-05-06 00:00:00+05:30,52.5,58.7,51.0,56.7,921000
2024-05-07 00:00:00+05:30,59.0,59.0,53.0,53.6,339000
2024-05-08 00:00:00+05:30,53.0,56.0,52.75,53.55,147000
2024-05-09 00:00:00+05:30,54.95,55.35,51.3,51.95,186000
2024-05-10 00:00:00+05:30,51.95,53.75,51.95,52.35,57000
2024-05-13 00:00:00+05:30,52.5,55.0,51.75,53.95,117000
2024-05-14 00:00:00+05:30,54.1,54.4,52.8,53.1,84000
2024-05-15 00:00:00+05:30,52.6,55.0,52.6,54.35,168000
2024-05-16 00:00:00+05:30,54.9,55.25,53.6,53.85,102000
2024-05-17 00:00:00+05:30,53.4,54.0,53.4,53.6,60000
2024-05-18 00:00:00+05:30,54.0,54.0,52.5,54.0,21000
2024-05-21 00:00:00+05:30,54.0,54.0,52.75,53.3,63000
2024-05-22 00:00:00+05:30,54.0,57.0,52.5,54.25,141000
2024-05-23 00:00:00+05:30,54.25,56.0,54.25,55.0,39000
