date,open,high,low,close,volume
2021-06-04 00:00:00+05:30,38.0,38.25,36.2,37.55,234325
2021-06-07 00:00:00+05:30,39.0,39.4,34.15,34.6,176105
2021-06-08 00:00:00+05:30,35.6,35.6,33.8,34.7,60425
2021-06-09 00:00:00+05:30,34.8,34.8,32.35,32.65,76365
2021-06-10 00:00:00+05:30,34.0,34.0,31.2,31.5,60780
2021-06-11 00:00:00+05:30,33.2,33.2,31.0,32.05,163120
2021-06-14 00:00:00+05:30,33.4,33.4,31.7,32.0,127025
2021-06-15 00:00:00+05:30,31.85,32.6,31.45,31.75,127675
2021-06-16 00:00:00+05:30,32.4,32.4,31.0,31.45,106895
2021-06-17 00:00:00+05:30,32.3,32.3,30.9,31.4,162975
2021-06-18 00:00:00+05:30,30.95,31.4,30.0,31.05,102695
2021-06-21 00:00:00+05:30,31.95,31.95,28.15,30.75,113935
2021-06-22 00:00:00+05:30,31.0,31.05,29.45,30.2,135840
2021-06-23 00:00:00+05:30,31.0,31.0,28.3,29.35,152490
2021-06-24 00:00:00+05:30,29.4,30.2,27.6,28.25,133885
2021-06-25 00:00:00+05:30,29.9,29.9,28.0,28.1,140520
2021-06-28 00:00:00+05:30,28.0,29.7,27.2,29.05,132230
2021-06-29 00:00:00+05:30,29.8,31.95,28.85,31.0,153335
2021-06-30 00:00:00+05:30,33.2,33.2,30.05,30.6,143705
2021-07-01 00:00:00+05:30,29.4,33.35,29.4,32.55,145350
2021-07-02 00:00:00+05:30,33.05,33.05,30.05,31.1,136455
2021-07-05 00:00:00+05:30,32.0,32.8,30.95,32.2,126240
2021-07-06 00:00:00+05:30,32.3,32.4,31.25,31.8,114365
2021-07-07 00:00:00+05:30,32.0,32.0,30.8,31.65,116380
2021-07-08 00:00:00+05:30,31.7,31.8,30.8,31.75,115080
2021-07-09 00:00:00+05:30,31.2,32.3,31.0,31.65,133165
2021-07-12 00:00:00+05:30,32.4,32.85,31.95,32.4,151905
2021-07-13 00:00:00+05:30,32.95,33.0,31.6,32.55,204845
2021-07-14 00:00:00+05:30,32.65,32.85,32.05,32.4,124740
2021-07-15 00:00:00+05:30,32.8,35.6,31.65,35.15,209010
2021-07-16 00:00:00+05:30,35.0,35.25,33.2,34.35,171030
2021-07-19 00:00:00+05:30,33.25,34.8,33.0,33.3,154200
2021-07-20 00:00:00+05:30,33.25,35.0,33.0,34.3,129985
2021-07-22 00:00:00+05:30,35.0,35.0,33.6,34.3,113955
2021-07-23 00:00:00+05:30,35.4,36.2,33.5,33.9,135515
2021-07-26 00:00:00+05:30,34.0,34.0,32.5,32.95,129655
2021-07-27 00:00:00+05:30,33.6,35.15,31.8,33.25,111755
2021-07-28 00:00:00+05:30,33.45,34.0,32.4,33.8,109795
2021-07-29 00:00:00+05:30,33.8,33.8,32.45,32.95,136685
2021-07-30 00:00:00+05:30,33.6,33.75,32.7,33.65,135635
2021-08-02 00:00:00+05:30,33.9,33.9,33.4,33.5,128295
2021-08-03 00:00:00+05:30,33.95,34.0,31.25,32.2,138800
2021-08-04 00:00:00+05:30,32.95,33.8,31.0,32.85,107950
2021-08-05 00:00:00+05:30,32.1,33.0,31.3,32.45,115005
2021-08-06 00:00:00+05:30,33.15,33.15,29.85,30.85,140010
2021-08-09 00:00:00+05:30,31.0,37.0,29.7,37.0,404565
2021-08-10 00:00:00+05:30,40.0,43.0,37.05,38.45,1102765
2021-08-11 00:00:00+05:30,38.05,41.0,35.5,40.1,204000
2021-08-12 00:00:00+05:30,41.0,41.95,39.0,39.95,128615
2021-08-13 00:00:00+05:30,41.0,41.0,37.75,38.75,69980
2021-08-16 00:00:00+05:30,38.4,39.4,36.65,38.7,172600
2021-08-17 00:00:00+05:30,37.9,39.25,36.2,37.0,68140
2021-08-18 00:00:00+05:30,37.4,39.6,36.4,37.2,22800
2021-08-20 00:00:00+05:30,40.8,40.8,34.25,36.1,44590
2021-08-23 00:00:00+05:30,36.0,38.0,33.2,33.8,53260
2021-08-24 00:00:00+05:30,35.75,35.75,32.8,34.45,82590
2021-08-25 00:00:00+05:30,33.4,35.0,33.0,34.05,80205
2021-08-26 00:00:00+05:30,34.7,34.75,32.65,33.65,20010
2021-08-27 00:00:00+05:30,35.6,40.35,35.3,38.45,1119375
2021-08-30 00:00:00+05:30,40.0,41.4,38.55,40.75,402115
2021-08-31 00:00:00+05:30,41.8,43.5,40.7,41.1,380810
2021-09-01 00:00:00+05:30,41.4,42.6,41.4,41.85,246105
2021-09-02 00:00:00+05:30,42.4,42.95,41.2,41.35,75630
2021-09-03 00:00:00+05:30,41.4,42.0,40.5,40.9,138190
2021-09-06 00:00:00+05:30,41.7,42.1,40.0,40.7,71410
2021-09-07 00:00:00+05:30,40.8,41.6,39.2,39.8,51270
2021-09-08 00:00:00+05:30,45.8,47.55,40.2,40.4,4621260
2021-09-09 00:00:00+05:30,41.4,41.65,40.2,40.35,766425
2021-09-13 00:00:00+05:30,39.6,40.75,38.85,39.2,359000
2021-09-14 00:00:00+05:30,40.75,41.5,38.7,38.8,1482795
2021-09-15 00:00:00+05:30,39.2,39.3,38.4,38.55,526615
2021-09-16 00:00:00+05:30,38.6,39.5,36.65,36.9,1671255
2021-09-17 00:00:00+05:30,37.3,38.2,35.8,36.0,1001930
2021-09-20 00:00:00+05:30,35.65,36.1,34.1,34.5,534970
2021-09-21 00:00:00+05:30,34.7,36.3,33.6,35.1,1416505
2021-09-22 00:00:00+05:30,35.4,35.5,33.75,33.9,2176295
2021-09-23 00:00:00+05:30,34.2,34.3,33.95,34.0,482630
2021-09-24 00:00:00+05:30,34.2,34.2,33.5,33.65,361560
2021-09-27 00:00:00+05:30,33.95,34.05,32.2,32.5,415745
2021-09-28 00:00:00+05:30,32.05,33.3,31.9,32.0,713020
2021-09-29 00:00:00+05:30,31.95,33.1,31.55,32.0,1005825
2021-09-30 00:00:00+05:30,32.2,32.45,31.4,31.55,1250795
2021-10-01 00:00:00+05:30,31.4,31.75,30.9,31.0,608095
2021-10-04 00:00:00+05:30,31.2,31.65,30.7,30.95,612930
2021-10-05 00:00:00+05:30,31.0,31.15,30.8,30.9,322215
2021-10-06 00:00:00+05:30,31.35,31.35,30.75,30.85,208545
2021-10-07 00:00:00+05:30,30.85,31.0,30.4,30.7,354015
2021-10-08 00:00:00+05:30,30.55,31.0,29.6,30.6,367600
2021-10-11 00:00:00+05:30,30.9,31.0,30.0,30.3,606910
2021-10-12 00:00:00+05:30,30.4,31.5,30.2,30.45,800110
2021-10-13 00:00:00+05:30,30.4,30.7,30.2,30.35,367225
2021-10-14 00:00:00+05:30,30.4,35.2,30.05,34.8,4103295
2021-10-18 00:00:00+05:30,34.95,35.9,34.45,35.2,1235405
2021-10-19 00:00:00+05:30,34.85,35.3,31.75,32.1,829005
2021-10-20 00:00:00+05:30,32.1,32.7,30.3,30.85,385555
2021-10-21 00:00:00+05:30,30.6,31.95,30.6,31.25,456910
2021-10-22 00:00:00+05:30,31.85,31.85,30.85,31.15,250635
2021-10-25 00:00:00+05:30,31.6,31.6,29.15,30.05,180770
2021-10-26 00:00:00+05:30,29.8,30.75,28.8,29.35,551025
2021-10-27 00:00:00+05:30,29.9,31.0,29.6,30.0,195915
2021-10-28 00:00:00+05:30,30.0,30.3,27.0,29.35,278875
2021-10-29 00:00:00+05:30,30.35,30.35,28.7,29.45,271900
2021-11-01 00:00:00+05:30,29.5,30.15,29.3,29.6,152695
2021-11-02 00:00:00+05:30,29.7,30.75,29.5,29.75,174775
2021-11-03 00:00:00+05:30,29.8,30.35,29.2,29.45,138305
2021-11-04 00:00:00+05:30,30.1,30.1,29.1,29.75,32555
2021-11-08 00:00:00+05:30,30.0,30.2,29.45,29.75,285205
2021-11-09 00:00:00+05:30,30.1,30.4,29.5,30.05,108905
2021-11-10 00:00:00+05:30,30.05,30.2,29.55,30.1,52450
2021-11-11 00:00:00+05:30,30.75,31.8,29.8,30.9,160065
2021-11-12 00:00:00+05:30,31.0,32.0,30.6,31.1,190510
2021-11-15 00:00:00+05:30,31.8,35.25,31.8,34.4,1615050
2021-11-16 00:00:00+05:30,34.4,35.6,34.4,35.4,599690
2021-11-17 00:00:00+05:30,36.0,37.8,35.6,35.85,710555
2021-11-18 00:00:00+05:30,36.4,36.55,35.0,35.25,230260
2021-11-22 00:00:00+05:30,37.0,37.0,34.0,35.3,353840
2021-11-23 00:00:00+05:30,34.8,37.0,34.5,36.6,388000
2021-11-24 00:00:00+05:30,36.7,37.7,35.45,36.5,493030
2021-11-25 00:00:00+05:30,36.8,37.6,36.1,37.45,326050
2021-11-26 00:00:00+05:30,37.0,37.0,34.8,35.35,441860
2021-11-29 00:00:00+05:30,35.6,36.0,32.35,34.5,179555
2021-11-30 00:00:00+05:30,34.2,35.9,33.6,34.05,132855
2021-12-01 00:00:00+05:30,34.8,34.8,32.65,33.0,234770
2021-12-02 00:00:00+05:30,33.2,34.0,32.65,33.05,88065
2021-12-03 00:00:00+05:30,33.6,34.6,32.55,33.6,211470
2021-12-06 00:00:00+05:30,34.9,34.9,33.05,33.15,88955
2021-12-07 00:00:00+05:30,34.05,34.2,33.05,33.85,99000
2021-12-08 00:00:00+05:30,33.7,37.0,33.25,36.55,489705
2021-12-09 00:00:00+05:30,37.6,37.6,35.8,36.3,191425
2021-12-10 00:00:00+05:30,36.4,36.9,35.0,35.2,118295
2021-12-13 00:00:00+05:30,35.5,35.95,34.85,35.35,134185
2021-12-14 00:00:00+05:30,35.2,35.6,33.4,34.9,100765
2021-12-15 00:00:00+05:30,34.9,34.95,33.8,34.15,110275
2021-12-16 00:00:00+05:30,33.8,34.4,33.6,33.9,70675
2021-12-17 00:00:00+05:30,34.15,34.5,32.0,32.75,165455
2021-12-20 00:00:00+05:30,32.8,32.8,30.6,31.2,150095
2021-12-21 00:00:00+05:30,31.0,32.0,31.0,31.35,59350
2021-12-22 00:00:00+05:30,32.0,33.4,31.6,33.0,86000
2021-12-23 00:00:00+05:30,33.6,35.0,32.75,33.75,136230
2021-12-24 00:00:00+05:30,33.9,34.25,32.3,33.1,113615
2021-12-27 00:00:00+05:30,33.1,33.5,32.2,32.5,31060
2021-12-28 00:00:00+05:30,32.5,34.2,32.5,33.45,78900
2021-12-29 00:00:00+05:30,33.8,33.8,33.25,33.35,79485
2021-12-30 00:00:00+05:30,33.5,34.0,33.0,33.2,39065
2021-12-31 00:00:00+05:30,33.0,33.6,32.75,33.05,101800
2022-01-03 00:00:00+05:30,33.4,33.85,32.6,33.2,86995
2022-01-04 00:00:00+05:30,33.5,33.65,32.9,33.15,121790
2022-01-05 00:00:00+05:30,33.2,33.6,32.6,32.95,42220
2022-01-06 00:00:00+05:30,32.6,33.4,32.6,33.2,65390
2022-01-07 00:00:00+05:30,32.9,37.5,32.85,36.6,1130165
2022-01-10 00:00:00+05:30,37.0,37.75,36.4,36.65,270875
2022-01-11 00:00:00+05:30,37.0,37.6,36.8,36.95,205545
2022-01-12 00:00:00+05:30,37.4,37.4,36.6,36.9,134615
2022-01-13 00:00:00+05:30,36.6,37.4,36.6,37.3,102300
2022-01-14 00:00:00+05:30,37.4,37.4,36.5,36.65,38810
2022-01-17 00:00:00+05:30,36.4,37.0,36.2,36.3,101965
2022-01-18 00:00:00+05:30,36.4,40.8,36.4,39.4,1214095
2022-01-19 00:00:00+05:30,39.4,40.9,38.05,39.3,436670
2022-01-20 00:00:00+05:30,40.4,42.5,40.2,41.9,1762875
2022-01-21 00:00:00+05:30,41.55,42.8,40.6,41.25,604690
2022-01-24 00:00:00+05:30,41.3,41.3,38.65,39.45,260745
2022-01-25 00:00:00+05:30,39.45,41.8,38.0,40.6,268715
2022-01-27 00:00:00+05:30,39.6,41.35,39.0,40.85,199655
2022-01-28 00:00:00+05:30,41.7,43.2,40.0,40.5,649600
2022-01-31 00:00:00+05:30,41.75,42.0,39.7,40.75,573110
2022-02-01 00:00:00+05:30,40.9,42.6,40.35,42.3,579180
2022-02-02 00:00:00+05:30,43.2,44.0,41.0,41.2,2054150
2022-02-03 00:00:00+05:30,41.4,42.0,41.3,41.65,1434355
2022-02-04 00:00:00+05:30,42.05,42.35,42.0,42.15,691120
2022-02-07 00:00:00+05:30,42.0,42.9,42.0,42.6,422215
2022-02-08 00:00:00+05:30,42.8,43.5,42.8,43.15,707695
2022-02-09 00:00:00+05:30,43.4,44.0,43.35,43.65,498425
2022-02-10 00:00:00+05:30,44.05,44.6,44.0,44.0,334460
2022-02-11 00:00:00+05:30,43.4,44.7,43.15,44.4,431540
2022-02-14 00:00:00+05:30,43.95,44.4,40.95,41.85,917910
2022-02-15 00:00:00+05:30,42.4,44.0,41.05,43.65,204405
2022-02-16 00:00:00+05:30,44.4,44.4,42.4,42.7,117705
2022-02-17 00:00:00+05:30,42.35,45.45,42.35,45.2,1268950
2022-02-18 00:00:00+05:30,45.25,48.2,45.2,47.75,1450785
2022-02-21 00:00:00+05:30,48.35,49.2,45.45,46.0,1907505
2022-02-22 00:00:00+05:30,44.0,46.0,43.0,44.6,1036515
2022-02-23 00:00:00+05:30,45.2,46.4,42.25,43.2,1461720
2022-02-24 00:00:00+05:30,41.25,42.0,38.0,39.1,1170255
2022-02-25 00:00:00+05:30,40.0,42.9,40.0,41.8,625740
2022-02-28 00:00:00+05:30,42.0,43.75,41.3,42.65,588965
2022-03-02 00:00:00+05:30,42.95,43.1,41.8,42.65,251645
2022-03-03 00:00:00+05:30,43.0,44.8,42.6,44.1,392385
2022-03-04 00:00:00+05:30,43.6,44.8,42.65,44.1,261810
2022-03-07 00:00:00+05:30,42.25,43.95,41.05,42.6,264425
2022-03-08 00:00:00+05:30,44.8,45.15,43.05,43.8,371675
2022-03-09 00:00:00+05:30,44.5,45.1,43.6,43.9,116550
2022-03-10 00:00:00+05:30,45.15,45.15,43.2,43.85,99210
2022-03-11 00:00:00+05:30,44.4,45.1,43.4,43.9,210015
2022-03-14 00:00:00+05:30,44.25,44.65,42.45,42.8,88065
2022-03-15 00:00:00+05:30,42.85,43.4,41.8,42.1,87845
2022-03-16 00:00:00+05:30,44.2,44.2,42.4,42.55,65140
2022-03-17 00:00:00+05:30,43.2,43.8,42.2,42.35,122065
2022-03-21 00:00:00+05:30,43.15,43.15,41.2,41.5,72700
2022-03-22 00:00:00+05:30,42.6,42.6,40.85,41.25,113975
2022-03-23 00:00:00+05:30,42.4,42.4,41.1,41.3,57275
2022-03-24 00:00:00+05:30,41.15,41.8,40.8,41.2,39635
2022-03-25 00:00:00+05:30,42.0,42.9,40.45,41.05,113925
2022-03-28 00:00:00+05:30,41.05,41.55,39.5,39.7,173955
2022-03-29 00:00:00+05:30,40.6,40.6,39.25,39.65,74050
2022-03-30 00:00:00+05:30,39.6,40.9,39.05,39.6,43990
2022-03-31 00:00:00+05:30,41.0,41.0,39.8,40.1,24515
2022-04-01 00:00:00+05:30,40.6,43.8,39.65,43.6,507285
2022-04-04 00:00:00+05:30,44.0,48.25,43.2,45.25,736065
2022-04-05 00:00:00+05:30,45.5,46.15,44.2,44.7,472355
2022-04-06 00:00:00+05:30,44.6,44.6,43.6,43.8,132585
2022-04-07 00:00:00+05:30,43.8,44.65,42.3,42.85,97515
2022-04-08 00:00:00+05:30,43.1,43.1,42.1,42.85,87355
2022-04-11 00:00:00+05:30,42.85,43.0,42.05,42.2,44295
2022-04-12 00:00:00+05:30,42.0,44.5,41.7,42.25,84495
2022-04-13 00:00:00+05:30,42.75,42.95,41.85,42.1,52065
