date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,12.35,12.65,12.15,12.55,131560
2019-01-02 00:00:00+05:30,12.7,12.7,12.4,12.5,128640
2019-01-03 00:00:00+05:30,12.6,12.75,12.2,12.25,206140
2019-01-04 00:00:00+05:30,12.35,12.6,12.2,12.35,75680
2019-01-07 00:00:00+05:30,12.7,12.7,12.2,12.25,116210
2019-01-08 00:00:00+05:30,12.05,12.5,12.05,12.25,78230
2019-01-09 00:00:00+05:30,12.5,12.5,12.05,12.1,183980
2019-01-10 00:00:00+05:30,12.15,12.4,12.0,12.1,111650
2019-01-11 00:00:00+05:30,12.3,12.3,11.9,12.2,92610
2019-01-14 00:00:00+05:30,12.25,12.35,11.9,12.0,91400
2019-01-15 00:00:00+05:30,12.35,12.35,12.0,12.05,83950
2019-01-16 00:00:00+05:30,12.3,12.55,12.1,12.4,431080
2019-01-17 00:00:00+05:30,12.45,12.6,12.25,12.4,117990
2019-01-18 00:00:00+05:30,12.45,12.8,12.15,12.35,263320
2019-01-21 00:00:00+05:30,12.4,12.5,12.2,12.25,61690
2019-01-22 00:00:00+05:30,12.5,12.5,12.1,12.2,109830
2019-01-23 00:00:00+05:30,12.5,12.5,12.15,12.25,75440
2019-01-24 00:00:00+05:30,12.6,12.7,12.1,12.3,430760
2019-01-25 00:00:00+05:30,12.4,12.45,11.85,11.95,158190
2019-01-28 00:00:00+05:30,12.35,12.35,11.45,11.5,114880
2019-01-29 00:00:00+05:30,11.95,11.95,11.4,11.6,67640
2019-01-30 00:00:00+05:30,11.7,11.8,11.5,11.65,128230
2019-01-31 00:00:00+05:30,11.8,11.95,11.5,11.65,72910
2019-02-01 00:00:00+05:30,11.45,11.85,10.8,10.9,334870
2019-02-04 00:00:00+05:30,11.2,11.2,10.5,10.55,103900
2019-02-05 00:00:00+05:30,11.1,11.1,10.4,10.5,99860
2019-02-06 00:00:00+05:30,11.0,11.0,9.85,9.95,332050
2019-02-07 00:00:00+05:30,10.1,10.1,9.9,9.95,165680
2019-02-08 00:00:00+05:30,10.05,10.45,9.65,10.15,296660
2019-02-11 00:00:00+05:30,10.2,10.5,9.8,9.95,155430
2019-02-12 00:00:00+05:30,10.1,10.1,9.8,9.95,176820
2019-02-13 00:00:00+05:30,9.9,10.05,9.8,9.85,73140
2019-02-14 00:00:00+05:30,9.95,10.0,9.6,9.8,107130
2019-02-15 00:00:00+05:30,9.8,9.8,9.6,9.65,80460
2019-02-18 00:00:00+05:30,9.9,9.9,9.55,9.8,108020
2019-02-19 00:00:00+05:30,9.9,9.9,9.6,9.8,144430
2019-02-20 00:00:00+05:30,9.8,10.1,9.75,9.8,208400
2019-02-21 00:00:00+05:30,9.95,9.95,9.5,9.85,203950
2019-02-22 00:00:00+05:30,9.9,10.45,9.85,10.25,251260
2019-02-25 00:00:00+05:30,10.05,10.6,10.05,10.15,116890
2019-02-26 00:00:00+05:30,10.1,10.3,9.95,10.1,170690
2019-02-27 00:00:00+05:30,10.1,10.25,9.8,9.85,141190
2019-02-28 00:00:00+05:30,9.85,10.25,9.85,10.15,129630
2019-03-01 00:00:00+05:30,10.3,10.3,10.0,10.15,136290
2019-03-05 00:00:00+05:30,10.15,10.65,10.15,10.5,284460
2019-03-06 00:00:00+05:30,10.65,11.55,10.65,11.1,470240
2019-03-07 00:00:00+05:30,11.2,11.2,10.65,10.85,135280
2019-03-08 00:00:00+05:30,10.9,11.0,10.7,10.8,155650
2019-03-11 00:00:00+05:30,11.05,11.05,10.75,10.8,240940
2019-03-12 00:00:00+05:30,11.0,11.35,10.85,11.1,380460
2019-03-13 00:00:00+05:30,11.3,11.6,11.2,11.3,286000
2019-03-14 00:00:00+05:30,11.3,11.45,10.85,11.0,128960
2019-03-15 00:00:00+05:30,11.2,11.2,10.9,11.05,236700
2019-03-18 00:00:00+05:30,10.85,11.1,10.6,10.65,122940
2019-03-19 00:00:00+05:30,10.8,11.0,10.55,10.9,117260
2019-03-20 00:00:00+05:30,11.2,11.2,10.7,10.95,99810
2019-03-22 00:00:00+05:30,11.1,11.1,10.6,10.65,175560
2019-03-25 00:00:00+05:30,10.6,10.6,10.05,10.2,483400
2019-03-26 00:00:00+05:30,10.35,10.45,10.1,10.35,232780
2019-03-27 00:00:00+05:30,10.45,10.45,10.05,10.1,232390
2019-03-28 00:00:00+05:30,10.2,10.35,10.1,10.15,164860
2019-03-29 00:00:00+05:30,10.15,10.8,10.15,10.5,199960
2019-04-01 00:00:00+05:30,10.5,12.55,10.5,12.55,1561500
2019-04-02 00:00:00+05:30,13.3,14.8,13.05,14.4,9679490
2019-04-03 00:00:00+05:30,14.4,14.7,13.75,13.95,2762730
2019-04-04 00:00:00+05:30,14.1,14.4,13.6,13.9,866970
2019-04-05 00:00:00+05:30,13.9,14.3,13.6,13.8,425150
2019-04-08 00:00:00+05:30,13.95,13.95,13.15,13.25,367770
2019-04-09 00:00:00+05:30,13.2,13.25,12.75,12.9,375010
2019-04-10 00:00:00+05:30,12.6,14.9,12.6,14.15,4007030
2019-04-11 00:00:00+05:30,14.25,14.65,14.0,14.2,1024470
2019-04-12 00:00:00+05:30,14.35,14.35,13.9,14.0,375380
2019-04-15 00:00:00+05:30,14.1,14.75,13.8,14.3,650700
2019-04-16 00:00:00+05:30,14.35,14.9,14.0,14.1,967340
2019-04-18 00:00:00+05:30,14.2,14.4,13.6,13.8,369310
2019-04-22 00:00:00+05:30,13.8,13.8,12.75,12.85,380900
2019-04-23 00:00:00+05:30,12.95,13.3,12.8,12.95,177660
2019-04-24 00:00:00+05:30,13.15,13.15,12.75,12.95,104940
2019-04-25 00:00:00+05:30,13.15,13.15,12.8,12.95,124340
2019-04-26 00:00:00+05:30,13.15,13.45,12.7,12.8,150520
2019-04-30 00:00:00+05:30,12.95,12.95,11.85,12.05,233290
2019-05-02 00:00:00+05:30,12.2,12.2,11.6,11.75,119420
2019-05-03 00:00:00+05:30,11.9,14.1,11.7,14.1,3225540
2019-05-06 00:00:00+05:30,14.3,15.2,13.55,13.65,4519970
2019-05-07 00:00:00+05:30,13.85,14.45,13.55,14.1,1703040
2019-05-08 00:00:00+05:30,13.85,14.1,13.1,13.25,523150
2019-05-09 00:00:00+05:30,13.45,14.15,12.85,13.6,576170
2019-05-10 00:00:00+05:30,13.7,14.0,13.1,13.2,501420
2019-05-13 00:00:00+05:30,13.1,13.45,12.8,12.95,284840
2019-05-14 00:00:00+05:30,13.0,13.05,12.5,12.95,179080
2019-05-15 00:00:00+05:30,12.9,13.4,12.75,12.95,258550
2019-05-16 00:00:00+05:30,13.1,13.3,12.65,12.8,223570
2019-05-17 00:00:00+05:30,12.85,12.95,12.0,12.2,535910
2019-05-20 00:00:00+05:30,12.8,13.6,12.8,13.15,644580
2019-05-21 00:00:00+05:30,13.3,13.4,12.65,12.9,263750
2019-05-22 00:00:00+05:30,13.0,13.05,12.7,12.85,137330
