date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,32.25,32.25,29.6,30.5,117772
2019-01-02 00:00:00+05:30,30.5,30.5,29.55,29.75,97848
2019-01-03 00:00:00+05:30,29.45,29.75,28.75,28.85,54275
2019-01-04 00:00:00+05:30,28.9,29.2,28.65,29.0,61331
2019-01-07 00:00:00+05:30,29.0,30.55,28.8,29.8,85547
2019-01-08 00:00:00+05:30,29.7,30.0,29.4,29.55,23603
2019-01-09 00:00:00+05:30,29.7,29.85,28.95,29.1,26402
2019-01-10 00:00:00+05:30,29.1,29.3,28.75,28.85,41722
2019-01-11 00:00:00+05:30,28.95,29.25,28.5,28.7,46173
2019-01-14 00:00:00+05:30,28.75,28.8,28.35,28.35,33043
2019-01-15 00:00:00+05:30,29.0,29.0,28.3,28.4,42925
2019-01-16 00:00:00+05:30,28.4,29.8,28.15,29.05,108009
2019-01-17 00:00:00+05:30,29.3,29.45,28.6,28.65,35016
2019-01-18 00:00:00+05:30,28.7,28.7,28.1,28.35,33471
2019-01-21 00:00:00+05:30,28.15,28.5,25.95,26.75,82310
2019-01-22 00:00:00+05:30,26.7,27.0,25.95,26.8,60991
2019-01-23 00:00:00+05:30,26.9,30.75,26.9,29.65,487588
2019-01-24 00:00:00+05:30,30.1,31.0,29.6,29.8,157303
2019-01-25 00:00:00+05:30,30.1,30.1,28.5,28.6,89102
2019-01-28 00:00:00+05:30,28.7,28.75,26.5,27.1,124218
2019-01-29 00:00:00+05:30,26.9,27.25,26.3,26.85,56874
2019-01-30 00:00:00+05:30,27.1,28.25,26.95,27.7,40695
2019-01-31 00:00:00+05:30,27.5,28.05,27.0,27.5,33258
2019-02-01 00:00:00+05:30,27.25,28.0,27.0,27.25,47219
2019-02-04 00:00:00+05:30,27.15,28.0,27.1,27.7,52093
2019-02-05 00:00:00+05:30,27.9,29.25,27.0,27.5,72188
2019-02-06 00:00:00+05:30,27.5,28.0,26.75,27.35,78101
2019-02-07 00:00:00+05:30,27.2,27.9,26.95,27.55,45194
2019-02-08 00:00:00+05:30,27.65,27.7,26.9,27.0,55115
2019-02-11 00:00:00+05:30,27.2,27.8,26.8,26.95,51643
2019-02-12 00:00:00+05:30,27.0,27.3,26.3,26.75,55329
2019-02-13 00:00:00+05:30,27.5,27.5,24.8,25.2,88751
2019-02-14 00:00:00+05:30,25.7,25.85,23.25,23.75,267181
2019-02-15 00:00:00+05:30,24.25,24.25,22.15,22.25,140531
2019-02-18 00:00:00+05:30,22.1,22.25,20.7,20.75,98208
2019-02-19 00:00:00+05:30,20.4,22.25,20.4,21.55,65371
2019-02-20 00:00:00+05:30,22.0,22.3,20.7,20.85,79937
2019-02-21 00:00:00+05:30,21.25,22.0,21.05,21.6,45805
2019-02-22 00:00:00+05:30,21.7,22.75,21.7,22.35,59676
2019-02-25 00:00:00+05:30,22.45,23.9,22.4,23.05,63983
2019-02-26 00:00:00+05:30,22.95,22.95,21.8,22.3,36170
2019-02-27 00:00:00+05:30,22.7,22.95,21.9,22.2,39660
2019-02-28 00:00:00+05:30,22.95,22.95,22.05,22.15,21673
2019-03-01 00:00:00+05:30,22.15,23.2,21.0,22.75,22785
2019-03-05 00:00:00+05:30,23.0,24.0,22.8,23.7,74542
2019-03-06 00:00:00+05:30,24.5,26.7,23.85,25.0,193797
2019-03-07 00:00:00+05:30,25.3,25.3,24.3,24.55,47921
2019-03-08 00:00:00+05:30,24.3,24.85,24.25,24.35,21216
2019-03-11 00:00:00+05:30,24.25,24.9,24.2,24.7,24230
2019-03-12 00:00:00+05:30,24.85,25.5,24.85,24.95,32524
2019-03-13 00:00:00+05:30,24.95,24.95,23.3,24.5,25314
2019-03-14 00:00:00+05:30,24.2,24.45,24.1,24.2,36258
2019-03-15 00:00:00+05:30,24.05,25.2,23.8,23.9,49299
2019-03-18 00:00:00+05:30,24.25,24.25,23.65,23.75,36238
2019-03-19 00:00:00+05:30,23.75,24.05,23.65,23.8,16814
2019-03-20 00:00:00+05:30,23.75,24.3,23.4,23.55,39688
2019-03-22 00:00:00+05:30,23.55,25.4,23.3,24.85,109198
2019-03-25 00:00:00+05:30,24.7,24.7,23.8,23.9,28728
2019-03-26 00:00:00+05:30,23.8,24.8,23.8,24.65,65934
2019-03-27 00:00:00+05:30,24.5,24.8,22.6,23.8,47323
2019-03-28 00:00:00+05:30,23.9,25.0,23.8,24.9,83604
2019-03-29 00:00:00+05:30,24.9,26.1,24.8,25.9,89975
2019-04-01 00:00:00+05:30,26.25,26.25,25.2,25.25,33228
2019-04-02 00:00:00+05:30,25.6,25.6,24.85,25.1,25637
2019-04-03 00:00:00+05:30,25.4,25.4,24.5,24.55,19632
2019-04-04 00:00:00+05:30,24.35,24.7,23.95,24.05,29738
2019-04-05 00:00:00+05:30,23.95,24.55,23.7,24.25,17814
2019-04-08 00:00:00+05:30,24.15,25.0,24.0,24.6,28668
2019-04-09 00:00:00+05:30,24.7,24.7,24.1,24.25,10821
2019-04-10 00:00:00+05:30,24.25,24.5,24.05,24.2,22167
2019-04-11 00:00:00+05:30,24.2,24.4,24.0,24.1,7562
2019-04-12 00:00:00+05:30,24.05,24.65,23.8,24.0,33639
2019-04-15 00:00:00+05:30,24.3,24.3,23.4,23.85,40385
2019-04-16 00:00:00+05:30,24.0,24.0,23.8,23.8,16821
