date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,82.55,84.05,82.55,83.45,25942
2019-01-02 00:00:00+05:30,83.0,83.5,82.1,82.5,17615
2019-01-03 00:00:00+05:30,82.8,85.7,82.0,83.45,52645
2019-01-04 00:00:00+05:30,83.4,83.8,82.2,82.7,14339
2019-01-07 00:00:00+05:30,83.7,84.2,81.2,81.8,39860
2019-01-08 00:00:00+05:30,81.3,83.4,81.0,83.0,32864
2019-01-09 00:00:00+05:30,82.7,83.1,81.45,81.65,13917
2019-01-10 00:00:00+05:30,81.65,82.75,81.1,81.6,18249
2019-01-11 00:00:00+05:30,81.85,82.5,80.9,81.3,19378
2019-01-14 00:00:00+05:30,81.25,82.5,80.7,81.35,14589
2019-01-15 00:00:00+05:30,82.85,84.9,81.5,82.55,57352
2019-01-16 00:00:00+05:30,82.55,86.8,82.1,83.1,127945
2019-01-17 00:00:00+05:30,83.85,83.85,81.25,81.65,22028
2019-01-18 00:00:00+05:30,81.3,82.4,81.05,81.45,13418
2019-01-21 00:00:00+05:30,77.55,79.9,69.05,72.3,369592
2019-01-22 00:00:00+05:30,72.3,74.8,70.5,74.05,68938
2019-01-23 00:00:00+05:30,74.3,74.3,70.5,71.7,48050
2019-01-24 00:00:00+05:30,73.8,73.8,68.5,69.0,47248
2019-01-25 00:00:00+05:30,69.9,69.9,65.5,66.15,39245
2019-01-28 00:00:00+05:30,63.55,67.0,60.65,62.0,72828
2019-01-29 00:00:00+05:30,63.5,63.5,60.3,60.75,40960
2019-01-30 00:00:00+05:30,62.0,62.0,58.0,59.75,44530
2019-01-31 00:00:00+05:30,62.0,64.7,60.25,62.25,81983
2019-02-01 00:00:00+05:30,63.95,64.0,61.65,62.3,24466
2019-02-04 00:00:00+05:30,61.0,62.4,59.0,59.7,63176
2019-02-05 00:00:00+05:30,59.7,59.7,50.8,53.45,131118
2019-02-06 00:00:00+05:30,54.5,55.3,51.0,54.1,37837
2019-02-07 00:00:00+05:30,54.1,56.85,53.45,55.2,42779
2019-02-08 00:00:00+05:30,54.2,56.0,54.1,55.05,22228
2019-02-11 00:00:00+05:30,55.05,57.7,52.5,57.2,39773
2019-02-12 00:00:00+05:30,57.2,58.0,54.75,55.6,27044
2019-02-13 00:00:00+05:30,55.4,59.5,54.35,56.55,43365
2019-02-14 00:00:00+05:30,57.65,59.55,55.9,58.2,31433
2019-02-15 00:00:00+05:30,58.2,58.2,51.2,56.25,49776
2019-02-18 00:00:00+05:30,55.05,58.55,55.0,56.5,27812
2019-02-19 00:00:00+05:30,57.1,58.2,56.85,57.3,13724
2019-02-20 00:00:00+05:30,58.3,60.95,57.1,58.5,38021
2019-02-21 00:00:00+05:30,60.0,64.8,57.2,63.35,59765
2019-02-22 00:00:00+05:30,64.5,65.0,62.3,64.05,13281
2019-02-25 00:00:00+05:30,65.7,65.7,63.0,64.75,17386
2019-02-26 00:00:00+05:30,64.0,65.0,62.7,63.3,14985
2019-02-27 00:00:00+05:30,63.0,65.0,59.5,60.9,33314
2019-02-28 00:00:00+05:30,61.0,63.1,60.2,60.8,20156
2019-03-01 00:00:00+05:30,61.95,62.8,60.7,62.45,21884
2019-03-05 00:00:00+05:30,62.95,69.0,61.55,67.25,95856
2019-03-06 00:00:00+05:30,68.0,70.3,65.6,67.7,52967
2019-03-07 00:00:00+05:30,69.0,75.0,66.3,73.8,182969
2019-03-08 00:00:00+05:30,73.9,76.25,71.1,75.1,85180
2019-03-11 00:00:00+05:30,75.95,77.0,72.0,72.25,56824
2019-03-12 00:00:00+05:30,73.9,73.9,70.1,71.05,37946
2019-03-13 00:00:00+05:30,71.8,72.15,69.6,70.7,43112
2019-03-14 00:00:00+05:30,71.0,71.5,69.15,69.9,29974
2019-03-15 00:00:00+05:30,70.55,71.5,65.5,66.55,89938
2019-03-18 00:00:00+05:30,67.5,67.8,65.85,66.75,18853
2019-03-19 00:00:00+05:30,67.1,68.9,64.75,65.65,26710
2019-03-20 00:00:00+05:30,66.4,66.85,58.0,61.7,116140
2019-03-22 00:00:00+05:30,61.65,62.8,59.5,59.9,31033
2019-03-25 00:00:00+05:30,59.0,62.0,58.2,60.9,37111
2019-03-26 00:00:00+05:30,62.3,62.95,60.0,60.3,35505
2019-03-27 00:00:00+05:30,61.9,64.1,60.25,62.9,57664
2019-03-28 00:00:00+05:30,62.0,64.6,60.35,62.25,55033
2019-03-29 00:00:00+05:30,63.8,63.8,60.8,61.65,29261
2019-04-01 00:00:00+05:30,62.75,64.0,61.0,63.2,34182
2019-04-02 00:00:00+05:30,63.65,63.8,62.1,62.85,32670
2019-04-03 00:00:00+05:30,63.25,63.55,61.1,61.5,25162
2019-04-04 00:00:00+05:30,61.1,63.4,60.6,61.9,289920
2019-04-05 00:00:00+05:30,62.7,62.75,61.3,62.1,261320
2019-04-08 00:00:00+05:30,62.6,62.75,61.8,62.2,20845
2019-04-09 00:00:00+05:30,61.6,62.5,61.0,61.6,20111
2019-04-10 00:00:00+05:30,62.4,62.4,59.0,60.1,33910
2019-04-11 00:00:00+05:30,61.0,61.0,59.35,59.8,22051
2019-04-12 00:00:00+05:30,60.15,60.55,59.0,59.5,16413
