date,open,high,low,close,volume
2021-09-23 00:00:00+05:30,75.0,81.0,72.0,74.45,31935
2021-09-24 00:00:00+05:30,72.95,77.89,72.5,72.56,17827
2021-09-27 00:00:00+05:30,74.73,74.73,71.06,72.3,3465
2021-09-28 00:00:00+05:30,73.1,73.1,71.0,71.29,3874
2021-09-29 00:00:00+05:30,72.95,72.95,69.45,70.43,5985
2021-09-30 00:00:00+05:30,70.43,71.96,69.2,70.86,3422
2021-10-01 00:00:00+05:30,71.45,74.2,69.0,72.59,9500
2021-10-04 00:00:00+05:30,76.0,76.0,71.0,72.78,2144
2021-10-05 00:00:00+05:30,71.06,73.2,71.06,71.3,7220
2021-10-06 00:00:00+05:30,72.86,72.86,71.3,71.59,1318
2021-10-07 00:00:00+05:30,73.73,73.73,70.53,72.22,1872
2021-10-08 00:00:00+05:30,71.95,72.22,70.95,71.34,3059
2021-10-11 00:00:00+05:30,74.0,74.0,71.42,71.45,2163
2021-10-12 00:00:00+05:30,73.85,73.85,71.06,71.89,2401
2021-10-13 00:00:00+05:30,71.89,73.4,71.89,72.1,890
2021-10-14 00:00:00+05:30,72.1,73.8,72.0,72.49,10065
2021-10-18 00:00:00+05:30,71.5,73.5,71.5,72.32,3377
2021-10-19 00:00:00+05:30,73.29,73.29,71.1,71.35,2417
2021-10-20 00:00:00+05:30,71.3,73.22,70.61,72.0,6602
2021-10-21 00:00:00+05:30,72.0,73.0,71.0,72.9,2111
2021-10-22 00:00:00+05:30,72.5,72.9,71.21,71.24,2818
2021-10-25 00:00:00+05:30,73.0,73.0,68.05,68.15,17767
2021-10-26 00:00:00+05:30,68.1,71.96,68.0,71.05,5919
2021-10-27 00:00:00+05:30,71.45,71.5,70.0,70.46,434
2021-10-28 00:00:00+05:30,71.45,72.5,68.55,70.97,2410
2021-10-29 00:00:00+05:30,72.95,72.95,60.0,70.79,2825
2021-11-01 00:00:00+05:30,71.45,72.7,70.0,71.3,789
2021-11-02 00:00:00+05:30,72.5,72.5,70.33,70.61,1200
2021-11-03 00:00:00+05:30,71.2,72.4,70.57,72.31,871
2021-11-04 00:00:00+05:30,72.5,72.5,71.61,72.27,1238
2021-11-08 00:00:00+05:30,73.1,73.1,70.05,70.54,3041
2021-11-09 00:00:00+05:30,70.5,72.11,69.45,71.06,3060
2021-11-10 00:00:00+05:30,71.99,72.89,69.95,70.29,3930
2021-11-11 00:00:00+05:30,71.99,71.99,70.09,70.16,638
2021-11-12 00:00:00+05:30,70.16,72.8,70.12,71.0,2273
2021-11-15 00:00:00+05:30,72.5,72.5,70.0,70.1,1858
2021-11-16 00:00:00+05:30,70.1,71.77,70.0,70.8,591
2021-11-17 00:00:00+05:30,71.9,71.9,70.01,70.12,2658
2021-11-18 00:00:00+05:30,70.1,70.1,67.25,67.8,53119
2021-11-22 00:00:00+05:30,68.5,72.0,68.0,71.35,41149
2021-11-23 00:00:00+05:30,71.35,71.35,69.01,70.09,214
2021-11-24 00:00:00+05:30,69.6,72.55,69.6,72.02,37640
2021-11-25 00:00:00+05:30,69.86,72.02,69.86,70.54,1183
2021-11-26 00:00:00+05:30,72.0,72.0,69.16,70.1,653
2021-11-29 00:00:00+05:30,70.1,72.0,67.25,69.9,682
2021-11-30 00:00:00+05:30,71.97,72.0,69.61,70.22,963
2021-12-01 00:00:00+05:30,70.6,71.97,70.15,70.81,957
2021-12-02 00:00:00+05:30,71.2,72.0,70.45,70.45,2125
2021-12-03 00:00:00+05:30,72.0,74.0,69.35,70.34,2747
2021-12-06 00:00:00+05:30,70.9,71.47,67.73,68.33,1026
2021-12-07 00:00:00+05:30,68.35,70.99,68.35,70.79,1214
2021-12-08 00:00:00+05:30,70.9,71.8,69.1,69.59,2774
2021-12-09 00:00:00+05:30,68.09,70.9,68.09,70.0,5795
2021-12-10 00:00:00+05:30,71.99,72.4,69.96,70.0,2432
2021-12-13 00:00:00+05:30,70.9,72.9,70.02,71.84,1322
2021-12-14 00:00:00+05:30,70.0,71.9,69.05,71.48,2364
2021-12-15 00:00:00+05:30,71.99,71.99,70.01,70.12,1086
2021-12-16 00:00:00+05:30,71.2,71.89,68.9,70.95,505
2021-12-17 00:00:00+05:30,69.02,71.9,69.0,70.63,2048
2021-12-20 00:00:00+05:30,71.2,71.7,68.0,68.99,5276
2021-12-21 00:00:00+05:30,68.99,71.9,68.95,71.27,774
2021-12-22 00:00:00+05:30,68.0,70.4,68.0,69.31,3994
2021-12-23 00:00:00+05:30,69.74,70.0,68.81,69.5,538
2021-12-24 00:00:00+05:30,68.82,71.2,68.0,68.51,993
2021-12-27 00:00:00+05:30,69.1,69.9,67.62,69.41,1070
2021-12-28 00:00:00+05:30,69.7,69.79,68.7,68.72,448
2021-12-29 00:00:00+05:30,68.65,70.0,68.65,69.0,718
2021-12-30 00:00:00+05:30,69.7,69.94,68.21,68.89,975
2021-12-31 00:00:00+05:30,69.4,69.63,68.22,68.99,1383
2022-01-03 00:00:00+05:30,69.0,71.9,67.95,70.22,3064
2022-01-04 00:00:00+05:30,70.0,71.15,68.72,69.36,1453
2022-01-05 00:00:00+05:30,70.99,71.2,68.87,71.14,3501
2022-01-06 00:00:00+05:30,70.0,71.19,69.54,71.12,367
2022-01-07 00:00:00+05:30,71.84,71.84,69.75,70.23,248
2022-01-10 00:00:00+05:30,68.85,72.39,68.85,71.92,7427
2022-01-11 00:00:00+05:30,70.49,72.5,70.49,72.23,12654
2022-01-12 00:00:00+05:30,72.23,72.23,70.39,71.3,8217
2022-01-13 00:00:00+05:30,72.99,72.99,71.3,72.39,4989
2022-01-14 00:00:00+05:30,71.0,72.99,71.0,72.0,2045
2022-01-17 00:00:00+05:30,72.99,72.99,70.8,72.28,3310
2022-01-18 00:00:00+05:30,72.28,72.8,71.02,71.69,1829
2022-01-19 00:00:00+05:30,71.6,71.6,70.82,71.07,7824
2022-01-20 00:00:00+05:30,70.82,71.05,70.15,70.15,3029
2022-01-21 00:00:00+05:30,70.72,70.72,69.6,69.95,1885
2022-01-24 00:00:00+05:30,70.3,71.5,67.2,68.02,5415
2022-01-25 00:00:00+05:30,68.02,69.67,67.01,69.52,732
2022-01-27 00:00:00+05:30,70.0,70.3,67.6,68.61,3601
2022-01-28 00:00:00+05:30,69.1,69.78,68.45,68.45,211
2022-01-31 00:00:00+05:30,69.1,70.0,69.1,69.23,1701
2022-02-01 00:00:00+05:30,69.9,70.97,68.15,69.98,286
2022-02-02 00:00:00+05:30,70.3,71.2,70.21,70.93,1885
2022-02-03 00:00:00+05:30,70.43,70.83,70.28,70.43,129
2022-02-04 00:00:00+05:30,70.4,70.61,69.75,69.83,814
2022-02-07 00:00:00+05:30,68.9,70.48,68.43,68.71,3051
2022-02-08 00:00:00+05:30,69.1,69.5,68.7,69.49,1429
2022-02-09 00:00:00+05:30,69.0,70.0,69.0,69.94,574
2022-02-10 00:00:00+05:30,70.0,70.0,69.6,69.9,5792
2022-02-11 00:00:00+05:30,69.6,69.6,68.82,68.88,1570
2022-02-14 00:00:00+05:30,68.88,71.98,67.4,67.6,3830
2022-02-15 00:00:00+05:30,67.9,69.7,67.62,69.35,265
2022-02-16 00:00:00+05:30,69.5,70.0,68.93,69.7,982
2022-02-17 00:00:00+05:30,68.1,69.99,68.1,69.67,228
2022-02-18 00:00:00+05:30,69.67,69.85,69.0,69.83,1091
2022-02-21 00:00:00+05:30,69.95,71.2,68.4,68.59,2754
2022-02-22 00:00:00+05:30,68.4,68.8,67.6,68.64,645
2022-02-23 00:00:00+05:30,69.1,70.0,68.89,68.9,63
2022-02-24 00:00:00+05:30,70.96,70.96,64.8,68.36,3194
2022-02-25 00:00:00+05:30,69.0,69.0,67.0,67.66,2924
2022-02-28 00:00:00+05:30,69.0,69.0,66.0,67.55,11614
2022-03-02 00:00:00+05:30,68.2,68.2,66.56,66.87,8623
2022-03-03 00:00:00+05:30,68.87,68.87,65.6,66.07,5944
2022-03-04 00:00:00+05:30,66.4,67.0,63.6,64.49,6915
2022-03-07 00:00:00+05:30,66.42,66.42,62.56,64.65,9154
2022-03-08 00:00:00+05:30,69.8,69.8,62.0,63.49,15549
2022-03-09 00:00:00+05:30,66.42,66.42,63.76,64.92,282
2022-03-10 00:00:00+05:30,63.62,67.6,63.62,66.07,778
2022-03-11 00:00:00+05:30,66.07,66.68,64.52,66.64,17954
