date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,34.9,35.55,34.55,35.0,7342
2019-01-02 00:00:00+05:30,36.35,36.4,34.55,34.95,5592
2019-01-03 00:00:00+05:30,35.15,35.35,34.55,34.65,2901
2019-01-04 00:00:00+05:30,34.7,35.15,33.9,34.2,11433
2019-01-07 00:00:00+05:30,35.65,35.65,34.0,34.1,5963
2019-01-08 00:00:00+05:30,35.5,36.25,34.7,35.55,125481
2019-01-09 00:00:00+05:30,35.7,35.8,34.3,35.1,12375
2019-01-10 00:00:00+05:30,34.5,34.9,33.95,34.35,13431
2019-01-11 00:00:00+05:30,34.05,34.9,34.05,34.25,3992
2019-01-14 00:00:00+05:30,33.95,34.55,33.6,33.9,7897
2019-01-15 00:00:00+05:30,34.9,34.95,33.7,33.8,6513
2019-01-16 00:00:00+05:30,34.85,34.9,33.7,34.05,7771
2019-01-17 00:00:00+05:30,34.25,34.8,33.55,34.0,15560
2019-01-18 00:00:00+05:30,33.9,34.2,33.25,33.4,7079
2019-01-21 00:00:00+05:30,33.9,34.55,32.55,32.7,10683
2019-01-22 00:00:00+05:30,32.55,32.6,30.6,31.75,13968
2019-01-23 00:00:00+05:30,32.65,32.65,29.8,30.8,9083
2019-01-24 00:00:00+05:30,30.65,31.1,29.75,30.15,10582
2019-01-25 00:00:00+05:30,30.75,30.75,29.4,29.75,3610
2019-01-28 00:00:00+05:30,29.75,29.8,26.85,27.7,8863
2019-01-29 00:00:00+05:30,27.3,28.5,26.95,27.65,10262
2019-01-30 00:00:00+05:30,27.4,28.45,27.15,27.55,5985
2019-01-31 00:00:00+05:30,27.25,28.3,27.15,27.5,10897
2019-02-01 00:00:00+05:30,28.3,28.3,27.2,27.6,3319
2019-02-04 00:00:00+05:30,28.2,28.2,27.15,27.55,5388
2019-02-05 00:00:00+05:30,27.35,27.65,25.6,25.8,8693
2019-02-06 00:00:00+05:30,25.6,26.7,25.35,25.55,5972
2019-02-07 00:00:00+05:30,25.6,26.25,25.25,25.65,9362
2019-02-08 00:00:00+05:30,25.55,25.7,24.3,25.5,19536
2019-02-11 00:00:00+05:30,26.25,26.25,24.35,25.9,10227
2019-02-12 00:00:00+05:30,26.95,26.95,25.25,25.7,9446
2019-02-13 00:00:00+05:30,26.25,26.25,24.2,24.6,14239
2019-02-14 00:00:00+05:30,24.55,24.6,23.6,24.25,12714
2019-02-15 00:00:00+05:30,24.55,24.8,23.9,24.65,10754
2019-02-18 00:00:00+05:30,24.35,25.9,23.95,24.35,10430
2019-02-19 00:00:00+05:30,24.8,25.4,23.5,23.8,5677
2019-02-20 00:00:00+05:30,25.45,25.45,22.8,23.25,10940
2019-02-21 00:00:00+05:30,23.6,24.05,23.15,23.5,5774
2019-02-22 00:00:00+05:30,23.9,24.9,23.85,24.3,6122
2019-02-25 00:00:00+05:30,25.95,25.95,24.1,25.75,8022
2019-02-26 00:00:00+05:30,25.7,26.65,23.85,24.7,34408
2019-02-27 00:00:00+05:30,25.2,26.25,24.55,24.8,6744
2019-02-28 00:00:00+05:30,24.4,25.95,24.35,25.15,7724
2019-03-01 00:00:00+05:30,26.7,26.75,25.25,26.25,30525
2019-03-05 00:00:00+05:30,26.6,27.7,25.4,27.25,40759
2019-03-06 00:00:00+05:30,27.65,28.35,26.95,27.7,13461
2019-03-07 00:00:00+05:30,27.45,28.4,27.05,28.1,3849
2019-03-08 00:00:00+05:30,27.7,28.05,26.9,27.45,12307
2019-03-11 00:00:00+05:30,28.0,28.35,27.3,27.95,14837
2019-03-12 00:00:00+05:30,28.3,32.5,27.9,30.45,74634
2019-03-13 00:00:00+05:30,32.1,32.85,30.65,31.2,37296
2019-03-14 00:00:00+05:30,31.2,31.8,30.45,31.05,7087
2019-03-15 00:00:00+05:30,32.2,32.2,30.45,30.7,13408
2019-03-18 00:00:00+05:30,31.7,31.7,29.5,29.9,11059
2019-03-19 00:00:00+05:30,31.75,31.75,29.4,29.5,7695
2019-03-20 00:00:00+05:30,29.4,29.95,28.6,29.0,6513
2019-03-22 00:00:00+05:30,28.9,28.95,28.0,28.6,9303
2019-03-25 00:00:00+05:30,28.8,28.8,27.5,27.85,12630
2019-03-26 00:00:00+05:30,27.7,29.4,24.8,25.55,163618
2019-03-27 00:00:00+05:30,26.25,26.25,25.25,25.45,29400
2019-03-28 00:00:00+05:30,25.4,26.1,24.95,25.5,21525
2019-03-29 00:00:00+05:30,25.05,26.05,25.05,25.5,10440
2019-04-01 00:00:00+05:30,25.6,27.0,25.6,26.35,16593
2019-04-02 00:00:00+05:30,25.95,26.95,25.9,26.4,16609
2019-04-03 00:00:00+05:30,26.95,27.4,26.2,26.5,27545
2019-04-04 00:00:00+05:30,26.25,26.9,26.25,26.55,2734
2019-04-05 00:00:00+05:30,26.75,27.1,26.35,26.65,6384
2019-04-08 00:00:00+05:30,26.25,29.65,26.25,27.15,75011
2019-04-09 00:00:00+05:30,27.6,31.85,27.0,27.7,78483
2019-04-10 00:00:00+05:30,28.9,28.9,27.3,27.5,9767
2019-04-11 00:00:00+05:30,27.7,27.7,26.95,27.05,7658
2019-04-12 00:00:00+05:30,27.6,27.6,26.65,26.95,6966
2019-04-15 00:00:00+05:30,27.35,28.35,26.9,27.8,16821
2019-04-16 00:00:00+05:30,28.3,28.65,27.45,27.75,17285
2019-04-18 00:00:00+05:30,27.4,28.05,26.8,27.0,10159
2019-04-22 00:00:00+05:30,26.85,26.9,26.0,26.1,10613
2019-04-23 00:00:00+05:30,26.05,26.95,25.7,25.8,5221
2019-04-24 00:00:00+05:30,25.6,26.1,25.6,25.7,2196
2019-04-25 00:00:00+05:30,25.75,26.25,25.05,25.35,2418
2019-04-26 00:00:00+05:30,25.35,26.05,25.0,25.5,8195
2019-04-30 00:00:00+05:30,25.6,25.9,25.05,25.25,2601
2019-05-02 00:00:00+05:30,25.05,25.7,25.05,25.25,1478
2019-05-03 00:00:00+05:30,26.25,26.4,25.05,25.5,14676
2019-05-06 00:00:00+05:30,26.2,26.2,24.35,24.5,5749
2019-05-07 00:00:00+05:30,24.25,25.55,23.8,23.8,7355
2019-05-08 00:00:00+05:30,23.65,26.7,22.55,24.25,22542
2019-05-09 00:00:00+05:30,23.95,25.4,23.8,24.5,12661
2019-05-10 00:00:00+05:30,24.55,25.6,24.55,25.3,4796
