date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,80.0,80.95,78.5,79.05,14048
2019-01-02 00:00:00+05:30,79.15,81.4,79.1,79.2,24309
2019-01-03 00:00:00+05:30,79.9,81.45,78.5,81.35,46903
2019-01-04 00:00:00+05:30,82.3,83.0,78.8,79.85,72213
2019-01-07 00:00:00+05:30,79.85,80.5,78.5,79.15,10531
2019-01-08 00:00:00+05:30,79.0,81.5,78.7,80.25,22019
2019-01-09 00:00:00+05:30,79.95,80.65,79.15,79.35,7517
2019-01-10 00:00:00+05:30,78.8,79.95,78.75,79.35,4648
2019-01-11 00:00:00+05:30,78.7,80.0,78.7,79.05,4881
2019-01-14 00:00:00+05:30,78.65,80.95,78.6,79.55,34626
2019-01-15 00:00:00+05:30,79.25,80.5,79.2,79.45,8425
2019-01-16 00:00:00+05:30,78.9,80.25,78.9,79.6,3359
2019-01-17 00:00:00+05:30,80.0,82.5,79.1,79.65,34367
2019-01-18 00:00:00+05:30,79.95,80.0,78.5,78.75,5845
2019-01-21 00:00:00+05:30,78.55,82.5,78.1,81.85,59033
2019-01-22 00:00:00+05:30,81.95,81.95,78.75,79.5,28243
2019-01-23 00:00:00+05:30,79.3,80.85,78.5,78.8,9545
2019-01-24 00:00:00+05:30,79.7,79.7,78.55,78.6,4015
2019-01-25 00:00:00+05:30,79.1,79.5,77.5,77.7,5608
2019-01-28 00:00:00+05:30,77.55,77.75,72.6,73.25,19680
2019-01-29 00:00:00+05:30,73.95,75.5,72.3,74.0,13963
2019-01-30 00:00:00+05:30,74.9,75.95,73.65,74.45,7444
2019-01-31 00:00:00+05:30,74.95,75.0,72.8,73.05,7365
2019-02-01 00:00:00+05:30,73.95,74.0,72.6,73.3,9881
2019-02-04 00:00:00+05:30,73.0,74.4,70.5,71.9,8114
2019-02-05 00:00:00+05:30,71.2,73.8,70.65,72.0,4303
2019-02-06 00:00:00+05:30,72.75,80.6,70.1,76.25,14071
2019-02-07 00:00:00+05:30,76.0,76.85,73.0,74.1,9366
2019-02-08 00:00:00+05:30,73.35,75.8,72.35,72.95,8858
2019-02-11 00:00:00+05:30,73.25,73.25,70.6,71.2,6142
2019-02-12 00:00:00+05:30,72.05,72.8,70.55,71.2,3922
2019-02-13 00:00:00+05:30,72.45,72.45,70.0,70.2,9290
2019-02-14 00:00:00+05:30,68.55,69.25,65.6,66.25,23107
2019-02-15 00:00:00+05:30,66.25,67.65,64.25,64.9,8414
2019-02-18 00:00:00+05:30,64.95,65.45,63.0,63.55,6915
2019-02-19 00:00:00+05:30,63.0,65.0,63.0,64.55,3733
2019-02-20 00:00:00+05:30,65.55,66.45,65.05,65.6,3648
2019-02-21 00:00:00+05:30,65.05,66.95,64.5,66.4,3680
2019-02-22 00:00:00+05:30,66.0,67.0,65.3,65.95,6907
2019-02-25 00:00:00+05:30,65.55,79.1,64.7,74.3,138266
2019-02-26 00:00:00+05:30,71.0,74.0,68.5,71.6,59569
2019-02-27 00:00:00+05:30,72.45,74.0,67.0,69.3,39092
2019-02-28 00:00:00+05:30,70.6,72.0,68.05,69.8,17611
2019-03-01 00:00:00+05:30,69.8,71.2,69.55,70.6,12543
2019-03-05 00:00:00+05:30,71.65,74.6,70.6,72.95,28639
2019-03-06 00:00:00+05:30,73.65,75.35,73.05,73.85,68670
2019-03-07 00:00:00+05:30,74.2,74.35,72.95,73.85,13143
2019-03-08 00:00:00+05:30,73.05,73.95,71.1,71.8,7052
2019-03-11 00:00:00+05:30,73.7,75.3,72.15,73.6,39443
2019-03-12 00:00:00+05:30,74.7,75.7,73.85,74.85,23712
2019-03-13 00:00:00+05:30,75.8,75.9,72.6,72.95,9880
2019-03-14 00:00:00+05:30,72.95,74.7,72.2,72.7,7047
2019-03-15 00:00:00+05:30,72.85,73.9,71.0,71.8,24650
2019-03-18 00:00:00+05:30,73.5,73.5,70.45,71.3,9747
2019-03-19 00:00:00+05:30,72.0,72.8,71.05,71.3,8154
2019-03-20 00:00:00+05:30,71.35,72.0,70.45,71.2,6511
2019-03-22 00:00:00+05:30,72.4,72.4,69.75,70.9,11412
2019-03-25 00:00:00+05:30,70.9,70.9,67.8,68.3,14094
2019-03-26 00:00:00+05:30,68.3,71.75,67.9,70.15,51575
2019-03-27 00:00:00+05:30,71.9,71.9,68.25,69.25,12986
2019-03-28 00:00:00+05:30,69.0,71.7,69.0,70.65,9387
2019-03-29 00:00:00+05:30,71.4,71.45,68.15,69.95,16707
2019-04-01 00:00:00+05:30,70.35,71.65,69.6,71.0,7777
2019-04-02 00:00:00+05:30,72.6,72.6,69.5,70.15,4329
2019-04-03 00:00:00+05:30,71.05,71.1,69.0,69.2,6345
2019-04-04 00:00:00+05:30,70.2,70.25,69.1,69.25,3807
2019-04-05 00:00:00+05:30,73.8,76.7,73.0,73.8,162076
2019-04-08 00:00:00+05:30,73.05,74.7,71.6,72.0,27195
2019-04-09 00:00:00+05:30,72.0,72.15,69.5,71.75,12042
2019-04-10 00:00:00+05:30,71.5,72.5,70.6,70.95,10281
2019-04-11 00:00:00+05:30,72.6,72.6,70.75,72.2,7007
2019-04-12 00:00:00+05:30,71.8,73.0,71.0,72.5,10181
2019-04-15 00:00:00+05:30,71.25,73.7,71.25,72.4,14656
2019-04-16 00:00:00+05:30,72.35,73.4,72.0,72.15,9062
2019-04-18 00:00:00+05:30,72.05,72.45,70.5,71.05,16520
2019-04-22 00:00:00+05:30,71.05,72.75,69.0,70.0,5693
2019-04-23 00:00:00+05:30,71.9,72.1,69.5,70.95,3251
2019-04-24 00:00:00+05:30,71.05,71.05,69.5,70.35,8510
2019-04-25 00:00:00+05:30,71.6,71.65,70.0,70.25,3707
2019-04-26 00:00:00+05:30,70.15,78.3,70.1,71.75,180845
2019-04-30 00:00:00+05:30,72.75,72.75,69.2,70.15,35859
2019-05-02 00:00:00+05:30,70.05,70.4,69.05,69.3,10070
2019-05-03 00:00:00+05:30,69.2,69.9,68.25,68.65,7079
2019-05-06 00:00:00+05:30,68.7,69.35,67.1,67.5,9798
2019-05-07 00:00:00+05:30,67.5,69.3,66.5,66.95,10909
2019-05-08 00:00:00+05:30,68.3,68.5,65.05,65.65,8190
2019-05-09 00:00:00+05:30,65.2,66.0,65.05,65.6,5781
2019-05-10 00:00:00+05:30,65.45,66.25,63.65,64.15,7920
2019-05-13 00:00:00+05:30,63.65,64.0,60.0,60.5,21283
2019-05-14 00:00:00+05:30,60.0,60.15,56.95,59.7,13871
2019-05-15 00:00:00+05:30,59.85,61.3,58.5,59.4,8102
2019-05-16 00:00:00+05:30,58.6,59.95,56.7,58.7,4968
2019-05-17 00:00:00+05:30,60.35,60.4,55.05,57.0,9044
2019-05-20 00:00:00+05:30,61.95,61.95,59.0,61.15,8296
2019-05-21 00:00:00+05:30,60.95,62.1,60.5,61.15,6501
2019-05-22 00:00:00+05:30,61.05,61.5,60.55,61.05,2383
2019-05-23 00:00:00+05:30,62.9,64.8,60.1,61.15,12196
2019-05-24 00:00:00+05:30,61.0,65.4,61.0,63.1,4541
2019-05-27 00:00:00+05:30,63.1,70.0,63.0,67.35,28723
2019-05-28 00:00:00+05:30,67.35,69.8,67.0,69.0,13389
2019-05-29 00:00:00+05:30,69.65,69.7,67.35,68.65,6668
2019-05-30 00:00:00+05:30,68.7,68.7,66.5,66.8,10053
2019-05-31 00:00:00+05:30,66.95,69.85,66.95,68.2,16291
2019-06-03 00:00:00+05:30,68.6,69.0,67.2,67.6,7915
2019-06-04 00:00:00+05:30,67.05,67.45,64.6,65.2,9555
2019-06-06 00:00:00+05:30,67.0,67.0,65.0,65.3,8431
