date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,42.2,42.2,40.05,41.75,5568
2019-01-02 00:00:00+05:30,42.45,44.5,41.15,41.25,11824
2019-01-03 00:00:00+05:30,41.0,41.95,40.05,40.25,1980
2019-01-04 00:00:00+05:30,41.4,41.4,39.85,40.05,11228
2019-01-07 00:00:00+05:30,41.25,41.25,40.0,41.1,7306
2019-01-08 00:00:00+05:30,40.5,40.5,39.8,40.15,2888
2019-01-09 00:00:00+05:30,40.0,41.0,40.0,40.1,2464
2019-01-10 00:00:00+05:30,40.1,40.1,39.6,40.1,1488
2019-01-11 00:00:00+05:30,40.85,41.1,40.2,40.7,3236
2019-01-14 00:00:00+05:30,40.1,41.25,39.55,40.65,12836
2019-01-15 00:00:00+05:30,41.15,43.0,40.0,40.8,2884
2019-01-16 00:00:00+05:30,41.5,41.5,41.0,41.05,1356
2019-01-17 00:00:00+05:30,40.75,40.75,40.3,40.45,2006
2019-01-18 00:00:00+05:30,41.95,41.95,40.05,40.3,396
2019-01-21 00:00:00+05:30,42.45,42.45,39.75,39.95,8312
2019-01-22 00:00:00+05:30,40.2,40.7,39.25,39.85,1646
2019-01-23 00:00:00+05:30,41.4,41.4,39.6,39.7,5228
2019-01-24 00:00:00+05:30,40.7,40.7,39.15,39.3,1192
2019-01-25 00:00:00+05:30,40.0,40.8,37.6,37.75,7526
2019-01-28 00:00:00+05:30,37.85,39.25,36.25,36.4,4252
2019-01-29 00:00:00+05:30,37.5,37.5,35.5,36.35,22166
2019-01-30 00:00:00+05:30,37.0,37.45,35.45,35.5,10428
2019-01-31 00:00:00+05:30,35.5,36.4,35.0,35.0,1310
2019-02-01 00:00:00+05:30,35.05,36.2,34.05,34.15,4004
2019-02-04 00:00:00+05:30,34.5,34.5,32.0,33.45,35210
2019-02-05 00:00:00+05:30,33.75,33.95,32.5,32.85,7372
2019-02-06 00:00:00+05:30,32.6,33.1,31.0,31.55,13938
2019-02-07 00:00:00+05:30,32.2,32.4,31.5,31.9,7024
2019-02-08 00:00:00+05:30,32.75,32.9,31.55,31.55,16412
2019-02-11 00:00:00+05:30,31.55,33.35,29.65,31.5,13060
2019-02-12 00:00:00+05:30,31.5,31.5,28.2,30.3,14710
2019-02-13 00:00:00+05:30,29.7,30.1,28.75,28.95,9640
2019-02-14 00:00:00+05:30,28.55,29.0,28.5,29.0,1894
2019-02-15 00:00:00+05:30,28.0,29.5,28.0,28.5,11342
2019-02-18 00:00:00+05:30,28.5,31.95,28.3,31.05,12512
2019-02-19 00:00:00+05:30,32.35,33.7,31.05,32.7,15470
2019-02-20 00:00:00+05:30,32.7,32.7,30.1,31.8,2004
2019-02-21 00:00:00+05:30,32.35,32.75,30.05,30.7,4490
2019-02-22 00:00:00+05:30,32.0,35.5,30.75,34.2,9860
2019-02-25 00:00:00+05:30,34.5,34.5,31.75,32.25,13238
2019-02-26 00:00:00+05:30,32.0,32.25,31.25,32.15,1288
2019-02-27 00:00:00+05:30,32.15,32.15,30.55,31.55,2610
2019-02-28 00:00:00+05:30,32.15,32.85,31.35,31.5,21018
2019-03-01 00:00:00+05:30,32.2,36.3,31.7,34.6,26012
2019-03-05 00:00:00+05:30,35.0,35.0,34.25,35.0,5980
2019-03-06 00:00:00+05:30,34.95,39.0,33.55,35.4,43048
2019-03-07 00:00:00+05:30,35.55,37.4,34.65,36.45,17332
2019-03-08 00:00:00+05:30,38.5,38.5,35.2,36.95,1332
2019-03-11 00:00:00+05:30,36.3,37.45,35.1,35.95,3596
2019-03-12 00:00:00+05:30,35.8,36.9,35.2,36.1,16624
2019-03-13 00:00:00+05:30,36.75,36.75,35.35,35.5,3902
2019-03-14 00:00:00+05:30,35.5,35.65,35.2,35.2,512
2019-03-15 00:00:00+05:30,36.45,36.45,34.0,34.7,5600
2019-03-18 00:00:00+05:30,34.95,36.8,34.75,35.25,3142
2019-03-19 00:00:00+05:30,35.9,37.2,34.5,35.0,106576
2019-03-20 00:00:00+05:30,34.9,35.25,33.55,33.7,111030
2019-03-22 00:00:00+05:30,35.5,36.7,33.2,33.8,4558
2019-03-25 00:00:00+05:30,33.25,33.95,33.0,33.75,3654
2019-03-26 00:00:00+05:30,33.8,34.4,32.85,33.45,25158
2019-03-27 00:00:00+05:30,33.25,34.95,32.7,33.5,8762
2019-03-28 00:00:00+05:30,34.25,34.25,33.25,33.65,1400
2019-03-29 00:00:00+05:30,33.95,34.0,32.5,33.95,3066
2019-04-01 00:00:00+05:30,34.0,34.25,34.0,34.25,3888
2019-04-02 00:00:00+05:30,36.3,36.5,33.75,34.25,26088
2019-04-03 00:00:00+05:30,35.45,35.45,34.3,34.55,2072
2019-04-04 00:00:00+05:30,34.0,35.15,33.6,34.85,2948
2019-04-05 00:00:00+05:30,34.55,37.2,34.1,35.25,5092
2019-04-08 00:00:00+05:30,34.5,35.0,33.9,34.85,6432
2019-04-09 00:00:00+05:30,34.5,34.5,33.9,33.9,10
2019-04-10 00:00:00+05:30,34.95,34.95,32.8,34.25,1728
2019-04-11 00:00:00+05:30,34.05,34.8,34.05,34.3,744
2019-04-12 00:00:00+05:30,34.3,34.7,34.0,34.0,420
2019-04-15 00:00:00+05:30,33.5,34.75,32.85,33.45,4656
2019-04-16 00:00:00+05:30,34.0,34.5,33.1,33.45,2588
2019-04-18 00:00:00+05:30,33.35,35.6,32.75,34.95,8738
2019-04-22 00:00:00+05:30,34.5,34.6,33.0,33.5,2294
2019-04-23 00:00:00+05:30,33.2,33.95,32.9,33.05,8820
2019-04-24 00:00:00+05:30,33.4,34.2,33.35,33.8,3566
2019-04-25 00:00:00+05:30,33.8,35.95,33.8,34.2,204
2019-04-26 00:00:00+05:30,34.45,34.45,33.75,33.9,2176
2019-04-30 00:00:00+05:30,34.05,34.8,33.35,33.9,5280
2019-05-02 00:00:00+05:30,33.75,33.75,31.05,32.05,9318
2019-05-03 00:00:00+05:30,32.05,34.5,32.05,33.25,48690
2019-05-06 00:00:00+05:30,32.8,36.25,31.8,34.1,8716
2019-05-07 00:00:00+05:30,33.5,33.5,31.1,31.45,3584
2019-05-08 00:00:00+05:30,31.5,31.5,31.0,31.5,2236
2019-05-09 00:00:00+05:30,31.7,31.95,30.75,30.75,2010
2019-05-10 00:00:00+05:30,31.05,31.05,29.55,30.1,5252
2019-05-13 00:00:00+05:30,29.85,30.8,28.1,29.05,6192
2019-05-14 00:00:00+05:30,29.8,30.1,28.15,29.45,4774
2019-05-15 00:00:00+05:30,30.4,30.4,28.05,28.45,3302
2019-05-16 00:00:00+05:30,29.2,30.5,28.15,28.75,7934
2019-05-17 00:00:00+05:30,28.85,30.25,28.25,30.15,2724
2019-05-20 00:00:00+05:30,30.75,32.2,29.1,30.3,7818
2019-05-21 00:00:00+05:30,30.0,36.35,29.55,33.4,140724
2019-05-22 00:00:00+05:30,34.5,38.85,32.55,37.15,85074
2019-05-23 00:00:00+05:30,37.45,39.75,35.85,36.05,6634
2019-05-24 00:00:00+05:30,36.05,37.45,35.75,36.35,3396
2019-05-27 00:00:00+05:30,37.45,40.0,36.6,38.15,26308
2019-05-28 00:00:00+05:30,38.15,38.25,36.8,37.5,3226
2019-05-29 00:00:00+05:30,37.0,37.05,36.0,36.1,1866
2019-05-30 00:00:00+05:30,37.95,38.0,36.5,36.6,10314
