date,open,high,low,close,volume
2019-02-21 00:00:00+05:30,76.25,76.25,75.0,75.65,6400
2019-02-25 00:00:00+05:30,75.05,80.0,75.0,80.0,5600
2019-02-27 00:00:00+05:30,81.9,83.5,80.85,83.4,11200
2019-02-28 00:00:00+05:30,81.5,84.0,81.25,84.0,6400
2019-03-01 00:00:00+05:30,85.0,86.4,84.0,84.05,11200
2019-03-06 00:00:00+05:30,84.75,85.0,84.75,84.95,3200
2019-03-07 00:00:00+05:30,86.4,86.4,86.4,86.4,800
2019-03-11 00:00:00+05:30,98.0,98.0,84.0,92.0,61600
2019-03-12 00:00:00+05:30,91.5,92.75,90.4,91.8,4800
2019-03-13 00:00:00+05:30,91.0,92.8,91.0,91.7,3200
2019-03-14 00:00:00+05:30,91.05,91.5,91.0,91.1,4800
2019-03-15 00:00:00+05:30,90.9,90.9,90.9,90.9,800
2019-03-18 00:00:00+05:30,89.1,90.4,88.0,88.0,12800
2019-03-20 00:00:00+05:30,94.8,95.5,91.0,92.75,49600
2019-03-22 00:00:00+05:30,94.5,96.5,93.1,95.85,6400
2019-03-25 00:00:00+05:30,95.85,96.0,94.0,94.35,24800
2019-03-26 00:00:00+05:30,94.5,96.0,91.6,92.1,16000
2019-03-27 00:00:00+05:30,91.3,91.3,90.45,90.45,4800
2019-03-28 00:00:00+05:30,91.0,94.7,91.0,94.7,25600
2019-03-29 00:00:00+05:30,95.0,109.7,95.0,104.7,41600
2019-04-01 00:00:00+05:30,104.9,112.0,104.9,111.95,15200
2019-04-02 00:00:00+05:30,107.0,111.0,107.0,108.0,10400
2019-04-03 00:00:00+05:30,108.5,108.5,104.9,108.0,3200
2019-04-04 00:00:00+05:30,105.0,105.0,105.0,105.0,800
2019-04-05 00:00:00+05:30,106.0,109.7,106.0,108.9,20800
2019-04-08 00:00:00+05:30,107.95,108.0,103.6,106.0,3200
2019-04-09 00:00:00+05:30,108.95,108.95,106.9,108.45,4000
2019-04-10 00:00:00+05:30,104.1,104.1,103.25,103.4,3200
2019-04-11 00:00:00+05:30,103.0,103.0,100.1,100.3,4000
2019-04-12 00:00:00+05:30,104.5,106.5,104.5,106.5,1600
2019-04-15 00:00:00+05:30,105.5,106.0,105.5,105.9,2400
2019-04-16 00:00:00+05:30,108.0,108.0,108.0,108.0,800
2019-04-18 00:00:00+05:30,106.9,106.95,101.25,101.25,9600
2019-04-22 00:00:00+05:30,106.85,106.9,105.0,105.6,5600
2019-04-23 00:00:00+05:30,108.0,108.5,106.0,108.25,3200
2019-04-24 00:00:00+05:30,104.0,104.1,104.0,104.05,3200
2019-04-26 00:00:00+05:30,106.85,120.0,106.85,118.85,25600
2019-04-30 00:00:00+05:30,124.0,124.0,112.8,117.9,10400
2019-05-02 00:00:00+05:30,117.9,117.9,109.4,111.65,3200
2019-05-03 00:00:00+05:30,112.0,114.0,111.8,114.0,4000
2019-05-06 00:00:00+05:30,110.0,110.0,110.0,110.0,800
2019-05-07 00:00:00+05:30,105.3,105.3,104.25,104.4,4000
2019-05-08 00:00:00+05:30,100.8,101.0,95.0,97.0,17600
2019-05-09 00:00:00+05:30,100.0,100.0,100.0,100.0,4000
2019-05-10 00:00:00+05:30,99.5,100.0,99.5,100.0,3200
2019-05-13 00:00:00+05:30,97.1,97.1,92.0,92.0,12800
2019-05-14 00:00:00+05:30,89.0,91.0,82.0,90.75,16000
2019-05-15 00:00:00+05:30,88.9,92.0,88.9,89.05,4000
2019-05-16 00:00:00+05:30,93.0,93.0,93.0,93.0,3200
2019-05-20 00:00:00+05:30,88.0,94.85,88.0,94.85,1600
2019-05-21 00:00:00+05:30,87.0,87.0,87.0,87.0,1600
2019-05-22 00:00:00+05:30,98.0,98.0,87.0,88.0,5600
2019-05-24 00:00:00+05:30,93.2,93.2,85.3,87.0,3200
2019-05-27 00:00:00+05:30,86.05,88.0,85.25,88.0,3200
2019-05-29 00:00:00+05:30,90.0,91.9,90.0,91.0,13600
2019-05-30 00:00:00+05:30,92.0,93.0,92.0,93.0,1600
2019-05-31 00:00:00+05:30,94.9,96.0,94.9,95.45,1600
2019-06-03 00:00:00+05:30,90.1,93.1,90.1,92.2,6400
2019-06-04 00:00:00+05:30,93.2,93.2,92.0,92.0,4800
2019-06-06 00:00:00+05:30,93.0,94.6,93.0,94.6,1600
2019-06-07 00:00:00+05:30,92.0,93.0,91.0,91.0,5600
2019-06-11 00:00:00+05:30,91.0,92.0,90.0,92.0,2400
2019-06-13 00:00:00+05:30,92.0,93.5,89.9,93.5,4800
2019-06-14 00:00:00+05:30,93.9,94.9,91.0,94.0,12800
2019-06-17 00:00:00+05:30,95.0,95.0,94.0,94.0,3200
2019-06-19 00:00:00+05:30,94.0,94.0,90.0,91.0,8000
2019-06-20 00:00:00+05:30,93.5,95.9,91.1,94.5,10400
2019-06-21 00:00:00+05:30,90.1,93.5,90.0,93.5,13600
2019-06-26 00:00:00+05:30,93.0,93.0,88.25,88.25,17600
2019-06-27 00:00:00+05:30,88.0,90.0,86.4,89.25,4800
2019-06-28 00:00:00+05:30,89.75,90.0,89.75,90.0,3200
2019-07-01 00:00:00+05:30,91.5,91.5,90.0,90.25,4800
2019-07-02 00:00:00+05:30,91.9,91.9,91.9,91.9,4000
2019-07-03 00:00:00+05:30,88.0,89.5,87.0,89.5,7200
2019-07-08 00:00:00+05:30,90.0,90.0,84.1,87.95,7200
2019-07-09 00:00:00+05:30,88.9,105.5,88.0,93.95,36800
2019-07-10 00:00:00+05:30,90.0,90.0,90.0,90.0,800
2019-07-12 00:00:00+05:30,95.0,95.0,95.0,95.0,800
2019-07-15 00:00:00+05:30,90.0,90.0,90.0,90.0,800
2019-07-16 00:00:00+05:30,88.0,89.0,85.0,89.0,3200
2019-07-18 00:00:00+05:30,87.0,89.0,86.0,86.0,13600
2019-07-19 00:00:00+05:30,84.4,85.0,77.25,85.0,3200
2019-07-22 00:00:00+05:30,84.5,84.5,80.0,80.0,17600
2019-07-23 00:00:00+05:30,85.95,88.0,85.0,85.0,3200
2019-07-24 00:00:00+05:30,86.9,86.9,86.0,86.0,1600
2019-07-25 00:00:00+05:30,81.0,83.0,81.0,81.0,8800
2019-07-29 00:00:00+05:30,85.4,85.4,85.4,85.4,800
2019-07-30 00:00:00+05:30,81.05,82.0,79.9,80.0,24800
2019-07-31 00:00:00+05:30,80.05,80.65,80.0,80.5,7200
2019-08-01 00:00:00+05:30,80.1,84.0,79.9,82.5,38400
2019-08-02 00:00:00+05:30,81.0,81.0,80.0,80.0,8800
2019-08-05 00:00:00+05:30,81.5,82.0,80.0,80.0,13600
2019-08-06 00:00:00+05:30,80.0,81.5,80.0,80.0,9600
2019-08-07 00:00:00+05:30,80.05,80.3,75.0,80.0,15200
2019-08-08 00:00:00+05:30,80.0,81.9,80.0,80.05,5600
2019-08-09 00:00:00+05:30,80.0,81.15,79.9,81.15,48800
2019-08-13 00:00:00+05:30,81.4,82.4,79.5,79.5,35200
