date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,61.05,61.05,59.15,59.4,31878
2019-01-02 00:00:00+05:30,58.85,59.5,57.45,57.85,35511
2019-01-03 00:00:00+05:30,59.95,59.95,56.55,58.55,37681
2019-01-04 00:00:00+05:30,59.4,59.4,56.7,57.2,37522
2019-01-07 00:00:00+05:30,58.0,60.1,57.5,58.6,60812
2019-01-08 00:00:00+05:30,59.4,59.4,56.85,57.25,16249
2019-01-09 00:00:00+05:30,57.5,58.4,55.4,56.2,37184
2019-01-10 00:00:00+05:30,57.2,57.35,56.0,56.2,17687
2019-01-11 00:00:00+05:30,56.3,56.9,55.95,56.35,12101
2019-01-14 00:00:00+05:30,55.95,57.35,55.9,56.35,12494
2019-01-15 00:00:00+05:30,56.45,58.15,56.2,56.4,14327
2019-01-16 00:00:00+05:30,56.45,57.25,55.5,56.5,15253
2019-01-17 00:00:00+05:30,55.55,57.25,55.2,55.45,20309
2019-01-18 00:00:00+05:30,55.6,55.95,54.05,54.55,30656
2019-01-21 00:00:00+05:30,53.85,55.35,53.85,54.4,19608
2019-01-22 00:00:00+05:30,55.45,55.45,54.0,54.15,10322
2019-01-23 00:00:00+05:30,54.1,55.35,53.7,53.9,18983
2019-01-24 00:00:00+05:30,54.8,54.8,53.5,53.65,7924
2019-01-25 00:00:00+05:30,54.05,54.55,51.85,52.45,13137
2019-01-28 00:00:00+05:30,53.9,53.9,49.65,50.35,22313
2019-01-29 00:00:00+05:30,50.95,51.5,49.8,50.1,18394
2019-01-30 00:00:00+05:30,51.0,51.5,49.8,51.1,17959
2019-01-31 00:00:00+05:30,52.3,52.3,50.6,51.0,12659
2019-02-01 00:00:00+05:30,50.55,51.5,50.0,50.15,8408
2019-02-04 00:00:00+05:30,52.2,52.2,47.55,47.7,21635
2019-02-05 00:00:00+05:30,48.1,49.5,44.65,45.6,18023
2019-02-06 00:00:00+05:30,45.05,45.8,41.75,43.1,29149
2019-02-07 00:00:00+05:30,43.1,45.45,43.05,44.25,12519
2019-02-08 00:00:00+05:30,43.65,44.55,43.4,43.85,5210
2019-02-11 00:00:00+05:30,44.45,44.45,42.0,42.15,10908
2019-02-12 00:00:00+05:30,42.15,43.45,41.25,42.5,16575
2019-02-13 00:00:00+05:30,42.55,43.5,40.85,41.45,19931
2019-02-14 00:00:00+05:30,42.05,42.4,40.95,42.1,14635
2019-02-15 00:00:00+05:30,42.7,42.7,39.8,40.0,15092
2019-02-18 00:00:00+05:30,41.25,41.25,38.15,38.85,24302
2019-02-19 00:00:00+05:30,39.3,40.35,37.25,39.25,8984
2019-02-20 00:00:00+05:30,38.9,40.15,38.85,39.7,8324
2019-02-21 00:00:00+05:30,40.25,41.2,38.7,40.3,23677
2019-02-22 00:00:00+05:30,40.45,48.35,40.35,48.35,105910
2019-02-25 00:00:00+05:30,53.8,58.0,52.5,58.0,386556
2019-02-26 00:00:00+05:30,59.45,62.4,57.75,59.95,506635
