date,open,high,low,close,volume
2019-02-26 00:00:00+05:30,45.0,45.0,43.8,43.8,6000
2019-02-27 00:00:00+05:30,43.0,43.0,43.0,43.0,2000
2019-02-28 00:00:00+05:30,41.1,42.2,40.9,42.2,8000
2019-03-06 00:00:00+05:30,43.0,43.0,41.5,42.0,6000
2019-03-07 00:00:00+05:30,42.5,43.85,41.5,43.85,8000
2019-03-08 00:00:00+05:30,44.0,44.0,42.05,42.05,4000
2019-03-11 00:00:00+05:30,43.95,44.15,43.9,44.15,6000
2019-03-12 00:00:00+05:30,44.15,44.15,43.6,43.6,4000
2019-03-13 00:00:00+05:30,45.6,45.6,45.6,45.6,2000
2019-03-15 00:00:00+05:30,44.05,44.05,43.35,43.35,12000
2019-03-19 00:00:00+05:30,43.0,45.3,43.0,45.3,6000
2019-03-20 00:00:00+05:30,44.0,44.0,44.0,44.0,8000
2019-03-25 00:00:00+05:30,44.0,44.0,44.0,44.0,4000
2019-03-26 00:00:00+05:30,44.0,44.0,44.0,44.0,10000
2019-03-28 00:00:00+05:30,46.0,46.2,46.0,46.2,8000
2019-03-29 00:00:00+05:30,46.2,48.5,46.2,48.5,6000
2019-04-03 00:00:00+05:30,50.0,50.0,50.0,50.0,2000
2019-04-04 00:00:00+05:30,49.9,49.9,49.0,49.0,8000
2019-04-08 00:00:00+05:30,48.15,48.15,48.1,48.1,22000
2019-04-09 00:00:00+05:30,47.1,47.1,47.1,47.1,20000
2019-04-10 00:00:00+05:30,48.1,49.45,48.1,49.45,22000
2019-04-11 00:00:00+05:30,51.5,51.5,48.2,48.4,22000
2019-04-15 00:00:00+05:30,48.0,48.0,48.0,48.0,2000
2019-04-16 00:00:00+05:30,50.4,50.4,50.4,50.4,2000
2019-04-22 00:00:00+05:30,48.2,48.2,48.2,48.2,2000
2019-04-23 00:00:00+05:30,48.0,48.0,48.0,48.0,2000
2019-04-24 00:00:00+05:30,50.4,50.4,50.4,50.4,10000
2019-04-25 00:00:00+05:30,50.0,50.0,50.0,50.0,2000
2019-04-26 00:00:00+05:30,50.0,50.5,50.0,50.5,4000
2019-04-30 00:00:00+05:30,50.05,50.05,50.0,50.0,14000
2019-05-02 00:00:00+05:30,49.5,49.5,49.5,49.5,2000
2019-05-03 00:00:00+05:30,47.5,47.5,47.5,47.5,2000
2019-05-10 00:00:00+05:30,47.5,49.0,47.5,49.0,4000
2019-05-14 00:00:00+05:30,48.0,48.0,48.0,48.0,2000
2019-05-16 00:00:00+05:30,47.1,47.1,47.1,47.1,2000
2019-05-17 00:00:00+05:30,47.9,47.9,47.9,47.9,2000
2019-05-22 00:00:00+05:30,50.25,50.25,50.25,50.25,2000
2019-05-24 00:00:00+05:30,50.0,50.0,50.0,50.0,2000
2019-05-27 00:00:00+05:30,50.5,50.5,50.0,50.0,10000
2019-05-28 00:00:00+05:30,50.0,50.0,47.5,47.5,8000
2019-05-29 00:00:00+05:30,49.85,49.85,49.5,49.85,24000
2019-05-30 00:00:00+05:30,52.25,52.3,52.25,52.3,6000
2019-05-31 00:00:00+05:30,54.9,54.9,54.9,54.9,2000
2019-06-03 00:00:00+05:30,57.6,57.6,57.6,57.6,2000
2019-06-04 00:00:00+05:30,60.45,60.45,59.95,60.45,16000
2019-06-06 00:00:00+05:30,63.45,63.45,58.0,58.65,24000
2019-06-07 00:00:00+05:30,57.0,57.0,57.0,57.0,2000
2019-06-10 00:00:00+05:30,59.8,59.8,59.8,59.8,2000
2019-06-12 00:00:00+05:30,59.95,59.95,58.0,58.0,4000
2019-06-18 00:00:00+05:30,55.5,55.5,55.1,55.1,6000
2019-06-24 00:00:00+05:30,52.35,52.35,52.35,52.35,4000
2019-06-26 00:00:00+05:30,54.5,54.5,54.5,54.5,2000
2019-07-02 00:00:00+05:30,52.0,54.0,52.0,54.0,4000
2019-07-03 00:00:00+05:30,52.0,52.0,52.0,52.0,2000
2019-07-04 00:00:00+05:30,50.05,50.05,50.05,50.05,2000
2019-07-05 00:00:00+05:30,49.05,49.05,49.05,49.05,2000
2019-07-08 00:00:00+05:30,49.25,49.25,49.2,49.2,6000
2019-07-10 00:00:00+05:30,49.2,49.2,49.2,49.2,2000
2019-07-15 00:00:00+05:30,48.0,48.0,48.0,48.0,4000
2019-07-17 00:00:00+05:30,48.0,48.0,48.0,48.0,2000
2019-07-18 00:00:00+05:30,45.95,45.95,45.9,45.9,4000
2019-07-19 00:00:00+05:30,43.85,47.9,43.85,47.9,4000
2019-07-22 00:00:00+05:30,49.95,49.95,49.95,49.95,2000
2019-07-23 00:00:00+05:30,50.0,50.0,50.0,50.0,2000
2019-07-24 00:00:00+05:30,52.5,52.5,52.5,52.5,2000
2019-07-25 00:00:00+05:30,50.0,50.0,50.0,50.0,4000
2019-07-26 00:00:00+05:30,52.5,52.5,52.5,52.5,2000
2019-07-30 00:00:00+05:30,49.9,49.9,49.9,49.9,4000
2019-07-31 00:00:00+05:30,49.1,49.1,49.1,49.1,2000
2019-08-01 00:00:00+05:30,47.1,47.1,46.65,46.65,8000
2019-08-02 00:00:00+05:30,46.65,46.65,46.65,46.65,2000
2019-08-05 00:00:00+05:30,48.95,48.95,48.95,48.95,2000
2019-08-09 00:00:00+05:30,51.35,51.35,48.0,48.0,4000
2019-08-13 00:00:00+05:30,45.95,45.95,45.9,45.9,6000
2019-08-14 00:00:00+05:30,48.15,48.15,48.15,48.15,2000
2019-08-16 00:00:00+05:30,46.0,46.0,46.0,46.0,2000
2019-08-19 00:00:00+05:30,48.0,48.0,48.0,48.0,2000
2019-08-21 00:00:00+05:30,48.0,48.0,48.0,48.0,2000
2019-08-28 00:00:00+05:30,45.95,45.95,45.9,45.9,6000
2019-09-03 00:00:00+05:30,44.0,44.0,44.0,44.0,2000
2019-09-09 00:00:00+05:30,46.2,46.2,46.2,46.2,2000
2019-09-12 00:00:00+05:30,47.15,47.15,47.15,47.15,4000
2019-09-16 00:00:00+05:30,49.5,49.5,49.5,49.5,2000
2019-09-17 00:00:00+05:30,49.5,49.5,49.5,49.5,2000
2019-09-19 00:00:00+05:30,49.5,49.5,49.5,49.5,2000
2019-09-20 00:00:00+05:30,49.0,49.0,47.5,47.5,8000
