date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,925.0,927.0,909.25,922.4,315496
2019-01-02 00:00:00+05:30,923.95,923.95,900.7,905.6,324587
2019-01-03 00:00:00+05:30,905.0,919.5,894.0,898.15,456198
2019-01-04 00:00:00+05:30,903.6,912.0,884.5,908.35,522486
2019-01-07 00:00:00+05:30,915.0,918.65,901.0,905.15,360208
2019-01-08 00:00:00+05:30,907.8,912.0,897.7,905.45,339243
2019-01-09 00:00:00+05:30,910.2,912.7,884.1,896.65,355954
2019-01-10 00:00:00+05:30,898.95,901.0,885.0,890.5,303127
2019-01-11 00:00:00+05:30,894.0,898.8,881.0,893.7,434729
2019-01-14 00:00:00+05:30,889.9,889.9,875.2,885.5,332022
2019-01-15 00:00:00+05:30,887.5,900.0,887.5,892.25,273714
2019-01-16 00:00:00+05:30,896.0,909.0,891.15,902.2,509583
2019-01-17 00:00:00+05:30,904.0,904.55,879.3,893.95,395449
2019-01-18 00:00:00+05:30,895.0,897.5,877.5,882.15,214695
2019-01-21 00:00:00+05:30,884.7,890.95,875.6,885.6,231324
2019-01-22 00:00:00+05:30,893.0,895.6,867.2,877.1,914472
2019-01-23 00:00:00+05:30,876.0,893.9,871.4,885.9,395664
2019-01-24 00:00:00+05:30,888.0,888.0,867.2,871.3,411896
2019-01-25 00:00:00+05:30,880.0,881.85,828.3,836.6,779079
2019-01-28 00:00:00+05:30,831.0,836.0,791.2,813.05,1751784
2019-01-29 00:00:00+05:30,808.0,823.5,786.55,795.05,886624
2019-01-30 00:00:00+05:30,796.1,805.05,783.05,800.05,395184
2019-01-31 00:00:00+05:30,800.6,805.75,786.4,793.6,541762
2019-02-01 00:00:00+05:30,797.5,809.75,782.55,791.65,413461
2019-02-04 00:00:00+05:30,795.95,797.5,758.25,764.9,773778
2019-02-05 00:00:00+05:30,761.0,770.1,742.0,749.9,739750
2019-02-06 00:00:00+05:30,750.5,765.8,737.6,762.9,623005
2019-02-07 00:00:00+05:30,763.1,774.75,756.3,762.95,647167
2019-02-08 00:00:00+05:30,759.0,776.65,751.5,755.4,628759
2019-02-11 00:00:00+05:30,755.6,755.6,730.6,736.35,467639
2019-02-12 00:00:00+05:30,730.1,747.2,729.15,734.45,505554
2019-02-13 00:00:00+05:30,739.8,742.1,721.85,726.45,450226
2019-02-14 00:00:00+05:30,723.0,745.0,719.0,735.85,611397
2019-02-15 00:00:00+05:30,735.0,737.5,705.5,713.45,968916
2019-02-18 00:00:00+05:30,713.0,719.95,709.0,713.85,450797
2019-02-19 00:00:00+05:30,717.95,727.95,712.5,715.45,615972
2019-02-20 00:00:00+05:30,719.95,743.75,716.0,741.05,649595
2019-02-21 00:00:00+05:30,737.0,772.35,737.0,767.25,736561
2019-02-22 00:00:00+05:30,768.55,782.8,763.0,779.6,482476
2019-02-25 00:00:00+05:30,780.6,797.6,780.6,794.1,446984
2019-02-26 00:00:00+05:30,789.3,803.3,774.45,799.0,460919
2019-02-27 00:00:00+05:30,802.0,821.9,791.65,800.0,616389
2019-02-28 00:00:00+05:30,801.6,814.9,796.4,802.05,566682
2019-03-01 00:00:00+05:30,808.1,836.0,806.0,830.75,533531
2019-03-05 00:00:00+05:30,828.0,862.1,827.3,859.7,848300
2019-03-06 00:00:00+05:30,863.0,874.3,845.75,851.65,704978
2019-03-07 00:00:00+05:30,850.0,868.9,832.6,853.95,1183046
2019-03-08 00:00:00+05:30,855.05,861.05,842.6,856.3,355975
2019-03-11 00:00:00+05:30,860.55,885.0,858.05,879.45,422274
2019-03-12 00:00:00+05:30,887.0,907.45,880.25,901.45,843568
2019-03-13 00:00:00+05:30,900.0,906.0,887.4,894.35,556795
2019-03-14 00:00:00+05:30,896.0,897.5,878.5,891.05,468289
2019-03-15 00:00:00+05:30,894.9,901.5,880.55,887.95,397492
2019-03-18 00:00:00+05:30,890.0,891.7,866.95,883.6,590112
2019-03-19 00:00:00+05:30,882.75,917.0,882.5,906.7,896220
2019-03-20 00:00:00+05:30,912.35,914.9,896.1,900.2,441100
2019-03-22 00:00:00+05:30,901.2,912.4,891.0,893.9,503733
2019-03-25 00:00:00+05:30,887.45,894.8,880.1,886.6,272664
2019-03-26 00:00:00+05:30,891.0,920.0,889.0,916.1,499013
2019-03-27 00:00:00+05:30,920.65,924.55,892.9,896.9,595247
2019-03-28 00:00:00+05:30,902.8,914.0,897.3,905.2,397369
2019-03-29 00:00:00+05:30,910.1,937.0,907.0,933.1,692626
2019-04-01 00:00:00+05:30,935.0,943.95,920.7,924.3,457716
2019-04-02 00:00:00+05:30,924.0,932.3,912.0,918.75,299164
2019-04-03 00:00:00+05:30,921.9,928.0,900.2,904.8,343788
2019-04-04 00:00:00+05:30,904.1,917.0,902.75,912.6,597677
2019-04-05 00:00:00+05:30,917.0,930.35,912.9,924.95,308050
2019-04-08 00:00:00+05:30,933.0,933.95,892.15,903.7,556161
2019-04-09 00:00:00+05:30,899.0,901.75,871.95,889.9,768564
2019-04-10 00:00:00+05:30,889.0,904.5,880.3,899.1,411674
2019-04-11 00:00:00+05:30,899.9,912.5,882.1,906.9,617764
2019-04-12 00:00:00+05:30,909.0,927.0,902.0,925.2,597348
2019-04-15 00:00:00+05:30,928.5,932.0,920.55,924.8,239757
2019-04-16 00:00:00+05:30,928.0,934.8,923.7,929.35,296854
2019-04-18 00:00:00+05:30,929.35,945.6,915.35,940.55,468414
2019-04-22 00:00:00+05:30,933.6,936.0,898.0,901.5,354791
2019-04-23 00:00:00+05:30,905.0,916.1,900.9,904.05,311128
2019-04-24 00:00:00+05:30,907.85,933.0,885.8,923.45,934238
2019-04-25 00:00:00+05:30,927.15,962.8,923.6,929.7,913723
2019-04-26 00:00:00+05:30,934.0,938.25,916.25,921.65,300938
2019-04-30 00:00:00+05:30,925.55,925.55,902.95,917.2,464252
2019-05-02 00:00:00+05:30,922.7,937.45,911.0,930.15,786632
2019-05-03 00:00:00+05:30,930.0,950.4,917.9,942.15,2292537
2019-05-06 00:00:00+05:30,932.5,935.0,907.6,914.35,582166
2019-05-07 00:00:00+05:30,918.1,923.95,901.75,911.2,517498
2019-05-08 00:00:00+05:30,906.5,930.0,903.0,916.0,600972
2019-05-09 00:00:00+05:30,916.0,931.9,905.0,926.2,557176
2019-05-10 00:00:00+05:30,925.95,935.35,917.3,929.3,538489
2019-05-13 00:00:00+05:30,928.0,928.0,889.7,896.3,311319
2019-05-14 00:00:00+05:30,890.0,917.95,883.0,907.15,423005
2019-05-15 00:00:00+05:30,905.0,916.0,887.4,895.55,378900
2019-05-16 00:00:00+05:30,897.05,920.65,886.8,915.45,661214
2019-05-17 00:00:00+05:30,914.85,918.7,905.0,912.0,365362
2019-05-20 00:00:00+05:30,938.0,994.0,930.4,986.65,964738
2019-05-21 00:00:00+05:30,984.65,995.2,965.95,969.65,657879
2019-05-22 00:00:00+05:30,972.5,979.65,961.65,976.8,354653
2019-05-23 00:00:00+05:30,998.85,1016.0,984.35,991.5,648852
2019-05-24 00:00:00+05:30,997.5,1035.0,990.1,1030.75,722942
2019-05-27 00:00:00+05:30,1025.05,1061.15,1022.5,1055.0,555801
2019-05-28 00:00:00+05:30,1060.0,1060.25,1025.05,1030.4,557021
2019-05-29 00:00:00+05:30,1022.1,1034.5,1016.45,1023.75,356744
2019-05-30 00:00:00+05:30,1025.6,1040.0,1022.0,1031.25,395787
2019-05-31 00:00:00+05:30,1030.4,1047.2,1003.0,1026.6,651607
2019-06-03 00:00:00+05:30,1026.95,1061.0,1017.95,1056.55,600292
2019-06-04 00:00:00+05:30,1058.0,1063.0,1020.35,1023.55,479069
2019-06-06 00:00:00+05:30,1026.25,1028.15,991.0,996.25,595911
2019-06-07 00:00:00+05:30,999.9,1009.75,985.05,995.9,436421
2019-06-10 00:00:00+05:30,1004.4,1009.2,983.95,989.55,317407
2019-06-11 00:00:00+05:30,998.0,998.0,979.15,990.25,545268
2019-06-12 00:00:00+05:30,985.05,997.0,980.0,982.85,372092
2019-06-13 00:00:00+05:30,985.0,988.95,965.3,980.35,521263
2019-06-14 00:00:00+05:30,970.25,987.15,955.0,957.9,461023
2019-06-17 00:00:00+05:30,970.0,970.0,936.7,942.45,596854
2019-06-18 00:00:00+05:30,944.0,949.2,933.6,944.55,533659
2019-06-19 00:00:00+05:30,952.4,961.5,903.8,927.0,727205
2019-06-20 00:00:00+05:30,932.0,949.0,918.6,943.8,278364
2019-06-21 00:00:00+05:30,934.5,950.7,932.75,940.25,567160
2019-06-24 00:00:00+05:30,948.5,948.5,927.0,933.7,361369
2019-06-25 00:00:00+05:30,938.0,942.8,921.8,937.65,266586
2019-06-26 00:00:00+05:30,937.55,971.85,933.25,963.6,558572
2019-06-27 00:00:00+05:30,968.0,975.5,953.55,961.0,434809
2019-06-28 00:00:00+05:30,968.9,970.9,946.0,948.9,285340
2019-07-01 00:00:00+05:30,952.0,956.9,940.4,950.15,236555
2019-07-02 00:00:00+05:30,949.9,966.75,949.1,963.0,320216
2019-07-03 00:00:00+05:30,964.0,1002.25,958.75,988.5,774817
2019-07-04 00:00:00+05:30,991.05,993.95,967.35,972.4,805241
2019-07-05 00:00:00+05:30,975.45,980.0,925.1,931.65,948398
2019-07-08 00:00:00+05:30,925.1,926.0,895.0,899.5,876925
2019-07-09 00:00:00+05:30,899.4,919.0,894.15,911.65,480426
2019-07-10 00:00:00+05:30,911.65,920.1,890.0,895.2,555437
2019-07-11 00:00:00+05:30,898.75,915.35,892.9,910.35,582438
2019-07-12 00:00:00+05:30,910.35,932.9,908.3,925.9,755437
2019-07-15 00:00:00+05:30,930.0,933.7,909.95,926.6,392438
2019-07-16 00:00:00+05:30,925.9,951.75,925.0,945.45,468419
2019-07-17 00:00:00+05:30,945.4,969.0,937.15,955.35,535739
2019-07-18 00:00:00+05:30,951.8,961.05,929.6,935.05,497444
2019-07-19 00:00:00+05:30,934.95,943.45,911.35,917.65,687087
2019-07-22 00:00:00+05:30,913.5,924.0,889.25,917.85,687289
2019-07-23 00:00:00+05:30,918.05,926.1,910.1,912.85,504059
2019-07-24 00:00:00+05:30,914.95,915.45,890.0,892.25,294312
2019-07-25 00:00:00+05:30,894.4,904.0,880.45,891.9,441739
2019-07-26 00:00:00+05:30,894.0,916.55,887.45,912.9,364238
2019-07-29 00:00:00+05:30,915.0,921.9,880.25,884.15,600299
2019-07-30 00:00:00+05:30,884.0,897.95,867.0,875.6,685623
2019-07-31 00:00:00+05:30,870.5,899.0,856.15,891.4,577252
2019-08-01 00:00:00+05:30,885.1,896.15,869.2,878.9,530531
2019-08-02 00:00:00+05:30,874.9,894.0,859.25,875.65,458582
2019-08-05 00:00:00+05:30,872.0,875.0,842.0,865.9,628866
2019-08-06 00:00:00+05:30,862.25,894.1,862.05,889.9,643730
2019-08-07 00:00:00+05:30,884.5,911.6,881.3,884.05,604506
2019-08-08 00:00:00+05:30,887.0,905.0,870.6,889.15,499544
2019-08-09 00:00:00+05:30,900.0,922.0,897.25,909.3,496629
2019-08-13 00:00:00+05:30,907.3,907.3,871.05,880.0,468574
2019-08-14 00:00:00+05:30,882.05,904.7,882.05,898.1,628866
2019-08-16 00:00:00+05:30,894.9,910.5,873.0,906.2,656244
2019-08-19 00:00:00+05:30,908.0,918.0,893.25,898.6,690193
2019-08-20 00:00:00+05:30,901.4,901.4,861.35,865.8,630661
2019-08-21 00:00:00+05:30,860.0,865.45,830.1,835.35,908360
2019-08-22 00:00:00+05:30,831.0,836.2,805.0,811.8,724509
2019-08-23 00:00:00+05:30,805.0,836.95,801.05,826.7,492579
2019-08-26 00:00:00+05:30,837.9,848.6,810.95,843.5,595920
2019-08-27 00:00:00+05:30,852.0,869.75,846.75,851.95,584479
2019-08-28 00:00:00+05:30,855.45,861.2,839.0,847.2,498864
2019-08-29 00:00:00+05:30,841.0,855.75,837.2,840.15,291229
2019-08-30 00:00:00+05:30,843.0,859.0,840.15,851.55,479224
2019-09-03 00:00:00+05:30,849.0,849.0,825.3,829.55,528136
2019-09-04 00:00:00+05:30,827.0,845.4,808.75,840.95,928386
2019-09-05 00:00:00+05:30,842.05,851.7,834.2,844.65,357095
2019-09-06 00:00:00+05:30,848.85,854.8,843.35,850.35,255641
2019-09-09 00:00:00+05:30,847.0,862.65,844.0,860.35,242874
2019-09-11 00:00:00+05:30,860.0,886.5,860.0,881.05,662709
2019-09-12 00:00:00+05:30,882.05,909.5,878.1,901.7,640014
2019-09-13 00:00:00+05:30,906.0,925.2,896.5,921.35,615961
2019-09-16 00:00:00+05:30,909.55,934.5,909.55,923.1,552594
2019-09-17 00:00:00+05:30,923.6,927.9,901.05,903.35,421045
2019-09-18 00:00:00+05:30,907.35,914.3,896.45,906.75,362428
2019-09-19 00:00:00+05:30,907.0,911.0,877.5,882.15,486963
2019-09-20 00:00:00+05:30,884.0,962.85,878.85,952.65,956003
2019-09-23 00:00:00+05:30,960.0,987.55,954.95,966.75,616601
2019-09-24 00:00:00+05:30,968.7,972.65,944.75,955.75,358231
2019-09-25 00:00:00+05:30,948.4,952.95,908.0,919.5,688306
2019-09-26 00:00:00+05:30,923.95,939.9,918.15,932.8,443552
2019-09-27 00:00:00+05:30,929.0,936.9,912.4,915.65,314235
2019-09-30 00:00:00+05:30,913.65,916.65,887.7,906.55,326044
2019-10-01 00:00:00+05:30,909.0,927.8,880.05,899.05,722466
2019-10-03 00:00:00+05:30,898.1,907.75,882.65,889.4,394432
2019-10-04 00:00:00+05:30,890.5,898.4,866.6,870.55,1176014
2019-10-07 00:00:00+05:30,869.3,875.95,855.65,862.5,539333
2019-10-09 00:00:00+05:30,864.9,936.0,860.95,924.3,2634864
2019-10-10 00:00:00+05:30,920.0,921.3,864.0,882.2,2058265
2019-10-11 00:00:00+05:30,390.0,421.3,380.1,393.85,2235482
2019-10-14 00:00:00+05:30,402.0,402.0,379.55,381.45,1255595
2019-10-15 00:00:00+05:30,381.0,393.0,352.1,384.25,3672355
2019-10-16 00:00:00+05:30,385.9,387.65,372.1,378.7,944234
2019-10-17 00:00:00+05:30,381.05,393.6,375.25,387.55,999031
2019-10-18 00:00:00+05:30,387.0,408.25,378.95,400.05,894903
2019-10-22 00:00:00+05:30,399.6,464.55,399.2,443.75,4251143
2019-10-23 00:00:00+05:30,439.95,463.85,430.0,456.3,2049114
2019-10-24 00:00:00+05:30,455.0,458.55,442.35,447.6,1159835
2019-10-25 00:00:00+05:30,448.15,451.65,403.65,410.45,2485587
2019-10-27 00:00:00+05:30,414.9,424.0,408.0,415.2,406028
2019-10-29 00:00:00+05:30,414.9,431.2,410.3,423.75,902003
2019-10-30 00:00:00+05:30,424.0,430.0,418.0,421.7,715170
2019-10-31 00:00:00+05:30,423.8,429.75,414.0,422.4,893102
2019-11-01 00:00:00+05:30,423.6,426.95,405.45,410.55,785467
2019-11-04 00:00:00+05:30,411.95,421.0,404.75,407.1,674911
2019-11-05 00:00:00+05:30,409.6,416.95,390.75,394.1,1497426
2019-11-06 00:00:00+05:30,394.4,401.0,390.6,399.4,1097207
2019-11-07 00:00:00+05:30,404.0,405.05,390.5,397.4,1419781
2019-11-08 00:00:00+05:30,397.35,404.05,383.75,391.45,1428453
2019-11-11 00:00:00+05:30,393.0,398.0,385.1,388.8,626622
2019-11-13 00:00:00+05:30,390.0,422.0,388.8,390.45,4348656
2019-11-14 00:00:00+05:30,392.85,411.9,382.7,405.35,2447581
2019-11-15 00:00:00+05:30,407.05,419.9,407.05,416.05,1476606
2019-11-18 00:00:00+05:30,418.35,450.4,418.2,448.3,3515787
2019-11-19 00:00:00+05:30,446.15,450.0,436.65,443.55,1118280
2019-11-20 00:00:00+05:30,445.85,468.0,445.85,451.25,2540689
2019-11-21 00:00:00+05:30,453.7,456.7,443.05,453.35,760623
2019-11-22 00:00:00+05:30,453.35,463.0,448.6,453.45,1106907
2019-11-25 00:00:00+05:30,455.6,461.85,451.0,455.45,502059
2019-11-26 00:00:00+05:30,457.0,459.25,440.65,451.35,755796
2019-11-27 00:00:00+05:30,453.45,461.65,449.3,454.85,690987
2019-11-28 00:00:00+05:30,455.0,466.9,450.0,463.1,757693
2019-11-29 00:00:00+05:30,462.5,477.9,457.0,462.95,1404999
2019-12-02 00:00:00+05:30,463.0,474.9,457.25,470.65,1359686
2019-12-03 00:00:00+05:30,470.0,479.5,465.1,471.95,1132025
2019-12-04 00:00:00+05:30,472.0,478.0,465.5,475.75,543538
2019-12-05 00:00:00+05:30,473.2,477.2,468.7,472.9,324623
