date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,15.05,16.5,14.85,15.1,8094
2019-01-02 00:00:00+05:30,15.45,15.8,15.1,15.5,8027
2019-01-03 00:00:00+05:30,15.95,15.95,15.15,15.65,4516
2019-01-04 00:00:00+05:30,15.35,15.65,15.15,15.25,4713
2019-01-07 00:00:00+05:30,15.5,15.85,14.65,14.95,15588
2019-01-08 00:00:00+05:30,14.8,15.1,14.65,14.85,3165
2019-01-09 00:00:00+05:30,15.05,15.15,14.6,14.85,5852
2019-01-10 00:00:00+05:30,14.8,15.3,14.8,14.9,5114
2019-01-11 00:00:00+05:30,14.85,15.0,14.65,14.95,3183
2019-01-14 00:00:00+05:30,15.25,15.25,14.65,14.85,2877
2019-01-15 00:00:00+05:30,15.15,15.45,14.6,14.65,6807
2019-01-16 00:00:00+05:30,14.7,15.35,14.65,15.0,6416
2019-01-17 00:00:00+05:30,15.1,15.9,15.1,15.4,15104
2019-01-18 00:00:00+05:30,15.15,15.5,15.15,15.2,5404
2019-01-21 00:00:00+05:30,15.15,15.5,14.75,14.85,6634
2019-01-22 00:00:00+05:30,15.0,15.05,14.4,14.95,4610
2019-01-23 00:00:00+05:30,15.0,15.35,14.85,14.9,1091
2019-01-24 00:00:00+05:30,15.1,15.5,14.85,14.85,15503
2019-01-25 00:00:00+05:30,14.9,15.25,14.0,14.95,13792
2019-01-28 00:00:00+05:30,14.85,14.85,14.5,14.75,25345
2019-01-29 00:00:00+05:30,14.55,14.95,14.05,14.45,13221
2019-01-30 00:00:00+05:30,14.95,15.0,14.6,14.85,15109
2019-01-31 00:00:00+05:30,14.8,15.35,14.65,15.1,9760
2019-02-01 00:00:00+05:30,15.15,15.45,14.85,15.15,7746
2019-02-04 00:00:00+05:30,14.95,15.1,14.75,15.1,13846
2019-02-05 00:00:00+05:30,15.3,15.3,14.8,14.85,10796
2019-02-06 00:00:00+05:30,14.85,15.2,14.2,14.55,14468
2019-02-07 00:00:00+05:30,14.4,15.05,14.35,14.75,13040
2019-02-08 00:00:00+05:30,14.75,14.8,14.6,14.65,12684
2019-02-11 00:00:00+05:30,14.4,15.0,14.35,15.0,8783
2019-02-12 00:00:00+05:30,14.6,15.1,14.6,15.0,2807
2019-02-13 00:00:00+05:30,14.5,14.8,14.5,14.6,15848
2019-02-14 00:00:00+05:30,14.8,14.8,14.5,14.5,4113
2019-02-15 00:00:00+05:30,14.6,15.0,14.5,14.5,9462
2019-02-18 00:00:00+05:30,14.55,14.55,14.4,14.5,7739
2019-02-19 00:00:00+05:30,14.55,14.95,14.35,14.45,5628
2019-02-20 00:00:00+05:30,14.55,15.0,14.45,14.6,9884
2019-02-21 00:00:00+05:30,14.5,15.0,14.45,14.5,1083
2019-02-22 00:00:00+05:30,14.45,15.2,14.45,14.6,4730
2019-02-25 00:00:00+05:30,15.2,15.2,14.5,14.6,5644
2019-02-26 00:00:00+05:30,14.6,14.9,14.5,14.55,3571
2019-02-27 00:00:00+05:30,15.0,15.2,14.8,14.8,5375
2019-02-28 00:00:00+05:30,14.85,15.15,14.8,14.9,3282
2019-03-01 00:00:00+05:30,14.85,15.65,14.85,15.05,2633
2019-03-05 00:00:00+05:30,15.5,18.0,15.35,17.75,28114
2019-03-06 00:00:00+05:30,18.65,21.3,17.55,21.3,67117
2019-03-07 00:00:00+05:30,22.65,22.65,20.3,20.5,75622
2019-03-08 00:00:00+05:30,20.0,21.0,19.0,19.45,17589
2019-03-11 00:00:00+05:30,20.0,21.25,19.45,19.7,14145
