date,open,high,low,close,volume
2019-01-02 00:00:00+05:30,2.8,2.8,2.8,2.8,100
2019-01-04 00:00:00+05:30,2.8,2.8,2.8,2.8,250
2019-01-07 00:00:00+05:30,2.8,2.8,2.8,2.8,1000
2019-01-09 00:00:00+05:30,2.8,2.8,2.8,2.8,500
2019-01-10 00:00:00+05:30,2.8,2.8,2.7,2.7,2100
2019-01-14 00:00:00+05:30,2.7,2.7,2.7,2.7,1500
2019-01-16 00:00:00+05:30,2.8,2.8,2.6,2.6,5252
2019-01-17 00:00:00+05:30,2.55,2.55,2.55,2.55,349
2019-01-22 00:00:00+05:30,2.65,2.65,2.65,2.65,1400
2019-01-25 00:00:00+05:30,2.75,2.75,2.75,2.75,500
2019-01-28 00:00:00+05:30,2.65,2.65,2.65,2.65,1176
2019-02-01 00:00:00+05:30,2.55,2.55,2.55,2.55,100
2019-02-04 00:00:00+05:30,2.45,2.45,2.45,2.45,21
2019-02-05 00:00:00+05:30,2.4,2.4,2.4,2.4,5
2019-02-06 00:00:00+05:30,2.4,2.4,2.4,2.4,500
2019-02-07 00:00:00+05:30,2.5,2.5,2.5,2.5,20300
2019-02-08 00:00:00+05:30,2.4,2.4,2.4,2.4,100
2019-02-11 00:00:00+05:30,2.35,2.35,2.35,2.35,2000
2019-02-15 00:00:00+05:30,2.45,2.45,2.3,2.3,8000
2019-02-18 00:00:00+05:30,2.4,2.4,2.4,2.4,5700
2019-02-20 00:00:00+05:30,2.5,2.5,2.5,2.5,1300
2019-02-22 00:00:00+05:30,2.6,2.6,2.6,2.6,100
2019-02-25 00:00:00+05:30,2.7,2.7,2.7,2.7,250
2019-02-26 00:00:00+05:30,2.75,2.75,2.75,2.75,100
2019-02-27 00:00:00+05:30,2.65,2.85,2.65,2.85,1010
2019-02-28 00:00:00+05:30,2.75,2.75,2.75,2.75,1100
2019-03-01 00:00:00+05:30,2.65,2.85,2.65,2.85,2265
2019-03-05 00:00:00+05:30,2.75,2.75,2.75,2.75,3176
2019-03-06 00:00:00+05:30,2.8,2.85,2.65,2.85,3580
2019-03-08 00:00:00+05:30,2.85,2.85,2.85,2.85,2500
2019-03-11 00:00:00+05:30,2.75,2.8,2.75,2.8,5355
2019-03-13 00:00:00+05:30,2.7,2.7,2.7,2.7,2756
2019-03-14 00:00:00+05:30,2.65,2.7,2.65,2.7,1008
2019-03-15 00:00:00+05:30,2.6,2.6,2.6,2.6,3500
2019-03-19 00:00:00+05:30,2.6,2.6,2.6,2.6,1669
2019-03-20 00:00:00+05:30,2.7,2.7,2.7,2.7,1
2019-03-25 00:00:00+05:30,2.6,2.7,2.6,2.7,3601
2019-03-28 00:00:00+05:30,2.6,2.6,2.6,2.6,500
2019-03-29 00:00:00+05:30,2.5,2.5,2.5,2.5,500
2019-04-03 00:00:00+05:30,2.5,2.5,2.5,2.5,2
2019-04-04 00:00:00+05:30,2.4,2.55,2.4,2.55,257
2019-04-05 00:00:00+05:30,2.45,2.45,2.45,2.45,11
2019-04-08 00:00:00+05:30,2.45,2.45,2.35,2.35,10012
2019-04-10 00:00:00+05:30,2.25,2.25,2.25,2.25,100
2019-04-11 00:00:00+05:30,2.15,2.25,2.15,2.25,300
2019-04-12 00:00:00+05:30,2.25,2.25,2.25,2.25,250
2019-04-15 00:00:00+05:30,2.15,2.25,2.15,2.15,7942
2019-04-16 00:00:00+05:30,2.1,2.1,2.05,2.05,9423
2019-04-22 00:00:00+05:30,2.05,2.05,2.05,2.05,523
2019-04-24 00:00:00+05:30,2.05,2.05,2.05,2.05,758
2019-04-25 00:00:00+05:30,2.05,2.05,2.05,2.05,10
2019-05-03 00:00:00+05:30,2.05,2.05,2.05,2.05,100
2019-05-07 00:00:00+05:30,2.05,2.05,2.05,2.05,10
2019-05-09 00:00:00+05:30,1.95,1.95,1.95,1.95,400
2019-05-16 00:00:00+05:30,1.9,1.9,1.9,1.9,882
2019-05-17 00:00:00+05:30,1.85,1.85,1.85,1.85,3000
2019-05-21 00:00:00+05:30,1.8,1.8,1.8,1.8,200
2019-05-22 00:00:00+05:30,1.85,1.85,1.85,1.85,200
2019-05-24 00:00:00+05:30,1.9,1.9,1.9,1.9,2350
2019-05-27 00:00:00+05:30,1.9,1.95,1.9,1.95,6000
2019-05-28 00:00:00+05:30,1.95,1.95,1.95,1.95,12484
2019-05-30 00:00:00+05:30,1.95,2.0,1.95,2.0,1200
2019-06-07 00:00:00+05:30,2.0,2.0,2.0,2.0,15
2019-06-13 00:00:00+05:30,1.9,1.9,1.9,1.9,200
2019-06-19 00:00:00+05:30,1.9,1.9,1.9,1.9,1000
2019-06-20 00:00:00+05:30,1.85,1.85,1.85,1.85,200
2019-07-04 00:00:00+05:30,1.8,1.8,1.8,1.8,11601
2019-07-08 00:00:00+05:30,1.8,1.8,1.8,1.8,600
2019-07-15 00:00:00+05:30,1.8,1.8,1.8,1.8,1
2019-07-17 00:00:00+05:30,1.8,1.8,1.8,1.8,50
2019-07-18 00:00:00+05:30,1.75,1.75,1.75,1.75,2000
2019-07-19 00:00:00+05:30,1.75,1.75,1.75,1.75,1250
2019-07-24 00:00:00+05:30,1.7,1.7,1.7,1.7,10
2019-07-25 00:00:00+05:30,1.65,1.65,1.65,1.65,420
2019-07-26 00:00:00+05:30,1.6,1.6,1.6,1.6,1121
2019-07-30 00:00:00+05:30,1.55,1.55,1.55,1.55,2500
2019-07-31 00:00:00+05:30,1.55,1.55,1.55,1.55,2
2019-08-01 00:00:00+05:30,1.55,1.55,1.55,1.55,1
2019-08-07 00:00:00+05:30,1.55,1.55,1.55,1.55,199
2019-08-09 00:00:00+05:30,1.5,1.5,1.5,1.5,1000
2019-08-13 00:00:00+05:30,1.45,1.55,1.45,1.55,6800
2019-08-14 00:00:00+05:30,1.55,1.55,1.55,1.55,1
2019-08-16 00:00:00+05:30,1.5,1.5,1.5,1.5,104
2019-08-19 00:00:00+05:30,1.45,1.45,1.45,1.45,1051
2019-08-20 00:00:00+05:30,1.4,1.4,1.4,1.4,10
2019-08-30 00:00:00+05:30,1.35,1.35,1.35,1.35,100
2019-09-03 00:00:00+05:30,1.35,1.35,1.35,1.35,25
2019-09-11 00:00:00+05:30,1.4,1.4,1.4,1.4,500
2019-09-12 00:00:00+05:30,1.35,1.35,1.35,1.35,1989
2019-09-13 00:00:00+05:30,1.35,1.35,1.35,1.35,4550
2019-09-17 00:00:00+05:30,1.4,1.4,1.4,1.4,1000
2019-09-24 00:00:00+05:30,1.4,1.4,1.4,1.4,860
2019-10-07 00:00:00+05:30,1.35,1.35,1.35,1.35,379
2019-10-10 00:00:00+05:30,1.3,1.3,1.3,1.3,700
2019-10-14 00:00:00+05:30,1.3,1.3,1.3,1.3,50
2019-10-16 00:00:00+05:30,1.25,1.25,1.25,1.25,400
2019-10-22 00:00:00+05:30,1.2,1.2,1.2,1.2,550
2019-10-24 00:00:00+05:30,1.25,1.25,1.25,1.25,1100
2019-10-29 00:00:00+05:30,1.2,1.2,1.2,1.2,200
2019-11-01 00:00:00+05:30,1.25,1.25,1.25,1.25,2000
2019-11-04 00:00:00+05:30,1.2,1.2,1.2,1.2,200
2019-11-05 00:00:00+05:30,1.25,1.25,1.25,1.25,656
2019-11-15 00:00:00+05:30,1.25,1.25,1.25,1.25,100
2019-11-20 00:00:00+05:30,1.25,1.25,1.25,1.25,200
2019-11-22 00:00:00+05:30,1.2,1.2,1.2,1.2,1000
2019-11-25 00:00:00+05:30,1.25,1.25,1.25,1.25,2384
2019-11-26 00:00:00+05:30,1.25,1.25,1.25,1.25,1200
2019-11-27 00:00:00+05:30,1.3,1.3,1.2,1.2,5000
2019-11-28 00:00:00+05:30,1.25,1.25,1.25,1.25,300
2019-12-11 00:00:00+05:30,1.25,1.3,1.2,1.3,1765
2019-12-13 00:00:00+05:30,1.3,1.3,1.3,1.3,400
2019-12-17 00:00:00+05:30,1.35,1.35,1.35,1.35,1763
2019-12-18 00:00:00+05:30,1.35,1.35,1.35,1.35,50
2019-12-27 00:00:00+05:30,1.4,1.4,1.4,1.4,856
2020-01-06 00:00:00+05:30,1.45,1.45,1.45,1.45,100
