date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,42.5,43.0,42.2,42.9,2540
2019-01-02 00:00:00+05:30,43.0,43.7,42.0,42.25,3442
2019-01-03 00:00:00+05:30,42.7,43.35,42.0,42.05,3282
2019-01-04 00:00:00+05:30,42.55,42.85,41.95,42.5,2674
2019-01-07 00:00:00+05:30,42.2,42.75,41.7,42.65,737
2019-01-08 00:00:00+05:30,42.9,43.0,42.65,42.95,1235
2019-01-09 00:00:00+05:30,42.2,42.85,42.2,42.85,420
2019-01-10 00:00:00+05:30,42.25,43.9,42.15,42.5,10529
2019-01-11 00:00:00+05:30,42.0,42.85,42.0,42.1,3122
2019-01-14 00:00:00+05:30,42.1,43.4,41.2,41.8,4882
2019-01-15 00:00:00+05:30,41.6,42.65,41.5,41.55,2849
2019-01-16 00:00:00+05:30,41.8,42.45,41.6,42.05,6835
2019-01-17 00:00:00+05:30,42.1,42.15,41.45,41.6,1414
2019-01-18 00:00:00+05:30,41.55,41.55,41.3,41.35,2996
2019-01-21 00:00:00+05:30,42.0,42.6,41.25,41.3,4487
2019-01-22 00:00:00+05:30,41.25,42.45,41.0,41.8,7779
2019-01-23 00:00:00+05:30,41.0,41.15,40.45,40.6,4316
2019-01-24 00:00:00+05:30,41.1,41.1,39.1,40.35,6351
2019-01-25 00:00:00+05:30,41.6,41.6,39.7,39.85,3475
2019-01-28 00:00:00+05:30,41.45,41.45,38.0,38.45,5674
2019-01-29 00:00:00+05:30,40.7,40.85,37.8,38.5,6401
2019-01-30 00:00:00+05:30,38.5,39.8,38.35,38.45,3659
2019-01-31 00:00:00+05:30,38.8,39.65,38.55,38.7,2444
2019-02-01 00:00:00+05:30,38.8,39.45,38.5,39.1,7611
2019-02-04 00:00:00+05:30,38.55,39.4,37.2,38.1,3609
2019-02-05 00:00:00+05:30,40.0,41.9,38.4,38.9,29602
2019-02-06 00:00:00+05:30,38.15,38.25,37.1,37.4,10068
2019-02-07 00:00:00+05:30,37.2,37.5,36.4,37.1,19184
2019-02-08 00:00:00+05:30,36.95,36.95,36.3,36.6,1491
2019-02-11 00:00:00+05:30,36.0,36.85,33.75,35.5,5824
2019-02-12 00:00:00+05:30,35.6,35.6,34.15,35.0,8373
2019-02-13 00:00:00+05:30,34.6,36.05,34.5,34.95,2265
2019-02-14 00:00:00+05:30,34.5,34.8,33.25,33.35,11523
2019-02-15 00:00:00+05:30,34.55,39.7,33.05,37.45,37428
2019-02-18 00:00:00+05:30,35.3,41.65,35.3,39.9,40540
2019-02-19 00:00:00+05:30,39.7,41.2,37.4,40.0,22688
2019-02-20 00:00:00+05:30,41.6,42.8,40.15,40.75,26961
2019-02-21 00:00:00+05:30,40.65,41.0,40.1,40.85,7596
2019-02-22 00:00:00+05:30,40.9,40.95,40.1,40.4,2658
2019-02-25 00:00:00+05:30,41.5,43.0,39.55,40.0,7130
2019-02-26 00:00:00+05:30,39.65,40.0,39.1,39.5,463
2019-02-27 00:00:00+05:30,39.2,40.6,39.2,39.85,3443
2019-02-28 00:00:00+05:30,39.35,40.0,39.25,39.9,2487
2019-03-01 00:00:00+05:30,40.05,40.6,39.4,40.15,10181
2019-03-05 00:00:00+05:30,40.15,41.5,38.3,41.15,4450
2019-03-06 00:00:00+05:30,41.55,42.05,40.45,40.75,7267
2019-03-07 00:00:00+05:30,40.95,42.0,40.95,41.95,6050
2019-03-08 00:00:00+05:30,41.45,41.45,39.55,40.15,1781
2019-03-11 00:00:00+05:30,40.8,40.8,40.05,40.2,3715
2019-03-12 00:00:00+05:30,40.5,41.85,40.25,41.0,10167
2019-03-13 00:00:00+05:30,40.95,45.4,40.15,43.45,43716
2019-03-14 00:00:00+05:30,44.8,48.3,43.25,45.6,73148
2019-03-15 00:00:00+05:30,46.4,46.4,42.85,43.35,11042
2019-03-18 00:00:00+05:30,43.15,44.65,43.15,44.0,12261
2019-03-19 00:00:00+05:30,43.2,43.7,41.8,42.15,6575
2019-03-20 00:00:00+05:30,42.05,43.45,41.75,42.2,5784
2019-03-22 00:00:00+05:30,42.0,43.1,41.2,41.45,3014
2019-03-25 00:00:00+05:30,41.15,46.9,41.05,44.4,34848
2019-03-26 00:00:00+05:30,44.1,45.5,43.1,44.95,25243
2019-03-27 00:00:00+05:30,43.0,46.1,40.8,41.55,31616
2019-03-28 00:00:00+05:30,42.85,44.4,42.5,43.7,9943
2019-03-29 00:00:00+05:30,43.9,44.8,43.4,43.9,5712
2019-04-01 00:00:00+05:30,43.9,44.05,42.35,43.0,3488
2019-04-02 00:00:00+05:30,44.3,45.45,43.05,44.8,9863
2019-04-03 00:00:00+05:30,44.9,46.1,44.9,45.05,7490
