date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,73.0,74.7,72.25,74.15,8412
2019-01-02 00:00:00+05:30,73.65,73.95,72.5,72.85,1905
2019-01-03 00:00:00+05:30,73.0,73.5,72.25,73.1,1194
2019-01-04 00:00:00+05:30,72.05,74.45,72.05,73.85,4122
2019-01-07 00:00:00+05:30,74.7,74.7,72.4,73.05,6298
2019-01-08 00:00:00+05:30,72.05,74.5,72.0,73.75,3316
2019-01-09 00:00:00+05:30,73.0,73.7,72.55,72.9,5488
2019-01-10 00:00:00+05:30,72.5,73.5,71.8,72.3,3946
2019-01-11 00:00:00+05:30,73.0,74.7,72.4,73.6,5808
2019-01-14 00:00:00+05:30,73.5,75.65,72.7,75.0,8079
2019-01-15 00:00:00+05:30,75.9,76.0,74.2,75.0,16720
2019-01-16 00:00:00+05:30,74.45,75.45,74.25,74.45,5815
2019-01-17 00:00:00+05:30,77.5,77.5,74.75,75.6,14931
2019-01-18 00:00:00+05:30,74.0,77.6,73.75,74.75,3038
2019-01-21 00:00:00+05:30,77.55,77.55,73.15,75.25,6263
2019-01-22 00:00:00+05:30,75.6,75.6,73.65,74.5,2928
2019-01-23 00:00:00+05:30,74.5,74.5,73.25,73.35,4052
2019-01-24 00:00:00+05:30,74.2,74.45,72.0,72.15,3355
2019-01-25 00:00:00+05:30,72.0,74.45,70.0,70.25,6629
2019-01-28 00:00:00+05:30,70.15,70.95,68.6,69.3,28682
2019-01-29 00:00:00+05:30,69.45,71.5,66.6,68.0,9582
2019-01-30 00:00:00+05:30,69.95,69.95,67.0,67.8,11016
2019-01-31 00:00:00+05:30,68.0,69.95,67.2,68.0,6393
2019-02-01 00:00:00+05:30,69.95,69.95,67.65,67.75,5485
2019-02-04 00:00:00+05:30,67.05,68.65,67.0,67.3,2297
2019-02-05 00:00:00+05:30,67.3,68.2,66.65,67.0,2154
2019-02-06 00:00:00+05:30,67.5,67.5,66.0,66.15,1799
2019-02-07 00:00:00+05:30,66.75,67.0,65.6,66.6,1915
2019-02-08 00:00:00+05:30,67.6,67.6,66.2,66.5,4185
2019-02-11 00:00:00+05:30,66.3,67.15,66.3,66.6,9364
2019-02-12 00:00:00+05:30,67.95,68.45,63.45,64.9,115138
2019-02-13 00:00:00+05:30,67.7,67.7,63.55,63.6,5451
2019-02-14 00:00:00+05:30,63.2,65.35,62.55,62.85,5735
2019-02-15 00:00:00+05:30,62.0,64.0,62.0,63.1,4443
2019-02-18 00:00:00+05:30,62.0,66.45,61.5,61.65,2813
2019-02-19 00:00:00+05:30,62.35,62.35,61.15,61.5,2030
2019-02-20 00:00:00+05:30,62.25,62.85,61.2,62.0,4451
2019-02-21 00:00:00+05:30,61.05,64.4,60.65,62.0,3496
2019-02-22 00:00:00+05:30,63.1,63.85,60.85,62.95,4644
2019-02-25 00:00:00+05:30,65.8,70.0,63.1,65.1,42688
2019-02-26 00:00:00+05:30,65.15,65.15,63.0,64.05,17757
2019-02-27 00:00:00+05:30,64.4,65.0,64.0,64.15,18053
2019-02-28 00:00:00+05:30,64.5,65.0,64.05,64.3,8268
2019-03-01 00:00:00+05:30,64.55,66.5,64.35,66.1,6846
2019-03-05 00:00:00+05:30,66.95,69.8,65.75,68.05,39149
2019-03-06 00:00:00+05:30,68.0,69.4,67.25,68.2,13395
2019-03-07 00:00:00+05:30,68.5,69.75,67.0,68.55,5596
2019-03-08 00:00:00+05:30,69.4,69.45,66.0,66.9,12805
2019-03-11 00:00:00+05:30,68.4,68.8,66.1,66.55,10288
2019-03-12 00:00:00+05:30,68.1,69.7,66.4,69.15,20546
2019-03-13 00:00:00+05:30,68.0,68.85,66.7,68.0,11895
2019-03-14 00:00:00+05:30,71.0,77.75,67.75,68.2,27881
2019-03-15 00:00:00+05:30,68.5,71.45,67.7,67.9,19617
2019-03-18 00:00:00+05:30,69.75,69.75,65.6,67.0,4286
2019-03-19 00:00:00+05:30,69.25,69.35,62.8,63.35,38495
2019-03-20 00:00:00+05:30,63.4,63.5,61.4,62.65,15693
2019-03-22 00:00:00+05:30,62.85,62.9,59.5,60.25,40805
2019-03-25 00:00:00+05:30,61.75,61.75,58.0,59.1,32807
2019-03-26 00:00:00+05:30,58.5,59.45,55.25,58.0,43535
2019-03-27 00:00:00+05:30,58.0,59.0,57.25,57.8,46913
2019-03-28 00:00:00+05:30,57.9,58.85,57.8,58.0,16209
2019-03-29 00:00:00+05:30,57.5,60.85,57.0,59.8,22101
2019-04-01 00:00:00+05:30,62.2,62.2,59.1,60.35,17756
2019-04-02 00:00:00+05:30,59.9,62.5,59.5,60.25,22592
2019-04-03 00:00:00+05:30,61.2,61.2,59.0,60.25,5769
2019-04-04 00:00:00+05:30,59.5,60.8,59.4,59.8,7766
2019-04-05 00:00:00+05:30,59.35,60.65,59.0,59.5,16245
2019-04-08 00:00:00+05:30,60.0,60.7,59.4,59.45,7895
2019-04-09 00:00:00+05:30,59.5,60.0,58.5,58.7,3118
2019-04-10 00:00:00+05:30,58.5,60.5,58.5,58.95,4150
2019-04-11 00:00:00+05:30,59.05,59.7,57.5,58.35,16894
2019-04-12 00:00:00+05:30,59.0,59.2,58.0,58.65,4167
2019-04-15 00:00:00+05:30,59.45,64.9,58.75,63.0,106416
2019-04-16 00:00:00+05:30,64.15,66.6,63.8,64.75,117500
2019-04-18 00:00:00+05:30,64.1,64.1,60.9,61.0,34493
2019-04-22 00:00:00+05:30,61.0,61.45,58.5,58.7,7207
2019-04-23 00:00:00+05:30,59.35,59.95,58.1,58.6,6481
2019-04-24 00:00:00+05:30,57.7,61.0,57.7,59.85,9048
2019-04-25 00:00:00+05:30,60.0,61.4,59.2,59.6,9410
