date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,6.65,6.65,6.0,6.65,150848
2019-01-02 00:00:00+05:30,6.9,6.95,6.6,6.95,74672
2019-01-03 00:00:00+05:30,7.0,7.25,6.8,7.15,83197
2019-01-04 00:00:00+05:30,7.05,7.05,6.8,6.8,63348
2019-01-07 00:00:00+05:30,6.8,6.9,6.5,6.55,54613
2019-02-21 00:00:00+05:30,3.0,3.0,2.8,3.0,48102
2019-02-22 00:00:00+05:30,3.0,3.0,2.85,2.85,136690
2019-02-25 00:00:00+05:30,2.85,2.95,2.75,2.75,47940
2019-02-26 00:00:00+05:30,2.75,2.85,2.65,2.7,41518
2019-02-27 00:00:00+05:30,2.7,2.75,2.6,2.6,23252
2019-02-28 00:00:00+05:30,2.6,2.6,2.5,2.5,19444
2019-03-01 00:00:00+05:30,2.4,2.55,2.4,2.4,66598
2019-03-05 00:00:00+05:30,2.4,2.5,2.3,2.3,214892
2019-03-06 00:00:00+05:30,2.3,2.4,2.2,2.2,266966
2019-03-07 00:00:00+05:30,2.2,2.3,2.1,2.1,144707
2019-03-08 00:00:00+05:30,2.05,2.2,2.0,2.0,443053
2019-03-11 00:00:00+05:30,2.0,2.0,1.9,1.9,111823
2019-03-12 00:00:00+05:30,1.9,1.9,1.85,1.85,60678
2019-03-13 00:00:00+05:30,1.85,1.85,1.8,1.8,66637
2019-03-14 00:00:00+05:30,1.75,1.75,1.75,1.75,39938
2019-03-15 00:00:00+05:30,1.7,1.8,1.7,1.7,96917
2019-03-18 00:00:00+05:30,1.65,1.65,1.65,1.65,25195
2019-03-19 00:00:00+05:30,1.6,1.6,1.6,1.6,36113
2019-03-20 00:00:00+05:30,1.55,1.55,1.55,1.55,24243
2019-03-22 00:00:00+05:30,1.5,1.5,1.5,1.5,34514
2019-03-25 00:00:00+05:30,1.45,1.45,1.45,1.45,2716
2019-03-26 00:00:00+05:30,1.4,1.4,1.4,1.4,6725
2019-03-27 00:00:00+05:30,1.35,1.35,1.35,1.35,40996
2019-03-28 00:00:00+05:30,1.3,1.3,1.3,1.3,29252
2019-03-29 00:00:00+05:30,1.25,1.25,1.25,1.25,41665
2019-04-01 00:00:00+05:30,1.2,1.3,1.2,1.2,390160
2019-04-02 00:00:00+05:30,1.15,1.25,1.15,1.15,627517
2019-04-03 00:00:00+05:30,1.15,1.15,1.1,1.1,167929
2019-04-04 00:00:00+05:30,1.05,1.15,1.05,1.1,275006
2019-04-05 00:00:00+05:30,1.15,1.15,1.05,1.1,189234
2019-04-08 00:00:00+05:30,1.1,1.1,1.05,1.05,246984
2019-04-09 00:00:00+05:30,1.05,1.1,1.0,1.0,409025
2019-04-10 00:00:00+05:30,0.95,1.05,0.95,1.0,285357
2019-04-11 00:00:00+05:30,0.95,1.05,0.95,1.0,100772
2019-04-12 00:00:00+05:30,0.95,1.05,0.95,1.0,87326
2019-04-15 00:00:00+05:30,1.05,1.05,0.95,0.95,126280
2019-04-16 00:00:00+05:30,0.95,1.0,0.9,0.95,72664
2019-04-18 00:00:00+05:30,0.95,1.0,0.95,1.0,111574
2019-04-22 00:00:00+05:30,1.05,1.05,0.95,1.0,355204
2019-04-23 00:00:00+05:30,0.95,1.0,0.95,1.0,90741
2019-04-24 00:00:00+05:30,1.0,1.0,0.95,0.95,72278
2019-04-25 00:00:00+05:30,1.0,1.0,0.9,0.95,108534
2019-04-26 00:00:00+05:30,1.0,1.0,0.9,0.9,50909
2019-04-30 00:00:00+05:30,0.9,0.9,0.85,0.9,34271
2019-05-02 00:00:00+05:30,0.9,0.95,0.85,0.9,98081
2019-05-03 00:00:00+05:30,0.9,0.9,0.85,0.9,79409
2019-05-06 00:00:00+05:30,0.9,0.9,0.85,0.9,27163
2019-05-07 00:00:00+05:30,0.9,0.9,0.85,0.85,38310
2019-05-08 00:00:00+05:30,0.8,0.9,0.8,0.8,113456
2019-05-09 00:00:00+05:30,0.75,0.85,0.75,0.8,38615
2019-05-10 00:00:00+05:30,0.75,0.85,0.75,0.8,34815
2019-05-13 00:00:00+05:30,0.75,0.8,0.75,0.75,7983
2019-05-14 00:00:00+05:30,0.75,0.8,0.7,0.75,50746
2019-05-15 00:00:00+05:30,0.75,0.8,0.7,0.75,17104
2019-05-16 00:00:00+05:30,0.75,0.8,0.7,0.75,187642
2019-05-17 00:00:00+05:30,0.8,0.8,0.7,0.75,29184
2019-05-20 00:00:00+05:30,0.75,0.8,0.7,0.75,33055
2019-05-21 00:00:00+05:30,0.8,0.8,0.7,0.7,78463
2019-05-22 00:00:00+05:30,0.75,0.75,0.65,0.7,76745
2019-05-23 00:00:00+05:30,0.75,0.75,0.65,0.7,29612
2019-05-24 00:00:00+05:30,0.65,0.75,0.65,0.7,48470
2019-05-27 00:00:00+05:30,0.75,0.75,0.65,0.7,33162
2019-05-28 00:00:00+05:30,0.75,0.75,0.7,0.7,38333
2019-05-29 00:00:00+05:30,0.75,0.75,0.7,0.7,263392
2019-05-30 00:00:00+05:30,0.7,0.75,0.7,0.75,103343
2019-05-31 00:00:00+05:30,0.8,0.8,0.8,0.8,159440
2019-06-03 00:00:00+05:30,0.85,0.85,0.75,0.75,146046
2019-06-04 00:00:00+05:30,0.7,0.8,0.7,0.7,180504
2019-06-06 00:00:00+05:30,0.65,0.7,0.65,0.65,8493
2019-06-07 00:00:00+05:30,0.7,0.7,0.65,0.7,32055
2019-06-10 00:00:00+05:30,0.75,0.75,0.7,0.7,37324
2019-06-11 00:00:00+05:30,0.7,0.75,0.7,0.75,43116
2019-06-12 00:00:00+05:30,0.8,0.8,0.7,0.7,38852
2019-06-13 00:00:00+05:30,0.75,0.75,0.65,0.7,26999
2019-06-14 00:00:00+05:30,0.65,0.75,0.65,0.7,61863
2019-06-17 00:00:00+05:30,0.65,0.65,0.65,0.65,131646
2019-06-18 00:00:00+05:30,0.6,0.65,0.6,0.6,69719
2019-06-19 00:00:00+05:30,0.65,0.65,0.55,0.55,247156
2019-06-20 00:00:00+05:30,0.55,0.6,0.5,0.5,162726
2019-06-21 00:00:00+05:30,0.55,0.55,0.5,0.55,38604
2019-06-24 00:00:00+05:30,0.6,0.6,0.5,0.55,9147
2019-06-25 00:00:00+05:30,0.5,0.6,0.5,0.55,10720
2019-06-26 00:00:00+05:30,0.5,0.6,0.5,0.55,139041
2019-06-27 00:00:00+05:30,0.6,0.6,0.55,0.6,15941
2019-06-28 00:00:00+05:30,0.6,0.6,0.55,0.6,5725
2019-07-01 00:00:00+05:30,0.55,0.6,0.55,0.55,17950
2019-07-02 00:00:00+05:30,0.5,0.6,0.5,0.6,20731
2019-07-03 00:00:00+05:30,0.6,0.6,0.55,0.55,13926
2019-07-04 00:00:00+05:30,0.5,0.6,0.5,0.6,63107
2019-07-05 00:00:00+05:30,0.55,0.65,0.55,0.6,51157
2019-07-08 00:00:00+05:30,0.6,0.65,0.55,0.65,43483
2019-07-09 00:00:00+05:30,0.6,0.6,0.6,0.6,40203
2019-07-10 00:00:00+05:30,0.55,0.65,0.55,0.55,26598
2019-07-11 00:00:00+05:30,0.6,0.6,0.55,0.6,10842
2019-07-12 00:00:00+05:30,0.55,0.65,0.55,0.55,5663
2019-07-15 00:00:00+05:30,0.55,0.55,0.55,0.55,4737
2019-07-16 00:00:00+05:30,0.55,0.6,0.55,0.55,3393
2019-07-17 00:00:00+05:30,0.55,0.6,0.5,0.55,24626
2019-07-18 00:00:00+05:30,0.55,0.6,0.5,0.55,8761
2019-07-19 00:00:00+05:30,0.6,0.6,0.5,0.55,47828
2019-07-22 00:00:00+05:30,0.55,0.55,0.5,0.5,27559
2019-07-23 00:00:00+05:30,0.5,0.55,0.5,0.5,11447
2019-07-24 00:00:00+05:30,0.5,0.55,0.5,0.5,5367
2019-07-25 00:00:00+05:30,0.5,0.55,0.5,0.55,3469
2019-07-26 00:00:00+05:30,0.5,0.55,0.5,0.5,984
2019-07-29 00:00:00+05:30,0.5,0.55,0.5,0.5,7178
2019-07-30 00:00:00+05:30,0.5,0.55,0.45,0.5,10757
2019-07-31 00:00:00+05:30,0.5,0.55,0.45,0.45,78386
2019-08-01 00:00:00+05:30,0.45,0.5,0.4,0.5,9725
2019-08-02 00:00:00+05:30,0.45,0.55,0.45,0.45,12267
2019-08-05 00:00:00+05:30,0.45,0.5,0.45,0.45,9522
2019-08-06 00:00:00+05:30,0.5,0.5,0.45,0.5,19384
2019-08-07 00:00:00+05:30,0.55,0.55,0.45,0.45,9886
2019-08-08 00:00:00+05:30,0.5,0.5,0.45,0.45,5497
2019-08-09 00:00:00+05:30,0.45,0.5,0.45,0.45,5205
2019-08-13 00:00:00+05:30,0.45,0.5,0.45,0.45,9637
2019-08-14 00:00:00+05:30,0.45,0.45,0.45,0.45,2985
2019-08-16 00:00:00+05:30,0.45,0.5,0.4,0.5,5610
2019-08-19 00:00:00+05:30,0.5,0.5,0.45,0.45,4251
2019-08-20 00:00:00+05:30,0.4,0.5,0.4,0.4,10174
2019-08-21 00:00:00+05:30,0.35,0.45,0.35,0.35,647
2019-08-22 00:00:00+05:30,0.35,0.4,0.35,0.35,3151
2019-08-23 00:00:00+05:30,0.35,0.4,0.35,0.4,23605
2019-08-26 00:00:00+05:30,0.35,0.45,0.35,0.4,27854
2019-08-27 00:00:00+05:30,0.35,0.4,0.35,0.4,1346
2019-08-28 00:00:00+05:30,0.35,0.45,0.35,0.4,23750
2019-08-29 00:00:00+05:30,0.35,0.45,0.35,0.4,25460
2019-08-30 00:00:00+05:30,0.35,0.45,0.35,0.4,19008
2019-09-03 00:00:00+05:30,0.4,0.45,0.35,0.4,8123
2019-09-04 00:00:00+05:30,0.45,0.45,0.4,0.45,6834
2019-09-05 00:00:00+05:30,0.45,0.45,0.4,0.4,2458
2019-09-06 00:00:00+05:30,0.4,0.45,0.35,0.35,19102
2019-09-09 00:00:00+05:30,0.35,0.35,0.35,0.35,2441
2019-09-11 00:00:00+05:30,0.35,0.4,0.35,0.35,3791
2019-09-12 00:00:00+05:30,0.35,0.35,0.35,0.35,126
2019-09-13 00:00:00+05:30,0.4,0.4,0.35,0.4,12421
2019-09-16 00:00:00+05:30,0.45,0.45,0.4,0.45,21395
2019-09-17 00:00:00+05:30,0.5,0.5,0.45,0.45,9153
2019-09-18 00:00:00+05:30,0.4,0.5,0.4,0.45,17652
2019-09-19 00:00:00+05:30,0.4,0.5,0.4,0.45,18155
2019-09-20 00:00:00+05:30,0.45,0.5,0.4,0.4,35132
2019-09-23 00:00:00+05:30,0.35,0.45,0.35,0.35,21604
2019-09-24 00:00:00+05:30,0.35,0.4,0.35,0.4,7941
2019-09-25 00:00:00+05:30,0.4,0.4,0.35,0.4,1873
2019-09-26 00:00:00+05:30,0.35,0.4,0.35,0.35,5841
2019-09-27 00:00:00+05:30,0.4,0.4,0.35,0.35,4182
2019-09-30 00:00:00+05:30,0.4,0.4,0.35,0.4,15685
2019-10-01 00:00:00+05:30,0.4,0.45,0.4,0.4,21530
2019-10-03 00:00:00+05:30,0.35,0.45,0.35,0.35,8675
2019-10-04 00:00:00+05:30,0.35,0.4,0.35,0.4,3551
2019-10-07 00:00:00+05:30,0.35,0.45,0.35,0.35,4454
2019-10-09 00:00:00+05:30,0.35,0.4,0.35,0.35,11049
2019-10-10 00:00:00+05:30,0.35,0.4,0.3,0.4,17598
2019-10-11 00:00:00+05:30,0.35,0.4,0.35,0.4,3215
2019-10-14 00:00:00+05:30,0.4,0.45,0.35,0.4,7325
2019-10-15 00:00:00+05:30,0.35,0.4,0.35,0.4,26973
2019-10-16 00:00:00+05:30,0.35,0.4,0.35,0.35,27599
2019-10-17 00:00:00+05:30,0.3,0.4,0.3,0.3,8094
2019-10-18 00:00:00+05:30,0.3,0.35,0.3,0.35,6367
2019-10-22 00:00:00+05:30,0.3,0.4,0.3,0.4,3938
2019-10-23 00:00:00+05:30,0.35,0.4,0.35,0.35,10712
2019-10-24 00:00:00+05:30,0.3,0.4,0.3,0.4,5028
2019-10-25 00:00:00+05:30,0.4,0.4,0.35,0.35,1221
2019-10-27 00:00:00+05:30,0.35,0.4,0.3,0.35,41826
2019-10-29 00:00:00+05:30,0.35,0.4,0.3,0.35,13361
2019-10-30 00:00:00+05:30,0.3,0.35,0.3,0.35,13870
