date,open,high,low,close,volume
2019-03-27 00:00:00+05:30,8.6,8.6,8.6,8.6,30000
2019-05-29 00:00:00+05:30,8.25,8.25,8.25,8.25,6000
2019-05-30 00:00:00+05:30,7.95,7.95,7.95,7.95,6000
2019-09-03 00:00:00+05:30,7.6,7.6,7.6,7.6,6000
2019-09-04 00:00:00+05:30,7.25,7.25,7.25,7.25,6000
2019-09-23 00:00:00+05:30,7.25,7.25,7.25,7.25,6000
2019-10-25 00:00:00+05:30,7.25,7.25,7.25,7.25,12000
2020-08-10 00:00:00+05:30,7.25,7.6,7.25,7.6,24000
2020-08-11 00:00:00+05:30,7.5,7.5,7.5,7.5,12000
2020-08-12 00:00:00+05:30,7.85,7.85,7.85,7.85,12000
2020-08-14 00:00:00+05:30,7.5,7.5,7.5,7.5,72000
2021-05-05 00:00:00+05:30,7.5,7.5,7.5,7.5,24000
2021-05-19 00:00:00+05:30,7.5,7.5,7.5,7.5,6000
2021-07-05 00:00:00+05:30,7.5,7.5,7.5,7.5,6000
2021-08-23 00:00:00+05:30,7.5,7.5,7.5,7.5,6000
2021-08-31 00:00:00+05:30,7.85,7.85,7.85,7.85,24000
2021-09-01 00:00:00+05:30,8.2,8.2,8.2,8.2,6000
2021-09-02 00:00:00+05:30,8.6,8.6,8.6,8.6,6000
2021-09-03 00:00:00+05:30,9.0,9.0,9.0,9.0,6000
2021-09-06 00:00:00+05:30,9.45,9.45,9.45,9.45,6000
2021-09-07 00:00:00+05:30,9.9,9.9,9.9,9.9,6000
2021-09-08 00:00:00+05:30,10.35,10.35,10.35,10.35,18000
2021-09-09 00:00:00+05:30,10.85,10.85,10.85,10.85,6000
2021-09-13 00:00:00+05:30,11.35,11.35,11.35,11.35,12000
2021-09-14 00:00:00+05:30,11.9,11.9,11.9,11.9,6000
2021-09-24 00:00:00+05:30,12.45,12.45,12.45,12.45,6000
2021-09-27 00:00:00+05:30,13.05,13.05,13.05,13.05,6000
2021-09-28 00:00:00+05:30,13.7,13.7,13.7,13.7,6000
2021-09-30 00:00:00+05:30,14.35,14.35,14.35,14.35,6000
2021-10-01 00:00:00+05:30,15.05,15.05,15.05,15.05,12000
2021-10-04 00:00:00+05:30,15.8,15.8,15.8,15.8,12000
2021-10-05 00:00:00+05:30,16.55,16.55,16.55,16.55,6000
2021-10-06 00:00:00+05:30,17.35,17.35,17.35,17.35,6000
2021-10-07 00:00:00+05:30,18.2,18.2,18.2,18.2,6000
2021-10-08 00:00:00+05:30,19.1,19.1,19.1,19.1,24000
2021-10-11 00:00:00+05:30,20.05,20.05,20.05,20.05,12000
2021-10-12 00:00:00+05:30,21.05,21.05,19.05,19.05,12000
2021-10-13 00:00:00+05:30,18.1,18.1,18.1,18.1,18000
2021-10-18 00:00:00+05:30,19.0,19.0,19.0,19.0,12000
2021-10-19 00:00:00+05:30,19.95,19.95,19.9,19.9,12000
2021-10-20 00:00:00+05:30,18.95,18.95,18.95,18.95,6000
2021-10-21 00:00:00+05:30,19.85,19.85,19.85,19.85,18000
2021-10-25 00:00:00+05:30,20.8,20.8,20.8,20.8,6000
2021-10-26 00:00:00+05:30,19.8,19.8,19.8,19.8,12000
2021-10-27 00:00:00+05:30,18.85,18.85,18.85,18.85,6000
2021-10-28 00:00:00+05:30,17.95,17.95,17.95,17.95,6000
2021-11-02 00:00:00+05:30,18.8,18.8,18.8,18.8,6000
2021-11-04 00:00:00+05:30,19.7,19.7,19.7,19.7,6000
2021-11-15 00:00:00+05:30,20.65,20.65,20.65,20.65,12000
2021-11-18 00:00:00+05:30,19.65,19.65,19.65,19.65,6000
2021-11-26 00:00:00+05:30,19.95,20.0,19.95,20.0,12000
2021-12-06 00:00:00+05:30,19.9,19.9,19.9,19.9,6000
2021-12-15 00:00:00+05:30,18.95,18.95,18.95,18.95,6000
2021-12-24 00:00:00+05:30,19.8,19.85,19.8,19.85,18000
2021-12-31 00:00:00+05:30,19.25,19.25,19.25,19.25,12000
2022-01-17 00:00:00+05:30,18.9,19.0,18.3,18.3,18000
2022-01-18 00:00:00+05:30,19.2,19.2,19.2,19.2,138000
2022-01-19 00:00:00+05:30,20.0,20.15,20.0,20.05,162000
2022-01-20 00:00:00+05:30,21.05,21.05,21.05,21.05,6000
2022-01-21 00:00:00+05:30,22.1,22.1,22.1,22.1,24000
2022-01-24 00:00:00+05:30,23.15,23.15,21.0,21.0,90000
2022-01-25 00:00:00+05:30,19.95,19.95,19.95,19.95,30000
2022-02-01 00:00:00+05:30,19.0,19.0,19.0,19.0,18000
2022-02-04 00:00:00+05:30,18.05,18.05,18.05,18.05,12000
2022-02-08 00:00:00+05:30,17.15,17.15,17.15,17.15,6000
2022-02-09 00:00:00+05:30,16.55,17.95,16.55,16.55,18000
2022-02-10 00:00:00+05:30,15.85,17.35,15.75,17.3,30000
2022-02-14 00:00:00+05:30,18.15,18.15,18.15,18.15,6000
2022-02-15 00:00:00+05:30,17.25,17.25,17.25,17.25,6000
2022-02-16 00:00:00+05:30,16.4,16.4,16.4,16.4,6000
2022-03-07 00:00:00+05:30,16.95,16.95,15.6,15.6,12000
2022-03-14 00:00:00+05:30,14.85,16.35,14.85,16.25,48000
2022-03-16 00:00:00+05:30,15.45,15.45,15.45,15.45,66000
2022-03-17 00:00:00+05:30,14.7,14.7,14.7,14.7,6000
2022-03-22 00:00:00+05:30,14.0,14.0,14.0,14.0,6000
2022-03-23 00:00:00+05:30,13.3,13.3,13.3,13.3,6000
2022-03-31 00:00:00+05:30,13.3,13.3,13.3,13.3,6000
2022-04-01 00:00:00+05:30,13.3,13.3,13.3,13.3,6000
2022-04-18 00:00:00+05:30,12.65,12.65,12.65,12.65,6000
2022-04-19 00:00:00+05:30,13.25,13.25,13.25,13.25,6000
2022-04-20 00:00:00+05:30,13.9,13.9,13.9,13.9,6000
2022-04-21 00:00:00+05:30,14.55,14.55,13.25,14.55,24000
2022-04-22 00:00:00+05:30,13.85,13.85,13.85,13.85,12000
2022-04-25 00:00:00+05:30,13.2,13.2,13.2,13.2,6000
2022-05-12 00:00:00+05:30,13.85,13.85,13.85,13.85,6000
2022-05-24 00:00:00+05:30,14.5,14.5,14.5,14.5,6000
2022-05-25 00:00:00+05:30,13.8,15.2,13.8,15.2,12000
2022-05-26 00:00:00+05:30,15.95,15.95,15.95,15.95,6000
2022-05-27 00:00:00+05:30,15.9,15.9,15.9,15.9,6000
2022-05-30 00:00:00+05:30,16.65,16.65,16.65,16.65,6000
2022-06-07 00:00:00+05:30,15.85,15.85,15.85,15.85,60000
2022-06-08 00:00:00+05:30,15.5,15.5,15.5,15.5,6000
2022-07-15 00:00:00+05:30,14.75,14.75,14.75,14.75,36000
