date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,36.3,36.3,35.1,35.7,3200
2019-01-02 00:00:00+05:30,35.95,35.95,34.7,34.95,2250
2019-01-03 00:00:00+05:30,35.15,35.9,35.0,35.15,2407
2019-01-04 00:00:00+05:30,35.2,35.8,34.3,34.55,5544
2019-01-07 00:00:00+05:30,34.7,35.5,34.5,34.95,2208
2019-01-08 00:00:00+05:30,34.9,35.3,34.45,34.55,4476
2019-01-09 00:00:00+05:30,34.65,36.3,34.2,34.9,1382
2019-01-10 00:00:00+05:30,35.7,35.7,34.85,35.25,1162
2019-01-11 00:00:00+05:30,34.9,36.5,34.1,36.15,10833
2019-01-14 00:00:00+05:30,36.15,36.15,34.5,34.95,3588
2019-01-15 00:00:00+05:30,34.55,36.15,34.15,34.9,6013
2019-01-16 00:00:00+05:30,34.9,36.8,34.9,35.7,2340
2019-01-17 00:00:00+05:30,35.2,35.45,33.3,34.6,10992
2019-01-18 00:00:00+05:30,34.1,34.7,34.05,34.05,1037
2019-01-21 00:00:00+05:30,34.9,34.9,33.5,33.9,7358
2019-01-22 00:00:00+05:30,34.0,34.6,33.6,34.2,3690
2019-01-23 00:00:00+05:30,33.65,34.35,33.6,33.6,1713
2019-01-24 00:00:00+05:30,33.6,34.9,33.1,33.55,7469
2019-01-25 00:00:00+05:30,34.35,34.4,33.2,33.45,2824
2019-01-28 00:00:00+05:30,33.2,33.4,32.5,32.5,5390
2019-01-29 00:00:00+05:30,32.0,32.0,30.3,30.7,8933
2019-01-30 00:00:00+05:30,32.7,32.7,30.45,30.8,7071
2019-01-31 00:00:00+05:30,30.8,31.95,30.75,30.9,4131
2019-02-01 00:00:00+05:30,31.95,33.4,30.9,31.65,13510
2019-02-04 00:00:00+05:30,31.1,32.3,30.55,30.9,2219
2019-02-05 00:00:00+05:30,30.5,34.6,29.6,30.4,12478
2019-02-06 00:00:00+05:30,30.05,31.4,29.45,29.6,4193
2019-02-07 00:00:00+05:30,31.4,31.4,29.7,30.55,3918
2019-02-08 00:00:00+05:30,31.85,31.85,29.7,29.9,2357
2019-02-11 00:00:00+05:30,29.05,29.8,28.7,29.15,3041
2019-02-12 00:00:00+05:30,29.0,30.0,28.0,29.95,1179
2019-02-13 00:00:00+05:30,30.8,31.0,29.5,30.9,1320
2019-02-14 00:00:00+05:30,30.75,30.75,29.75,30.05,660
2019-02-15 00:00:00+05:30,29.5,31.0,28.55,30.55,3957
2019-02-18 00:00:00+05:30,30.0,31.4,29.4,30.0,3585
2019-02-19 00:00:00+05:30,29.55,30.6,29.55,29.95,1138
2019-02-20 00:00:00+05:30,30.5,30.5,28.65,29.9,4166
2019-02-21 00:00:00+05:30,29.95,29.95,28.85,29.1,4489
2019-02-22 00:00:00+05:30,28.95,30.4,28.4,29.5,1148
2019-02-25 00:00:00+05:30,29.2,30.25,28.55,29.05,2824
2019-02-26 00:00:00+05:30,28.9,29.1,27.65,27.9,4302
2019-02-27 00:00:00+05:30,28.0,28.4,26.5,26.95,13403
2019-02-28 00:00:00+05:30,27.4,28.5,26.65,27.55,7993
2019-03-01 00:00:00+05:30,27.55,28.4,27.4,27.6,10406
2019-03-05 00:00:00+05:30,27.6,30.0,27.15,29.7,11232
2019-03-06 00:00:00+05:30,29.7,31.55,29.15,29.85,4399
2019-03-07 00:00:00+05:30,29.75,30.75,29.5,29.95,4543
2019-03-08 00:00:00+05:30,29.95,29.95,28.75,29.0,4449
2019-03-11 00:00:00+05:30,28.8,30.0,28.65,29.5,5009
2019-03-12 00:00:00+05:30,29.95,29.95,29.0,29.05,6990
2019-03-13 00:00:00+05:30,29.1,29.75,28.25,28.55,1155
2019-03-14 00:00:00+05:30,28.4,29.3,27.05,27.3,19979
2019-03-15 00:00:00+05:30,27.35,28.9,27.3,28.35,8715
2019-03-18 00:00:00+05:30,28.0,28.35,26.8,27.0,4377
2019-03-19 00:00:00+05:30,27.0,28.4,26.1,27.85,8144
2019-03-20 00:00:00+05:30,27.35,29.15,27.1,27.25,6402
2019-03-22 00:00:00+05:30,27.25,28.9,26.5,27.0,8283
2019-03-25 00:00:00+05:30,26.45,28.45,25.7,27.65,14331
2019-03-26 00:00:00+05:30,27.25,28.0,26.65,27.9,3326
2019-03-27 00:00:00+05:30,27.15,28.0,26.5,27.65,5611
2019-03-28 00:00:00+05:30,27.65,27.65,26.5,27.2,2013
2019-03-29 00:00:00+05:30,27.2,27.7,27.1,27.6,1586
2019-04-01 00:00:00+05:30,27.6,28.2,27.1,27.5,2997
2019-04-02 00:00:00+05:30,27.15,27.6,27.0,27.1,2553
2019-04-03 00:00:00+05:30,27.2,28.05,27.2,27.95,1642
2019-04-04 00:00:00+05:30,28.7,28.7,27.05,27.05,4094
2019-04-05 00:00:00+05:30,27.05,32.45,26.9,32.45,53551
2019-04-08 00:00:00+05:30,33.9,33.9,30.0,30.45,41519
2019-04-09 00:00:00+05:30,30.45,30.45,29.25,29.35,3287
2019-04-10 00:00:00+05:30,29.3,29.35,28.25,28.95,3150
2019-04-11 00:00:00+05:30,28.4,28.8,28.05,28.3,2109
2019-04-12 00:00:00+05:30,28.1,29.4,27.65,28.35,5136
2019-04-15 00:00:00+05:30,28.35,28.7,28.05,28.6,5019
2019-04-16 00:00:00+05:30,28.25,28.5,27.6,27.95,6567
2019-04-18 00:00:00+05:30,27.95,29.0,27.25,28.2,5242
2019-04-22 00:00:00+05:30,27.65,28.4,27.65,27.95,3733
2019-04-23 00:00:00+05:30,27.65,28.55,26.4,28.0,4431
2019-04-24 00:00:00+05:30,28.15,28.65,27.55,27.6,1039
2019-04-25 00:00:00+05:30,28.25,31.0,28.0,29.35,8469
2019-04-26 00:00:00+05:30,29.0,29.0,28.35,28.8,1350
2019-04-30 00:00:00+05:30,29.2,30.7,27.15,27.7,1344
2019-05-02 00:00:00+05:30,27.6,28.5,27.5,27.55,4576
2019-05-03 00:00:00+05:30,28.0,28.45,27.5,27.6,3695
2019-05-06 00:00:00+05:30,28.0,28.9,27.35,27.55,1189
2019-05-07 00:00:00+05:30,27.6,28.5,27.25,27.65,3164
2019-05-08 00:00:00+05:30,28.0,28.95,27.65,28.1,1133
2019-05-09 00:00:00+05:30,28.8,29.9,28.35,29.4,741
2019-05-10 00:00:00+05:30,29.1,29.65,27.5,29.25,5158
2019-05-13 00:00:00+05:30,28.05,30.0,28.05,29.7,3355
2019-05-14 00:00:00+05:30,29.0,29.6,26.85,27.45,10476
2019-05-15 00:00:00+05:30,27.0,28.5,27.0,27.65,2017
2019-05-16 00:00:00+05:30,27.0,28.4,26.6,27.4,827
2019-05-17 00:00:00+05:30,28.0,28.15,27.0,27.5,384
2019-05-20 00:00:00+05:30,27.05,28.8,27.05,27.85,3880
2019-05-21 00:00:00+05:30,27.4,28.6,26.35,26.65,5352
2019-05-22 00:00:00+05:30,27.5,27.5,26.3,26.7,938
2019-05-23 00:00:00+05:30,26.55,27.25,25.8,26.05,1702
2019-05-24 00:00:00+05:30,26.8,27.75,26.2,26.6,468
2019-05-27 00:00:00+05:30,26.5,27.5,26.5,26.8,2134
