date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,105.0,105.0,102.1,103.05,4861
2019-01-02 00:00:00+05:30,104.2,105.15,102.0,104.1,40915
2019-01-03 00:00:00+05:30,106.15,107.55,100.5,102.0,70152
2019-01-04 00:00:00+05:30,101.5,105.4,101.5,104.6,13372
2019-01-07 00:00:00+05:30,104.05,109.45,103.5,108.2,43471
2019-01-08 00:00:00+05:30,109.5,110.0,105.45,109.05,11146
2019-01-09 00:00:00+05:30,109.3,109.4,103.65,104.6,7328
2019-01-10 00:00:00+05:30,104.6,109.5,104.6,106.25,31657
2019-01-11 00:00:00+05:30,106.6,107.9,105.05,105.5,2973
2019-01-14 00:00:00+05:30,105.05,106.0,102.05,105.45,14491
2019-01-15 00:00:00+05:30,106.95,107.7,101.55,102.85,34908
2019-01-16 00:00:00+05:30,103.7,105.05,102.5,104.3,11172
2019-01-17 00:00:00+05:30,104.85,105.55,103.0,103.4,6048
2019-01-18 00:00:00+05:30,103.25,104.0,99.0,100.35,10187
2019-01-21 00:00:00+05:30,100.5,101.25,97.2,97.55,25518
2019-01-22 00:00:00+05:30,98.55,98.55,97.2,97.95,4844
2019-01-23 00:00:00+05:30,99.0,100.8,97.4,98.7,9438
2019-01-24 00:00:00+05:30,98.55,99.4,95.0,96.2,9477
2019-01-25 00:00:00+05:30,97.15,97.15,94.15,94.75,9730
2019-01-28 00:00:00+05:30,95.8,95.8,85.5,93.45,35723
2019-01-29 00:00:00+05:30,93.0,93.5,87.1,88.75,29082
2019-01-30 00:00:00+05:30,88.5,90.1,84.1,86.95,30691
2019-01-31 00:00:00+05:30,84.7,97.2,81.55,93.0,77950
2019-02-01 00:00:00+05:30,95.7,99.7,89.0,91.5,110978
2019-02-04 00:00:00+05:30,91.05,91.05,83.25,84.7,25841
2019-02-05 00:00:00+05:30,85.6,85.6,79.0,80.95,33228
2019-02-06 00:00:00+05:30,80.5,81.05,77.15,78.7,19819
2019-02-07 00:00:00+05:30,80.7,83.95,78.8,81.15,16093
2019-02-08 00:00:00+05:30,81.45,85.35,81.3,84.05,12614
2019-02-11 00:00:00+05:30,84.3,84.3,80.0,80.5,11214
2019-02-12 00:00:00+05:30,80.85,80.85,76.3,77.05,14620
2019-02-13 00:00:00+05:30,78.85,79.05,75.4,76.6,12222
2019-02-14 00:00:00+05:30,76.5,77.0,74.5,76.9,15078
2019-02-15 00:00:00+05:30,77.95,78.9,75.1,76.55,6585
2019-02-18 00:00:00+05:30,77.05,77.05,69.0,71.0,23307
2019-02-19 00:00:00+05:30,71.35,73.0,69.9,70.3,14342
2019-02-20 00:00:00+05:30,70.3,71.9,70.0,71.55,12386
2019-02-21 00:00:00+05:30,71.5,77.0,71.0,74.2,35750
2019-02-22 00:00:00+05:30,73.6,75.75,73.05,74.45,4906
2019-02-25 00:00:00+05:30,76.35,78.2,72.45,75.95,121894
2019-02-26 00:00:00+05:30,76.4,76.4,71.5,73.5,91277
2019-02-27 00:00:00+05:30,75.65,78.9,70.9,72.5,56497
2019-02-28 00:00:00+05:30,70.75,74.0,70.75,72.55,3848
2019-03-01 00:00:00+05:30,74.45,79.9,74.3,77.9,25161
2019-03-05 00:00:00+05:30,78.45,82.5,78.45,80.65,93481
2019-03-06 00:00:00+05:30,83.5,91.2,83.2,87.95,103497
2019-03-07 00:00:00+05:30,89.95,97.9,86.3,95.75,78566
2019-03-08 00:00:00+05:30,95.85,97.0,92.55,95.65,24282
2019-03-11 00:00:00+05:30,95.6,97.0,95.0,95.3,8544
2019-03-12 00:00:00+05:30,97.25,101.3,95.0,99.95,29190
2019-03-13 00:00:00+05:30,99.95,102.3,97.15,101.1,25246
2019-03-14 00:00:00+05:30,103.0,112.4,102.55,107.25,121451
2019-03-15 00:00:00+05:30,108.3,109.0,105.1,107.4,80258
2019-03-18 00:00:00+05:30,107.5,109.0,105.1,105.8,9415
2019-03-19 00:00:00+05:30,106.35,111.0,105.65,107.6,38335
2019-03-20 00:00:00+05:30,109.8,109.85,105.15,105.45,32545
2019-03-22 00:00:00+05:30,105.0,108.3,105.0,105.5,29750
2019-03-25 00:00:00+05:30,105.55,105.55,98.5,99.9,25571
2019-03-26 00:00:00+05:30,99.5,105.6,96.55,98.95,37462
2019-03-27 00:00:00+05:30,100.05,101.7,96.0,97.25,19522
2019-03-28 00:00:00+05:30,97.25,101.45,97.25,100.65,23997
2019-03-29 00:00:00+05:30,103.7,106.0,100.5,104.75,32317
2019-04-01 00:00:00+05:30,109.85,109.85,105.45,106.25,9422
2019-04-02 00:00:00+05:30,106.25,108.65,105.1,106.9,5449
2019-04-03 00:00:00+05:30,106.5,110.0,103.1,107.85,25765
2019-04-04 00:00:00+05:30,107.55,108.05,101.7,105.75,23089
2019-04-05 00:00:00+05:30,106.75,108.0,101.0,102.2,18454
2019-04-08 00:00:00+05:30,101.55,103.0,99.0,99.3,12813
2019-04-09 00:00:00+05:30,100.2,101.4,98.45,100.8,3204
2019-04-10 00:00:00+05:30,101.75,102.65,97.95,99.95,9145
2019-04-11 00:00:00+05:30,99.85,99.85,98.0,98.0,3704
2019-04-12 00:00:00+05:30,98.7,101.0,97.0,99.7,7544
2019-04-15 00:00:00+05:30,101.2,101.2,93.6,94.2,43937
2019-04-16 00:00:00+05:30,96.9,96.9,93.45,95.8,6759
2019-04-18 00:00:00+05:30,97.0,104.95,91.1,92.05,30107
