date,open,high,low,close,volume
2019-01-09 00:00:00+05:30,10.3,10.45,10.0,10.35,11682
2019-01-10 00:00:00+05:30,10.35,10.5,10.05,10.5,7697
2019-01-11 00:00:00+05:30,10.9,10.9,10.1,10.2,12474
2019-01-14 00:00:00+05:30,10.2,10.6,10.2,10.55,6503
2019-01-15 00:00:00+05:30,10.8,10.8,10.25,10.7,4410
2019-01-16 00:00:00+05:30,10.8,11.0,10.3,10.9,14918
2019-01-17 00:00:00+05:30,11.0,11.0,10.4,10.5,15964
2019-01-18 00:00:00+05:30,10.75,10.8,10.2,10.5,17125
2019-01-21 00:00:00+05:30,10.25,10.8,10.1,10.25,36571
2019-01-22 00:00:00+05:30,10.25,10.65,10.1,10.45,13960
2019-01-23 00:00:00+05:30,10.7,10.7,10.25,10.6,20538
2019-01-24 00:00:00+05:30,10.5,10.5,10.1,10.15,22450
2019-01-25 00:00:00+05:30,10.1,10.35,9.8,10.2,38204
2019-01-28 00:00:00+05:30,10.2,10.2,9.7,9.7,13944
2019-01-29 00:00:00+05:30,9.45,10.15,9.3,10.05,22048
2019-01-30 00:00:00+05:30,10.0,10.1,9.85,9.85,12533
2019-01-31 00:00:00+05:30,9.65,10.25,9.5,10.2,16808
2019-02-01 00:00:00+05:30,10.2,10.45,9.85,9.9,8017
2019-02-04 00:00:00+05:30,9.9,10.25,9.7,9.85,25240
2019-02-05 00:00:00+05:30,9.85,10.1,9.4,9.5,23083
2019-02-06 00:00:00+05:30,9.7,9.7,9.05,9.15,29839
2019-02-07 00:00:00+05:30,9.05,9.55,8.35,9.45,22417
2019-02-08 00:00:00+05:30,9.5,9.55,8.9,9.1,20324
2019-02-11 00:00:00+05:30,8.9,9.4,8.75,8.85,19176
2019-02-12 00:00:00+05:30,9.0,9.25,8.75,9.0,238625
2019-02-13 00:00:00+05:30,8.8,9.2,8.75,8.95,8991
2019-02-14 00:00:00+05:30,9.0,9.15,8.7,8.9,216321
2019-02-15 00:00:00+05:30,8.9,9.0,8.6,8.95,206627
2019-02-18 00:00:00+05:30,8.7,9.1,8.6,8.8,6027
2019-02-19 00:00:00+05:30,8.95,9.05,8.6,8.95,283528
2019-02-20 00:00:00+05:30,8.95,9.1,8.7,8.95,10000
2019-02-21 00:00:00+05:30,9.1,9.2,8.8,9.15,10196
2019-02-22 00:00:00+05:30,9.15,9.5,9.0,9.4,13316
2019-02-25 00:00:00+05:30,9.3,9.95,9.05,9.25,5471
2019-02-26 00:00:00+05:30,9.25,9.45,8.8,8.95,19801
2019-02-27 00:00:00+05:30,9.0,9.35,8.95,9.1,29146
2019-02-28 00:00:00+05:30,9.35,9.85,8.9,9.1,50140
2019-03-01 00:00:00+05:30,9.1,9.7,9.0,9.1,230848
2019-03-05 00:00:00+05:30,9.0,9.35,9.0,9.1,401516
2019-03-06 00:00:00+05:30,9.1,9.3,8.85,9.0,227879
2019-03-07 00:00:00+05:30,9.1,9.15,8.85,8.9,95029
2019-03-08 00:00:00+05:30,8.85,9.0,8.85,8.9,23823
2019-03-11 00:00:00+05:30,8.95,9.6,8.85,8.9,43348
2019-03-12 00:00:00+05:30,9.1,9.1,8.85,9.0,32131
2019-03-13 00:00:00+05:30,9.0,9.1,8.8,9.0,43577
2019-03-14 00:00:00+05:30,9.05,9.05,8.7,8.8,94502
2019-03-15 00:00:00+05:30,8.6,9.3,8.6,8.8,62831
2019-03-18 00:00:00+05:30,8.9,8.95,8.75,8.8,17831
2019-03-19 00:00:00+05:30,8.7,8.9,7.95,8.5,67359
2019-03-20 00:00:00+05:30,8.65,8.7,8.05,8.35,44119
2019-03-22 00:00:00+05:30,8.45,8.55,8.0,8.3,39828
2019-03-25 00:00:00+05:30,8.3,8.3,7.85,8.0,62648
2019-03-26 00:00:00+05:30,8.2,8.2,7.55,7.8,74586
2019-03-27 00:00:00+05:30,7.95,8.0,7.05,7.05,238877
2019-03-28 00:00:00+05:30,7.3,7.3,6.35,6.8,358983
2019-03-29 00:00:00+05:30,7.0,7.25,6.45,6.7,156032
2019-04-01 00:00:00+05:30,6.85,7.35,6.85,7.35,98357
2019-04-02 00:00:00+05:30,7.8,7.95,7.4,7.65,129876
2019-04-03 00:00:00+05:30,7.85,7.95,7.55,7.65,39467
2019-04-04 00:00:00+05:30,7.65,7.65,7.35,7.55,40802
2019-04-05 00:00:00+05:30,7.75,8.45,7.6,8.25,164981
2019-04-08 00:00:00+05:30,8.75,8.8,8.3,8.7,59780
2019-04-09 00:00:00+05:30,8.6,8.9,8.45,8.75,24329
2019-04-10 00:00:00+05:30,8.65,8.7,8.25,8.4,54130
2019-04-11 00:00:00+05:30,8.6,8.6,7.7,8.1,85102
2019-04-12 00:00:00+05:30,8.0,8.0,7.7,7.9,61752
2019-04-15 00:00:00+05:30,7.8,7.9,7.45,7.7,35497
2019-04-16 00:00:00+05:30,7.65,7.85,7.5,7.7,37278
2019-04-18 00:00:00+05:30,7.6,7.75,7.5,7.5,36193
2019-04-22 00:00:00+05:30,7.6,7.6,7.25,7.25,22520
2019-04-23 00:00:00+05:30,7.3,7.7,7.1,7.15,27444
2019-04-24 00:00:00+05:30,7.15,7.25,6.8,6.9,23096
2019-04-25 00:00:00+05:30,6.95,7.2,6.9,6.95,71757
2019-04-26 00:00:00+05:30,7.0,7.1,6.4,6.65,150947
2019-04-30 00:00:00+05:30,6.95,7.1,6.45,6.8,111707
2019-05-02 00:00:00+05:30,6.9,6.9,5.95,6.4,199101
2019-05-03 00:00:00+05:30,6.85,6.85,6.05,6.4,88922
2019-05-06 00:00:00+05:30,6.5,6.7,6.4,6.7,35408
2019-05-07 00:00:00+05:30,6.7,6.8,6.2,6.4,99739
2019-05-08 00:00:00+05:30,6.5,6.65,6.15,6.35,30900
2019-05-09 00:00:00+05:30,6.45,6.55,6.3,6.35,17354
2019-05-10 00:00:00+05:30,6.4,7.6,6.4,7.3,292271
2019-05-13 00:00:00+05:30,7.35,7.4,6.45,6.65,156026
2019-05-14 00:00:00+05:30,6.55,7.2,6.5,6.8,47275
2019-05-15 00:00:00+05:30,6.95,7.0,6.65,6.7,23796
2019-05-16 00:00:00+05:30,6.7,6.85,6.3,6.5,39740
2019-05-17 00:00:00+05:30,6.55,6.95,6.35,6.85,48415
2019-05-20 00:00:00+05:30,7.0,7.4,6.8,7.05,60857
2019-05-21 00:00:00+05:30,7.2,7.2,6.75,6.8,39452
2019-05-22 00:00:00+05:30,6.75,7.15,6.45,6.9,108116
2019-05-23 00:00:00+05:30,7.1,7.2,6.4,6.65,63273
2019-05-24 00:00:00+05:30,6.6,6.9,6.45,6.75,67155
