date,open,high,low,close,volume
2024-03-22 00:00:00+05:30,115.0,120.0,109.25,115.45,1074000
2024-03-26 00:00:00+05:30,109.7,109.7,109.7,109.7,31200
2024-03-27 00:00:00+05:30,104.25,104.25,104.25,104.25,18000
2024-03-28 00:00:00+05:30,99.05,102.15,99.05,99.05,350400
2024-04-01 00:00:00+05:30,97.5,104.0,97.5,103.15,118800
2024-04-02 00:00:00+05:30,99.95,102.0,98.0,100.9,105600
2024-04-03 00:00:00+05:30,98.1,100.85,98.1,98.55,64800
2024-04-04 00:00:00+05:30,101.0,103.45,98.6,103.45,94800
2024-04-05 00:00:00+05:30,104.0,108.6,101.0,108.6,110400
2024-04-08 00:00:00+05:30,113.5,114.0,110.5,114.0,170400
2024-04-09 00:00:00+05:30,113.0,115.9,107.0,108.3,212400
2024-04-10 00:00:00+05:30,107.55,110.9,104.0,109.95,69600
2024-04-12 00:00:00+05:30,112.9,130.9,109.8,125.3,350400
2024-04-15 00:00:00+05:30,125.9,141.0,117.85,127.0,242400
2024-04-16 00:00:00+05:30,128.8,136.1,124.0,131.4,136800
2024-04-18 00:00:00+05:30,134.0,136.0,126.0,126.95,108000
2024-04-19 00:00:00+05:30,123.0,127.0,121.5,121.95,121200
2024-04-22 00:00:00+05:30,124.5,125.0,117.25,120.65,90000
2024-04-23 00:00:00+05:30,124.9,124.9,119.0,119.7,58800
2024-04-24 00:00:00+05:30,120.05,123.9,120.0,123.9,36000
2024-04-25 00:00:00+05:30,124.0,130.0,122.0,122.65,36000
2024-04-26 00:00:00+05:30,125.6,127.9,119.0,120.05,121200
2024-04-29 00:00:00+05:30,121.65,126.6,118.55,124.6,166800
2024-04-30 00:00:00+05:30,125.0,133.7,125.0,128.45,93600
2024-05-02 00:00:00+05:30,131.0,132.0,126.85,127.4,96000
2024-05-03 00:00:00+05:30,130.0,131.0,123.3,124.65,91200
2024-05-06 00:00:00+05:30,126.05,126.05,116.1,118.45,75600
2024-05-07 00:00:00+05:30,118.45,122.0,109.55,114.75,61200
2024-05-08 00:00:00+05:30,114.5,119.0,114.5,118.15,25200
2024-05-09 00:00:00+05:30,118.2,119.85,116.25,116.6,14400
2024-05-10 00:00:00+05:30,116.3,123.9,115.05,120.65,62400
2024-05-13 00:00:00+05:30,117.0,121.0,115.0,120.15,34800
2024-05-14 00:00:00+05:30,119.5,121.7,117.6,121.25,22800
2024-05-15 00:00:00+05:30,120.0,121.5,118.0,118.35,58800
2024-05-16 00:00:00+05:30,119.0,121.0,119.0,119.55,25200
2024-05-17 00:00:00+05:30,118.3,121.0,118.25,120.0,30000
2024-05-18 00:00:00+05:30,118.1,119.85,118.1,119.05,4800
2024-05-21 00:00:00+05:30,117.0,117.0,114.0,115.25,42000
2024-05-22 00:00:00+05:30,113.85,115.25,112.3,113.65,33600
2024-05-23 00:00:00+05:30,116.75,116.95,114.0,114.0,12000
