date,open,high,low,close,volume
2023-07-03 00:00:00+05:30,486.65,486.65,450.0,452.5,262824
2023-07-04 00:00:00+05:30,456.3,473.35,436.75,461.8,126972
2023-07-05 00:00:00+05:30,470.0,473.55,457.35,468.8,105720
2023-07-06 00:00:00+05:30,470.35,476.65,458.35,461.75,69816
2023-07-07 00:00:00+05:30,466.35,470.0,462.7,465.0,85509
2023-07-10 00:00:00+05:30,466.6,488.2,465.35,478.7,461496
2023-07-11 00:00:00+05:30,478.2,484.35,458.0,459.3,171513
2023-07-12 00:00:00+05:30,466.35,474.5,455.0,458.4,175038
2023-07-13 00:00:00+05:30,458.4,471.65,455.0,460.1,116883
2023-07-14 00:00:00+05:30,466.6,467.65,456.1,458.0,66300
2023-07-17 00:00:00+05:30,458.35,466.65,451.35,459.9,127251
2023-07-18 00:00:00+05:30,458.35,466.65,452.0,459.7,123162
2023-07-19 00:00:00+05:30,463.0,473.25,461.35,466.9,137757
2023-07-20 00:00:00+05:30,466.9,480.65,466.7,469.65,117534
2023-07-21 00:00:00+05:30,469.65,487.1,463.25,464.0,81114
2023-07-24 00:00:00+05:30,473.3,473.35,460.2,461.9,268407
2023-07-25 00:00:00+05:30,474.95,484.95,468.35,484.95,224415
2023-07-26 00:00:00+05:30,503.35,509.2,494.95,509.2,126000
2023-07-27 00:00:00+05:30,513.35,534.65,488.35,528.25,457080
2023-07-28 00:00:00+05:30,538.35,554.65,507.1,526.35,352500
2023-07-31 00:00:00+05:30,533.35,552.7,530.0,552.7,97197
2023-08-01 00:00:00+05:30,560.05,580.0,553.35,564.3,703578
2023-08-02 00:00:00+05:30,573.0,581.0,538.0,559.25,191526
2023-08-03 00:00:00+05:30,567.15,574.15,549.05,555.0,61077
2023-08-04 00:00:00+05:30,573.25,573.25,555.0,562.75,50526
2023-08-07 00:00:00+05:30,564.65,566.3,554.15,560.5,66360
2023-08-08 00:00:00+05:30,554.05,575.9,554.05,566.05,78237
2023-08-09 00:00:00+05:30,568.7,594.35,563.7,581.2,505950
2023-08-10 00:00:00+05:30,586.0,588.25,573.0,578.5,159693
2023-08-11 00:00:00+05:30,586.0,591.6,571.8,580.7,249918
2023-08-14 00:00:00+05:30,581.65,609.75,569.0,609.75,341070
2023-08-16 00:00:00+05:30,616.65,633.0,579.25,597.3,281013
2023-08-17 00:00:00+05:30,600.0,600.0,572.35,581.9,141258
2023-08-18 00:00:00+05:30,584.8,600.0,561.65,569.8,265482
2023-08-21 00:00:00+05:30,570.65,598.25,570.65,583.8,287253
2023-08-22 00:00:00+05:30,588.65,592.15,575.0,579.65,87363
2023-08-23 00:00:00+05:30,585.65,591.35,576.8,582.9,536511
2023-08-24 00:00:00+05:30,587.35,599.65,579.0,580.75,89649
2023-08-25 00:00:00+05:30,583.3,592.3,570.0,572.95,51564
2023-08-28 00:00:00+05:30,572.95,584.4,553.35,559.3,119724
2023-08-29 00:00:00+05:30,560.4,587.25,555.7,587.0,391557
2023-08-30 00:00:00+05:30,596.65,598.45,576.0,580.5,98505
2023-08-31 00:00:00+05:30,580.3,609.55,576.35,609.55,143790
2023-09-01 00:00:00+05:30,640.0,640.0,640.0,640.0,63003
2023-09-04 00:00:00+05:30,672.0,672.0,633.35,645.65,478767
2023-09-05 00:00:00+05:30,658.35,677.95,646.05,673.55,190128
2023-09-06 00:00:00+05:30,707.2,707.2,658.4,673.95,424293
2023-09-07 00:00:00+05:30,671.0,679.3,653.5,661.25,72801
2023-09-08 00:00:00+05:30,666.65,674.65,644.5,652.15,75099
2023-09-11 00:00:00+05:30,653.35,659.1,626.0,627.8,83253
2023-09-12 00:00:00+05:30,628.3,644.0,596.45,613.65,101067
2023-09-13 00:00:00+05:30,617.0,629.65,596.65,606.15,94704
2023-09-14 00:00:00+05:30,610.65,626.0,609.65,616.05,39771
2023-09-15 00:00:00+05:30,620.3,628.0,617.2,625.15,45726
2023-09-18 00:00:00+05:30,642.65,642.65,616.65,623.0,69147
2023-09-20 00:00:00+05:30,622.7,628.35,613.6,622.9,46302
2023-09-21 00:00:00+05:30,622.65,640.0,618.35,630.85,64527
2023-09-22 00:00:00+05:30,630.0,662.4,629.0,662.4,303411
2023-09-25 00:00:00+05:30,673.35,685.0,653.35,662.1,92454
2023-09-26 00:00:00+05:30,666.35,666.8,650.05,658.25,45201
2023-09-27 00:00:00+05:30,659.35,669.6,652.75,662.15,46191
2023-09-28 00:00:00+05:30,666.1,695.25,663.05,668.6,251169
2023-09-29 00:00:00+05:30,689.45,689.45,666.65,671.05,48336
2023-10-03 00:00:00+05:30,670.95,671.05,640.35,660.6,78369
2023-10-04 00:00:00+05:30,660.0,664.45,645.6,649.7,65202
2023-10-05 00:00:00+05:30,649.7,663.8,645.35,651.35,64914
2023-10-06 00:00:00+05:30,662.65,683.9,653.7,676.25,190212
2023-10-09 00:00:00+05:30,670.0,729.0,663.35,705.75,416652
2023-10-10 00:00:00+05:30,733.35,755.65,723.45,734.4,255681
2023-10-11 00:00:00+05:30,759.35,807.85,747.6,807.85,603057
2023-10-12 00:00:00+05:30,829.1,842.35,783.35,805.35,443064
2023-10-13 00:00:00+05:30,799.25,829.0,776.65,797.35,185037
2023-10-16 00:00:00+05:30,816.0,816.0,783.35,802.0,231693
2023-10-17 00:00:00+05:30,844.8,882.2,832.05,882.2,154034
2023-10-18 00:00:00+05:30,909.9,944.4,898.05,916.9,366935
2023-10-19 00:00:00+05:30,920.0,923.1,852.7,887.2,137601
2023-10-20 00:00:00+05:30,887.2,904.95,854.95,862.7,61736
2023-10-23 00:00:00+05:30,855.0,858.9,825.5,838.45,61545
2023-10-25 00:00:00+05:30,846.9,914.7,845.0,881.75,175996
2023-10-26 00:00:00+05:30,878.0,879.0,843.2,861.5,70953
2023-10-27 00:00:00+05:30,881.75,893.75,866.3,870.95,47599
2023-10-30 00:00:00+05:30,882.75,888.0,847.0,854.05,25632
2023-10-31 00:00:00+05:30,860.0,895.85,850.0,867.7,58446
2023-11-01 00:00:00+05:30,859.0,859.0,795.0,816.8,223036
2023-11-02 00:00:00+05:30,818.0,834.0,807.1,810.95,79100
2023-11-03 00:00:00+05:30,811.6,817.95,772.0,789.3,143945
2023-11-06 00:00:00+05:30,795.0,819.9,791.2,797.25,107162
2023-11-07 00:00:00+05:30,797.25,805.0,777.0,796.7,43885
2023-11-08 00:00:00+05:30,804.9,836.45,797.0,820.85,100214
2023-11-09 00:00:00+05:30,813.0,830.85,800.0,815.05,59842
2023-11-10 00:00:00+05:30,804.95,820.0,790.0,802.5,44691
2023-11-12 00:00:00+05:30,817.0,817.0,800.0,806.9,17588
2023-11-13 00:00:00+05:30,824.9,824.9,795.0,804.35,25174
2023-11-15 00:00:00+05:30,804.35,817.0,767.0,787.45,39746
2023-11-16 00:00:00+05:30,800.0,814.9,795.0,802.35,53237
2023-11-17 00:00:00+05:30,801.0,804.5,785.05,793.6,41943
2023-11-20 00:00:00+05:30,795.0,803.0,779.0,787.9,34130
2023-11-21 00:00:00+05:30,798.8,798.8,770.05,779.9,33058
2023-11-22 00:00:00+05:30,792.45,796.0,755.0,775.9,49552
2023-11-23 00:00:00+05:30,779.25,785.0,763.65,768.35,19260
2023-11-24 00:00:00+05:30,777.85,777.85,743.9,760.1,44144
2023-11-28 00:00:00+05:30,772.75,782.0,750.0,770.5,45310
2023-11-29 00:00:00+05:30,770.7,779.8,762.8,776.65,40473
2023-11-30 00:00:00+05:30,784.9,805.0,762.5,777.85,32354
2023-12-01 00:00:00+05:30,793.0,793.0,753.85,764.9,26150
2023-12-04 00:00:00+05:30,783.45,783.45,757.0,765.1,34629
2023-12-05 00:00:00+05:30,765.15,774.9,750.0,753.65,36052
2023-12-06 00:00:00+05:30,759.0,759.0,732.5,734.0,40598
2023-12-07 00:00:00+05:30,743.85,744.0,730.1,736.15,18884
2023-12-08 00:00:00+05:30,744.0,744.0,720.0,726.3,30654
2023-12-11 00:00:00+05:30,726.3,761.0,708.9,746.7,53920
2023-12-12 00:00:00+05:30,762.0,783.6,755.0,767.6,163167
2023-12-13 00:00:00+05:30,775.0,805.95,767.6,805.9,195670
2023-12-14 00:00:00+05:30,829.0,846.15,811.0,816.75,79901
2023-12-15 00:00:00+05:30,830.0,839.9,777.0,795.05,61345
2023-12-18 00:00:00+05:30,796.0,814.95,780.05,799.15,32451
2023-12-19 00:00:00+05:30,801.0,810.0,786.0,792.05,38060
2023-12-20 00:00:00+05:30,804.15,804.15,752.45,761.65,46990
2023-12-21 00:00:00+05:30,761.65,786.0,724.0,769.65,26879
2023-12-22 00:00:00+05:30,770.0,785.0,756.0,768.8,15359
2023-12-26 00:00:00+05:30,775.0,782.0,740.0,767.05,35191
2023-12-27 00:00:00+05:30,776.0,776.0,750.1,768.25,25354
2023-12-28 00:00:00+05:30,779.0,806.65,750.0,806.6,55456
2023-12-29 00:00:00+05:30,833.0,846.9,826.0,845.55,128757
2024-01-01 00:00:00+05:30,860.05,883.0,830.0,849.65,99776
2024-01-02 00:00:00+05:30,860.0,877.0,830.0,842.15,60581
2024-01-03 00:00:00+05:30,874.0,874.0,815.0,837.35,49291
2024-01-04 00:00:00+05:30,840.0,849.65,820.5,828.4,42629
2024-01-05 00:00:00+05:30,840.0,844.0,815.0,818.9,39053
2024-01-08 00:00:00+05:30,818.0,822.0,801.0,808.65,44802
2024-01-09 00:00:00+05:30,845.45,847.0,825.35,834.6,83219
2024-01-10 00:00:00+05:30,865.0,876.3,855.0,876.3,225878
2024-01-11 00:00:00+05:30,884.0,907.8,865.5,874.7,74218
2024-01-12 00:00:00+05:30,874.0,874.7,835.05,847.9,57728
2024-01-15 00:00:00+05:30,854.0,862.3,829.0,833.3,61519
2024-01-16 00:00:00+05:30,848.95,848.95,821.0,829.35,62156
2024-01-17 00:00:00+05:30,827.9,836.95,818.0,822.3,33018
2024-01-18 00:00:00+05:30,829.0,840.0,800.0,820.85,47976
2024-01-19 00:00:00+05:30,838.95,840.0,820.0,831.5,35632
2024-01-20 00:00:00+05:30,828.0,873.0,825.0,849.65,69821
2024-01-23 00:00:00+05:30,892.1,892.1,865.0,891.35,266411
2024-01-24 00:00:00+05:30,922.0,922.0,861.3,884.15,95451
2024-01-25 00:00:00+05:30,877.8,877.9,856.0,865.05,63460
2024-01-29 00:00:00+05:30,874.9,880.0,835.5,864.2,90653
2024-01-30 00:00:00+05:30,868.95,904.9,840.0,892.35,126648
2024-01-31 00:00:00+05:30,897.95,900.0,860.0,866.2,180434
2024-02-01 00:00:00+05:30,889.4,909.5,860.5,909.5,760250
2024-02-02 00:00:00+05:30,954.95,954.95,940.0,953.75,602002
2024-02-05 00:00:00+05:30,1001.4,1001.4,963.1,993.35,754302
2024-02-06 00:00:00+05:30,1024.0,1043.0,947.35,1043.0,636290
2024-02-07 00:00:00+05:30,1090.0,1147.3,1076.5,1147.3,728931
2024-02-08 00:00:00+05:30,1217.0,1229.95,1150.0,1162.5,656853
2024-02-09 00:00:00+05:30,1184.95,1198.0,1046.25,1111.95,669546
2024-02-12 00:00:00+05:30,1170.0,1199.0,1120.1,1153.75,338522
2024-02-13 00:00:00+05:30,1176.0,1193.95,1053.55,1124.2,263104
2024-02-14 00:00:00+05:30,1091.0,1166.85,1075.0,1152.0,183842
2024-02-15 00:00:00+05:30,1184.7,1267.2,1175.05,1267.2,500110
2024-02-16 00:00:00+05:30,1285.0,1335.0,1263.0,1282.0,447031
2024-02-19 00:00:00+05:30,1298.0,1310.0,1220.0,1264.1,223344
2024-02-20 00:00:00+05:30,1290.0,1376.0,1260.1,1331.0,386386
2024-02-21 00:00:00+05:30,1357.65,1366.95,1271.0,1298.85,327509
2024-02-22 00:00:00+05:30,1305.0,1307.8,1252.0,1268.05,207977
2024-02-23 00:00:00+05:30,1276.5,1310.0,1148.0,1216.4,762064
2024-02-26 00:00:00+05:30,1251.0,1265.0,1209.0,1238.4,228673
2024-02-27 00:00:00+05:30,1243.9,1250.0,1180.0,1190.5,195423
2024-02-28 00:00:00+05:30,1250.0,1270.0,1175.0,1196.05,319808
2024-02-29 00:00:00+05:30,1210.0,1218.0,1132.7,1171.9,189411
2024-03-01 00:00:00+05:30,1201.0,1215.0,1145.05,1160.45,135307
2024-03-02 00:00:00+05:30,1134.05,1134.05,1102.45,1102.45,142629
2024-03-04 00:00:00+05:30,992.2,992.2,992.2,992.2,146141
2024-03-05 00:00:00+05:30,940.2,1074.4,940.2,1030.1,1844986
2024-03-06 00:00:00+05:30,1040.0,1040.05,966.0,1007.95,399777
2024-03-07 00:00:00+05:30,1019.0,1025.0,986.2,1012.7,233623
2024-03-11 00:00:00+05:30,1024.95,1046.0,911.45,919.75,955227
2024-03-12 00:00:00+05:30,910.05,919.75,827.8,873.1,1134543
2024-03-13 00:00:00+05:30,870.0,895.1,829.45,829.45,375895
2024-03-14 00:00:00+05:30,788.0,824.4,788.0,788.45,1210606
2024-03-15 00:00:00+05:30,793.0,814.0,751.0,761.25,575651
2024-03-18 00:00:00+05:30,770.95,799.3,770.0,799.3,124482
2024-03-19 00:00:00+05:30,830.0,839.25,825.0,839.25,87221
2024-03-20 00:00:00+05:30,881.2,881.2,881.2,881.2,49193
2024-03-21 00:00:00+05:30,904.0,925.25,852.6,879.55,675910
2024-03-22 00:00:00+05:30,895.0,923.5,881.35,923.5,301728
2024-03-26 00:00:00+05:30,954.0,969.65,935.3,959.25,233987
2024-03-27 00:00:00+05:30,950.0,950.0,911.3,911.3,322689
2024-03-28 00:00:00+05:30,917.95,934.95,876.8,881.25,261581
