date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,59.0,59.0,55.7,56.0,835
2019-01-02 00:00:00+05:30,55.5,57.95,55.5,57.25,813
2019-01-03 00:00:00+05:30,57.0,57.0,56.25,56.5,1545
2019-01-04 00:00:00+05:30,57.7,57.7,56.1,56.1,638
2019-01-07 00:00:00+05:30,55.2,57.75,55.15,55.65,1171
2019-01-08 00:00:00+05:30,56.0,57.5,56.0,57.4,1575
2019-01-09 00:00:00+05:30,56.0,57.4,56.0,56.4,1115
2019-01-10 00:00:00+05:30,56.1,57.65,56.1,56.2,2418
2019-01-11 00:00:00+05:30,56.2,58.0,56.2,57.95,1074
2019-01-14 00:00:00+05:30,57.0,57.0,56.0,56.45,592
2019-01-15 00:00:00+05:30,57.0,57.75,56.45,57.6,2210
2019-01-16 00:00:00+05:30,58.25,58.7,56.35,58.3,1852
2019-01-17 00:00:00+05:30,57.0,57.0,55.35,56.0,1047
2019-01-18 00:00:00+05:30,56.5,58.45,56.5,57.65,1014
2019-01-21 00:00:00+05:30,57.0,57.5,56.05,57.5,263
2019-01-22 00:00:00+05:30,56.0,58.4,55.6,57.0,1378
2019-01-23 00:00:00+05:30,57.0,58.2,56.75,56.75,2345
2019-01-24 00:00:00+05:30,57.2,57.5,57.2,57.5,100
2019-01-25 00:00:00+05:30,56.25,56.3,51.05,54.8,1374
2019-01-28 00:00:00+05:30,54.1,55.8,53.25,55.05,3333
2019-01-29 00:00:00+05:30,54.05,55.65,53.5,53.65,2687
2019-01-30 00:00:00+05:30,53.4,53.45,53.4,53.4,250
2019-01-31 00:00:00+05:30,54.0,54.2,53.25,54.2,742
2019-02-01 00:00:00+05:30,54.05,54.05,54.0,54.0,259
2019-02-04 00:00:00+05:30,54.5,55.7,53.7,54.0,863
2019-02-05 00:00:00+05:30,55.4,55.5,54.0,54.0,130
2019-02-06 00:00:00+05:30,53.5,53.9,52.5,52.5,1591
2019-02-07 00:00:00+05:30,52.5,58.05,52.5,58.0,426
2019-02-08 00:00:00+05:30,56.0,56.0,54.0,54.0,3017
2019-02-11 00:00:00+05:30,54.0,54.0,53.5,53.5,2044
2019-02-12 00:00:00+05:30,52.0,54.85,51.2,53.0,1099
2019-02-13 00:00:00+05:30,52.2,53.15,51.0,51.95,1421
2019-02-14 00:00:00+05:30,51.0,51.0,48.0,49.9,6105
2019-02-15 00:00:00+05:30,50.05,51.7,49.5,49.9,1812
2019-02-18 00:00:00+05:30,49.0,49.5,47.2,47.6,1901
2019-02-19 00:00:00+05:30,51.8,51.8,47.0,49.65,1753
2019-02-20 00:00:00+05:30,48.0,49.0,47.0,48.25,1044
2019-02-21 00:00:00+05:30,52.0,52.95,47.5,49.5,2156
2019-02-22 00:00:00+05:30,50.0,50.9,48.7,49.1,533
2019-02-25 00:00:00+05:30,49.1,49.9,48.2,49.0,1740
2019-02-26 00:00:00+05:30,51.2,51.25,48.5,50.55,889
2019-02-27 00:00:00+05:30,52.0,52.0,48.0,49.3,1800
2019-02-28 00:00:00+05:30,53.0,53.0,48.0,49.05,5246
2019-03-01 00:00:00+05:30,50.45,50.45,48.7,48.7,5983
2019-03-05 00:00:00+05:30,48.7,53.8,48.5,52.45,19727
2019-03-06 00:00:00+05:30,53.5,53.5,51.05,52.0,1566
2019-03-07 00:00:00+05:30,51.5,52.4,50.25,52.4,993
2019-03-08 00:00:00+05:30,51.5,53.0,51.2,51.6,389
2019-03-11 00:00:00+05:30,50.5,51.8,49.0,50.2,3375
2019-03-12 00:00:00+05:30,50.2,50.2,49.15,49.95,4412
2019-03-13 00:00:00+05:30,49.55,50.8,49.5,49.5,705
2019-03-14 00:00:00+05:30,49.5,49.55,48.0,48.65,1853
2019-03-15 00:00:00+05:30,49.9,49.9,48.55,49.0,245
2019-03-18 00:00:00+05:30,48.55,49.0,48.3,48.95,13973
2019-03-19 00:00:00+05:30,49.95,49.95,48.5,48.8,1467
2019-03-20 00:00:00+05:30,48.1,49.0,48.05,48.1,1240
2019-03-22 00:00:00+05:30,46.55,48.8,46.55,48.55,3842
2019-03-25 00:00:00+05:30,50.5,50.5,46.6,48.0,1984
2019-03-26 00:00:00+05:30,49.7,49.7,46.6,47.8,865
2019-03-27 00:00:00+05:30,49.0,49.0,46.75,47.15,3117
2019-03-28 00:00:00+05:30,47.7,48.85,47.0,47.8,2271
2019-03-29 00:00:00+05:30,47.0,48.3,46.25,47.8,5925
2019-04-01 00:00:00+05:30,47.8,48.0,45.6,47.95,2428
2019-04-02 00:00:00+05:30,47.0,48.6,47.0,48.35,761
2019-04-03 00:00:00+05:30,48.9,49.35,47.6,48.2,645
2019-04-04 00:00:00+05:30,48.0,48.2,48.0,48.05,932
2019-04-05 00:00:00+05:30,47.05,49.0,47.0,48.1,2652
2019-04-08 00:00:00+05:30,49.4,49.4,47.1,47.35,606
2019-04-09 00:00:00+05:30,48.2,49.55,47.1,48.35,2244
2019-04-10 00:00:00+05:30,47.7,48.0,47.55,47.6,834
2019-04-11 00:00:00+05:30,47.95,48.05,47.7,48.05,1237
2019-04-12 00:00:00+05:30,48.0,48.05,48.0,48.05,1421
2019-04-15 00:00:00+05:30,49.0,49.4,48.0,48.3,1390
2019-04-16 00:00:00+05:30,48.0,50.0,47.2,49.0,1884
2019-04-18 00:00:00+05:30,50.45,51.0,48.6,48.8,2165
2019-04-22 00:00:00+05:30,48.0,48.8,47.35,48.2,723
2019-04-23 00:00:00+05:30,48.2,48.5,48.15,48.5,301
2019-04-24 00:00:00+05:30,50.0,50.0,47.8,49.95,5144
2019-04-25 00:00:00+05:30,48.6,48.6,47.65,48.15,101
2019-04-26 00:00:00+05:30,48.55,49.55,48.0,49.25,1530
2019-04-30 00:00:00+05:30,50.7,50.7,47.8,47.85,284
2019-05-02 00:00:00+05:30,47.85,48.55,47.0,47.05,326
2019-05-03 00:00:00+05:30,48.45,48.45,47.2,47.2,74
2019-05-06 00:00:00+05:30,46.05,50.0,46.0,48.4,876
2019-05-07 00:00:00+05:30,49.5,49.5,47.1,47.8,2175
2019-05-08 00:00:00+05:30,47.9,47.9,46.5,47.25,363
2019-05-09 00:00:00+05:30,46.65,46.65,46.65,46.65,39
2019-05-10 00:00:00+05:30,46.0,46.5,46.0,46.5,337
2019-05-13 00:00:00+05:30,46.5,47.4,45.0,45.8,4475
2019-05-14 00:00:00+05:30,45.6,47.15,45.6,47.15,55
2019-05-15 00:00:00+05:30,45.75,47.3,45.7,46.15,1470
2019-05-16 00:00:00+05:30,47.45,49.6,46.25,48.95,3607
2019-05-17 00:00:00+05:30,47.6,48.5,47.55,48.0,578
2019-05-20 00:00:00+05:30,47.55,48.0,47.55,48.0,345
2019-05-21 00:00:00+05:30,50.9,50.9,47.25,47.25,103
2019-05-22 00:00:00+05:30,47.25,48.5,47.25,47.3,1550
2019-05-23 00:00:00+05:30,47.55,47.7,46.1,47.0,923
2019-05-24 00:00:00+05:30,47.0,49.0,47.0,48.8,2971
2019-05-27 00:00:00+05:30,49.0,49.95,48.1,49.95,412
2019-05-28 00:00:00+05:30,49.05,49.05,47.1,47.8,429
2019-05-29 00:00:00+05:30,46.2,50.4,46.15,48.0,5422
2019-05-30 00:00:00+05:30,48.5,48.5,46.0,46.25,1740
2019-05-31 00:00:00+05:30,47.0,47.0,45.25,46.9,472
2019-06-03 00:00:00+05:30,46.0,49.0,45.25,47.1,1293
2019-06-04 00:00:00+05:30,46.1,48.2,45.6,46.4,1470
2019-06-06 00:00:00+05:30,45.0,47.15,45.0,45.25,512
2019-06-07 00:00:00+05:30,44.5,45.9,43.0,45.25,480
2019-06-10 00:00:00+05:30,44.6,45.3,43.4,44.65,2235
2019-06-11 00:00:00+05:30,46.3,46.5,46.2,46.2,468
2019-06-12 00:00:00+05:30,45.9,45.9,44.25,44.25,182
2019-06-13 00:00:00+05:30,43.65,46.0,43.6,44.15,1846
2019-06-14 00:00:00+05:30,44.8,44.8,43.35,44.45,829
2019-06-17 00:00:00+05:30,45.0,45.0,43.1,43.3,1740
2019-06-18 00:00:00+05:30,45.25,48.75,43.85,44.05,3825
2019-06-19 00:00:00+05:30,45.5,45.5,41.2,42.1,1370
2019-06-20 00:00:00+05:30,45.4,45.4,41.1,41.65,2268
2019-06-21 00:00:00+05:30,40.15,42.85,40.1,41.6,1653
2019-06-24 00:00:00+05:30,41.05,42.0,41.0,42.0,648
2019-06-25 00:00:00+05:30,40.7,41.6,37.1,39.55,5239
2019-06-26 00:00:00+05:30,40.1,41.9,40.1,41.9,666
2019-06-27 00:00:00+05:30,40.7,41.5,40.35,41.5,369
2019-06-28 00:00:00+05:30,40.0,42.05,38.35,41.45,2233
2019-07-01 00:00:00+05:30,43.0,43.0,40.15,40.95,1402
2019-07-02 00:00:00+05:30,40.5,41.8,40.0,41.0,383
2019-07-03 00:00:00+05:30,42.7,42.7,41.0,41.0,44
2019-07-04 00:00:00+05:30,41.9,41.9,40.1,41.5,949
2019-07-05 00:00:00+05:30,40.5,41.0,40.5,40.55,1000
2019-07-08 00:00:00+05:30,40.1,40.75,40.0,40.0,1026
2019-07-09 00:00:00+05:30,40.0,41.55,37.65,41.05,1844
2019-07-10 00:00:00+05:30,39.0,40.95,38.6,39.5,1566
2019-07-11 00:00:00+05:30,39.0,42.65,38.65,39.5,991
2019-07-12 00:00:00+05:30,39.5,41.2,38.55,39.55,1942
2019-07-15 00:00:00+05:30,38.65,39.85,37.0,37.85,1301
2019-07-16 00:00:00+05:30,37.0,41.4,34.9,40.15,2559
2019-07-17 00:00:00+05:30,38.0,43.0,36.65,38.7,2820
2019-07-18 00:00:00+05:30,38.5,38.5,36.6,37.1,1260
2019-07-19 00:00:00+05:30,36.6,36.95,35.1,35.6,2428
2019-07-22 00:00:00+05:30,39.45,39.45,35.05,37.25,793
2019-07-23 00:00:00+05:30,36.7,39.0,36.6,36.6,433
2019-07-24 00:00:00+05:30,35.15,38.0,35.15,37.95,494
2019-07-25 00:00:00+05:30,36.3,36.3,35.15,35.25,136
2019-07-26 00:00:00+05:30,35.0,37.9,34.0,36.05,2279
2019-07-29 00:00:00+05:30,35.0,37.5,34.05,35.0,1153
2019-07-30 00:00:00+05:30,35.0,35.0,35.0,35.0,1824
2019-07-31 00:00:00+05:30,34.0,37.5,32.4,37.5,184
2019-08-01 00:00:00+05:30,37.5,37.5,34.05,37.0,1341
2019-08-02 00:00:00+05:30,35.5,38.0,35.4,36.85,892
2019-08-05 00:00:00+05:30,34.2,36.0,33.1,35.0,517
2019-08-06 00:00:00+05:30,34.5,38.55,34.5,34.5,561
2019-08-07 00:00:00+05:30,34.0,35.1,34.0,35.1,310
2019-08-08 00:00:00+05:30,37.0,37.0,33.6,35.2,4724
2019-08-09 00:00:00+05:30,37.8,37.8,30.3,33.25,14683
2019-08-13 00:00:00+05:30,33.25,35.35,33.25,33.25,467
2019-08-14 00:00:00+05:30,34.3,34.95,30.75,31.5,6196
2019-08-16 00:00:00+05:30,31.0,31.9,30.0,31.65,214
2019-08-19 00:00:00+05:30,32.0,32.0,31.15,31.15,513
