date,open,high,low,close,volume
2021-04-08 00:00:00+05:30,50.0,50.0,47.68,47.7,36
2021-04-12 00:00:00+05:30,47.73,47.75,47.72,47.72,75
2021-04-13 00:00:00+05:30,47.7,47.7,47.7,47.7,3
2021-04-15 00:00:00+05:30,47.75,47.75,47.64,47.66,14
2021-04-16 00:00:00+05:30,47.65,47.65,47.65,47.65,3
2021-04-19 00:00:00+05:30,47.7,47.87,47.66,47.85,2128
2021-04-20 00:00:00+05:30,47.87,47.88,47.76,47.76,1125
2021-04-22 00:00:00+05:30,47.86,47.91,47.85,47.9,167
2021-04-23 00:00:00+05:30,47.91,47.91,47.89,47.89,19
2021-04-26 00:00:00+05:30,48.0,48.15,48.0,48.15,1016
2021-04-27 00:00:00+05:30,48.15,48.15,48.1,48.14,497
2021-04-28 00:00:00+05:30,48.11,48.16,48.11,48.13,33
2021-04-29 00:00:00+05:30,48.12,48.12,48.07,48.09,388
2021-04-30 00:00:00+05:30,48.11,48.16,48.11,48.13,1264
2021-05-03 00:00:00+05:30,48.18,48.18,48.13,48.15,31
2021-05-04 00:00:00+05:30,48.14,48.19,48.14,48.16,109
2021-05-05 00:00:00+05:30,48.17,48.17,48.1,48.13,19
2021-05-06 00:00:00+05:30,48.19,48.25,48.19,48.23,5466
2021-05-07 00:00:00+05:30,49.67,49.67,48.2,48.23,1723
2021-05-10 00:00:00+05:30,49.67,49.67,48.18,48.18,665
2021-05-11 00:00:00+05:30,48.23,48.23,48.23,48.23,1
2021-05-12 00:00:00+05:30,48.26,48.28,48.2,48.22,1369
2021-05-14 00:00:00+05:30,48.26,48.31,48.16,48.16,630
2021-05-17 00:00:00+05:30,48.25,48.25,48.19,48.24,1014
2021-05-18 00:00:00+05:30,48.24,48.28,48.24,48.27,176
2021-05-19 00:00:00+05:30,48.27,48.27,48.23,48.23,453
2021-05-20 00:00:00+05:30,48.28,48.28,48.23,48.23,1426
2021-05-21 00:00:00+05:30,48.27,48.3,48.26,48.3,2241
2021-05-24 00:00:00+05:30,48.32,48.35,48.3,48.3,437
2021-05-25 00:00:00+05:30,48.37,48.4,48.3,48.4,5690
2021-05-26 00:00:00+05:30,48.44,48.44,48.44,48.44,102
2021-05-27 00:00:00+05:30,48.39,48.41,48.38,48.38,104
