date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,17.15,17.75,17.0,17.2,102087
2019-01-02 00:00:00+05:30,17.4,17.6,17.05,17.15,67681
2019-01-03 00:00:00+05:30,17.1,17.35,17.05,17.1,26376
2019-01-04 00:00:00+05:30,17.25,17.3,16.7,16.9,34630
2019-01-07 00:00:00+05:30,16.85,17.35,16.55,16.8,40790
2019-01-08 00:00:00+05:30,16.95,17.05,16.6,17.0,39582
2019-01-09 00:00:00+05:30,17.45,17.45,16.65,16.85,29989
2019-01-10 00:00:00+05:30,17.0,17.0,16.75,16.85,9715
2019-01-11 00:00:00+05:30,16.85,17.2,16.6,16.8,40393
2019-01-14 00:00:00+05:30,16.6,17.0,16.6,16.9,24631
2019-01-15 00:00:00+05:30,18.0,18.4,17.5,17.7,221242
2019-01-16 00:00:00+05:30,17.75,17.8,17.2,17.5,38687
2019-01-17 00:00:00+05:30,17.55,17.8,17.25,17.45,35696
2019-01-18 00:00:00+05:30,17.05,17.5,17.0,17.05,44516
2019-01-21 00:00:00+05:30,17.1,17.15,16.6,16.9,47841
2019-01-22 00:00:00+05:30,17.15,17.15,16.45,16.55,41721
2019-01-23 00:00:00+05:30,16.5,16.75,16.15,16.25,33960
2019-01-24 00:00:00+05:30,16.9,16.9,16.1,16.2,33124
2019-01-25 00:00:00+05:30,16.25,16.4,15.9,16.0,51184
2019-01-28 00:00:00+05:30,16.35,16.35,15.3,15.4,65479
2019-01-29 00:00:00+05:30,15.35,15.9,15.3,15.6,56781
2019-01-30 00:00:00+05:30,15.45,15.7,15.4,15.6,45912
2019-01-31 00:00:00+05:30,15.9,15.9,15.4,15.7,35015
2019-02-01 00:00:00+05:30,15.9,15.9,15.25,15.65,45028
2019-02-04 00:00:00+05:30,15.3,15.45,14.95,15.15,31320
2019-02-05 00:00:00+05:30,15.45,15.45,14.55,14.75,40465
2019-02-06 00:00:00+05:30,15.05,15.05,13.65,14.2,68305
2019-02-07 00:00:00+05:30,14.0,14.5,13.7,14.0,34426
2019-02-08 00:00:00+05:30,14.0,14.2,13.8,14.0,25950
2019-02-11 00:00:00+05:30,14.0,14.0,13.1,13.2,56006
2019-02-12 00:00:00+05:30,13.3,13.3,11.45,11.8,196274
2019-02-13 00:00:00+05:30,11.3,11.9,11.3,11.5,83752
2019-02-14 00:00:00+05:30,11.5,11.8,11.15,11.5,35336
2019-02-15 00:00:00+05:30,11.55,11.8,11.25,11.75,54317
