date,open,high,low,close,volume
2019-02-26 00:00:00+05:30,147.15,147.15,147.15,147.15,10000
2019-02-28 00:00:00+05:30,139.8,139.8,139.8,139.8,5000
2019-03-05 00:00:00+05:30,132.85,132.85,132.85,132.85,15000
2019-03-08 00:00:00+05:30,126.25,126.25,126.25,126.25,5000
2019-03-12 00:00:00+05:30,119.95,119.95,119.95,119.95,40000
2019-03-19 00:00:00+05:30,119.95,119.95,119.95,119.95,35000
2019-05-30 00:00:00+05:30,119.95,119.95,119.95,119.95,15000
2019-05-31 00:00:00+05:30,119.95,119.95,119.95,119.95,5000
2019-06-20 00:00:00+05:30,119.95,119.95,119.95,119.95,5000
2019-09-13 00:00:00+05:30,119.95,119.95,119.95,119.95,5000
2019-09-27 00:00:00+05:30,119.95,119.95,119.95,119.95,10000
2021-02-24 00:00:00+05:30,119.95,119.95,119.95,119.95,15000
2021-04-29 00:00:00+05:30,119.95,119.95,119.95,119.95,10000
2023-01-25 00:00:00+05:30,119.95,119.95,119.95,119.95,10000
2023-08-11 00:00:00+05:30,113.65,113.65,113.65,113.65,5000
2023-10-04 00:00:00+05:30,113.65,113.65,113.65,113.65,5000
2023-10-05 00:00:00+05:30,113.65,113.65,113.65,113.65,10000
2024-03-19 00:00:00+05:30,113.65,113.65,113.65,113.65,5000
2024-03-27 00:00:00+05:30,113.65,113.65,113.65,113.65,5000
