date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,690.5,697.6,687.55,692.15,436483
2019-01-02 00:00:00+05:30,691.8,691.8,673.05,683.05,583438
2019-01-03 00:00:00+05:30,682.5,682.6,659.35,661.55,612332
2019-01-04 00:00:00+05:30,660.5,666.0,656.0,664.25,818827
2019-01-07 00:00:00+05:30,669.0,669.0,645.8,653.65,1079160
2019-01-08 00:00:00+05:30,655.0,659.4,649.25,654.5,585844
2019-01-09 00:00:00+05:30,655.5,660.45,648.3,656.7,589840
2019-01-10 00:00:00+05:30,655.9,670.0,652.0,667.85,571292
2019-01-11 00:00:00+05:30,668.5,673.35,647.7,651.3,1007280
2019-01-14 00:00:00+05:30,651.9,670.05,648.25,666.7,679289
2019-01-15 00:00:00+05:30,670.0,671.45,659.45,665.05,587843
2019-01-16 00:00:00+05:30,664.5,669.0,652.5,655.95,786856
2019-01-17 00:00:00+05:30,655.75,664.0,651.25,661.5,599607
2019-01-18 00:00:00+05:30,659.9,663.0,635.0,640.4,959374
2019-01-21 00:00:00+05:30,639.75,654.75,637.1,646.1,796703
2019-01-22 00:00:00+05:30,642.05,658.7,642.05,656.95,567971
2019-01-23 00:00:00+05:30,655.95,655.95,645.95,649.4,429188
2019-01-24 00:00:00+05:30,653.95,658.0,641.7,649.75,523889
2019-01-25 00:00:00+05:30,651.8,656.0,640.65,646.9,273361
2019-01-28 00:00:00+05:30,647.95,647.95,629.05,631.6,358789
2019-01-29 00:00:00+05:30,635.9,649.4,623.75,645.65,452693
2019-01-30 00:00:00+05:30,644.0,645.1,630.25,638.6,367742
2019-01-31 00:00:00+05:30,638.05,654.0,636.75,651.65,366009
2019-02-01 00:00:00+05:30,654.8,665.0,646.5,661.85,398672
2019-02-04 00:00:00+05:30,663.0,664.7,641.25,646.3,537394
2019-02-05 00:00:00+05:30,645.05,652.65,630.75,635.45,293822
2019-02-06 00:00:00+05:30,633.0,644.55,627.5,641.5,377161
2019-02-07 00:00:00+05:30,647.95,647.95,633.55,639.9,351239
2019-02-08 00:00:00+05:30,640.9,645.0,611.2,614.45,832818
2019-02-11 00:00:00+05:30,614.0,624.1,598.0,602.65,628726
2019-02-12 00:00:00+05:30,605.0,611.0,593.05,601.4,604163
2019-02-13 00:00:00+05:30,604.45,610.75,595.0,596.9,759786
2019-02-14 00:00:00+05:30,597.9,614.05,591.2,609.2,744340
2019-02-15 00:00:00+05:30,609.2,609.2,554.0,569.35,4210524
2019-02-18 00:00:00+05:30,575.0,580.0,562.7,577.1,1093956
2019-02-19 00:00:00+05:30,577.7,592.0,574.0,579.15,700823
2019-02-20 00:00:00+05:30,579.6,590.4,579.2,586.95,435907
2019-02-21 00:00:00+05:30,591.0,591.75,581.2,586.85,402915
2019-02-22 00:00:00+05:30,589.8,598.0,583.3,593.0,513603
2019-02-25 00:00:00+05:30,593.05,603.35,590.15,593.0,496779
2019-02-26 00:00:00+05:30,588.8,598.0,571.75,588.75,788030
2019-02-27 00:00:00+05:30,590.85,597.95,580.0,583.55,398269
2019-02-28 00:00:00+05:30,587.8,598.3,584.25,596.55,588615
2019-03-01 00:00:00+05:30,593.0,602.0,587.65,599.05,519603
2019-03-05 00:00:00+05:30,600.0,608.0,598.45,604.35,387115
2019-03-06 00:00:00+05:30,605.1,610.0,597.3,603.65,593887
2019-03-07 00:00:00+05:30,600.9,621.35,600.9,611.4,962522
2019-03-08 00:00:00+05:30,611.5,614.0,595.6,598.05,533133
