date,open,high,low,close,volume
2019-03-25 00:00:00+05:30,1.65,1.65,1.65,1.65,1
2019-04-16 00:00:00+05:30,1.65,1.65,1.65,1.65,499
2019-04-18 00:00:00+05:30,1.6,1.6,1.6,1.6,201
2019-06-13 00:00:00+05:30,1.6,1.6,1.6,1.6,500
2019-07-15 00:00:00+05:30,1.6,1.6,1.6,1.6,100
2019-07-24 00:00:00+05:30,1.55,1.55,1.55,1.55,200
2019-07-31 00:00:00+05:30,1.55,1.55,1.55,1.55,500
2019-08-01 00:00:00+05:30,1.55,1.55,1.55,1.55,2000
2019-08-05 00:00:00+05:30,1.55,1.55,1.55,1.55,2400
2019-08-07 00:00:00+05:30,1.5,1.5,1.5,1.5,2000
2019-08-08 00:00:00+05:30,1.5,1.5,1.45,1.45,3500
2019-08-26 00:00:00+05:30,1.5,1.5,1.5,1.5,1
2019-09-13 00:00:00+05:30,1.5,1.5,1.5,1.5,1
2019-09-20 00:00:00+05:30,1.5,1.5,1.5,1.5,1
2019-10-07 00:00:00+05:30,1.45,1.45,1.45,1.45,5000
2019-10-10 00:00:00+05:30,1.45,1.45,1.4,1.4,51
2019-10-11 00:00:00+05:30,1.35,1.35,1.35,1.35,1
2019-10-14 00:00:00+05:30,1.3,1.3,1.3,1.3,1
2019-10-16 00:00:00+05:30,1.3,1.3,1.25,1.3,2653
2019-10-17 00:00:00+05:30,1.3,1.3,1.25,1.25,2
2019-10-22 00:00:00+05:30,1.2,1.2,1.2,1.2,1
2019-10-23 00:00:00+05:30,1.15,1.15,1.15,1.15,1
2019-10-29 00:00:00+05:30,1.1,1.1,1.1,1.1,1
2019-10-30 00:00:00+05:30,1.1,1.1,1.05,1.05,801
2019-10-31 00:00:00+05:30,1.0,1.0,1.0,1.0,21
2019-11-11 00:00:00+05:30,0.95,1.0,0.95,1.0,624
2019-11-13 00:00:00+05:30,1.0,1.0,1.0,1.0,20
2019-11-18 00:00:00+05:30,0.95,0.95,0.95,0.95,1
2019-11-19 00:00:00+05:30,0.95,0.95,0.9,0.9,105
2019-11-20 00:00:00+05:30,0.85,0.85,0.85,0.85,1
2019-11-21 00:00:00+05:30,0.85,0.85,0.8,0.8,256
2019-11-22 00:00:00+05:30,0.75,0.75,0.75,0.75,1
2019-11-26 00:00:00+05:30,0.7,0.7,0.7,0.7,1656
2019-11-27 00:00:00+05:30,0.65,0.65,0.65,0.65,1051
2019-11-28 00:00:00+05:30,0.6,0.7,0.6,0.7,7325
2019-11-29 00:00:00+05:30,0.7,0.75,0.7,0.75,567
2019-12-02 00:00:00+05:30,0.8,0.8,0.8,0.8,190
2019-12-03 00:00:00+05:30,0.8,0.85,0.75,0.85,407
2019-12-04 00:00:00+05:30,0.8,0.8,0.8,0.8,50
2019-12-05 00:00:00+05:30,0.8,0.85,0.8,0.8,6271
2019-12-06 00:00:00+05:30,0.85,0.85,0.85,0.85,587
2019-12-09 00:00:00+05:30,0.85,0.9,0.85,0.85,5650
2019-12-10 00:00:00+05:30,0.85,0.9,0.8,0.9,289
2019-12-11 00:00:00+05:30,0.95,0.95,0.85,0.85,2
2019-12-12 00:00:00+05:30,0.8,0.9,0.8,0.8,13796
2019-12-16 00:00:00+05:30,0.75,0.85,0.75,0.85,562
2019-12-17 00:00:00+05:30,0.8,0.8,0.8,0.8,332
2019-12-18 00:00:00+05:30,0.8,0.8,0.8,0.8,387
2019-12-20 00:00:00+05:30,0.8,0.8,0.8,0.8,400
2019-12-23 00:00:00+05:30,0.8,0.8,0.8,0.8,100
2019-12-24 00:00:00+05:30,0.8,0.8,0.8,0.8,187
2019-12-26 00:00:00+05:30,0.8,0.8,0.8,0.8,501
2019-12-27 00:00:00+05:30,0.75,0.75,0.75,0.75,1050
2019-12-30 00:00:00+05:30,0.75,0.75,0.7,0.7,187
2019-12-31 00:00:00+05:30,0.7,0.7,0.65,0.65,2516
2020-01-01 00:00:00+05:30,0.6,0.6,0.6,0.6,601
2020-01-02 00:00:00+05:30,0.55,0.55,0.55,0.55,336
2020-01-03 00:00:00+05:30,0.5,0.6,0.5,0.6,141
2020-01-07 00:00:00+05:30,0.65,0.65,0.65,0.65,325
2020-01-08 00:00:00+05:30,0.6,0.6,0.6,0.6,125
2020-01-10 00:00:00+05:30,0.65,0.65,0.65,0.65,475
2020-01-13 00:00:00+05:30,0.7,0.7,0.7,0.7,500
2020-01-14 00:00:00+05:30,0.75,0.75,0.75,0.75,2000
2020-01-15 00:00:00+05:30,0.8,0.8,0.8,0.8,325
2020-01-16 00:00:00+05:30,0.85,0.85,0.85,0.85,725
2020-01-21 00:00:00+05:30,0.85,0.85,0.8,0.8,467
2020-01-23 00:00:00+05:30,0.75,0.75,0.75,0.75,187
2020-01-24 00:00:00+05:30,0.75,0.75,0.75,0.75,62
2020-01-28 00:00:00+05:30,0.7,0.7,0.7,0.7,2610
2020-01-29 00:00:00+05:30,0.65,0.65,0.65,0.65,1664
2020-01-30 00:00:00+05:30,0.6,0.6,0.6,0.6,1879
2020-01-31 00:00:00+05:30,0.55,0.55,0.55,0.55,585
2020-02-01 00:00:00+05:30,0.6,0.6,0.5,0.5,1500
2020-02-03 00:00:00+05:30,0.45,0.5,0.45,0.5,113
2020-02-04 00:00:00+05:30,0.45,0.55,0.45,0.55,922
2020-02-05 00:00:00+05:30,0.5,0.5,0.5,0.5,163
2020-02-06 00:00:00+05:30,0.45,0.45,0.45,0.45,1000
