date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,64.25,67.25,63.5,64.65,4108
2019-01-02 00:00:00+05:30,64.05,70.45,64.0,66.05,5173
2019-01-03 00:00:00+05:30,65.5,65.5,60.1,62.4,8412
2019-01-04 00:00:00+05:30,63.45,65.0,61.7,63.2,2097
2019-01-07 00:00:00+05:30,63.2,65.9,62.9,62.95,1195
2019-01-08 00:00:00+05:30,63.05,64.25,60.5,61.75,8074
2019-01-09 00:00:00+05:30,63.45,65.0,62.0,64.75,2598
2019-01-10 00:00:00+05:30,65.45,67.0,62.0,63.65,1699
2019-01-11 00:00:00+05:30,63.15,63.95,63.05,63.4,155
2019-01-14 00:00:00+05:30,64.8,64.8,61.6,63.55,243
2019-01-15 00:00:00+05:30,64.8,64.85,62.15,63.35,1411
2019-01-16 00:00:00+05:30,64.45,64.9,61.7,62.1,2271
2019-01-17 00:00:00+05:30,63.45,64.55,61.5,63.0,2250
2019-01-18 00:00:00+05:30,62.0,64.0,61.65,62.05,1920
2019-01-21 00:00:00+05:30,62.0,63.5,60.2,61.15,1281
2019-01-22 00:00:00+05:30,61.35,62.8,59.0,60.1,1615
2019-01-23 00:00:00+05:30,63.45,63.45,60.05,60.65,1131
2019-01-24 00:00:00+05:30,62.0,62.0,59.2,61.25,2429
2019-01-25 00:00:00+05:30,59.15,62.0,59.1,60.35,1394
2019-01-28 00:00:00+05:30,58.6,58.6,54.45,55.85,3717
2019-01-29 00:00:00+05:30,53.4,56.6,53.35,55.2,2752
2019-01-30 00:00:00+05:30,55.05,57.4,54.0,56.5,1167
2019-01-31 00:00:00+05:30,54.05,58.0,54.0,57.95,51281
2019-02-01 00:00:00+05:30,59.45,62.95,58.0,59.1,1993
2019-02-04 00:00:00+05:30,58.0,62.5,58.0,58.1,785
2019-02-05 00:00:00+05:30,58.05,59.5,56.2,58.85,1648
2019-02-06 00:00:00+05:30,57.0,57.15,54.1,56.35,8569
2019-02-07 00:00:00+05:30,55.4,57.6,55.35,56.15,3498
2019-02-08 00:00:00+05:30,56.05,59.25,54.0,56.05,2059
2019-02-11 00:00:00+05:30,55.15,57.7,45.2,49.6,21301
2019-02-12 00:00:00+05:30,48.2,49.8,47.0,47.35,9400
2019-02-13 00:00:00+05:30,52.5,52.5,46.85,47.9,16015
2019-02-14 00:00:00+05:30,46.95,51.8,45.6,50.7,5872
2019-02-15 00:00:00+05:30,50.75,52.9,49.9,50.2,7461
2019-02-18 00:00:00+05:30,50.05,52.2,50.0,50.65,3009
2019-02-19 00:00:00+05:30,52.95,55.0,50.05,51.15,1585
2019-02-20 00:00:00+05:30,53.45,54.95,51.25,52.25,3264
2019-02-21 00:00:00+05:30,52.05,56.1,52.05,53.85,4056
2019-02-22 00:00:00+05:30,53.05,60.7,50.05,57.2,23815
2019-02-25 00:00:00+05:30,59.8,60.6,57.0,59.0,2448
2019-02-26 00:00:00+05:30,58.0,58.0,56.15,56.65,1692
2019-02-27 00:00:00+05:30,59.95,60.0,57.0,57.2,1199
2019-02-28 00:00:00+05:30,59.95,60.0,53.15,55.0,3932
2019-03-01 00:00:00+05:30,58.8,59.7,55.75,58.8,21990
2019-03-05 00:00:00+05:30,62.85,62.85,58.1,62.2,4796
2019-03-06 00:00:00+05:30,62.0,68.4,61.95,64.1,11587
2019-03-07 00:00:00+05:30,63.45,65.0,61.5,62.65,7365
2019-03-08 00:00:00+05:30,62.05,64.7,58.15,60.4,5695
2019-03-11 00:00:00+05:30,60.0,71.95,56.5,68.45,72802
2019-03-12 00:00:00+05:30,71.8,78.0,69.65,74.15,120791
2019-03-13 00:00:00+05:30,75.95,78.4,74.5,77.65,56766
2019-03-14 00:00:00+05:30,78.45,82.85,74.3,75.35,34042
2019-03-15 00:00:00+05:30,76.25,80.0,74.1,76.6,32112
2019-03-18 00:00:00+05:30,74.65,79.7,74.1,75.2,5890
2019-03-19 00:00:00+05:30,75.65,77.7,72.1,74.2,9721
2019-03-20 00:00:00+05:30,74.2,75.85,72.0,72.75,7774
2019-03-22 00:00:00+05:30,70.85,74.5,70.85,71.45,6297
2019-03-25 00:00:00+05:30,71.45,74.5,70.0,71.55,3879
2019-03-26 00:00:00+05:30,71.0,73.0,69.25,70.0,10211
2019-03-27 00:00:00+05:30,70.55,72.0,67.2,69.35,8243
2019-03-28 00:00:00+05:30,68.95,72.0,68.1,69.95,8891
2019-03-29 00:00:00+05:30,69.1,70.75,68.25,69.1,6404
2019-04-01 00:00:00+05:30,69.25,72.9,68.15,69.25,6940
2019-04-02 00:00:00+05:30,70.9,70.9,68.4,69.1,26962
2019-04-03 00:00:00+05:30,71.1,82.9,69.05,82.85,237258
2019-04-04 00:00:00+05:30,84.9,93.8,84.0,91.25,596007
2019-04-05 00:00:00+05:30,91.0,91.4,86.5,87.7,115795
2019-04-08 00:00:00+05:30,87.75,88.4,81.8,82.95,29697
2019-04-09 00:00:00+05:30,82.0,83.8,75.3,79.1,49639
2019-04-10 00:00:00+05:30,80.6,82.2,78.3,78.65,47693
2019-04-11 00:00:00+05:30,79.0,83.0,77.1,80.4,32001
2019-04-12 00:00:00+05:30,80.75,84.45,79.05,82.7,14806
2019-04-15 00:00:00+05:30,83.4,99.2,80.55,96.2,321309
2019-04-16 00:00:00+05:30,101.0,115.4,99.2,115.4,1123439
2019-04-18 00:00:00+05:30,121.0,126.9,112.15,115.85,1076853
2019-04-22 00:00:00+05:30,114.0,115.0,106.6,110.8,204247
2019-04-23 00:00:00+05:30,111.95,121.85,109.05,117.9,374447
2019-04-24 00:00:00+05:30,118.3,125.0,114.55,115.3,165841
2019-04-25 00:00:00+05:30,117.45,117.45,109.55,109.55,6795
2019-04-26 00:00:00+05:30,105.0,105.0,104.1,104.1,3912
