date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,67.3,69.3,64.55,68.95,22306
2019-01-02 00:00:00+05:30,68.9,69.0,67.3,67.75,63517
2019-01-03 00:00:00+05:30,67.75,70.0,65.6,66.85,9746
2019-01-04 00:00:00+05:30,68.15,68.15,66.0,67.6,18604
2019-01-07 00:00:00+05:30,67.7,68.0,66.6,66.8,5079
2019-01-08 00:00:00+05:30,66.5,67.9,66.25,67.0,3483
2019-01-09 00:00:00+05:30,67.2,72.6,66.85,71.0,170329
2019-01-10 00:00:00+05:30,71.0,81.35,71.0,78.75,2442063
2019-01-11 00:00:00+05:30,77.1,77.8,74.05,74.8,205290
2019-01-14 00:00:00+05:30,74.95,74.95,72.05,72.55,64691
2019-01-15 00:00:00+05:30,74.35,74.35,72.1,73.3,60207
2019-01-16 00:00:00+05:30,73.85,73.85,71.2,72.55,32361
2019-01-17 00:00:00+05:30,72.55,74.9,71.35,73.35,35818
2019-01-18 00:00:00+05:30,73.55,74.9,71.0,71.85,24228
2019-01-21 00:00:00+05:30,72.65,72.95,71.5,72.05,16452
2019-01-22 00:00:00+05:30,71.05,72.65,70.6,71.8,25221
2019-01-23 00:00:00+05:30,71.55,73.4,71.5,71.8,10849
2019-01-24 00:00:00+05:30,71.15,74.0,70.0,72.3,7728
2019-01-25 00:00:00+05:30,71.55,72.2,68.65,69.95,13628
2019-01-28 00:00:00+05:30,69.45,71.95,67.2,68.3,21499
2019-01-29 00:00:00+05:30,67.15,69.0,65.6,67.2,15673
2019-01-30 00:00:00+05:30,68.9,69.0,67.25,67.7,9494
2019-01-31 00:00:00+05:30,70.45,70.45,67.5,69.05,5959
2019-02-01 00:00:00+05:30,69.1,70.1,66.5,68.05,16760
2019-02-04 00:00:00+05:30,67.5,70.0,67.1,69.2,5160
2019-02-05 00:00:00+05:30,68.05,69.1,67.2,67.85,7411
2019-02-06 00:00:00+05:30,67.4,68.65,67.0,67.0,11682
2019-02-07 00:00:00+05:30,68.2,69.8,65.8,67.9,14110
2019-02-08 00:00:00+05:30,66.1,71.0,66.1,67.65,28660
2019-02-11 00:00:00+05:30,67.55,68.85,66.4,66.95,9880
2019-02-12 00:00:00+05:30,66.5,67.8,63.2,63.7,28043
2019-02-13 00:00:00+05:30,64.8,64.8,62.3,62.8,6693
2019-02-14 00:00:00+05:30,63.95,64.0,59.2,62.85,30232
2019-02-15 00:00:00+05:30,63.85,63.9,61.6,62.0,7677
2019-02-18 00:00:00+05:30,63.15,63.9,62.0,63.0,4137
2019-02-19 00:00:00+05:30,63.1,64.0,62.25,63.4,4017
2019-02-20 00:00:00+05:30,63.05,64.45,62.25,63.1,6098
2019-02-21 00:00:00+05:30,63.1,64.2,61.15,62.9,3066
2019-02-22 00:00:00+05:30,62.95,65.9,62.9,65.55,10205
2019-02-25 00:00:00+05:30,66.6,69.3,64.0,66.9,12998
2019-02-26 00:00:00+05:30,66.0,67.65,62.8,65.05,29288
2019-02-27 00:00:00+05:30,66.4,67.45,63.5,63.65,15159
2019-02-28 00:00:00+05:30,64.15,64.35,62.15,62.8,17420
2019-03-01 00:00:00+05:30,63.95,64.9,63.1,64.3,35621
2019-03-05 00:00:00+05:30,64.75,67.5,64.2,67.15,49667
2019-03-06 00:00:00+05:30,66.5,68.5,65.6,66.5,34199
2019-03-07 00:00:00+05:30,66.5,67.3,65.45,66.5,21288
2019-03-08 00:00:00+05:30,66.45,67.7,66.1,66.95,26755
2019-03-11 00:00:00+05:30,68.5,72.95,68.0,70.35,215390
2019-03-12 00:00:00+05:30,71.2,72.7,70.25,71.7,58124
2019-03-13 00:00:00+05:30,71.0,71.65,69.5,69.75,28816
2019-03-14 00:00:00+05:30,69.8,69.8,67.0,68.7,16226
2019-03-15 00:00:00+05:30,68.05,69.8,67.5,68.15,15201
2019-03-18 00:00:00+05:30,69.45,69.5,67.0,67.2,8935
2019-03-19 00:00:00+05:30,66.95,68.25,65.9,66.4,26953
2019-03-20 00:00:00+05:30,67.0,67.65,66.2,66.3,13144
2019-03-22 00:00:00+05:30,67.6,67.6,65.25,65.7,20875
