date,open,high,low,close,volume
2023-02-07 00:00:00+05:30,35.0,36.75,35.0,36.75,600000
2023-02-08 00:00:00+05:30,38.55,38.55,36.75,38.55,356000
2023-02-09 00:00:00+05:30,40.45,40.45,40.45,40.45,28000
2023-02-10 00:00:00+05:30,42.45,42.45,42.45,42.45,32000
2023-02-13 00:00:00+05:30,44.55,44.55,44.55,44.55,312000
2023-02-14 00:00:00+05:30,46.75,46.75,42.35,42.35,120000
2023-02-15 00:00:00+05:30,40.25,40.25,40.25,40.25,4000
2023-02-16 00:00:00+05:30,38.25,42.25,38.25,42.25,228000
2023-02-17 00:00:00+05:30,44.0,44.35,42.0,44.35,68000
2023-02-20 00:00:00+05:30,44.4,46.5,44.4,45.25,80000
2023-02-21 00:00:00+05:30,41.9,42.0,37.5,38.0,88000
2023-02-22 00:00:00+05:30,39.8,43.05,38.3,39.0,64000
2023-02-23 00:00:00+05:30,39.0,39.3,38.4,38.4,12000
2023-02-24 00:00:00+05:30,38.0,38.0,32.6,35.5,76000
2023-02-27 00:00:00+05:30,33.0,33.0,32.0,33.0,92000
2023-03-01 00:00:00+05:30,34.0,37.45,34.0,36.55,56000
2023-03-02 00:00:00+05:30,38.85,38.85,37.05,37.45,24000
2023-03-03 00:00:00+05:30,38.4,38.9,38.4,38.9,16000
2023-03-06 00:00:00+05:30,36.2,38.9,36.2,37.15,48000
2023-03-08 00:00:00+05:30,36.35,36.35,36.35,36.35,4000
2023-03-09 00:00:00+05:30,34.2,38.95,34.2,35.6,32000
2023-03-10 00:00:00+05:30,35.6,37.9,35.1,36.55,24000
2023-03-13 00:00:00+05:30,35.3,38.65,35.3,35.9,40000
2023-03-14 00:00:00+05:30,36.95,38.0,36.2,36.2,20000
2023-03-15 00:00:00+05:30,33.8,37.0,33.8,37.0,28000
2023-03-17 00:00:00+05:30,36.05,38.0,36.05,37.0,20000
2023-03-20 00:00:00+05:30,37.35,37.45,36.05,37.0,28000
