date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,571.0,601.0,561.05,587.0,125
2019-01-02 00:00:00+05:30,600.0,608.4,585.0,585.0,42
2019-01-03 00:00:00+05:30,609.4,609.4,589.4,603.0,180
2019-01-04 00:00:00+05:30,587.0,619.4,571.0,587.3,328
2019-01-07 00:00:00+05:30,558.0,589.4,554.4,578.0,281
2019-01-08 00:00:00+05:30,575.0,576.0,575.0,576.0,11
2019-01-09 00:00:00+05:30,576.5,587.95,561.5,562.1,73
2019-01-10 00:00:00+05:30,565.6,579.95,561.5,563.75,96
2019-01-11 00:00:00+05:30,570.0,598.9,562.05,576.15,30
2019-01-14 00:00:00+05:30,629.9,633.75,520.0,574.0,423
2019-01-15 00:00:00+05:30,573.0,589.0,560.75,585.0,281
2019-01-16 00:00:00+05:30,598.9,598.9,589.0,589.0,2
2019-01-17 00:00:00+05:30,589.0,589.0,556.05,577.75,18
2019-01-18 00:00:00+05:30,556.0,595.0,556.0,589.25,413
2019-01-21 00:00:00+05:30,588.95,588.95,558.0,561.2,251
2019-01-22 00:00:00+05:30,574.95,574.95,553.4,560.0,45
2019-01-23 00:00:00+05:30,555.0,555.0,540.4,543.05,12
2019-01-24 00:00:00+05:30,578.0,596.0,542.8,586.25,1192
2019-01-25 00:00:00+05:30,589.5,589.5,531.05,533.75,375
2019-01-28 00:00:00+05:30,504.05,530.4,481.0,487.25,253
2019-01-29 00:00:00+05:30,484.4,484.4,460.05,472.65,130
2019-01-30 00:00:00+05:30,500.0,500.0,450.0,460.75,211
2019-01-31 00:00:00+05:30,495.4,495.4,435.7,444.65,927
2019-02-01 00:00:00+05:30,459.4,466.85,459.4,466.85,177
2019-02-04 00:00:00+05:30,490.0,490.0,477.4,489.8,119
2019-02-05 00:00:00+05:30,484.0,513.0,465.5,482.75,79
2019-02-06 00:00:00+05:30,499.8,499.8,460.5,475.7,24
2019-02-07 00:00:00+05:30,452.5,490.0,452.5,461.4,112
2019-02-08 00:00:00+05:30,441.0,469.4,438.5,446.7,128
2019-02-11 00:00:00+05:30,457.0,457.0,451.0,453.0,16
2019-02-12 00:00:00+05:30,430.45,475.6,430.35,472.0,214
2019-02-13 00:00:00+05:30,451.0,475.0,451.0,454.55,100
2019-02-14 00:00:00+05:30,455.0,455.0,436.1,453.95,60
2019-02-15 00:00:00+05:30,469.35,470.0,433.55,449.45,255
2019-02-18 00:00:00+05:30,427.05,467.3,427.0,436.6,304
2019-02-19 00:00:00+05:30,454.0,454.0,437.45,448.8,19
2019-02-20 00:00:00+05:30,440.0,444.0,429.0,436.45,263
2019-02-21 00:00:00+05:30,436.6,446.5,436.45,439.9,75
2019-02-22 00:00:00+05:30,444.0,445.0,440.0,445.0,38
2019-02-25 00:00:00+05:30,434.75,464.4,431.75,439.1,24
2019-02-26 00:00:00+05:30,429.95,449.4,429.95,438.55,109
2019-02-27 00:00:00+05:30,417.6,448.6,417.6,426.2,49
2019-02-28 00:00:00+05:30,429.0,447.1,425.0,447.1,174
2019-03-01 00:00:00+05:30,450.0,469.45,450.0,469.1,1163
2019-03-05 00:00:00+05:30,469.1,492.55,469.1,491.75,272
