date,open,high,low,close,volume
2023-02-21 00:00:00+05:30,11.59,11.7,11.53,11.58,38140
2023-02-22 00:00:00+05:30,11.56,11.62,11.5,11.52,25190
2023-02-23 00:00:00+05:30,11.5,11.6,11.4,11.42,23480
2023-02-24 00:00:00+05:30,11.48,11.48,11.46,11.48,7730
2023-02-27 00:00:00+05:30,11.55,11.55,11.28,11.31,5630
2023-02-28 00:00:00+05:30,11.35,11.39,11.32,11.35,8550
2023-03-01 00:00:00+05:30,11.35,11.6,11.3,11.5,209010
2023-03-02 00:00:00+05:30,11.5,11.55,11.4,11.51,32910
2023-03-03 00:00:00+05:30,11.54,11.59,11.54,11.55,7510
2023-03-06 00:00:00+05:30,11.58,11.7,11.43,11.69,52940
2023-03-08 00:00:00+05:30,11.62,11.72,11.62,11.69,11970
2023-03-09 00:00:00+05:30,11.7,11.72,11.6,11.7,25000
2023-03-10 00:00:00+05:30,11.63,11.63,11.43,11.55,16800
2023-03-13 00:00:00+05:30,11.52,11.54,11.4,11.45,9070
2023-03-14 00:00:00+05:30,11.44,11.44,11.3,11.39,17070
2023-03-15 00:00:00+05:30,11.38,11.38,11.38,11.38,2800
2023-03-16 00:00:00+05:30,11.38,11.38,11.28,11.28,9630
2023-03-17 00:00:00+05:30,11.33,11.38,11.3,11.35,1840
2023-03-20 00:00:00+05:30,11.33,11.33,11.22,11.28,32000
2023-03-21 00:00:00+05:30,11.32,11.35,11.25,11.32,25410
2023-03-22 00:00:00+05:30,11.35,11.38,11.35,11.38,980
2023-03-23 00:00:00+05:30,11.4,11.73,11.35,11.35,6040
2023-03-24 00:00:00+05:30,11.35,11.35,11.2,11.2,27610
2023-03-27 00:00:00+05:30,11.2,11.2,11.12,11.15,36040
2023-03-28 00:00:00+05:30,11.14,11.45,11.08,11.34,19320
2023-03-29 00:00:00+05:30,11.17,11.38,11.17,11.26,39690
2023-03-31 00:00:00+05:30,11.3,11.42,11.3,11.39,143070
2023-04-03 00:00:00+05:30,11.38,11.39,11.36,11.38,1830
2023-04-05 00:00:00+05:30,11.4,11.4,11.35,11.39,32090
2023-04-06 00:00:00+05:30,11.4,11.58,11.4,11.5,129770
2023-04-10 00:00:00+05:30,11.48,11.62,11.41,11.57,36730
2023-04-11 00:00:00+05:30,11.5,11.64,11.5,11.59,97950
2023-04-12 00:00:00+05:30,11.58,11.68,11.54,11.67,40230
2023-04-13 00:00:00+05:30,11.69,11.72,11.68,11.7,9880
2023-04-17 00:00:00+05:30,11.69,11.76,11.53,11.7,7010
2023-04-18 00:00:00+05:30,11.7,11.8,11.7,11.8,9260
2023-04-19 00:00:00+05:30,11.8,11.83,11.74,11.79,6010
2023-04-20 00:00:00+05:30,11.78,11.85,11.75,11.8,7920
2023-04-21 00:00:00+05:30,11.74,11.74,11.65,11.73,12850
2023-04-24 00:00:00+05:30,11.73,11.74,11.71,11.73,4400
2023-04-25 00:00:00+05:30,11.7,11.8,11.7,11.72,1560
2023-04-26 00:00:00+05:30,11.72,11.75,11.68,11.69,2430
2023-04-27 00:00:00+05:30,11.7,11.8,11.7,11.78,16700
2023-04-28 00:00:00+05:30,11.8,12.16,11.8,11.88,37430
2023-05-02 00:00:00+05:30,11.9,12.12,11.9,12.06,27330
2023-05-03 00:00:00+05:30,12.05,12.08,11.99,11.99,19830
2023-05-04 00:00:00+05:30,12.09,12.16,12.09,12.15,32710
2023-05-05 00:00:00+05:30,12.26,12.26,12.01,12.1,38330
2023-05-08 00:00:00+05:30,12.23,12.25,12.15,12.22,42840
2023-05-09 00:00:00+05:30,12.25,12.26,12.1,12.14,18260
2023-05-10 00:00:00+05:30,12.12,12.18,12.12,12.17,13370
2023-05-11 00:00:00+05:30,12.25,12.54,12.18,12.26,99830
2023-05-12 00:00:00+05:30,12.25,12.25,12.2,12.23,21110
2023-05-15 00:00:00+05:30,12.22,12.29,12.17,12.19,33590
2023-05-16 00:00:00+05:30,12.3,12.38,12.28,12.35,93940
2023-05-17 00:00:00+05:30,12.28,12.35,12.2,12.3,14280
2023-05-18 00:00:00+05:30,12.35,12.35,12.24,12.24,26480
2023-05-19 00:00:00+05:30,12.2,12.24,12.04,12.23,110240
2023-05-22 00:00:00+05:30,12.26,12.3,12.0,12.26,11260
2023-05-23 00:00:00+05:30,12.31,12.38,12.31,12.37,2130
2023-05-24 00:00:00+05:30,12.37,12.41,12.35,12.39,10330
2023-05-25 00:00:00+05:30,12.38,12.41,12.34,12.41,7500
2023-05-26 00:00:00+05:30,12.45,12.65,12.35,12.5,61610
2023-05-29 00:00:00+05:30,12.5,12.61,12.5,12.52,57680
2023-05-30 00:00:00+05:30,12.57,13.02,12.53,12.92,950
2023-05-31 00:00:00+05:30,12.92,12.92,12.5,12.64,71630
2023-06-01 00:00:00+05:30,12.73,12.79,12.5,12.59,31410
2023-06-02 00:00:00+05:30,12.69,12.8,12.68,12.75,67780
2023-06-05 00:00:00+05:30,12.7,12.86,12.65,12.73,89500
2023-06-06 00:00:00+05:30,12.76,12.79,12.7,12.76,7750
2023-06-07 00:00:00+05:30,12.79,12.9,12.79,12.87,58340
2023-06-08 00:00:00+05:30,12.9,12.97,12.8,12.82,32190
2023-06-09 00:00:00+05:30,12.78,13.0,12.78,12.88,17860
2023-06-12 00:00:00+05:30,12.9,12.95,12.68,12.93,20280
2023-06-13 00:00:00+05:30,12.9,13.1,12.9,13.04,14360
2023-06-14 00:00:00+05:30,13.02,13.16,13.02,13.06,14930
2023-06-15 00:00:00+05:30,13.01,13.17,13.01,13.1,21330
2023-06-16 00:00:00+05:30,13.12,13.23,13.12,13.22,10140
2023-06-19 00:00:00+05:30,13.24,13.31,12.96,13.03,44610
2023-06-20 00:00:00+05:30,13.27,13.28,13.11,13.23,27010
2023-06-21 00:00:00+05:30,13.3,13.43,13.3,13.38,91700
2023-06-22 00:00:00+05:30,13.38,13.4,13.24,13.26,26540
2023-06-23 00:00:00+05:30,13.66,13.66,13.1,13.1,33920
2023-06-26 00:00:00+05:30,13.1,13.47,13.1,13.39,32320
2023-06-27 00:00:00+05:30,13.25,15.7,13.19,14.6,41620
2023-06-28 00:00:00+05:30,14.6,14.6,13.06,13.32,202570
2023-06-30 00:00:00+05:30,13.65,13.65,13.15,13.42,75370
2023-07-03 00:00:00+05:30,13.42,13.53,13.28,13.45,295840
2023-07-04 00:00:00+05:30,13.55,13.7,13.3,13.39,26410
2023-07-05 00:00:00+05:30,13.42,13.7,13.42,13.58,29180
2023-07-06 00:00:00+05:30,13.58,13.66,13.3,13.62,23470
2023-07-07 00:00:00+05:30,13.65,13.66,13.31,13.53,58350
2023-07-10 00:00:00+05:30,13.48,13.53,13.3,13.37,12410
2023-07-11 00:00:00+05:30,13.54,13.61,13.5,13.58,12920
2023-07-12 00:00:00+05:30,13.58,13.66,13.55,13.66,39240
2023-07-13 00:00:00+05:30,13.6,13.72,13.55,13.55,16550
2023-07-14 00:00:00+05:30,13.6,13.75,13.58,13.74,17240
2023-07-17 00:00:00+05:30,13.74,13.77,13.65,13.76,24510
2023-07-18 00:00:00+05:30,13.8,16.0,13.63,14.19,45460
2023-07-19 00:00:00+05:30,13.92,13.92,13.68,13.82,271400
2023-07-20 00:00:00+05:30,13.9,14.05,13.82,13.84,49540
2023-07-21 00:00:00+05:30,13.98,13.98,13.74,13.8,26370
2023-07-24 00:00:00+05:30,14.04,14.04,13.6,13.72,15540
2023-07-25 00:00:00+05:30,13.8,13.9,13.78,13.83,38660
2023-07-26 00:00:00+05:30,13.89,13.92,13.83,13.86,16290
2023-07-27 00:00:00+05:30,13.92,14.0,13.9,13.92,47300
2023-07-28 00:00:00+05:30,13.92,14.02,13.92,14.01,10460
2023-07-31 00:00:00+05:30,14.05,14.16,13.85,14.14,33490
2023-08-01 00:00:00+05:30,14.19,14.22,14.15,14.15,28050
2023-08-02 00:00:00+05:30,14.12,14.16,13.87,13.98,102510
2023-08-03 00:00:00+05:30,13.98,14.07,13.93,14.05,40660
2023-08-04 00:00:00+05:30,14.13,14.24,14.03,14.16,100950
2023-08-07 00:00:00+05:30,14.44,14.44,14.1,14.19,27010
2023-08-08 00:00:00+05:30,14.2,14.24,14.14,14.19,17950
2023-08-09 00:00:00+05:30,14.48,14.48,14.08,14.22,27830
2023-08-10 00:00:00+05:30,14.25,14.33,14.22,14.24,35100
2023-08-11 00:00:00+05:30,14.3,14.33,14.21,14.24,28370
2023-08-14 00:00:00+05:30,14.89,14.89,14.09,14.26,52850
2023-08-16 00:00:00+05:30,14.25,14.5,14.17,14.32,29120
2023-08-17 00:00:00+05:30,14.6,14.6,14.22,14.23,31270
2023-08-18 00:00:00+05:30,14.26,14.3,14.23,14.27,112040
2023-08-21 00:00:00+05:30,14.73,14.73,14.2,14.28,63110
2023-08-22 00:00:00+05:30,14.4,14.47,14.23,14.42,38530
2023-08-23 00:00:00+05:30,14.82,14.82,14.46,14.66,37120
2023-08-24 00:00:00+05:30,14.75,14.75,14.6,14.61,125670
2023-08-25 00:00:00+05:30,14.61,14.7,14.45,14.64,206490
2023-08-28 00:00:00+05:30,14.97,14.97,14.45,14.56,70550
2023-08-29 00:00:00+05:30,14.6,14.65,14.56,14.58,94940
2023-08-30 00:00:00+05:30,14.7,14.7,14.62,14.69,23760
2023-08-31 00:00:00+05:30,14.97,14.97,14.68,14.74,123930
2023-09-01 00:00:00+05:30,14.9,14.9,14.7,14.87,58350
2023-09-04 00:00:00+05:30,14.9,15.06,14.88,15.02,28670
2023-09-05 00:00:00+05:30,15.05,16.8,15.05,15.14,211030
2023-09-06 00:00:00+05:30,15.15,15.21,15.1,15.15,314220
2023-09-07 00:00:00+05:30,15.45,16.0,15.19,15.3,221920
2023-09-08 00:00:00+05:30,15.3,15.5,15.3,15.43,108880
2023-09-11 00:00:00+05:30,15.9,15.9,15.35,15.37,291010
2023-09-12 00:00:00+05:30,15.83,15.83,15.0,15.1,120960
2023-09-13 00:00:00+05:30,15.4,15.4,14.9,15.13,428540
2023-09-14 00:00:00+05:30,15.77,15.77,15.06,15.26,68140
2023-09-15 00:00:00+05:30,15.7,15.7,15.24,15.26,162540
2023-09-18 00:00:00+05:30,15.6,15.6,15.14,15.17,110110
2023-09-20 00:00:00+05:30,15.16,15.25,15.08,15.13,160720
2023-09-21 00:00:00+05:30,15.4,15.4,15.0,15.04,58920
2023-09-22 00:00:00+05:30,15.1,15.14,14.95,15.05,65310
2023-09-25 00:00:00+05:30,15.32,15.32,14.9,15.15,95820
2023-09-26 00:00:00+05:30,15.14,15.16,15.07,15.14,34460
2023-09-27 00:00:00+05:30,15.14,15.22,15.1,15.22,17110
2023-09-28 00:00:00+05:30,15.6,15.6,14.9,15.04,68620
2023-09-29 00:00:00+05:30,15.1,15.3,15.08,15.23,40310
2023-10-03 00:00:00+05:30,14.92,15.47,14.7,15.26,53870
2023-10-04 00:00:00+05:30,15.3,15.3,14.93,15.14,63930
2023-10-05 00:00:00+05:30,15.14,15.34,14.98,15.03,65130
2023-10-06 00:00:00+05:30,15.33,15.33,15.01,15.1,24540
2023-10-09 00:00:00+05:30,14.89,15.02,14.88,14.92,74870
2023-10-10 00:00:00+05:30,15.22,15.22,14.86,15.11,16720
2023-10-11 00:00:00+05:30,15.15,15.25,15.06,15.14,33300
2023-10-12 00:00:00+05:30,15.47,15.47,15.16,15.22,36320
2023-10-13 00:00:00+05:30,15.4,15.4,15.11,15.16,384180
