date,open,high,low,close,volume
2022-08-11 00:00:00+05:30,17.8,18.0,17.7,17.81,48640
2022-08-12 00:00:00+05:30,17.8,17.88,17.5,17.52,27950
2022-08-16 00:00:00+05:30,17.7,18.2,17.5,18.1,92290
2022-08-17 00:00:00+05:30,18.19,18.28,17.9,18.21,35040
2022-08-18 00:00:00+05:30,18.32,18.32,18.0,18.29,30220
2022-08-19 00:00:00+05:30,18.2,18.3,17.98,18.15,60520
2022-08-22 00:00:00+05:30,18.08,18.1,17.88,17.9,6660
2022-08-23 00:00:00+05:30,18.0,18.0,17.7,17.9,13640
2022-08-24 00:00:00+05:30,17.88,17.97,17.8,17.81,9340
2022-08-25 00:00:00+05:30,17.8,18.16,17.72,18.0,25810
2022-08-26 00:00:00+05:30,18.07,18.2,17.8,18.0,65690
2022-08-29 00:00:00+05:30,18.0,18.0,17.69,17.72,28820
2022-08-30 00:00:00+05:30,18.0,18.18,17.82,18.15,65490
2022-09-01 00:00:00+05:30,18.15,18.15,17.93,17.93,5100
2022-09-02 00:00:00+05:30,17.97,18.05,17.89,17.95,8850
2022-09-05 00:00:00+05:30,18.49,18.49,17.8,18.17,14280
2022-09-06 00:00:00+05:30,18.13,18.17,18.08,18.16,11930
2022-09-07 00:00:00+05:30,18.13,18.16,17.98,18.14,7760
2022-09-08 00:00:00+05:30,18.22,18.27,18.11,18.17,23880
2022-09-09 00:00:00+05:30,18.2,18.33,18.19,18.2,20360
2022-09-12 00:00:00+05:30,18.22,18.5,18.18,18.34,81790
2022-09-13 00:00:00+05:30,18.37,18.5,18.3,18.45,31670
2022-09-14 00:00:00+05:30,18.37,18.5,18.32,18.39,19430
2022-09-15 00:00:00+05:30,18.42,18.5,18.3,18.31,17870
2022-09-16 00:00:00+05:30,18.28,18.4,18.0,18.07,17130
2022-09-19 00:00:00+05:30,18.02,18.21,17.95,18.06,6500
2022-09-20 00:00:00+05:30,18.1,18.4,18.1,18.33,12150
2022-09-21 00:00:00+05:30,18.33,18.37,18.13,18.22,2810
2022-09-22 00:00:00+05:30,18.27,18.3,17.88,18.18,14700
2022-09-23 00:00:00+05:30,18.22,18.22,17.83,17.86,8460
2022-09-26 00:00:00+05:30,17.9,18.0,17.47,17.49,31440
2022-09-27 00:00:00+05:30,17.52,17.8,17.4,17.52,72950
2022-09-28 00:00:00+05:30,17.5,20.0,17.22,17.48,11610
2022-09-29 00:00:00+05:30,17.52,17.52,17.13,17.26,25090
2022-09-30 00:00:00+05:30,17.32,17.62,17.2,17.59,3290
2022-10-03 00:00:00+05:30,17.6,17.6,17.25,17.35,7450
2022-10-04 00:00:00+05:30,17.4,17.72,17.4,17.6,3780
2022-10-06 00:00:00+05:30,17.75,17.82,17.53,17.62,3360
2022-10-07 00:00:00+05:30,17.62,17.8,17.5,17.7,7100
2022-10-10 00:00:00+05:30,17.58,17.68,17.5,17.56,13480
2022-10-11 00:00:00+05:30,17.6,17.6,17.14,17.21,4020
2022-10-12 00:00:00+05:30,17.3,17.59,17.3,17.51,1650
2022-10-13 00:00:00+05:30,17.52,17.55,17.4,17.46,2060
