date,open,high,low,close,volume
2020-08-28 00:00:00+05:30,22.9,24.4,22.9,24.26,907580
2020-08-31 00:00:00+05:30,24.26,25.01,23.3,23.64,394010
2020-09-01 00:00:00+05:30,23.67,24.0,23.42,23.77,91670
2020-09-02 00:00:00+05:30,23.77,23.8,23.4,23.75,47750
2020-09-03 00:00:00+05:30,23.81,23.89,23.4,23.44,62220
2020-09-04 00:00:00+05:30,21.2,23.4,21.2,23.28,147120
2020-09-07 00:00:00+05:30,22.91,23.09,22.74,22.97,70660
2020-09-08 00:00:00+05:30,22.9,22.98,22.6,22.69,55460
2020-09-09 00:00:00+05:30,22.6,22.6,22.2,22.37,115160
2020-09-10 00:00:00+05:30,22.57,22.68,22.24,22.57,51320
2020-09-11 00:00:00+05:30,24.8,24.8,22.3,22.54,51410
2020-09-14 00:00:00+05:30,22.0,22.8,22.0,22.27,51100
2020-09-15 00:00:00+05:30,22.29,22.53,22.1,22.43,88880
2020-09-16 00:00:00+05:30,22.54,22.6,22.3,22.51,20820
2020-09-17 00:00:00+05:30,22.37,22.49,22.21,22.29,20220
2020-09-18 00:00:00+05:30,22.23,22.5,21.82,22.18,137860
2020-09-21 00:00:00+05:30,21.94,22.11,21.38,21.46,131520
2020-09-22 00:00:00+05:30,21.41,21.48,21.08,21.21,113510
2020-09-23 00:00:00+05:30,21.21,21.37,20.9,21.24,50710
2020-09-24 00:00:00+05:30,21.04,21.04,20.61,20.64,110870
2020-09-25 00:00:00+05:30,20.64,21.0,20.52,20.89,64420
2020-09-28 00:00:00+05:30,22.4,22.4,20.01,21.61,45360
2020-09-29 00:00:00+05:30,21.63,21.82,21.3,21.43,36050
2020-09-30 00:00:00+05:30,21.3,21.74,21.09,21.55,16330
2020-10-01 00:00:00+05:30,21.8,22.16,21.75,22.06,77270
2020-10-05 00:00:00+05:30,22.18,22.58,22.18,22.31,98650
2020-10-06 00:00:00+05:30,22.57,22.72,22.36,22.68,249700
2020-10-07 00:00:00+05:30,22.6,22.86,22.44,22.78,65740
2020-10-08 00:00:00+05:30,22.9,23.18,22.79,22.87,191730
2020-10-09 00:00:00+05:30,22.99,23.7,22.86,23.52,376060
2020-10-12 00:00:00+05:30,23.76,24.04,23.37,23.48,150830
2020-10-13 00:00:00+05:30,23.41,23.56,23.22,23.47,57390
2020-10-14 00:00:00+05:30,23.33,23.8,23.03,23.7,47920
2020-10-15 00:00:00+05:30,23.7,23.96,22.85,22.99,71590
2020-10-16 00:00:00+05:30,23.0,23.48,23.0,23.35,33540
2020-10-19 00:00:00+05:30,23.58,24.2,23.53,24.1,186040
2020-10-20 00:00:00+05:30,24.02,24.18,23.86,24.12,114130
2020-10-21 00:00:00+05:30,24.12,24.66,23.85,24.44,164710
2020-10-22 00:00:00+05:30,24.2,24.55,24.12,24.36,39360
2020-10-23 00:00:00+05:30,24.47,24.59,24.14,24.28,48200
2020-10-26 00:00:00+05:30,24.23,24.4,23.61,23.95,85540
2020-10-27 00:00:00+05:30,23.96,24.6,23.67,24.53,109290
2020-10-28 00:00:00+05:30,24.48,24.61,23.96,24.04,77850
2020-10-29 00:00:00+05:30,23.85,24.11,23.7,23.94,31810
2020-10-30 00:00:00+05:30,23.97,24.05,23.51,23.82,60980
2020-11-02 00:00:00+05:30,23.99,24.9,23.94,24.72,307490
2020-11-03 00:00:00+05:30,23.2,25.5,23.2,25.44,376240
2020-11-04 00:00:00+05:30,25.44,25.68,24.91,25.56,115820
2020-11-05 00:00:00+05:30,25.9,26.14,25.7,26.07,178140
2020-11-06 00:00:00+05:30,26.07,26.63,25.6,26.56,206630
2020-11-09 00:00:00+05:30,26.9,27.42,26.9,27.32,169750
2020-11-10 00:00:00+05:30,27.55,28.6,27.55,28.36,272950
2020-11-11 00:00:00+05:30,28.42,28.8,27.89,28.55,150010
2020-11-12 00:00:00+05:30,28.46,28.46,27.87,28.11,72480
2020-11-13 00:00:00+05:30,27.85,28.48,27.54,28.33,96750
2020-11-14 00:00:00+05:30,28.5,28.68,28.38,28.56,55370
2020-11-17 00:00:00+05:30,28.7,29.08,28.56,28.97,97320
2020-11-18 00:00:00+05:30,29.0,29.6,29.0,29.55,116090
2020-11-19 00:00:00+05:30,29.7,29.7,28.62,28.78,153560
2020-11-20 00:00:00+05:30,28.68,29.26,28.5,29.12,57180
2020-11-23 00:00:00+05:30,29.19,29.39,28.74,28.84,65910
2020-11-24 00:00:00+05:30,29.0,29.64,29.0,29.53,79280
2020-11-25 00:00:00+05:30,29.72,30.0,29.06,29.11,84720
2020-11-26 00:00:00+05:30,29.11,29.8,28.82,29.38,133970
2020-11-27 00:00:00+05:30,28.21,29.65,26.74,29.53,95730
2020-12-01 00:00:00+05:30,29.98,29.98,29.42,29.7,95140
2020-12-02 00:00:00+05:30,29.64,29.74,29.1,29.49,44180
2020-12-03 00:00:00+05:30,29.42,29.76,29.35,29.55,30600
2020-12-04 00:00:00+05:30,29.44,29.99,29.4,29.94,129260
2020-12-07 00:00:00+05:30,29.98,30.2,29.8,29.86,99130
2020-12-08 00:00:00+05:30,29.78,30.25,29.78,30.06,60380
2020-12-09 00:00:00+05:30,30.12,30.62,30.12,30.44,73500
2020-12-10 00:00:00+05:30,30.45,30.45,30.0,30.38,145280
2020-12-11 00:00:00+05:30,30.27,30.6,30.12,30.27,38220
2020-12-14 00:00:00+05:30,30.27,30.64,30.27,30.58,25490
2020-12-15 00:00:00+05:30,30.53,30.59,30.1,30.59,52790
2020-12-16 00:00:00+05:30,30.7,30.8,30.52,30.58,21630
2020-12-17 00:00:00+05:30,30.63,30.76,30.52,30.69,55450
2020-12-18 00:00:00+05:30,28.54,30.73,27.93,30.5,85780
2020-12-21 00:00:00+05:30,30.38,30.48,29.2,29.37,62740
2020-12-22 00:00:00+05:30,29.4,29.65,28.84,29.43,91060
2020-12-23 00:00:00+05:30,29.52,29.83,29.47,29.76,29840
2020-12-24 00:00:00+05:30,30.65,30.65,28.83,30.34,38810
2020-12-28 00:00:00+05:30,31.0,31.0,30.5,30.84,20360
2020-12-29 00:00:00+05:30,30.91,31.22,30.91,31.18,73330
2020-12-30 00:00:00+05:30,31.5,31.5,30.92,31.25,25130
2020-12-31 00:00:00+05:30,31.07,31.3,30.98,31.08,15150
2021-01-01 00:00:00+05:30,31.08,31.29,31.08,31.18,26340
2021-01-04 00:00:00+05:30,32.12,32.12,30.84,31.11,23200
2021-01-05 00:00:00+05:30,30.94,31.71,30.92,31.63,50240
2021-01-06 00:00:00+05:30,31.71,31.85,31.54,31.76,60050
2021-01-07 00:00:00+05:30,31.88,32.12,31.84,31.85,33390
2021-01-08 00:00:00+05:30,32.0,32.15,31.9,31.95,52190
2021-01-11 00:00:00+05:30,32.04,32.08,31.74,31.9,53850
2021-01-12 00:00:00+05:30,31.77,32.33,31.62,32.25,33760
2021-01-13 00:00:00+05:30,32.42,32.8,31.7,32.48,51840
2021-01-14 00:00:00+05:30,33.0,33.0,32.39,32.41,11170
2021-01-15 00:00:00+05:30,32.4,32.4,31.96,32.1,32700
2021-01-18 00:00:00+05:30,32.1,32.3,31.5,31.67,28780
2021-01-19 00:00:00+05:30,31.67,32.44,31.67,32.29,49030
2021-01-20 00:00:00+05:30,32.34,32.5,32.27,32.43,105370
2021-01-21 00:00:00+05:30,32.43,32.76,31.97,32.14,56810
2021-01-22 00:00:00+05:30,31.94,32.03,31.07,31.12,112750
2021-01-25 00:00:00+05:30,31.42,31.64,30.9,30.97,36850
2021-01-27 00:00:00+05:30,31.04,31.1,30.02,30.25,144920
2021-01-28 00:00:00+05:30,30.9,30.9,29.61,30.19,62000
2021-01-29 00:00:00+05:30,30.5,31.29,30.16,30.6,75740
2021-02-01 00:00:00+05:30,31.08,33.0,30.76,32.87,239330
2021-02-02 00:00:00+05:30,33.1,34.38,31.88,33.73,115170
2021-02-03 00:00:00+05:30,33.82,34.8,33.64,34.6,64950
2021-02-04 00:00:00+05:30,35.6,35.6,34.0,35.01,70150
2021-02-05 00:00:00+05:30,35.61,36.4,34.31,35.31,73160
2021-02-08 00:00:00+05:30,36.01,36.27,35.68,35.89,52370
2021-02-09 00:00:00+05:30,35.79,36.37,35.38,35.88,58180
2021-02-10 00:00:00+05:30,35.0,36.7,35.0,35.96,53280
2021-02-11 00:00:00+05:30,35.89,36.09,35.52,35.7,8340
2021-02-12 00:00:00+05:30,35.94,36.22,35.7,36.0,9810
2021-02-15 00:00:00+05:30,36.38,37.5,36.37,37.23,81130
2021-02-16 00:00:00+05:30,37.48,37.78,36.71,37.08,57050
2021-02-17 00:00:00+05:30,37.08,37.3,36.75,36.87,30880
2021-02-18 00:00:00+05:30,36.8,36.94,36.21,36.41,68930
2021-02-19 00:00:00+05:30,36.19,36.53,35.5,35.76,62070
2021-02-22 00:00:00+05:30,35.93,36.79,34.97,35.21,57250
2021-02-23 00:00:00+05:30,35.21,35.53,34.9,35.05,33960
2021-02-24 00:00:00+05:30,35.11,36.39,34.03,36.18,12470
2021-02-25 00:00:00+05:30,36.67,37.13,36.5,36.6,76040
2021-02-26 00:00:00+05:30,35.62,35.9,34.86,35.25,238770
2021-03-01 00:00:00+05:30,35.36,35.67,34.9,35.19,50360
2021-03-02 00:00:00+05:30,38.36,38.36,34.98,35.33,34010
2021-03-03 00:00:00+05:30,35.5,36.44,35.5,36.33,35210
2021-03-04 00:00:00+05:30,34.88,36.27,33.06,35.82,31360
2021-03-05 00:00:00+05:30,36.8,36.8,34.85,35.2,31680
2021-03-08 00:00:00+05:30,36.6,36.6,34.5,35.19,18220
2021-03-09 00:00:00+05:30,35.53,36.0,35.36,35.66,36220
2021-03-10 00:00:00+05:30,35.93,36.07,35.6,35.83,12170
2021-03-12 00:00:00+05:30,36.12,36.33,35.05,35.32,104400
2021-03-15 00:00:00+05:30,35.32,35.32,34.26,35.14,92950
2021-03-16 00:00:00+05:30,36.17,36.17,34.6,34.74,47310
2021-03-17 00:00:00+05:30,35.78,35.78,34.0,34.16,63090
2021-03-18 00:00:00+05:30,34.38,34.65,33.39,33.73,63670
2021-03-19 00:00:00+05:30,33.43,34.15,33.23,33.96,85600
2021-03-22 00:00:00+05:30,33.85,34.01,33.13,33.58,37640
2021-03-23 00:00:00+05:30,33.51,34.29,33.47,34.1,32410
2021-03-24 00:00:00+05:30,33.91,33.94,33.14,33.22,32540
2021-03-25 00:00:00+05:30,32.5,33.6,32.42,33.39,155350
2021-03-26 00:00:00+05:30,33.62,33.68,33.19,33.36,34330
2021-03-30 00:00:00+05:30,33.8,33.8,33.49,33.76,16710
2021-03-31 00:00:00+05:30,35.11,35.11,33.1,33.4,18380
