date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,104.0,104.55,102.25,102.65,11043
2019-01-02 00:00:00+05:30,101.85,107.9,101.05,103.4,41024
2019-01-03 00:00:00+05:30,103.7,105.4,101.2,101.65,10744
2019-01-04 00:00:00+05:30,102.0,103.0,101.2,101.6,8803
2019-01-07 00:00:00+05:30,103.0,104.45,101.5,102.4,8968
2019-01-08 00:00:00+05:30,102.0,103.2,101.2,102.15,2544
2019-01-09 00:00:00+05:30,103.85,122.55,101.5,120.05,649281
2019-01-10 00:00:00+05:30,126.0,132.0,122.65,124.5,1408020
2019-01-11 00:00:00+05:30,122.2,124.3,118.55,122.05,248022
2019-01-14 00:00:00+05:30,121.5,121.5,113.3,115.75,53159
2019-01-15 00:00:00+05:30,114.2,125.9,114.2,120.4,204678
2019-01-16 00:00:00+05:30,121.05,123.7,118.0,119.1,59604
2019-01-17 00:00:00+05:30,123.0,123.0,115.0,116.65,38028
2019-01-18 00:00:00+05:30,122.2,124.5,118.1,118.75,183708
2019-01-21 00:00:00+05:30,119.45,119.85,115.2,115.65,24150
2019-01-22 00:00:00+05:30,115.4,117.8,112.2,113.25,27953
2019-01-23 00:00:00+05:30,112.8,114.1,111.0,111.6,20743
2019-01-24 00:00:00+05:30,112.15,112.55,107.5,108.85,15399
2019-01-25 00:00:00+05:30,109.45,112.65,104.4,105.2,20817
2019-01-28 00:00:00+05:30,106.1,107.15,100.45,103.95,31719
2019-01-29 00:00:00+05:30,103.55,106.15,101.0,104.1,16032
2019-01-30 00:00:00+05:30,105.1,108.9,104.0,105.3,24027
2019-01-31 00:00:00+05:30,106.75,109.05,104.0,106.35,12998
2019-02-01 00:00:00+05:30,107.5,107.5,103.05,103.45,13882
2019-02-04 00:00:00+05:30,103.05,105.0,101.5,102.6,13910
2019-02-05 00:00:00+05:30,100.7,103.4,100.7,102.2,9285
2019-02-06 00:00:00+05:30,101.5,103.0,96.35,97.65,30295
2019-02-07 00:00:00+05:30,98.0,107.0,98.0,102.9,43909
2019-02-08 00:00:00+05:30,102.95,105.4,101.6,103.4,14874
2019-02-11 00:00:00+05:30,107.95,107.95,99.0,99.5,22303
2019-02-12 00:00:00+05:30,100.0,100.6,98.55,99.15,8276
2019-02-13 00:00:00+05:30,99.2,102.9,98.5,98.95,9611
2019-02-14 00:00:00+05:30,100.8,100.8,98.5,99.5,6081
2019-02-15 00:00:00+05:30,101.7,102.0,97.1,97.7,7787
2019-02-18 00:00:00+05:30,98.25,98.85,96.0,96.8,5918
2019-02-19 00:00:00+05:30,97.95,99.5,96.5,98.45,11367
2019-02-20 00:00:00+05:30,98.65,100.0,97.2,99.2,16519
2019-02-21 00:00:00+05:30,98.65,100.9,98.55,99.6,6846
2019-02-22 00:00:00+05:30,99.15,102.9,99.1,100.9,20665
2019-02-25 00:00:00+05:30,100.5,104.5,100.5,104.0,20452
2019-02-26 00:00:00+05:30,102.0,103.65,99.5,101.65,17593
2019-02-27 00:00:00+05:30,103.3,104.4,100.25,100.95,14095
2019-02-28 00:00:00+05:30,102.0,102.9,101.6,102.05,3779
2019-03-01 00:00:00+05:30,103.45,105.9,102.0,103.95,18231
2019-03-05 00:00:00+05:30,104.8,107.9,104.3,106.15,23913
2019-03-06 00:00:00+05:30,107.1,122.9,106.35,114.35,197329
2019-03-07 00:00:00+05:30,116.0,118.8,112.6,113.7,29335
2019-03-08 00:00:00+05:30,115.4,115.9,112.05,112.5,18419
2019-03-11 00:00:00+05:30,114.0,116.7,112.1,114.25,24230
2019-03-12 00:00:00+05:30,116.0,125.85,114.4,124.55,227250
2019-03-13 00:00:00+05:30,124.0,139.0,119.95,127.5,638281
2019-03-14 00:00:00+05:30,129.45,129.9,124.8,125.5,148492
2019-03-15 00:00:00+05:30,125.0,127.8,120.4,121.7,40036
2019-03-18 00:00:00+05:30,123.4,123.4,118.1,118.55,20944
2019-03-19 00:00:00+05:30,117.45,120.5,116.5,117.95,21935
2019-03-20 00:00:00+05:30,118.0,118.8,113.65,114.1,25808
2019-03-22 00:00:00+05:30,114.1,117.85,113.9,115.05,30065
2019-03-25 00:00:00+05:30,114.9,115.0,112.05,113.35,11553
2019-03-26 00:00:00+05:30,114.7,122.0,112.35,118.5,46188
2019-03-27 00:00:00+05:30,120.0,121.5,110.95,111.8,86867
2019-03-28 00:00:00+05:30,113.4,115.9,112.4,114.95,56577
2019-03-29 00:00:00+05:30,115.05,118.0,114.4,116.15,22306
2019-04-01 00:00:00+05:30,117.65,119.7,116.5,117.05,33194
2019-04-02 00:00:00+05:30,118.45,118.8,116.5,117.4,16045
2019-04-03 00:00:00+05:30,118.8,119.0,117.1,117.4,12905
2019-04-04 00:00:00+05:30,117.2,117.65,115.35,115.7,16645
2019-04-05 00:00:00+05:30,115.85,117.8,115.55,116.5,12496
2019-04-08 00:00:00+05:30,117.35,118.0,114.2,115.25,12181
2019-04-09 00:00:00+05:30,116.6,116.6,113.55,114.25,7817
2019-04-10 00:00:00+05:30,115.05,116.95,113.55,114.75,16312
2019-04-11 00:00:00+05:30,115.5,117.1,114.25,115.55,9306
2019-04-12 00:00:00+05:30,125.0,126.0,118.0,119.75,280854
2019-04-15 00:00:00+05:30,119.0,124.85,115.8,122.75,70307
2019-04-16 00:00:00+05:30,122.75,124.45,121.5,122.65,45103
2019-04-18 00:00:00+05:30,123.7,124.4,117.5,118.3,79251
2019-04-22 00:00:00+05:30,118.0,118.0,114.7,115.4,18745
2019-04-23 00:00:00+05:30,115.95,116.7,114.35,115.35,7793
2019-04-24 00:00:00+05:30,114.95,115.55,113.5,114.9,10919
2019-04-25 00:00:00+05:30,115.2,115.9,113.5,113.75,5869
2019-04-26 00:00:00+05:30,114.15,116.0,112.9,113.25,7392
2019-04-30 00:00:00+05:30,112.5,114.0,110.25,110.9,11177
2019-05-02 00:00:00+05:30,108.55,110.95,108.55,110.1,13632
2019-05-03 00:00:00+05:30,110.95,111.9,109.0,111.3,6371
2019-05-06 00:00:00+05:30,110.0,110.3,108.25,108.85,7958
2019-05-07 00:00:00+05:30,109.25,110.0,106.05,108.0,7279
2019-05-08 00:00:00+05:30,107.8,107.8,105.5,106.15,5895
2019-05-09 00:00:00+05:30,105.05,106.15,102.1,103.2,19919
2019-05-10 00:00:00+05:30,103.0,104.7,102.3,102.85,20305
2019-05-13 00:00:00+05:30,102.65,104.1,100.0,100.7,11341
2019-05-14 00:00:00+05:30,100.3,100.3,98.1,99.2,16145
2019-05-15 00:00:00+05:30,98.6,102.4,98.6,100.35,13811
2019-05-16 00:00:00+05:30,100.55,101.4,98.55,100.85,3884
2019-05-17 00:00:00+05:30,101.05,105.0,99.3,104.0,9230
2019-05-20 00:00:00+05:30,109.85,109.85,104.95,106.4,15548
2019-05-21 00:00:00+05:30,107.45,109.0,104.35,106.35,9062
2019-05-22 00:00:00+05:30,105.35,107.5,100.25,106.6,5660
2019-05-23 00:00:00+05:30,107.5,109.35,105.75,107.8,10915
2019-05-24 00:00:00+05:30,106.95,113.55,106.9,110.55,20080
2019-05-27 00:00:00+05:30,112.9,113.05,107.8,111.5,27051
2019-05-28 00:00:00+05:30,112.45,117.6,110.2,111.7,54405
2019-05-29 00:00:00+05:30,112.65,113.7,107.2,107.5,24246
2019-05-30 00:00:00+05:30,108.25,108.75,105.0,105.4,8312
2019-05-31 00:00:00+05:30,106.45,107.75,105.0,105.6,7960
2019-06-03 00:00:00+05:30,107.7,107.7,104.2,106.05,4459
2019-06-04 00:00:00+05:30,107.0,107.05,105.05,105.25,6913
