date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,207.3,209.65,206.8,207.1,18342
2019-01-02 00:00:00+05:30,208.45,213.7,204.0,211.25,26248
2019-01-03 00:00:00+05:30,210.0,211.0,206.5,207.0,18802
2019-01-04 00:00:00+05:30,211.0,211.0,207.2,207.75,15991
2019-01-07 00:00:00+05:30,209.0,209.5,205.0,206.25,17064
2019-01-08 00:00:00+05:30,210.0,210.0,205.35,206.1,16190
2019-01-09 00:00:00+05:30,207.5,211.35,205.55,209.6,19573
2019-01-10 00:00:00+05:30,211.0,211.0,201.15,203.55,81082
2019-01-11 00:00:00+05:30,205.5,207.2,201.5,205.5,35757
2019-01-14 00:00:00+05:30,210.0,210.0,204.0,205.15,16858
2019-01-15 00:00:00+05:30,205.7,207.35,202.2,203.55,25081
2019-01-16 00:00:00+05:30,205.05,205.1,196.35,199.55,39038
2019-01-17 00:00:00+05:30,201.0,201.1,197.05,199.3,29312
2019-01-18 00:00:00+05:30,200.1,200.6,199.0,199.5,20656
2019-01-21 00:00:00+05:30,200.2,201.3,187.0,188.25,37351
2019-01-22 00:00:00+05:30,191.7,192.55,183.0,187.45,43367
2019-01-23 00:00:00+05:30,187.5,204.5,186.8,201.0,104286
2019-01-24 00:00:00+05:30,202.0,206.0,201.0,204.15,63135
2019-01-25 00:00:00+05:30,207.0,207.0,193.6,200.25,39706
2019-01-28 00:00:00+05:30,199.3,199.9,188.8,190.65,41590
2019-01-29 00:00:00+05:30,191.9,193.0,191.4,191.7,15627
2019-01-30 00:00:00+05:30,191.55,220.0,190.15,203.4,80167
2019-01-31 00:00:00+05:30,209.8,210.15,198.8,203.8,37414
2019-02-01 00:00:00+05:30,208.9,208.9,198.0,201.65,43474
2019-02-04 00:00:00+05:30,209.35,216.45,203.6,205.6,137137
2019-02-05 00:00:00+05:30,206.0,207.35,200.0,201.55,25568
2019-02-06 00:00:00+05:30,201.7,204.6,190.25,198.85,59326
2019-02-07 00:00:00+05:30,199.0,199.65,194.2,197.3,24552
2019-02-08 00:00:00+05:30,197.45,198.0,186.0,189.45,47827
2019-02-11 00:00:00+05:30,190.0,197.65,190.0,194.25,32175
2019-02-12 00:00:00+05:30,195.0,195.2,188.0,189.55,27510
2019-02-13 00:00:00+05:30,189.85,194.9,186.0,187.15,25287
2019-02-14 00:00:00+05:30,187.45,189.85,184.6,186.45,34799
2019-02-15 00:00:00+05:30,186.8,188.05,181.15,182.85,19415
2019-02-18 00:00:00+05:30,184.75,184.75,174.55,176.7,32473
2019-02-19 00:00:00+05:30,177.5,178.45,172.7,173.9,31209
2019-02-20 00:00:00+05:30,173.2,194.0,173.2,191.2,65127
2019-02-21 00:00:00+05:30,193.0,204.95,185.55,201.95,117898
2019-02-22 00:00:00+05:30,202.45,202.55,196.05,197.3,26960
2019-02-25 00:00:00+05:30,197.5,200.05,192.0,193.45,66394
2019-02-26 00:00:00+05:30,194.0,194.0,187.1,192.6,26564
2019-02-27 00:00:00+05:30,193.0,196.0,190.15,194.5,62231
2019-02-28 00:00:00+05:30,195.15,196.0,190.35,192.7,21138
2019-03-01 00:00:00+05:30,194.0,208.7,193.0,199.25,71261
2019-03-05 00:00:00+05:30,200.0,239.1,199.95,234.0,394920
2019-03-06 00:00:00+05:30,237.95,273.3,227.2,266.75,270764
2019-03-07 00:00:00+05:30,266.05,285.0,257.4,271.5,205702
2019-03-08 00:00:00+05:30,269.0,270.0,252.2,254.95,41652
2019-03-11 00:00:00+05:30,255.0,285.0,255.0,276.55,155598
2019-03-12 00:00:00+05:30,277.0,284.0,275.0,276.9,50059
2019-03-13 00:00:00+05:30,275.0,275.0,255.05,262.1,61432
2019-03-14 00:00:00+05:30,262.1,274.6,258.0,261.65,32630
2019-03-15 00:00:00+05:30,268.6,269.8,258.0,262.1,13750
2019-03-18 00:00:00+05:30,263.15,266.85,259.5,260.45,14626
2019-03-19 00:00:00+05:30,260.0,281.05,259.05,279.25,99931
2019-03-20 00:00:00+05:30,279.25,280.5,266.0,277.45,155813
2019-03-22 00:00:00+05:30,278.25,288.0,267.35,279.95,81879
2019-03-25 00:00:00+05:30,273.5,278.35,270.5,274.95,64442
2019-03-26 00:00:00+05:30,275.0,278.95,270.9,275.5,111740
2019-03-27 00:00:00+05:30,283.0,285.0,277.0,278.7,65908
2019-03-28 00:00:00+05:30,278.0,287.0,273.0,286.2,76900
2019-03-29 00:00:00+05:30,290.0,290.05,282.15,283.15,25280
2019-04-01 00:00:00+05:30,278.0,287.9,277.0,278.75,11774
2019-04-02 00:00:00+05:30,279.0,279.95,275.65,279.45,7451
2019-04-03 00:00:00+05:30,279.45,280.45,275.0,276.5,12097
2019-04-04 00:00:00+05:30,276.0,280.5,276.0,278.05,32964
2019-04-05 00:00:00+05:30,278.05,280.4,273.0,275.35,8183
2019-04-08 00:00:00+05:30,275.45,279.25,271.0,273.45,34638
2019-04-09 00:00:00+05:30,273.45,277.0,256.6,262.35,54623
2019-04-10 00:00:00+05:30,262.0,270.35,257.85,261.45,16731
2019-04-11 00:00:00+05:30,261.1,266.05,261.1,262.95,7917
2019-04-12 00:00:00+05:30,262.25,269.0,262.25,268.05,4040
2019-04-15 00:00:00+05:30,269.45,270.25,264.0,264.9,3923
2019-04-16 00:00:00+05:30,265.0,269.45,260.5,264.6,6550
2019-04-18 00:00:00+05:30,263.9,267.0,261.0,265.15,11857
2019-04-22 00:00:00+05:30,264.25,269.0,264.25,266.15,101028
2019-04-23 00:00:00+05:30,266.8,281.7,265.0,270.05,15910
2019-04-24 00:00:00+05:30,269.9,272.8,265.0,270.15,7631
2019-04-25 00:00:00+05:30,270.3,273.0,265.35,266.95,8846
2019-04-26 00:00:00+05:30,267.75,271.0,263.05,266.95,12449
2019-04-30 00:00:00+05:30,266.5,271.85,257.35,259.65,20757
2019-05-02 00:00:00+05:30,260.0,262.0,238.95,242.7,44832
2019-05-03 00:00:00+05:30,237.8,257.0,237.0,252.1,16271
2019-05-06 00:00:00+05:30,246.05,255.4,239.05,249.75,28450
2019-05-07 00:00:00+05:30,248.15,255.8,248.1,252.65,7468
2019-05-08 00:00:00+05:30,252.95,255.0,238.0,240.8,7930
2019-05-09 00:00:00+05:30,243.85,254.0,240.0,245.3,8599
2019-05-10 00:00:00+05:30,246.5,250.4,235.25,238.15,15628
2019-05-13 00:00:00+05:30,240.45,254.0,240.0,240.7,10329
2019-05-14 00:00:00+05:30,240.0,247.05,239.7,245.05,4950
2019-05-15 00:00:00+05:30,245.0,248.1,243.0,247.7,9489
