date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,44.05,45.2,42.15,45.1,7338
2019-01-02 00:00:00+05:30,44.0,46.0,44.0,45.7,1659
2019-01-03 00:00:00+05:30,44.3,45.0,44.2,44.25,4502
2019-01-04 00:00:00+05:30,44.05,45.0,43.5,43.5,4190
2019-01-07 00:00:00+05:30,44.85,45.0,43.3,45.0,1548
2019-01-08 00:00:00+05:30,43.85,45.0,43.75,44.05,1847
2019-01-09 00:00:00+05:30,44.05,44.75,44.0,44.0,3991
2019-01-10 00:00:00+05:30,44.0,45.0,42.65,44.45,3695
2019-01-11 00:00:00+05:30,43.3,44.1,42.55,43.7,1986
2019-01-14 00:00:00+05:30,43.7,44.65,42.8,43.45,620
2019-01-15 00:00:00+05:30,42.45,44.4,42.45,43.7,2669
2019-01-16 00:00:00+05:30,43.05,43.95,42.1,42.8,1916
2019-01-17 00:00:00+05:30,43.0,43.0,42.0,42.7,4338
2019-01-18 00:00:00+05:30,42.0,42.75,41.6,42.1,2560
2019-01-21 00:00:00+05:30,42.05,43.0,41.0,41.4,4226
2019-01-22 00:00:00+05:30,43.0,43.0,40.55,41.15,2528
2019-01-23 00:00:00+05:30,43.2,43.2,40.5,42.75,8156
2019-01-24 00:00:00+05:30,42.5,42.95,41.2,42.1,2705
2019-01-25 00:00:00+05:30,42.9,43.35,41.0,41.05,7084
2019-01-28 00:00:00+05:30,41.0,41.05,38.1,38.85,6557
2019-01-29 00:00:00+05:30,41.6,44.0,38.0,39.4,1422
2019-01-30 00:00:00+05:30,40.0,40.2,37.1,38.5,1326
2019-01-31 00:00:00+05:30,37.8,39.9,37.25,37.25,2445
2019-02-01 00:00:00+05:30,37.2,39.35,36.3,38.6,2564
2019-02-04 00:00:00+05:30,37.2,39.5,36.8,37.65,2384
2019-02-05 00:00:00+05:30,36.5,39.3,35.8,36.05,3146
2019-02-06 00:00:00+05:30,36.05,38.4,34.55,38.4,767
2019-02-07 00:00:00+05:30,38.3,39.3,36.75,37.85,3972
2019-02-08 00:00:00+05:30,35.6,37.5,34.65,36.05,1874
2019-02-11 00:00:00+05:30,36.5,43.0,30.95,32.1,12057
2019-02-12 00:00:00+05:30,32.35,35.5,32.3,34.15,6226
2019-02-13 00:00:00+05:30,35.0,38.0,34.2,34.7,4423
2019-02-14 00:00:00+05:30,32.7,35.35,32.7,33.4,1848
2019-02-15 00:00:00+05:30,31.2,35.8,31.2,33.55,4735
2019-02-18 00:00:00+05:30,32.5,33.55,32.1,33.25,311
2019-02-19 00:00:00+05:30,32.15,34.0,32.15,34.0,3308
2019-02-20 00:00:00+05:30,32.2,35.0,30.9,34.45,13460
2019-02-21 00:00:00+05:30,35.0,35.65,33.85,34.6,10339
2019-02-22 00:00:00+05:30,35.0,41.5,34.6,41.5,39472
2019-02-25 00:00:00+05:30,45.0,45.0,41.5,42.2,33190
2019-02-26 00:00:00+05:30,40.0,44.0,39.05,42.0,7357
2019-02-27 00:00:00+05:30,42.0,43.4,40.5,43.4,1560
2019-02-28 00:00:00+05:30,42.95,42.95,40.4,41.7,608
2019-03-01 00:00:00+05:30,40.3,43.3,40.3,41.15,1334
2019-03-05 00:00:00+05:30,41.15,44.0,41.1,43.8,2911
2019-03-06 00:00:00+05:30,43.0,44.95,42.0,42.45,7888
2019-03-07 00:00:00+05:30,41.75,43.1,41.75,42.45,4341
2019-03-08 00:00:00+05:30,42.1,42.9,42.0,42.35,265
2019-03-11 00:00:00+05:30,41.45,42.9,41.2,41.35,2371
2019-03-12 00:00:00+05:30,42.8,43.0,40.3,41.35,4211
2019-03-13 00:00:00+05:30,40.25,41.7,40.05,40.15,1628
2019-03-14 00:00:00+05:30,42.25,42.25,40.05,41.2,1184
2019-03-15 00:00:00+05:30,42.0,43.9,40.25,43.6,5552
2019-03-18 00:00:00+05:30,43.6,44.25,41.9,42.5,4321
2019-03-19 00:00:00+05:30,40.85,43.4,40.85,42.2,1027
2019-03-20 00:00:00+05:30,41.35,42.8,41.0,41.3,1017
2019-03-22 00:00:00+05:30,41.0,42.7,40.55,42.2,1957
2019-03-25 00:00:00+05:30,40.5,41.9,39.2,39.9,1815
2019-03-26 00:00:00+05:30,42.4,42.5,38.6,39.5,6578
2019-03-27 00:00:00+05:30,41.5,41.5,39.25,40.8,1243
2019-03-28 00:00:00+05:30,41.5,44.1,36.75,41.0,17941
2019-03-29 00:00:00+05:30,43.5,43.5,40.55,42.0,1124
2019-04-01 00:00:00+05:30,42.1,42.1,41.1,41.4,2974
2019-04-02 00:00:00+05:30,41.3,42.45,40.55,41.75,1827
2019-04-03 00:00:00+05:30,42.25,42.95,41.7,42.55,2091
2019-04-04 00:00:00+05:30,41.6,51.05,41.6,51.05,171592
2019-04-05 00:00:00+05:30,54.85,58.0,51.2,52.85,171666
2019-04-08 00:00:00+05:30,51.0,51.8,47.2,48.0,37522
2019-04-09 00:00:00+05:30,48.7,50.8,46.0,48.85,8990
2019-04-10 00:00:00+05:30,49.6,49.6,47.0,47.65,3119
2019-04-11 00:00:00+05:30,48.4,48.4,46.8,47.2,2154
2019-04-12 00:00:00+05:30,47.9,47.9,45.5,46.1,1630
2019-04-15 00:00:00+05:30,46.8,46.9,45.0,46.1,3534
2019-04-16 00:00:00+05:30,45.0,46.95,45.0,45.5,6900
2019-04-18 00:00:00+05:30,45.5,46.2,45.2,45.3,1167
2019-04-22 00:00:00+05:30,43.65,44.9,42.5,43.15,7185
2019-04-23 00:00:00+05:30,43.8,45.15,43.0,44.85,1791
2019-04-24 00:00:00+05:30,43.25,44.5,43.25,44.25,201
2019-04-25 00:00:00+05:30,44.6,46.25,43.6,44.7,3676
2019-04-26 00:00:00+05:30,43.7,44.9,43.7,43.9,1218
2019-04-30 00:00:00+05:30,44.6,44.6,41.8,42.1,4538
2019-05-02 00:00:00+05:30,41.9,50.5,41.9,50.5,26154
2019-05-03 00:00:00+05:30,54.35,60.6,53.5,60.6,372953
2019-05-06 00:00:00+05:30,59.5,60.7,55.0,56.1,73041
2019-05-07 00:00:00+05:30,56.9,59.3,51.65,53.45,37350
2019-05-08 00:00:00+05:30,53.0,53.8,50.4,51.5,8499
2019-05-09 00:00:00+05:30,51.5,53.8,49.3,52.55,8336
2019-05-10 00:00:00+05:30,52.55,61.9,52.05,57.95,18976
2019-05-13 00:00:00+05:30,59.9,59.95,51.0,56.5,34957
2019-05-14 00:00:00+05:30,54.0,57.35,51.4,52.95,18910
2019-05-15 00:00:00+05:30,51.3,56.5,51.3,52.6,4063
2019-05-16 00:00:00+05:30,52.0,53.0,51.85,52.6,1012
2019-05-17 00:00:00+05:30,54.9,54.9,51.1,52.75,9751
2019-05-20 00:00:00+05:30,53.05,55.4,52.45,53.15,5997
2019-05-21 00:00:00+05:30,54.15,54.15,52.7,53.8,3388
2019-05-22 00:00:00+05:30,52.1,55.0,52.1,52.75,6416
2019-05-23 00:00:00+05:30,52.3,54.8,52.3,52.8,3108
2019-05-24 00:00:00+05:30,53.0,63.35,52.3,63.35,35030
2019-05-27 00:00:00+05:30,66.1,67.9,59.0,61.95,37341
2019-05-28 00:00:00+05:30,64.7,64.7,61.1,61.6,7997
2019-05-29 00:00:00+05:30,61.0,62.6,57.55,59.2,4271
2019-05-30 00:00:00+05:30,58.05,62.0,57.0,58.55,10692
2019-05-31 00:00:00+05:30,57.25,59.45,54.2,55.05,11629
2019-06-03 00:00:00+05:30,54.0,59.4,53.5,57.0,6796
2019-06-04 00:00:00+05:30,57.85,57.85,54.55,55.5,5395
2019-06-06 00:00:00+05:30,53.6,56.45,53.6,55.6,3095
2019-06-07 00:00:00+05:30,59.3,59.3,54.55,55.3,1822
2019-06-10 00:00:00+05:30,57.0,57.9,51.5,57.55,12176
2019-06-11 00:00:00+05:30,57.9,59.2,55.25,56.9,4160
2019-06-12 00:00:00+05:30,58.75,59.4,55.55,58.5,4398
2019-06-13 00:00:00+05:30,57.0,57.95,57.0,57.05,1021
2019-06-14 00:00:00+05:30,57.05,58.75,55.5,57.1,2036
2019-06-17 00:00:00+05:30,57.1,58.4,55.5,55.75,2784
2019-06-18 00:00:00+05:30,57.7,57.7,53.3,55.35,2950
2019-06-19 00:00:00+05:30,57.5,57.5,53.0,53.7,3639
2019-06-20 00:00:00+05:30,57.4,57.4,50.4,52.9,1551
2019-06-21 00:00:00+05:30,52.9,53.5,51.0,53.5,1478
2019-06-24 00:00:00+05:30,51.3,54.0,51.0,52.8,886
2019-06-25 00:00:00+05:30,58.0,58.0,51.3,53.6,2099
2019-06-26 00:00:00+05:30,55.0,55.0,51.6,54.95,4264
2019-06-27 00:00:00+05:30,54.45,56.6,53.45,55.8,3621
2019-06-28 00:00:00+05:30,57.0,57.0,53.8,54.85,1358
2019-07-01 00:00:00+05:30,56.9,56.95,53.5,55.85,1415
2019-07-02 00:00:00+05:30,55.85,57.75,54.15,54.2,2487
2019-07-03 00:00:00+05:30,56.9,56.9,52.15,54.45,867
2019-07-04 00:00:00+05:30,57.2,57.2,53.6,53.6,914
2019-07-05 00:00:00+05:30,55.9,55.9,53.0,55.4,334
2019-07-08 00:00:00+05:30,54.0,54.0,52.55,54.0,731
2019-07-09 00:00:00+05:30,55.9,55.9,50.25,54.0,474
2019-07-10 00:00:00+05:30,52.0,55.0,51.6,52.5,3609
2019-07-11 00:00:00+05:30,53.0,53.0,53.0,53.0,2
2019-07-12 00:00:00+05:30,51.4,54.4,51.35,52.55,1480
2019-07-15 00:00:00+05:30,52.55,52.55,50.55,50.9,3012
2019-07-16 00:00:00+05:30,51.0,51.0,49.65,50.05,1558
2019-07-17 00:00:00+05:30,49.7,51.5,46.1,48.9,7360
2019-07-18 00:00:00+05:30,48.0,48.8,46.0,47.1,1644
2019-07-19 00:00:00+05:30,46.0,46.85,40.1,41.65,8757
2019-07-22 00:00:00+05:30,42.0,45.0,42.0,44.9,1659
2019-07-23 00:00:00+05:30,49.0,49.0,43.6,44.6,933
2019-07-24 00:00:00+05:30,47.5,47.5,43.25,44.75,1465
2019-07-25 00:00:00+05:30,44.0,46.0,43.0,45.9,474
2019-07-26 00:00:00+05:30,48.0,48.0,44.4,47.65,1678
2019-07-29 00:00:00+05:30,45.0,46.8,44.7,46.8,477
2019-07-30 00:00:00+05:30,51.9,51.9,42.0,43.3,2053
2019-07-31 00:00:00+05:30,46.0,46.0,43.3,43.9,1008
2019-08-01 00:00:00+05:30,48.7,51.4,41.65,44.0,2214
2019-08-02 00:00:00+05:30,48.8,48.9,42.35,45.35,1699
2019-08-05 00:00:00+05:30,45.85,45.9,44.0,45.9,601
2019-08-06 00:00:00+05:30,49.0,49.0,45.3,46.7,523
2019-08-07 00:00:00+05:30,44.2,46.75,41.95,46.0,2043
2019-08-08 00:00:00+05:30,46.0,46.5,46.0,46.5,1371
2019-08-09 00:00:00+05:30,51.0,51.0,40.0,42.85,28106
2019-08-13 00:00:00+05:30,46.95,46.95,41.3,42.55,3103
2019-08-14 00:00:00+05:30,44.9,44.95,42.6,43.55,735
2019-08-16 00:00:00+05:30,42.05,44.4,40.1,43.4,1443
2019-08-19 00:00:00+05:30,41.25,44.85,41.25,44.4,335
2019-08-20 00:00:00+05:30,43.5,43.5,41.4,41.8,1734
2019-08-21 00:00:00+05:30,41.0,44.4,38.95,39.85,2411
2019-08-22 00:00:00+05:30,40.0,41.8,37.7,38.35,1874
2019-08-23 00:00:00+05:30,39.35,40.05,38.1,40.05,758
2019-08-26 00:00:00+05:30,41.75,42.45,39.4,41.95,1804
2019-08-27 00:00:00+05:30,45.9,45.9,40.0,43.3,898
2019-08-28 00:00:00+05:30,45.95,45.95,41.0,41.9,1005
2019-08-29 00:00:00+05:30,41.9,41.9,38.55,41.05,2424
2019-08-30 00:00:00+05:30,42.8,42.8,41.05,42.0,876
2019-09-03 00:00:00+05:30,42.75,42.8,41.6,41.6,14830
2019-09-04 00:00:00+05:30,42.4,42.5,42.4,42.5,209
2019-09-05 00:00:00+05:30,42.5,43.75,42.05,43.0,1673
2019-09-06 00:00:00+05:30,44.0,44.0,43.1,43.1,2737
2019-09-09 00:00:00+05:30,45.0,45.0,43.35,44.25,1207
2019-09-11 00:00:00+05:30,44.25,45.5,43.0,43.85,3582
2019-09-12 00:00:00+05:30,44.0,45.75,43.7,45.55,10589
2019-09-13 00:00:00+05:30,45.55,51.95,45.55,49.35,8078
2019-09-16 00:00:00+05:30,53.0,59.2,49.8,59.2,117443
2019-09-17 00:00:00+05:30,62.85,62.85,53.3,54.1,38983
2019-09-18 00:00:00+05:30,53.0,53.8,50.5,51.85,4356
2019-09-19 00:00:00+05:30,51.9,53.25,49.1,51.15,1835
2019-09-20 00:00:00+05:30,51.15,54.9,50.0,51.4,5500
2019-09-23 00:00:00+05:30,53.9,55.45,51.1,51.65,2149
2019-09-24 00:00:00+05:30,50.65,53.65,50.25,52.6,1670
2019-09-25 00:00:00+05:30,52.5,52.5,50.05,51.45,1583
2019-09-26 00:00:00+05:30,51.5,54.0,51.0,51.6,4269
2019-09-27 00:00:00+05:30,53.6,53.6,51.05,52.0,1404
2019-09-30 00:00:00+05:30,51.0,53.45,48.4,50.05,840
2019-10-01 00:00:00+05:30,48.4,52.4,45.15,48.1,2540
2019-10-03 00:00:00+05:30,48.0,49.8,45.25,48.95,1727
2019-10-04 00:00:00+05:30,48.95,50.55,46.75,47.8,4499
2019-10-07 00:00:00+05:30,48.0,51.4,47.25,48.35,10728
2019-10-09 00:00:00+05:30,47.0,49.85,46.65,49.65,4232
2019-10-10 00:00:00+05:30,48.9,49.0,47.3,48.3,2941
2019-10-11 00:00:00+05:30,49.85,49.85,48.0,48.0,664
2019-10-14 00:00:00+05:30,48.0,52.95,47.0,51.15,4225
2019-10-15 00:00:00+05:30,53.5,53.5,50.5,51.0,3308
2019-10-16 00:00:00+05:30,52.5,52.5,49.7,50.15,548
2019-10-17 00:00:00+05:30,50.0,51.75,50.0,50.0,1122
2019-10-18 00:00:00+05:30,50.95,50.95,49.5,50.0,1594
2019-10-22 00:00:00+05:30,50.0,52.0,50.0,50.15,2038
2019-10-23 00:00:00+05:30,49.0,51.0,47.1,47.95,3914
2019-10-24 00:00:00+05:30,50.9,53.75,48.1,51.95,3004
2019-10-25 00:00:00+05:30,51.85,54.8,51.5,53.45,2592
2019-10-27 00:00:00+05:30,56.0,56.0,53.0,53.05,2512
2019-10-29 00:00:00+05:30,50.2,54.65,50.2,54.0,6521
2019-10-30 00:00:00+05:30,55.5,58.0,51.1,53.55,7926
2019-10-31 00:00:00+05:30,54.85,54.85,52.2,52.3,1155
2019-11-01 00:00:00+05:30,52.2,56.75,52.0,52.75,1854
2019-11-04 00:00:00+05:30,55.0,59.5,55.0,56.75,22401
2019-11-05 00:00:00+05:30,56.0,58.0,56.0,56.5,1830
2019-11-06 00:00:00+05:30,57.0,57.35,55.0,56.5,2177
2019-11-07 00:00:00+05:30,58.0,58.0,55.5,56.2,2211
2019-11-08 00:00:00+05:30,55.6,57.75,55.0,56.1,3321
2019-11-11 00:00:00+05:30,56.9,56.9,52.1,54.65,7170
2019-11-13 00:00:00+05:30,60.7,64.5,53.55,56.9,5344
2019-11-14 00:00:00+05:30,55.5,58.35,51.2,55.25,2389
2019-11-15 00:00:00+05:30,58.95,58.95,53.0,53.55,5182
2019-11-18 00:00:00+05:30,52.7,54.55,50.3,52.1,3165
2019-11-19 00:00:00+05:30,52.1,54.7,47.5,48.1,11718
2019-11-20 00:00:00+05:30,52.0,52.0,47.45,49.35,986
2019-11-21 00:00:00+05:30,50.8,50.8,48.0,48.25,379
2019-11-22 00:00:00+05:30,48.0,49.0,47.15,48.2,2422
2019-11-25 00:00:00+05:30,51.55,51.55,48.1,48.2,866
2019-11-26 00:00:00+05:30,49.0,50.9,48.2,49.2,13023
2019-11-27 00:00:00+05:30,53.0,53.0,48.3,49.05,1046
2019-11-28 00:00:00+05:30,50.0,50.0,47.45,49.65,698
2019-11-29 00:00:00+05:30,50.0,50.0,47.2,49.8,1111
2019-12-02 00:00:00+05:30,48.0,51.0,47.0,49.7,2736
2019-12-03 00:00:00+05:30,46.2,50.1,46.1,47.95,2419
2019-12-04 00:00:00+05:30,49.5,49.5,47.0,47.1,1869
2019-12-05 00:00:00+05:30,48.0,48.9,47.25,48.8,126
2019-12-06 00:00:00+05:30,48.8,48.8,47.25,47.25,489
2019-12-09 00:00:00+05:30,49.45,49.45,46.25,46.5,1301
2019-12-10 00:00:00+05:30,46.3,48.9,45.45,47.4,4168
2019-12-11 00:00:00+05:30,47.0,49.8,46.4,47.15,5459
2019-12-12 00:00:00+05:30,48.9,48.9,46.1,46.35,415
2019-12-13 00:00:00+05:30,46.35,49.15,44.1,47.05,7337
2019-12-16 00:00:00+05:30,50.0,50.0,46.3,49.2,963
2019-12-17 00:00:00+05:30,48.95,49.0,47.2,48.75,3541
2019-12-18 00:00:00+05:30,49.6,49.6,46.65,48.9,3265
2019-12-19 00:00:00+05:30,48.0,48.85,46.7,47.5,1191
2019-12-20 00:00:00+05:30,47.3,48.65,47.25,47.55,2164
2019-12-23 00:00:00+05:30,48.95,48.95,46.75,48.05,1359
2019-12-24 00:00:00+05:30,49.0,53.95,47.35,48.9,2985
2019-12-26 00:00:00+05:30,51.9,51.9,47.75,48.6,457
2019-12-27 00:00:00+05:30,52.8,58.3,48.6,58.3,69899
2019-12-30 00:00:00+05:30,60.0,69.5,59.3,67.7,346820
2019-12-31 00:00:00+05:30,68.45,73.8,68.0,70.9,157652
2020-01-01 00:00:00+05:30,70.0,77.9,66.0,73.2,44347
2020-01-02 00:00:00+05:30,74.7,74.7,68.6,70.4,36963
2020-01-03 00:00:00+05:30,71.0,71.0,63.4,64.15,47823
2020-01-06 00:00:00+05:30,63.85,67.7,59.0,63.5,16156
2020-01-07 00:00:00+05:30,64.75,67.9,62.0,63.55,13142
2020-01-08 00:00:00+05:30,63.0,63.0,59.5,62.0,3728
2020-01-09 00:00:00+05:30,62.0,64.7,61.4,62.8,11823
2020-01-10 00:00:00+05:30,64.95,64.95,62.1,63.85,3961
2020-01-13 00:00:00+05:30,64.35,64.7,62.95,63.1,3935
2020-01-14 00:00:00+05:30,64.4,64.4,61.1,61.65,9611
2020-01-15 00:00:00+05:30,66.95,66.95,58.7,62.1,5725
2020-01-16 00:00:00+05:30,64.0,64.95,60.8,61.45,9131
2020-01-17 00:00:00+05:30,62.55,63.95,61.4,61.6,9649
2020-01-20 00:00:00+05:30,62.55,64.0,60.45,61.4,8037
2020-01-21 00:00:00+05:30,60.8,62.0,58.75,60.75,4965
2020-01-22 00:00:00+05:30,61.0,61.35,58.6,59.35,6283
2020-01-23 00:00:00+05:30,61.2,65.25,60.8,65.25,29357
2020-01-24 00:00:00+05:30,68.5,68.65,63.5,64.05,18944
2020-01-27 00:00:00+05:30,62.2,62.9,60.1,62.3,13529
2020-01-28 00:00:00+05:30,62.15,64.6,59.55,60.0,7050
2020-01-29 00:00:00+05:30,62.0,66.0,60.15,65.95,39350
2020-01-30 00:00:00+05:30,68.25,68.25,61.0,61.3,29627
2020-01-31 00:00:00+05:30,61.95,63.95,60.05,61.6,12197
2020-02-01 00:00:00+05:30,60.2,62.5,59.0,61.1,6058
2020-02-03 00:00:00+05:30,60.1,61.8,58.15,58.35,5035
2020-02-04 00:00:00+05:30,58.55,61.55,58.55,60.2,3860
2020-02-05 00:00:00+05:30,60.55,62.5,60.0,60.15,6071
