date,open,high,low,close,volume
2023-07-04 00:00:00+05:30,62.5,66.7,57.0,58.55,52327500
2023-07-05 00:00:00+05:30,57.8,59.25,56.5,58.35,7298180
2023-07-06 00:00:00+05:30,58.9,61.35,58.1,59.8,7001560
2023-07-07 00:00:00+05:30,60.0,60.5,58.3,58.75,3020790
2023-07-10 00:00:00+05:30,58.8,59.0,57.7,57.9,1368400
2023-07-11 00:00:00+05:30,57.7,59.2,57.5,58.7,1556520
2023-07-12 00:00:00+05:30,58.4,59.3,57.8,58.25,1090430
2023-07-13 00:00:00+05:30,58.15,59.1,56.5,58.4,2633180
2023-07-14 00:00:00+05:30,58.9,59.0,57.65,58.0,936960
2023-07-17 00:00:00+05:30,57.95,60.2,57.65,59.1,2242720
2023-07-18 00:00:00+05:30,59.2,59.7,58.2,58.85,804780
2023-07-19 00:00:00+05:30,58.85,61.7,58.4,61.0,3541260
2023-07-20 00:00:00+05:30,61.8,63.1,60.55,62.8,3381730
2023-07-21 00:00:00+05:30,62.95,63.85,62.1,63.0,1865910
2023-07-24 00:00:00+05:30,63.0,63.55,61.4,62.0,889440
2023-07-25 00:00:00+05:30,61.9,62.9,61.2,61.45,596880
2023-07-26 00:00:00+05:30,61.5,61.8,60.35,60.85,760000
2023-07-27 00:00:00+05:30,61.3,61.3,60.4,60.6,459510
2023-07-28 00:00:00+05:30,60.9,61.65,58.55,59.7,1775320
2023-07-31 00:00:00+05:30,59.7,60.9,58.65,60.45,1997320
2023-08-01 00:00:00+05:30,59.0,61.2,59.0,60.2,1251010
2023-08-02 00:00:00+05:30,60.6,60.6,58.9,59.1,872960
2023-08-03 00:00:00+05:30,59.5,59.6,59.1,59.4,281390
2023-08-04 00:00:00+05:30,59.75,61.2,59.5,60.3,720610
2023-08-07 00:00:00+05:30,60.5,61.6,60.0,61.15,786810
2023-08-08 00:00:00+05:30,61.1,61.65,60.35,61.1,546010
2023-08-09 00:00:00+05:30,60.9,61.65,60.5,60.85,519030
2023-08-10 00:00:00+05:30,60.4,62.65,60.4,62.15,1009050
2023-08-11 00:00:00+05:30,62.95,62.95,61.5,62.45,461690
2023-08-14 00:00:00+05:30,61.7,64.75,61.7,63.65,2427900
2023-08-16 00:00:00+05:30,64.5,64.9,62.3,64.1,1666110
2023-08-17 00:00:00+05:30,64.9,64.9,62.5,62.9,624540
2023-08-18 00:00:00+05:30,62.9,63.3,61.7,62.15,1898200
2023-08-21 00:00:00+05:30,63.65,63.65,62.35,63.0,388260
2023-08-22 00:00:00+05:30,63.1,63.8,62.25,63.55,605180
2023-08-23 00:00:00+05:30,63.55,64.2,62.3,62.55,396710
2023-08-24 00:00:00+05:30,62.5,63.25,62.0,62.1,239730
2023-08-25 00:00:00+05:30,62.0,62.6,61.0,62.4,271520
2023-08-28 00:00:00+05:30,63.0,65.45,62.35,63.8,1476450
2023-08-29 00:00:00+05:30,64.8,64.8,63.6,63.85,272290
2023-08-30 00:00:00+05:30,64.8,68.8,63.25,67.45,1828430
2023-08-31 00:00:00+05:30,67.8,72.0,67.8,69.55,2543320
2023-09-01 00:00:00+05:30,70.3,76.5,70.1,76.4,3061780
2023-09-04 00:00:00+05:30,77.0,81.0,77.0,79.6,2789040
2023-09-05 00:00:00+05:30,81.0,84.0,81.0,82.55,2168610
2023-09-06 00:00:00+05:30,83.4,83.5,78.5,80.3,1112710
2023-09-07 00:00:00+05:30,81.0,82.9,79.1,81.8,725230
2023-09-08 00:00:00+05:30,83.0,83.7,78.2,79.85,659940
2023-09-11 00:00:00+05:30,78.55,82.1,78.55,81.1,444520
2023-09-12 00:00:00+05:30,82.0,82.0,77.2,77.9,853780
2023-09-13 00:00:00+05:30,78.5,81.1,76.5,78.5,790340
2023-09-14 00:00:00+05:30,79.2,81.6,78.6,79.25,804240
2023-09-15 00:00:00+05:30,80.7,82.2,78.3,79.0,847520
2023-09-18 00:00:00+05:30,80.0,82.8,79.15,79.45,1481090
2023-09-20 00:00:00+05:30,79.8,80.0,78.5,79.0,309640
2023-09-21 00:00:00+05:30,79.7,79.7,76.55,77.4,394730
2023-09-22 00:00:00+05:30,77.7,78.2,75.3,76.3,321070
2023-09-25 00:00:00+05:30,76.3,78.9,76.1,77.7,560400
2023-09-26 00:00:00+05:30,78.95,78.95,76.3,76.6,251110
2023-09-27 00:00:00+05:30,76.2,77.3,75.5,75.85,436550
2023-09-28 00:00:00+05:30,75.55,76.15,72.9,73.45,801120
2023-09-29 00:00:00+05:30,73.0,76.5,73.0,74.85,406830
2023-10-03 00:00:00+05:30,74.85,75.3,73.65,73.95,210770
2023-10-04 00:00:00+05:30,73.9,74.2,72.7,73.45,297550
2023-10-05 00:00:00+05:30,73.6,75.7,72.8,73.6,295110
2023-10-06 00:00:00+05:30,74.3,74.3,71.85,72.25,931410
2023-10-09 00:00:00+05:30,70.4,72.6,69.0,71.15,1594590
2023-10-10 00:00:00+05:30,71.0,72.9,71.0,71.8,182080
