date,open,high,low,close,volume
2019-08-20 00:00:00+05:30,80.2,84.95,80.2,82.0,9175
2019-08-21 00:00:00+05:30,80.4,83.0,80.0,80.1,5200
2019-08-22 00:00:00+05:30,78.0,81.35,76.6,79.45,5385
2019-08-23 00:00:00+05:30,76.6,79.0,76.6,78.9,3925
2019-08-26 00:00:00+05:30,81.8,84.0,78.0,79.0,8195
2019-08-27 00:00:00+05:30,83.55,91.0,80.2,89.8,119740
2019-08-28 00:00:00+05:30,91.0,92.3,87.0,87.15,29005
2019-08-29 00:00:00+05:30,90.0,90.0,83.15,86.05,9650
2019-08-30 00:00:00+05:30,86.0,92.0,83.6,91.6,24710
2019-09-03 00:00:00+05:30,92.8,97.0,88.0,93.9,72755
2019-09-04 00:00:00+05:30,91.7,103.0,91.7,101.7,474115
2019-09-05 00:00:00+05:30,102.0,104.0,97.4,100.15,79410
2019-09-06 00:00:00+05:30,103.0,103.0,99.25,101.8,40510
2019-09-09 00:00:00+05:30,107.2,107.2,100.0,101.55,88835
2019-09-11 00:00:00+05:30,101.55,103.5,99.0,100.35,26375
2019-09-12 00:00:00+05:30,100.7,102.0,97.2,100.75,51550
2019-09-13 00:00:00+05:30,103.0,103.0,99.1,100.05,11550
2019-09-16 00:00:00+05:30,99.0,100.8,97.05,98.85,29450
2019-09-17 00:00:00+05:30,98.4,98.4,94.0,94.0,6985
2019-09-18 00:00:00+05:30,94.0,97.6,89.3,97.0,13450
2019-09-19 00:00:00+05:30,92.6,99.2,92.2,97.0,3885
2019-09-20 00:00:00+05:30,97.0,100.0,95.0,97.65,8360
2019-09-23 00:00:00+05:30,98.2,99.8,94.2,96.1,6935
2019-09-24 00:00:00+05:30,96.2,100.9,95.0,100.9,9330
2019-09-25 00:00:00+05:30,101.85,102.0,99.2,99.4,10785
2019-09-26 00:00:00+05:30,102.8,102.8,98.1,99.4,2935
2019-09-27 00:00:00+05:30,96.6,104.35,96.6,104.35,8655
2019-09-30 00:00:00+05:30,104.35,108.0,101.05,106.05,33010
2019-10-01 00:00:00+05:30,102.2,110.5,102.2,106.0,31390
2019-10-03 00:00:00+05:30,105.0,109.0,101.2,106.55,6000
2019-10-04 00:00:00+05:30,109.2,109.2,103.1,105.5,10700
2019-10-07 00:00:00+05:30,103.5,107.35,103.5,105.65,3815
2019-10-09 00:00:00+05:30,110.0,110.0,103.3,106.6,29315
2019-10-10 00:00:00+05:30,109.8,109.8,105.1,106.35,5205
2019-10-11 00:00:00+05:30,108.2,108.2,105.4,106.3,6720
2019-10-14 00:00:00+05:30,107.75,107.75,102.2,105.8,3180
2019-10-15 00:00:00+05:30,104.4,107.6,104.0,107.6,6905
2019-10-16 00:00:00+05:30,104.15,107.2,104.1,107.0,9775
2019-10-17 00:00:00+05:30,107.9,111.4,105.2,109.1,27565
2019-10-18 00:00:00+05:30,105.6,114.55,105.6,114.55,18795
2019-10-22 00:00:00+05:30,118.0,120.3,114.0,114.45,38905
2019-10-23 00:00:00+05:30,115.0,120.2,112.2,120.1,116420
2019-10-24 00:00:00+05:30,125.4,125.4,115.2,116.0,32770
2019-10-25 00:00:00+05:30,110.4,119.8,110.4,117.0,10515
2019-10-27 00:00:00+05:30,120.75,120.75,117.0,119.4,4020
2019-10-29 00:00:00+05:30,119.5,119.5,116.0,117.2,8230
2019-10-30 00:00:00+05:30,112.0,120.0,112.0,116.3,15560
2019-10-31 00:00:00+05:30,114.05,120.0,114.05,119.45,2410
2019-11-01 00:00:00+05:30,119.6,121.8,117.4,121.15,4085
2019-11-04 00:00:00+05:30,121.4,127.2,120.0,126.2,29170
2019-11-05 00:00:00+05:30,129.6,129.6,122.0,123.0,9185
2019-11-06 00:00:00+05:30,122.0,129.1,122.0,127.15,7430
2019-11-07 00:00:00+05:30,124.05,128.0,124.05,125.35,3695
2019-11-08 00:00:00+05:30,124.6,128.0,123.0,124.85,9245
2019-11-11 00:00:00+05:30,128.0,131.0,122.05,128.05,18610
2019-11-13 00:00:00+05:30,130.0,134.45,128.0,132.75,24920
2019-11-14 00:00:00+05:30,135.6,135.6,126.3,128.2,11345
2019-11-15 00:00:00+05:30,122.4,130.8,121.8,130.05,10905
2019-11-18 00:00:00+05:30,128.0,132.4,123.6,127.4,5115
2019-11-19 00:00:00+05:30,129.95,129.95,125.0,125.65,11475
2019-11-20 00:00:00+05:30,125.4,130.0,120.2,125.5,6465
2019-11-21 00:00:00+05:30,122.2,127.95,122.2,125.1,7000
2019-11-22 00:00:00+05:30,123.8,129.0,122.2,125.25,4175
2019-11-25 00:00:00+05:30,127.6,127.8,122.05,123.3,7430
2019-11-26 00:00:00+05:30,122.1,128.0,117.45,118.35,19095
2019-11-27 00:00:00+05:30,118.4,122.5,118.2,118.45,15475
2019-11-28 00:00:00+05:30,118.4,120.0,116.0,117.25,9660
2019-11-29 00:00:00+05:30,119.0,123.1,114.05,120.2,6930
2019-12-02 00:00:00+05:30,126.2,126.2,124.0,126.2,23890
2019-12-03 00:00:00+05:30,131.2,132.5,128.0,132.45,53520
2019-12-04 00:00:00+05:30,138.4,138.8,131.0,138.15,54990
2019-12-05 00:00:00+05:30,142.9,142.9,135.0,140.85,40895
2019-12-06 00:00:00+05:30,140.0,141.6,134.4,137.15,22345
2019-12-09 00:00:00+05:30,142.0,142.0,131.4,132.2,25625
2019-12-10 00:00:00+05:30,130.2,133.0,126.0,126.25,23330
2019-12-11 00:00:00+05:30,126.4,126.4,120.45,124.25,17165
2019-12-12 00:00:00+05:30,124.2,130.45,122.8,130.45,14765
2019-12-13 00:00:00+05:30,132.4,136.95,130.6,136.75,34495
2019-12-16 00:00:00+05:30,138.0,140.0,132.0,136.4,40255
2019-12-17 00:00:00+05:30,136.4,139.0,132.2,133.4,42530
2019-12-18 00:00:00+05:30,132.25,136.0,132.0,133.7,15240
2019-12-19 00:00:00+05:30,135.75,139.4,133.2,134.95,15050
2019-12-20 00:00:00+05:30,134.0,136.0,132.8,135.75,26125
2019-12-23 00:00:00+05:30,137.1,137.1,133.0,133.7,16735
2019-12-24 00:00:00+05:30,133.7,135.6,133.05,134.8,6935
2019-12-26 00:00:00+05:30,133.1,136.0,132.0,135.05,34325
2019-12-27 00:00:00+05:30,130.2,136.8,130.2,135.45,16745
2019-12-30 00:00:00+05:30,137.0,137.0,134.0,136.25,8210
2019-12-31 00:00:00+05:30,136.0,138.4,134.6,136.6,20420
2020-01-01 00:00:00+05:30,135.4,138.25,135.05,137.9,14000
2020-01-02 00:00:00+05:30,138.8,138.8,136.8,137.2,19970
2020-01-03 00:00:00+05:30,139.6,139.6,134.4,136.6,12895
2020-01-06 00:00:00+05:30,131.0,136.8,131.0,133.85,33425
2020-01-07 00:00:00+05:30,132.8,137.6,129.25,132.35,17655
