date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,34.15,35.75,32.45,34.3,4448
2019-01-02 00:00:00+05:30,34.0,35.5,33.75,35.25,2836
2019-01-03 00:00:00+05:30,34.6,35.9,34.4,34.65,4536
2019-01-04 00:00:00+05:30,35.4,35.4,34.5,34.9,1429
2019-01-07 00:00:00+05:30,34.6,35.3,34.5,35.0,1678
2019-01-08 00:00:00+05:30,34.95,34.95,34.25,34.95,202
2019-01-09 00:00:00+05:30,34.6,34.9,34.2,34.9,2428
2019-01-10 00:00:00+05:30,34.6,34.6,33.6,33.95,9899
2019-01-11 00:00:00+05:30,34.7,34.7,33.75,33.8,1293
2019-01-14 00:00:00+05:30,34.6,34.85,33.2,33.9,1476
2019-01-15 00:00:00+05:30,34.55,34.55,33.7,34.05,295
2019-01-16 00:00:00+05:30,34.6,35.0,33.75,34.15,4581
2019-01-17 00:00:00+05:30,33.6,35.95,33.6,34.8,4885
2019-01-18 00:00:00+05:30,34.65,34.65,33.05,33.45,4551
2019-01-21 00:00:00+05:30,33.1,33.1,30.2,30.85,59601
2019-01-22 00:00:00+05:30,32.45,32.45,27.1,28.6,78820
2019-01-23 00:00:00+05:30,29.95,29.95,27.7,28.3,5188
2019-01-24 00:00:00+05:30,28.55,29.6,27.65,28.65,43028
2019-01-25 00:00:00+05:30,30.0,30.0,27.55,28.15,5459
2019-01-28 00:00:00+05:30,28.05,29.35,26.2,28.15,7157
2019-01-29 00:00:00+05:30,28.05,29.1,27.6,28.7,17092
2019-01-30 00:00:00+05:30,29.45,29.45,28.35,28.9,2245
2019-01-31 00:00:00+05:30,28.95,28.95,27.8,28.25,1758
2019-02-01 00:00:00+05:30,28.05,30.8,27.55,28.5,4394
2019-02-04 00:00:00+05:30,28.05,30.0,27.95,29.5,28129
2019-02-05 00:00:00+05:30,29.05,29.05,28.45,28.95,828
2019-02-06 00:00:00+05:30,28.65,29.6,26.75,27.0,6937
2019-02-07 00:00:00+05:30,26.95,28.5,26.9,27.55,35095
