date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,39.35,39.75,38.65,39.4,43015
2019-01-02 00:00:00+05:30,39.7,39.7,38.95,39.2,28994
2019-01-03 00:00:00+05:30,38.9,39.45,38.85,39.0,20136
2019-01-04 00:00:00+05:30,38.9,39.3,38.7,39.2,12651
2019-01-07 00:00:00+05:30,39.95,41.4,39.65,40.3,86228
2019-01-08 00:00:00+05:30,40.65,40.65,39.85,40.2,14855
2019-01-09 00:00:00+05:30,40.5,40.75,40.0,40.1,17962
2019-01-10 00:00:00+05:30,40.1,40.8,40.0,40.45,30923
2019-01-11 00:00:00+05:30,40.65,40.65,39.9,40.0,27014
2019-01-14 00:00:00+05:30,40.1,40.3,39.3,39.65,30628
2019-01-15 00:00:00+05:30,40.0,40.0,39.7,39.85,10129
2019-01-16 00:00:00+05:30,40.4,40.45,39.8,40.0,23477
2019-01-17 00:00:00+05:30,40.0,40.0,39.05,39.25,22869
2019-01-18 00:00:00+05:30,39.9,39.9,39.3,39.45,10089
2019-01-21 00:00:00+05:30,39.4,39.7,38.95,39.35,11169
2019-01-22 00:00:00+05:30,38.95,39.05,38.65,38.9,20884
2019-01-23 00:00:00+05:30,39.0,39.05,38.1,38.8,10097
2019-01-24 00:00:00+05:30,38.75,39.0,38.4,38.55,17674
2019-01-25 00:00:00+05:30,38.9,38.95,38.25,38.3,10002
2019-01-28 00:00:00+05:30,38.3,38.8,37.05,37.4,53169
2019-01-29 00:00:00+05:30,37.1,38.9,37.1,38.05,33954
2019-01-30 00:00:00+05:30,38.9,38.9,38.1,38.3,13314
2019-01-31 00:00:00+05:30,39.1,39.8,38.4,39.0,79521
2019-02-01 00:00:00+05:30,39.5,39.6,38.55,38.7,36955
2019-02-04 00:00:00+05:30,39.45,39.45,37.25,37.6,25313
2019-02-05 00:00:00+05:30,38.65,38.65,37.15,37.4,13259
2019-02-06 00:00:00+05:30,37.4,38.35,37.25,37.45,21007
2019-02-07 00:00:00+05:30,37.6,37.95,36.95,37.15,66494
2019-02-08 00:00:00+05:30,37.35,37.85,37.2,37.7,11943
2019-02-11 00:00:00+05:30,38.1,38.1,37.0,37.2,25050
2019-02-12 00:00:00+05:30,37.55,37.7,37.05,37.35,28153
2019-02-13 00:00:00+05:30,37.6,37.65,37.1,37.2,10027
2019-02-14 00:00:00+05:30,37.45,37.5,36.95,37.05,25323
2019-02-15 00:00:00+05:30,37.25,37.5,36.55,37.3,66402
2019-02-18 00:00:00+05:30,37.8,37.8,36.15,37.1,23985
2019-02-19 00:00:00+05:30,37.35,37.35,36.5,37.0,44645
2019-02-20 00:00:00+05:30,37.05,37.3,37.0,37.0,30155
2019-02-21 00:00:00+05:30,37.3,37.35,37.05,37.15,5695
2019-02-22 00:00:00+05:30,37.45,37.45,37.0,37.1,21826
2019-02-25 00:00:00+05:30,37.5,37.95,36.95,37.25,28928
2019-02-26 00:00:00+05:30,37.45,37.45,36.45,37.05,14296
2019-02-27 00:00:00+05:30,37.3,37.45,36.5,36.8,72719
2019-02-28 00:00:00+05:30,36.8,37.25,36.75,36.85,24402
2019-03-01 00:00:00+05:30,37.15,37.9,36.85,37.75,30709
2019-03-05 00:00:00+05:30,37.75,39.65,37.75,39.3,74885
2019-03-06 00:00:00+05:30,39.1,39.95,38.5,38.9,44279
2019-03-07 00:00:00+05:30,39.25,39.55,38.45,39.2,30388
2019-03-08 00:00:00+05:30,38.85,39.4,38.65,38.85,15548
2019-03-11 00:00:00+05:30,38.85,39.85,38.85,39.7,44037
2019-03-12 00:00:00+05:30,39.85,40.8,39.4,39.7,62672
2019-03-13 00:00:00+05:30,39.25,40.5,39.25,39.8,52941
2019-03-14 00:00:00+05:30,39.4,40.0,39.35,39.5,16182
2019-03-15 00:00:00+05:30,39.55,40.25,39.45,39.5,36940
2019-03-18 00:00:00+05:30,39.75,40.1,39.4,39.85,36301
2019-03-19 00:00:00+05:30,40.1,40.3,39.55,39.8,36000
2019-03-20 00:00:00+05:30,39.55,40.1,39.5,39.65,19812
2019-03-22 00:00:00+05:30,40.0,40.05,39.45,39.6,22733
2019-03-25 00:00:00+05:30,39.5,39.5,38.85,39.05,24341
2019-03-26 00:00:00+05:30,39.05,39.3,36.8,38.3,45215
2019-03-27 00:00:00+05:30,38.2,38.75,37.9,38.35,39506
2019-03-28 00:00:00+05:30,38.5,39.05,38.15,38.55,30488
2019-03-29 00:00:00+05:30,38.35,38.7,38.3,38.45,28590
2019-04-01 00:00:00+05:30,38.3,40.45,38.3,39.95,63296
2019-04-02 00:00:00+05:30,39.9,40.0,38.75,39.0,55157
2019-04-03 00:00:00+05:30,39.0,39.6,38.75,39.05,31476
2019-04-04 00:00:00+05:30,39.05,39.35,38.75,39.2,19419
2019-04-05 00:00:00+05:30,39.2,39.7,39.2,39.3,12378
2019-04-08 00:00:00+05:30,39.5,39.5,38.8,38.95,12326
2019-04-09 00:00:00+05:30,39.0,39.25,38.8,38.95,18199
2019-04-10 00:00:00+05:30,39.05,39.2,38.3,38.95,36110
2019-04-11 00:00:00+05:30,39.25,39.25,38.65,38.9,11678
2019-04-12 00:00:00+05:30,39.05,39.7,38.6,39.3,26937
2019-04-15 00:00:00+05:30,39.4,39.55,37.75,39.35,32083
2019-04-16 00:00:00+05:30,39.0,39.9,39.0,39.45,19593
2019-04-18 00:00:00+05:30,39.8,39.8,38.95,39.2,39666
2019-04-22 00:00:00+05:30,39.1,39.5,38.75,38.85,7101
2019-04-23 00:00:00+05:30,38.85,39.2,38.65,38.85,6463
2019-04-24 00:00:00+05:30,38.95,39.0,38.0,38.45,19377
2019-04-25 00:00:00+05:30,38.8,39.05,38.25,38.65,10909
2019-04-26 00:00:00+05:30,38.35,39.0,38.35,38.65,8111
2019-04-30 00:00:00+05:30,38.3,38.6,38.2,38.4,16209
2019-05-02 00:00:00+05:30,38.45,38.45,37.45,37.85,90462
2019-05-03 00:00:00+05:30,38.15,38.2,37.75,37.85,15426
2019-05-06 00:00:00+05:30,38.05,38.4,37.6,38.0,13998
2019-05-07 00:00:00+05:30,38.3,38.9,38.0,38.45,23499
2019-05-08 00:00:00+05:30,38.0,38.55,38.0,38.1,24008
2019-05-09 00:00:00+05:30,38.0,38.4,37.95,38.2,36009
2019-05-10 00:00:00+05:30,38.0,38.25,38.0,38.05,21961
2019-05-13 00:00:00+05:30,37.9,38.35,37.5,37.85,31077
2019-05-14 00:00:00+05:30,37.5,38.05,37.1,37.55,79202
2019-05-15 00:00:00+05:30,37.05,38.0,37.0,37.35,30780
2019-05-16 00:00:00+05:30,37.2,37.65,37.05,37.45,27046
2019-05-17 00:00:00+05:30,37.5,37.7,37.2,37.4,15129
2019-05-20 00:00:00+05:30,39.2,39.2,38.0,38.4,40244
2019-05-21 00:00:00+05:30,38.25,38.5,37.55,37.7,22971
2019-05-22 00:00:00+05:30,37.35,38.0,37.3,37.9,13033
2019-05-23 00:00:00+05:30,38.05,38.75,37.6,38.4,25866
2019-05-24 00:00:00+05:30,38.05,39.5,37.75,39.1,23983
2019-05-27 00:00:00+05:30,39.1,40.5,39.1,39.95,90904
2019-05-28 00:00:00+05:30,40.0,40.3,39.15,39.7,32207
2019-05-29 00:00:00+05:30,39.95,39.95,39.25,39.5,26909
2019-05-30 00:00:00+05:30,39.1,40.2,39.1,39.5,49945
2019-05-31 00:00:00+05:30,39.9,39.95,38.7,38.95,42665
2019-06-03 00:00:00+05:30,38.5,40.1,38.5,39.85,56137
2019-06-04 00:00:00+05:30,39.9,39.95,39.25,39.45,33940
2019-06-06 00:00:00+05:30,39.75,40.5,39.1,39.25,27516
2019-06-07 00:00:00+05:30,39.65,39.85,38.9,39.45,18678
2019-06-10 00:00:00+05:30,39.5,39.5,38.8,38.9,20116
2019-06-11 00:00:00+05:30,38.7,39.8,38.4,39.15,17453
2019-06-12 00:00:00+05:30,39.05,39.05,38.5,38.6,7900
2019-06-13 00:00:00+05:30,38.55,38.8,38.0,38.1,45607
2019-06-14 00:00:00+05:30,38.15,38.4,37.5,37.75,49072
2019-06-17 00:00:00+05:30,37.95,38.15,37.4,37.5,24135
2019-06-18 00:00:00+05:30,37.25,38.0,37.25,37.5,30120
2019-06-19 00:00:00+05:30,37.3,37.6,37.3,37.4,21110
2019-06-20 00:00:00+05:30,37.2,38.25,37.2,37.95,11050
2019-06-21 00:00:00+05:30,37.2,38.15,37.2,37.55,13705
2019-06-24 00:00:00+05:30,38.0,38.15,37.5,37.75,14134
2019-06-25 00:00:00+05:30,37.25,37.9,37.25,37.5,8540
2019-06-26 00:00:00+05:30,37.35,38.05,37.35,37.95,10379
2019-06-27 00:00:00+05:30,37.5,38.85,37.5,38.2,10623
2019-06-28 00:00:00+05:30,37.3,38.85,37.3,37.9,28560
2019-07-01 00:00:00+05:30,37.55,38.5,37.5,37.8,17809
2019-07-02 00:00:00+05:30,37.5,38.15,37.5,37.7,11053
2019-07-03 00:00:00+05:30,37.55,38.4,37.55,38.25,7568
2019-07-04 00:00:00+05:30,37.6,38.45,37.6,37.95,11254
2019-07-05 00:00:00+05:30,37.45,38.4,37.4,37.6,10774
2019-07-08 00:00:00+05:30,37.25,37.75,37.05,37.1,35838
2019-07-09 00:00:00+05:30,37.0,37.8,36.8,37.4,34843
2019-07-10 00:00:00+05:30,37.15,37.45,36.4,36.9,37245
2019-07-11 00:00:00+05:30,36.55,37.25,36.5,36.65,20937
2019-07-12 00:00:00+05:30,36.3,37.4,36.3,37.2,18855
2019-07-15 00:00:00+05:30,37.3,37.35,36.35,36.65,46691
2019-07-16 00:00:00+05:30,36.7,37.2,36.5,36.6,18946
2019-07-17 00:00:00+05:30,36.6,37.05,36.6,36.9,10207
2019-07-18 00:00:00+05:30,36.5,37.2,36.5,36.65,18287
2019-07-19 00:00:00+05:30,36.25,36.7,35.6,36.0,60741
2019-07-22 00:00:00+05:30,35.15,36.5,35.15,35.85,14621
2019-07-23 00:00:00+05:30,36.05,36.3,35.7,35.9,9873
2019-07-24 00:00:00+05:30,35.3,36.0,35.3,35.7,21393
2019-07-25 00:00:00+05:30,35.55,36.65,35.1,35.75,54409
2019-07-26 00:00:00+05:30,35.45,36.6,35.45,35.95,24540
