date,open,high,low,close,volume
2019-02-21 00:00:00+05:30,73.2,73.2,73.2,73.2,2400
2019-02-22 00:00:00+05:30,69.55,72.4,69.55,72.4,1600
2019-02-25 00:00:00+05:30,68.75,73.95,68.75,73.95,1600
2019-02-26 00:00:00+05:30,70.25,72.0,70.25,72.0,4800
2019-02-27 00:00:00+05:30,75.4,75.4,68.4,68.4,3200
2019-03-05 00:00:00+05:30,65.0,65.05,65.0,65.0,8000
2019-03-06 00:00:00+05:30,68.0,68.0,61.8,61.8,2400
2019-03-07 00:00:00+05:30,60.4,64.9,60.25,64.4,48800
2019-03-08 00:00:00+05:30,67.6,67.6,67.6,67.6,7200
2019-03-11 00:00:00+05:30,70.9,70.9,70.0,70.0,2400
2019-03-12 00:00:00+05:30,73.0,73.4,73.0,73.4,1600
2019-03-13 00:00:00+05:30,76.7,76.7,76.7,76.7,800
2019-03-14 00:00:00+05:30,72.85,79.4,72.85,76.3,3200
2019-03-15 00:00:00+05:30,80.1,80.1,78.0,80.1,10400
2019-03-18 00:00:00+05:30,81.95,81.95,79.9,79.9,1600
2019-03-19 00:00:00+05:30,78.0,78.0,78.0,78.0,800
2019-03-20 00:00:00+05:30,77.0,80.8,74.5,80.8,5600
2019-03-22 00:00:00+05:30,78.95,79.0,78.95,79.0,2400
2019-03-25 00:00:00+05:30,82.8,82.8,77.2,78.8,24800
2019-03-26 00:00:00+05:30,75.4,79.55,75.4,79.55,28000
2019-03-27 00:00:00+05:30,79.0,79.0,78.2,78.2,6400
2019-03-28 00:00:00+05:30,78.8,78.8,77.0,77.0,4000
2019-04-01 00:00:00+05:30,76.2,76.2,76.2,76.2,800
2019-04-02 00:00:00+05:30,74.4,79.4,74.4,79.4,5600
2019-04-03 00:00:00+05:30,76.8,76.8,76.8,76.8,3200
2019-04-04 00:00:00+05:30,79.2,79.2,79.2,79.2,800
2019-04-05 00:00:00+05:30,79.4,80.0,79.4,80.0,6400
2019-04-08 00:00:00+05:30,80.0,80.4,78.0,80.4,4800
2019-04-09 00:00:00+05:30,76.35,76.35,76.35,76.35,2400
2019-04-11 00:00:00+05:30,79.2,79.2,79.2,79.2,800
2019-04-12 00:00:00+05:30,82.4,82.4,82.4,82.4,2400
2019-04-15 00:00:00+05:30,78.4,81.0,78.25,80.55,12800
2019-04-16 00:00:00+05:30,81.8,83.2,76.7,77.1,7200
2019-04-18 00:00:00+05:30,79.0,79.0,79.0,79.0,800
2019-04-22 00:00:00+05:30,77.45,77.45,77.45,77.45,800
2019-04-24 00:00:00+05:30,75.0,76.0,75.0,76.0,3200
2019-04-26 00:00:00+05:30,79.5,79.5,79.0,79.0,3200
2019-04-30 00:00:00+05:30,76.0,77.0,76.0,77.0,4800
2019-05-03 00:00:00+05:30,80.0,80.0,77.0,77.0,6400
2019-05-06 00:00:00+05:30,79.95,79.95,79.95,79.95,10400
2019-05-07 00:00:00+05:30,76.0,76.0,76.0,76.0,800
2019-05-08 00:00:00+05:30,73.0,73.0,73.0,73.0,800
2019-05-09 00:00:00+05:30,76.65,76.65,76.65,76.65,800
2019-05-13 00:00:00+05:30,73.0,73.0,73.0,73.0,3200
2019-05-14 00:00:00+05:30,75.8,75.8,75.8,75.8,800
2019-05-16 00:00:00+05:30,78.9,78.9,78.9,78.9,3200
2019-05-17 00:00:00+05:30,81.8,81.8,78.95,78.95,3200
2019-05-20 00:00:00+05:30,81.6,81.6,79.6,79.6,3200
2019-05-22 00:00:00+05:30,75.7,75.7,75.7,75.7,800
2019-05-23 00:00:00+05:30,77.5,77.5,77.5,77.5,800
2019-05-24 00:00:00+05:30,73.8,73.8,73.8,73.8,800
2019-05-27 00:00:00+05:30,70.2,70.2,70.2,70.2,800
2019-05-28 00:00:00+05:30,68.0,68.0,68.0,68.0,800
2019-05-29 00:00:00+05:30,70.4,70.4,64.8,64.8,1600
2019-05-30 00:00:00+05:30,68.05,68.05,62.45,62.45,1600
2019-05-31 00:00:00+05:30,62.6,62.6,62.0,62.0,1600
2019-06-03 00:00:00+05:30,61.0,61.0,61.0,61.0,800
2019-06-04 00:00:00+05:30,60.0,60.0,58.25,58.25,2400
2019-06-06 00:00:00+05:30,55.3,59.8,55.3,59.8,11200
2019-06-07 00:00:00+05:30,62.0,62.0,56.8,57.1,4000
2019-06-10 00:00:00+05:30,55.0,55.0,54.25,54.65,1600
2019-06-11 00:00:00+05:30,52.1,52.1,52.1,52.1,800
2019-06-12 00:00:00+05:30,51.0,51.0,49.5,50.75,6400
2019-06-13 00:00:00+05:30,50.0,50.0,48.4,48.5,4000
2019-06-14 00:00:00+05:30,46.2,46.2,46.05,46.05,1600
2019-06-17 00:00:00+05:30,43.8,44.0,43.75,43.8,5600
2019-06-18 00:00:00+05:30,46.0,46.0,43.0,43.0,3200
2019-06-19 00:00:00+05:30,45.0,45.15,43.0,43.0,5600
2019-06-20 00:00:00+05:30,45.15,45.15,44.2,44.2,41600
2019-06-21 00:00:00+05:30,46.4,46.4,46.4,46.4,800
2019-06-27 00:00:00+05:30,48.7,48.7,48.7,48.7,800
