date,open,high,low,close,volume
2019-02-21 00:00:00+05:30,21.65,21.65,21.65,21.65,3000
2019-02-22 00:00:00+05:30,21.0,21.0,21.0,21.0,6000
2019-02-25 00:00:00+05:30,21.55,21.55,21.55,21.55,3000
2019-02-26 00:00:00+05:30,21.5,21.5,21.5,21.5,3000
2019-03-01 00:00:00+05:30,21.55,21.55,21.55,21.55,3000
2019-03-05 00:00:00+05:30,21.6,23.7,21.6,23.7,12000
2019-03-06 00:00:00+05:30,23.05,26.0,23.05,26.0,15000
2019-03-07 00:00:00+05:30,23.55,24.0,23.55,23.85,12000
2019-03-11 00:00:00+05:30,24.5,24.5,24.5,24.5,3000
2019-03-12 00:00:00+05:30,25.0,25.0,25.0,25.0,3000
2019-03-18 00:00:00+05:30,24.3,24.3,23.5,23.5,9000
2019-03-19 00:00:00+05:30,23.05,23.05,23.05,23.05,3000
2019-03-20 00:00:00+05:30,21.0,22.75,21.0,22.75,12000
2019-03-22 00:00:00+05:30,24.0,24.0,22.75,22.75,6000
2019-03-25 00:00:00+05:30,20.6,22.0,20.6,21.75,18000
2019-03-26 00:00:00+05:30,24.0,24.0,20.7,21.1,15000
2019-03-27 00:00:00+05:30,22.0,22.5,22.0,22.0,27000
2019-03-28 00:00:00+05:30,22.0,22.0,22.0,22.0,24000
2019-03-29 00:00:00+05:30,23.0,25.95,22.75,24.75,144000
2019-04-01 00:00:00+05:30,23.5,23.5,23.1,23.1,6000
2019-04-02 00:00:00+05:30,22.65,22.65,22.65,22.65,3000
2019-04-04 00:00:00+05:30,22.25,22.25,22.25,22.25,3000
2019-04-08 00:00:00+05:30,22.25,22.25,22.25,22.25,3000
2019-04-09 00:00:00+05:30,23.9,23.9,23.9,23.9,3000
2019-04-10 00:00:00+05:30,21.0,23.1,21.0,22.75,9000
2019-04-11 00:00:00+05:30,23.0,23.0,23.0,23.0,3000
2019-04-18 00:00:00+05:30,22.8,23.1,22.5,23.1,9000
2019-04-22 00:00:00+05:30,23.65,23.65,23.05,23.05,6000
2019-04-23 00:00:00+05:30,23.25,23.25,23.25,23.25,3000
2019-04-25 00:00:00+05:30,22.5,22.5,22.5,22.5,3000
