date,open,high,low,close,volume
2019-02-21 00:00:00+05:30,76.45,79.0,75.0,78.0,8400
2019-02-25 00:00:00+05:30,81.9,81.9,81.9,81.9,1200
2019-02-26 00:00:00+05:30,81.9,84.8,80.2,82.5,12000
2019-02-27 00:00:00+05:30,86.05,86.05,80.1,83.75,4800
2019-02-28 00:00:00+05:30,83.5,83.5,83.5,83.5,1200
2019-03-01 00:00:00+05:30,81.0,84.0,81.0,84.0,4800
2019-03-05 00:00:00+05:30,80.0,80.0,79.75,79.9,3600
2019-03-06 00:00:00+05:30,83.25,83.25,77.0,77.1,4800
2019-03-07 00:00:00+05:30,80.5,80.5,80.5,80.5,1200
2019-03-08 00:00:00+05:30,83.9,83.9,83.9,83.9,1200
2019-03-11 00:00:00+05:30,79.2,81.25,79.2,81.25,2400
2019-03-12 00:00:00+05:30,84.0,84.9,84.0,84.0,3600
2019-03-13 00:00:00+05:30,87.5,93.0,84.05,90.0,13200
2019-03-14 00:00:00+05:30,94.25,99.9,88.1,98.7,12000
2019-03-15 00:00:00+05:30,93.0,93.0,93.0,93.0,1200
2019-03-18 00:00:00+05:30,98.2,98.2,88.0,91.0,13200
2019-03-20 00:00:00+05:30,90.0,90.0,88.0,88.0,8400
2019-03-22 00:00:00+05:30,87.95,88.0,86.0,86.0,3600
2019-03-25 00:00:00+05:30,89.85,93.95,89.0,91.5,7200
2019-03-26 00:00:00+05:30,88.0,88.0,88.0,88.0,2400
2019-03-27 00:00:00+05:30,89.0,94.0,89.0,94.0,4800
2019-03-28 00:00:00+05:30,91.0,99.0,91.0,97.8,7200
2019-03-29 00:00:00+05:30,99.0,101.0,95.0,98.65,18000
2019-04-01 00:00:00+05:30,94.15,97.15,90.0,90.0,8400
2019-04-04 00:00:00+05:30,87.1,94.5,87.1,94.5,2400
2019-04-05 00:00:00+05:30,92.0,92.0,92.0,92.0,2400
2019-04-08 00:00:00+05:30,90.6,90.6,90.2,90.2,2400
2019-04-09 00:00:00+05:30,92.0,98.0,92.0,97.95,7200
2019-04-10 00:00:00+05:30,99.0,99.0,95.0,96.75,7200
2019-04-11 00:00:00+05:30,97.9,115.0,95.0,114.4,60000
2019-04-12 00:00:00+05:30,108.1,117.45,108.1,117.25,12000
2019-04-15 00:00:00+05:30,112.5,115.8,112.5,115.65,18000
