date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,89.25,89.85,87.6,88.15,232952
2019-01-02 00:00:00+05:30,86.8,87.7,85.75,86.4,119801
2019-01-03 00:00:00+05:30,86.25,87.05,84.7,85.25,63175
2019-01-04 00:00:00+05:30,85.2,86.55,84.1,85.45,68156
2019-01-07 00:00:00+05:30,86.15,86.5,85.1,85.25,34428
2019-01-08 00:00:00+05:30,85.6,85.75,84.7,85.3,37539
2019-01-09 00:00:00+05:30,85.7,86.3,84.55,85.0,63978
2019-01-10 00:00:00+05:30,85.25,86.0,84.0,84.25,57166
2019-01-11 00:00:00+05:30,86.5,87.5,84.5,84.9,452980
2019-01-14 00:00:00+05:30,85.0,85.0,83.65,83.85,44431
2019-01-15 00:00:00+05:30,84.3,84.3,83.65,83.85,41977
2019-01-16 00:00:00+05:30,84.0,84.5,83.25,83.6,47356
2019-01-17 00:00:00+05:30,83.95,84.55,83.25,83.65,35413
2019-01-18 00:00:00+05:30,83.6,83.6,82.3,82.55,31485
2019-01-21 00:00:00+05:30,82.0,82.8,80.75,81.05,40286
2019-01-22 00:00:00+05:30,81.5,81.5,79.0,79.25,42910
2019-01-23 00:00:00+05:30,79.35,79.95,76.8,77.7,52458
2019-01-24 00:00:00+05:30,79.3,80.95,77.9,79.15,163328
2019-01-25 00:00:00+05:30,78.9,78.9,77.1,77.65,50438
2019-01-28 00:00:00+05:30,77.3,77.5,75.1,75.25,53339
2019-01-29 00:00:00+05:30,74.7,77.5,74.0,75.8,62900
2019-01-30 00:00:00+05:30,75.95,77.5,75.65,76.3,45304
2019-01-31 00:00:00+05:30,76.4,79.9,75.8,77.25,90646
2019-02-01 00:00:00+05:30,77.8,78.25,73.85,75.05,94476
2019-02-04 00:00:00+05:30,75.0,75.25,73.25,73.6,35458
2019-02-05 00:00:00+05:30,72.2,73.7,70.55,71.15,49036
2019-02-06 00:00:00+05:30,71.35,71.7,68.5,69.3,47853
2019-02-07 00:00:00+05:30,69.15,71.25,69.15,70.45,33520
2019-02-08 00:00:00+05:30,70.15,71.95,70.0,70.4,43139
2019-02-11 00:00:00+05:30,70.6,71.0,61.1,64.45,510884
2019-02-12 00:00:00+05:30,63.0,64.55,61.6,63.05,79533
2019-02-13 00:00:00+05:30,64.0,64.5,62.6,63.9,40373
2019-02-14 00:00:00+05:30,64.05,64.8,62.35,64.55,28036
2019-02-15 00:00:00+05:30,64.95,64.95,62.25,62.65,28207
