date,open,high,low,close,volume
2019-02-21 00:00:00+05:30,47.8,47.8,47.8,47.8,1500
2019-03-07 00:00:00+05:30,50.15,50.15,50.15,50.15,1500
2019-03-12 00:00:00+05:30,52.65,52.65,52.65,52.65,1500
2019-03-13 00:00:00+05:30,52.65,52.65,52.65,52.65,24000
2019-03-15 00:00:00+05:30,55.0,55.0,52.65,52.65,3000
2019-03-18 00:00:00+05:30,50.05,50.05,50.05,50.05,1500
2019-03-19 00:00:00+05:30,47.55,48.55,47.55,48.55,3000
2019-03-20 00:00:00+05:30,46.15,46.15,46.15,46.15,1500
2019-03-22 00:00:00+05:30,43.85,46.5,43.85,46.5,3000
2019-03-25 00:00:00+05:30,45.15,48.8,44.2,44.2,7500
2019-03-26 00:00:00+05:30,42.1,42.1,42.1,42.1,1500
2019-03-28 00:00:00+05:30,43.0,43.0,41.5,42.0,15000
2019-03-29 00:00:00+05:30,43.0,43.0,43.0,43.0,1500
2019-04-03 00:00:00+05:30,40.9,40.9,40.9,40.9,1500
2019-04-04 00:00:00+05:30,41.25,41.5,41.25,41.35,3000
2019-04-08 00:00:00+05:30,39.3,39.3,39.3,39.3,1500
2019-04-09 00:00:00+05:30,37.35,39.35,37.35,39.35,3000
2019-04-10 00:00:00+05:30,41.3,41.3,41.3,41.3,1500
2019-04-24 00:00:00+05:30,41.5,41.5,41.5,41.5,15000
2019-04-25 00:00:00+05:30,40.5,40.5,40.5,40.5,1500
2019-04-30 00:00:00+05:30,40.5,40.5,40.25,40.25,3000
2019-05-03 00:00:00+05:30,38.25,38.25,38.25,38.25,1500
2019-05-06 00:00:00+05:30,37.5,37.5,36.35,36.35,3000
2019-05-13 00:00:00+05:30,34.6,34.6,34.6,34.6,1500
2019-05-15 00:00:00+05:30,32.95,32.95,32.9,32.9,3000
2019-05-22 00:00:00+05:30,31.3,31.3,31.3,31.3,1500
2019-05-23 00:00:00+05:30,30.0,30.0,30.0,30.0,1500
2019-05-24 00:00:00+05:30,31.5,31.5,31.5,31.5,1500
2019-05-27 00:00:00+05:30,30.0,30.0,30.0,30.0,1500
2019-05-28 00:00:00+05:30,31.5,31.5,31.5,31.5,1500
2019-05-31 00:00:00+05:30,30.0,30.0,30.0,30.0,1500
2019-06-03 00:00:00+05:30,30.0,30.0,30.0,30.0,3000
2019-06-04 00:00:00+05:30,31.25,31.25,30.0,30.0,4500
2019-06-06 00:00:00+05:30,28.6,28.6,28.6,28.6,3000
2019-06-10 00:00:00+05:30,27.25,27.25,27.25,27.25,1500
2019-06-11 00:00:00+05:30,28.1,28.1,26.05,26.05,3000
2019-06-12 00:00:00+05:30,27.35,27.35,27.3,27.3,4500
2019-06-19 00:00:00+05:30,27.5,27.5,27.5,27.5,1500
2019-06-25 00:00:00+05:30,28.5,28.85,28.5,28.65,3000
2019-06-26 00:00:00+05:30,30.05,30.05,30.05,30.05,1500
2019-07-08 00:00:00+05:30,28.9,28.9,28.55,28.55,3000
2019-07-11 00:00:00+05:30,29.95,29.95,29.95,29.95,1500
2019-07-12 00:00:00+05:30,31.4,31.4,31.4,31.4,1500
2019-07-19 00:00:00+05:30,30.0,30.0,30.0,30.0,6000
2019-07-26 00:00:00+05:30,28.5,28.5,28.5,28.5,1500
2019-07-29 00:00:00+05:30,27.6,27.6,27.6,27.6,1500
2019-07-31 00:00:00+05:30,26.25,26.25,26.25,26.25,1500
2019-08-01 00:00:00+05:30,24.95,25.1,24.95,25.1,3000
2019-08-29 00:00:00+05:30,24.0,24.0,24.0,24.0,1500
2019-08-30 00:00:00+05:30,25.2,25.2,25.2,25.2,3000
2019-09-23 00:00:00+05:30,23.95,23.95,23.95,23.95,6000
2019-09-26 00:00:00+05:30,25.1,25.1,25.1,25.1,4500
2019-10-01 00:00:00+05:30,24.0,24.0,24.0,24.0,1500
2019-10-04 00:00:00+05:30,22.8,22.8,22.8,22.8,1500
2019-10-16 00:00:00+05:30,21.9,21.9,21.9,21.9,3000
2019-10-22 00:00:00+05:30,20.85,20.85,20.85,20.85,15000
2019-10-31 00:00:00+05:30,19.85,19.85,19.85,19.85,1500
2019-11-19 00:00:00+05:30,19.9,20.0,19.9,20.0,4500
2019-11-20 00:00:00+05:30,21.0,21.0,21.0,21.0,1500
2019-11-22 00:00:00+05:30,22.05,22.05,22.05,22.05,1500
2019-11-25 00:00:00+05:30,21.0,23.15,21.0,23.15,3000
2019-11-29 00:00:00+05:30,23.4,23.4,23.4,23.4,3000
2019-12-05 00:00:00+05:30,22.3,22.3,22.3,22.3,1500
2020-02-11 00:00:00+05:30,22.5,22.5,22.5,22.5,1500
2020-02-12 00:00:00+05:30,23.6,23.6,23.6,23.6,1500
2020-02-14 00:00:00+05:30,24.75,24.75,24.75,24.75,1500
2020-06-01 00:00:00+05:30,23.55,24.0,23.55,24.0,345000
2020-06-23 00:00:00+05:30,22.8,22.8,22.8,22.8,4500
2020-06-24 00:00:00+05:30,21.7,21.7,21.7,21.7,3000
2020-07-07 00:00:00+05:30,20.65,20.65,20.65,20.65,1500
2020-07-08 00:00:00+05:30,19.65,19.65,19.65,19.65,1500
2020-07-13 00:00:00+05:30,20.0,20.0,20.0,20.0,1500
2020-07-20 00:00:00+05:30,21.0,21.0,21.0,21.0,3000
2020-07-24 00:00:00+05:30,21.0,21.0,21.0,21.0,1500
2020-07-31 00:00:00+05:30,21.0,21.0,21.0,21.0,12000
2020-08-14 00:00:00+05:30,21.0,21.0,21.0,21.0,3000
2020-08-19 00:00:00+05:30,22.0,22.0,22.0,22.0,1500
2020-09-10 00:00:00+05:30,22.0,22.0,22.0,22.0,3000
