date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,36.8,42.35,34.55,41.55,2820559
2019-01-02 00:00:00+05:30,41.7,49.4,40.7,49.1,4381356
2019-01-03 00:00:00+05:30,50.1,51.6,45.65,46.45,2658354
2019-01-04 00:00:00+05:30,47.0,47.55,44.7,46.4,551957
2019-01-07 00:00:00+05:30,47.1,48.45,47.05,47.4,454914
2019-01-08 00:00:00+05:30,48.3,48.5,46.65,47.05,281937
2019-01-09 00:00:00+05:30,47.75,48.1,44.7,45.3,339102
2019-01-10 00:00:00+05:30,45.3,47.8,45.15,45.8,181044
2019-01-11 00:00:00+05:30,46.5,49.05,45.9,47.95,805919
2019-01-14 00:00:00+05:30,48.5,49.1,45.0,47.65,424366
2019-01-15 00:00:00+05:30,48.0,48.0,45.3,45.7,440894
2019-01-16 00:00:00+05:30,46.15,47.0,44.4,44.95,168823
2019-02-21 00:00:00+05:30,39.0,39.5,37.15,38.7,15252
2019-02-22 00:00:00+05:30,38.0,39.0,37.0,37.5,40608
2019-02-25 00:00:00+05:30,37.5,38.95,35.7,37.5,27858
2019-02-26 00:00:00+05:30,37.5,38.9,36.3,37.1,55238
2019-02-27 00:00:00+05:30,37.4,37.9,36.0,36.05,29647
2019-02-28 00:00:00+05:30,37.4,37.4,35.8,36.05,23404
2019-03-01 00:00:00+05:30,36.8,37.5,36.1,37.0,29848
2019-03-05 00:00:00+05:30,36.0,38.1,36.0,37.8,43558
2019-03-06 00:00:00+05:30,38.1,39.0,38.0,38.45,42579
2019-03-07 00:00:00+05:30,38.45,39.0,37.5,38.55,21654
2019-03-08 00:00:00+05:30,39.15,39.15,37.5,37.75,21606
2019-03-11 00:00:00+05:30,37.75,39.0,37.0,37.05,53905
2019-03-12 00:00:00+05:30,37.5,38.5,37.0,37.65,39205
2019-03-13 00:00:00+05:30,37.5,38.0,37.5,37.6,19594
2019-03-14 00:00:00+05:30,37.6,38.25,36.3,36.7,31067
2019-03-15 00:00:00+05:30,38.0,38.0,35.5,36.5,25079
2019-03-18 00:00:00+05:30,34.9,37.25,34.9,36.75,22665
2019-03-19 00:00:00+05:30,35.9,38.0,35.9,37.55,64013
2019-03-20 00:00:00+05:30,38.0,39.4,37.25,39.4,67699
2019-03-22 00:00:00+05:30,40.0,41.35,39.0,40.0,402344
2019-03-25 00:00:00+05:30,41.0,41.05,38.1,39.3,224771
2019-03-26 00:00:00+05:30,38.5,40.9,38.5,39.8,43581
2019-03-27 00:00:00+05:30,39.95,39.95,38.05,38.6,128891
2019-03-28 00:00:00+05:30,38.0,39.95,36.7,39.4,56056
2019-03-29 00:00:00+05:30,40.0,40.5,39.0,39.95,83594
2019-04-01 00:00:00+05:30,40.4,41.9,40.4,41.6,118246
2019-04-02 00:00:00+05:30,43.65,43.65,41.65,42.5,577945
2019-04-03 00:00:00+05:30,42.5,44.6,42.25,44.6,1152894
2019-04-04 00:00:00+05:30,45.5,45.75,44.3,45.3,285117
2019-04-05 00:00:00+05:30,46.0,48.0,45.5,47.25,461448
2019-04-08 00:00:00+05:30,48.4,48.8,46.25,46.65,256393
2019-04-09 00:00:00+05:30,46.25,47.0,45.0,46.45,177692
2019-04-10 00:00:00+05:30,46.5,46.85,45.7,45.9,173323
2019-04-11 00:00:00+05:30,45.75,46.25,44.8,45.8,91007
2019-04-12 00:00:00+05:30,45.55,46.15,44.05,44.75,76837
2019-04-15 00:00:00+05:30,45.6,46.0,44.6,45.25,106522
2019-04-16 00:00:00+05:30,44.7,46.6,44.7,45.7,382230
2019-04-18 00:00:00+05:30,45.7,46.0,43.1,44.4,258365
2019-04-22 00:00:00+05:30,43.7,44.65,43.2,43.4,312702
2019-04-23 00:00:00+05:30,43.4,45.5,42.35,44.05,565412
2019-04-24 00:00:00+05:30,44.85,46.25,44.1,45.0,348513
2019-04-25 00:00:00+05:30,45.8,47.2,45.45,45.8,722868
2019-04-26 00:00:00+05:30,45.7,46.35,44.3,44.8,340491
2019-04-30 00:00:00+05:30,44.85,45.0,42.55,43.35,253148
2019-05-02 00:00:00+05:30,43.75,45.95,43.0,44.95,234876
2019-05-03 00:00:00+05:30,45.2,45.7,43.75,44.55,338873
2019-05-06 00:00:00+05:30,44.75,46.25,44.0,44.15,1128843
2019-05-07 00:00:00+05:30,45.3,45.3,39.75,40.25,761609
2019-05-08 00:00:00+05:30,39.9,41.7,37.55,40.55,853297
2019-05-09 00:00:00+05:30,40.1,40.35,36.5,37.1,1876310
2019-05-10 00:00:00+05:30,37.9,37.9,33.4,33.5,1148301
2019-05-13 00:00:00+05:30,33.75,34.0,31.85,31.9,882813
2019-05-14 00:00:00+05:30,31.9,33.45,31.8,33.45,426898
2019-05-15 00:00:00+05:30,34.0,35.1,34.0,35.05,415472
2019-05-16 00:00:00+05:30,36.4,36.8,33.3,36.65,1097927
2019-05-17 00:00:00+05:30,36.05,37.6,34.85,35.05,207907
2019-05-20 00:00:00+05:30,35.8,36.8,34.1,36.5,360337
2019-05-21 00:00:00+05:30,37.5,37.5,34.7,34.75,112335
2019-05-22 00:00:00+05:30,34.75,35.85,34.5,34.95,611825
2019-05-23 00:00:00+05:30,35.8,35.95,34.65,34.85,199779
2019-05-24 00:00:00+05:30,35.8,36.0,33.2,33.8,316886
2019-05-27 00:00:00+05:30,34.9,35.3,34.6,34.95,245356
2019-05-28 00:00:00+05:30,35.85,36.0,34.65,35.1,391399
2019-05-29 00:00:00+05:30,36.3,36.3,34.3,34.85,962376
2019-05-30 00:00:00+05:30,35.5,36.15,34.9,34.95,398035
2019-05-31 00:00:00+05:30,34.85,35.55,34.35,34.55,219002
2019-06-03 00:00:00+05:30,35.0,35.0,33.0,33.35,168094
2019-06-04 00:00:00+05:30,33.7,35.0,32.1,34.2,547603
2019-06-06 00:00:00+05:30,35.0,35.4,33.0,33.5,256940
2019-06-07 00:00:00+05:30,33.1,33.3,31.85,31.85,378871
2019-06-10 00:00:00+05:30,31.25,33.5,28.7,28.95,534675
2019-06-11 00:00:00+05:30,27.25,29.95,26.1,27.9,1420309
2019-06-12 00:00:00+05:30,27.5,30.65,27.5,28.55,790191
2019-06-13 00:00:00+05:30,29.0,31.1,28.4,28.8,607105
2019-06-14 00:00:00+05:30,28.85,30.55,28.05,29.45,1010659
2019-06-17 00:00:00+05:30,30.4,30.4,26.55,26.9,592115
2019-06-18 00:00:00+05:30,27.8,28.1,24.25,24.25,1072975
2019-06-19 00:00:00+05:30,23.1,26.65,23.1,24.3,950701
2019-06-20 00:00:00+05:30,24.05,25.25,22.15,25.1,737275
2019-06-21 00:00:00+05:30,25.05,26.0,24.1,25.15,725097
2019-06-24 00:00:00+05:30,25.25,27.65,25.2,27.6,646269
2019-06-25 00:00:00+05:30,28.3,29.0,26.1,28.6,308231
2019-06-26 00:00:00+05:30,28.6,29.0,27.5,28.6,688998
2019-06-27 00:00:00+05:30,28.9,29.5,27.25,28.6,435107
2019-06-28 00:00:00+05:30,28.9,29.3,27.1,27.75,465051
2019-07-01 00:00:00+05:30,28.0,29.3,26.25,27.65,543008
2019-07-02 00:00:00+05:30,27.5,27.5,24.9,24.9,287299
2019-07-03 00:00:00+05:30,24.0,27.15,23.8,26.85,534872
2019-07-04 00:00:00+05:30,26.05,28.2,25.6,27.45,403080
2019-07-05 00:00:00+05:30,28.4,28.4,26.3,26.7,68928
2019-07-08 00:00:00+05:30,27.5,27.5,24.5,24.95,143498
2019-07-09 00:00:00+05:30,26.0,26.0,24.1,24.75,143876
2019-07-10 00:00:00+05:30,24.5,25.4,23.8,24.1,506901
2019-07-11 00:00:00+05:30,24.3,25.2,24.1,25.0,477141
2019-07-12 00:00:00+05:30,25.0,25.65,24.5,24.85,297774
2019-07-15 00:00:00+05:30,24.85,25.7,24.2,25.15,270274
2019-07-16 00:00:00+05:30,26.25,26.5,24.55,25.05,167970
2019-07-17 00:00:00+05:30,25.05,25.05,23.9,24.15,222357
2019-07-18 00:00:00+05:30,25.5,25.5,23.6,23.85,98960
2019-07-19 00:00:00+05:30,23.85,24.3,23.1,23.75,54404
2019-07-22 00:00:00+05:30,24.3,24.95,21.4,21.4,403955
2019-07-23 00:00:00+05:30,19.3,19.3,19.3,19.3,76078
2019-07-24 00:00:00+05:30,18.35,18.35,18.35,18.35,156116
2019-07-25 00:00:00+05:30,17.45,17.45,17.45,17.45,22990
2019-07-26 00:00:00+05:30,16.6,16.6,16.6,16.6,123820
2019-07-29 00:00:00+05:30,15.8,16.85,15.8,16.35,4864286
2019-07-30 00:00:00+05:30,15.8,17.15,15.55,17.15,427769
2019-07-31 00:00:00+05:30,17.1,18.0,16.35,16.8,388018
2019-08-01 00:00:00+05:30,16.7,17.55,16.25,17.0,160285
2019-08-02 00:00:00+05:30,17.0,17.25,16.2,16.7,159902
2019-08-05 00:00:00+05:30,16.6,17.3,16.2,16.65,216190
2019-08-06 00:00:00+05:30,17.1,17.1,16.05,16.3,100326
2019-08-07 00:00:00+05:30,15.75,16.95,15.75,16.5,202086
2019-08-08 00:00:00+05:30,16.5,16.9,15.85,16.0,154431
2019-08-09 00:00:00+05:30,16.5,16.5,15.7,16.05,99722
2019-08-13 00:00:00+05:30,16.2,16.8,15.8,16.5,205228
2019-08-14 00:00:00+05:30,16.55,17.3,16.55,17.3,148105
2019-08-16 00:00:00+05:30,18.1,18.15,17.35,18.05,211030
2019-08-19 00:00:00+05:30,18.35,18.8,18.1,18.4,156193
2019-08-20 00:00:00+05:30,18.4,18.45,17.5,17.95,98941
2019-08-21 00:00:00+05:30,18.0,18.0,17.1,17.3,97484
2019-08-22 00:00:00+05:30,17.55,18.15,16.65,17.1,153146
2019-08-23 00:00:00+05:30,17.9,17.9,16.25,16.25,251239
2019-08-26 00:00:00+05:30,16.75,16.9,15.45,15.45,360851
2019-08-27 00:00:00+05:30,15.4,15.4,14.7,14.7,245993
2019-08-28 00:00:00+05:30,15.1,15.4,14.0,15.4,358591
2019-08-29 00:00:00+05:30,15.9,16.1,15.4,15.6,135580
2019-08-30 00:00:00+05:30,15.65,16.0,14.85,15.0,321008
2019-09-03 00:00:00+05:30,15.05,15.2,14.35,14.7,85724
2019-09-04 00:00:00+05:30,14.75,15.0,14.15,14.25,119987
2019-09-05 00:00:00+05:30,14.35,14.95,13.75,14.95,381673
2019-09-06 00:00:00+05:30,15.5,15.65,15.3,15.65,138854
2019-09-09 00:00:00+05:30,15.85,16.4,14.9,15.8,293624
2019-09-11 00:00:00+05:30,15.85,16.3,15.15,16.2,481038
2019-09-12 00:00:00+05:30,16.75,16.8,16.3,16.7,234892
2019-09-13 00:00:00+05:30,17.1,17.25,16.8,17.05,375468
2019-09-16 00:00:00+05:30,17.6,17.6,16.95,17.15,259466
2019-09-17 00:00:00+05:30,17.55,18.0,17.45,18.0,284961
2019-09-18 00:00:00+05:30,18.5,18.9,18.35,18.7,383461
2019-09-19 00:00:00+05:30,19.45,19.45,18.7,19.05,370774
2019-09-20 00:00:00+05:30,19.85,20.0,19.1,20.0,435281
2019-09-23 00:00:00+05:30,19.8,21.0,19.8,21.0,418237
2019-09-24 00:00:00+05:30,21.3,22.05,21.3,22.05,524435
2019-09-25 00:00:00+05:30,22.45,23.15,22.4,23.05,633170
2019-09-26 00:00:00+05:30,23.45,24.2,23.1,24.2,635355
2019-09-27 00:00:00+05:30,24.5,25.1,24.35,24.45,396525
2019-09-30 00:00:00+05:30,25.0,25.4,23.25,24.45,430113
2019-10-01 00:00:00+05:30,23.25,24.9,23.25,23.25,571656
2019-10-03 00:00:00+05:30,22.1,22.2,22.1,22.1,113787
2019-10-04 00:00:00+05:30,21.0,21.0,21.0,21.0,253624
2019-10-07 00:00:00+05:30,20.05,22.05,19.95,19.95,282082
2019-10-09 00:00:00+05:30,19.95,20.5,19.0,19.0,76010
2019-10-10 00:00:00+05:30,18.1,18.1,18.05,18.05,18546
2019-10-11 00:00:00+05:30,17.15,17.15,17.15,17.15,20655
2019-10-14 00:00:00+05:30,16.3,18.0,16.3,16.3,463006
2019-10-15 00:00:00+05:30,16.8,16.8,15.5,15.75,135248
2019-10-16 00:00:00+05:30,16.3,16.45,15.1,15.65,277052
2019-10-17 00:00:00+05:30,16.1,16.25,14.9,15.25,353226
2019-10-18 00:00:00+05:30,15.5,16.0,15.3,15.95,174666
2019-10-22 00:00:00+05:30,16.25,16.7,16.1,16.6,435627
2019-10-23 00:00:00+05:30,17.0,17.4,16.85,17.35,484107
2019-10-24 00:00:00+05:30,17.85,17.85,16.5,16.5,189699
2019-10-25 00:00:00+05:30,15.75,16.0,15.7,15.7,65171
2019-10-27 00:00:00+05:30,15.5,16.0,15.0,15.4,49556
2019-10-29 00:00:00+05:30,15.4,15.95,15.0,15.25,111864
2019-10-30 00:00:00+05:30,15.05,16.0,14.75,15.65,131303
2019-10-31 00:00:00+05:30,16.0,16.4,15.35,16.35,109500
2019-11-01 00:00:00+05:30,16.45,17.15,16.1,16.9,66390
2019-11-04 00:00:00+05:30,16.9,17.7,16.3,17.55,225329
2019-11-05 00:00:00+05:30,17.85,18.1,17.5,17.85,88417
2019-11-06 00:00:00+05:30,17.65,18.2,17.4,17.5,76228
2019-11-07 00:00:00+05:30,17.15,17.9,16.8,17.5,48860
2019-11-08 00:00:00+05:30,18.15,18.15,17.0,17.4,50919
2019-11-11 00:00:00+05:30,17.75,17.75,16.75,16.95,56140
2019-11-13 00:00:00+05:30,17.0,17.3,16.5,16.8,43387
2019-11-14 00:00:00+05:30,16.25,17.0,16.25,16.75,177573
2019-11-15 00:00:00+05:30,17.1,17.1,15.95,15.95,103203
2019-11-18 00:00:00+05:30,15.9,15.9,15.2,15.25,103367
2019-11-19 00:00:00+05:30,15.85,15.85,14.55,15.35,81803
2019-11-20 00:00:00+05:30,15.5,16.1,15.0,16.1,101978
2019-11-21 00:00:00+05:30,16.55,16.9,15.8,16.1,89916
2019-11-22 00:00:00+05:30,16.0,16.5,15.35,15.35,96213
2019-11-25 00:00:00+05:30,15.3,15.8,15.0,15.35,174361
2019-11-26 00:00:00+05:30,15.7,16.1,15.2,15.55,77500
2019-11-27 00:00:00+05:30,15.75,15.8,15.15,15.2,36235
2019-11-28 00:00:00+05:30,15.2,15.4,14.6,15.05,36131
2019-11-29 00:00:00+05:30,14.75,15.65,14.7,15.1,56178
2019-12-02 00:00:00+05:30,15.15,15.4,14.9,15.1,38903
2019-12-03 00:00:00+05:30,15.0,15.2,14.65,14.95,34549
2019-12-04 00:00:00+05:30,14.6,15.0,14.6,14.95,155323
2019-12-05 00:00:00+05:30,15.35,15.65,14.6,15.65,66052
2019-12-06 00:00:00+05:30,16.7,17.2,15.7,17.2,175119
2019-12-09 00:00:00+05:30,18.5,18.9,17.4,18.25,308469
2019-12-10 00:00:00+05:30,18.95,19.2,17.4,18.4,239667
2019-12-11 00:00:00+05:30,18.05,18.35,16.6,16.6,108145
2019-12-12 00:00:00+05:30,16.5,16.7,15.3,16.05,26161
2019-12-13 00:00:00+05:30,16.0,16.5,15.5,16.1,77759
2019-12-16 00:00:00+05:30,16.95,17.5,15.5,15.7,95233
2019-12-17 00:00:00+05:30,15.8,17.25,15.8,17.25,165407
2019-12-18 00:00:00+05:30,17.75,18.1,16.7,17.25,232842
2019-12-19 00:00:00+05:30,17.0,17.8,16.75,16.95,45661
2019-12-20 00:00:00+05:30,16.75,17.8,16.75,17.6,24838
2019-12-23 00:00:00+05:30,17.6,18.2,17.35,17.6,75597
2019-12-24 00:00:00+05:30,17.4,18.0,17.1,17.6,131997
