date,open,high,low,close,volume
2019-02-21 00:00:00+05:30,19.45,19.45,19.45,19.45,1000
2019-02-22 00:00:00+05:30,20.0,20.0,20.0,20.0,1000
2019-02-25 00:00:00+05:30,20.5,20.9,20.5,20.9,12000
2019-02-26 00:00:00+05:30,20.5,21.5,20.5,21.5,6000
2019-02-27 00:00:00+05:30,21.5,21.5,21.5,21.5,1000
2019-02-28 00:00:00+05:30,22.0,22.4,21.4,21.4,17000
2019-03-05 00:00:00+05:30,20.55,21.8,20.55,21.8,2000
2019-03-06 00:00:00+05:30,22.0,22.85,22.0,22.85,10000
2019-03-07 00:00:00+05:30,22.1,23.95,22.1,23.95,8000
2019-03-08 00:00:00+05:30,25.1,25.1,25.1,25.1,4000
2019-03-11 00:00:00+05:30,26.35,26.35,26.35,26.35,3000
2019-03-12 00:00:00+05:30,27.65,27.65,27.65,27.65,4000
2019-03-13 00:00:00+05:30,29.0,29.0,29.0,29.0,2000
2019-03-14 00:00:00+05:30,30.45,30.45,30.45,30.45,25000
2019-03-15 00:00:00+05:30,31.95,31.95,31.95,31.95,2000
2019-03-18 00:00:00+05:30,33.5,33.5,33.5,33.5,1000
2019-03-19 00:00:00+05:30,35.15,35.15,35.15,35.15,2000
2019-03-20 00:00:00+05:30,36.9,36.9,36.9,36.9,17000
2019-03-22 00:00:00+05:30,38.0,38.7,35.2,38.4,46000
2019-03-25 00:00:00+05:30,36.55,38.0,36.55,36.65,10000
2019-03-26 00:00:00+05:30,37.85,37.85,37.4,37.45,3000
2019-03-27 00:00:00+05:30,37.6,37.9,35.6,35.6,10000
2019-03-28 00:00:00+05:30,36.55,37.35,36.55,37.15,34000
2019-04-02 00:00:00+05:30,37.15,37.25,37.15,37.25,20000
2019-04-03 00:00:00+05:30,35.4,35.4,35.4,35.4,1000
2019-04-04 00:00:00+05:30,34.1,34.1,34.0,34.0,2000
2019-04-15 00:00:00+05:30,32.3,33.0,32.3,33.0,3000
2019-04-16 00:00:00+05:30,31.4,31.4,31.35,31.35,14000
2019-04-18 00:00:00+05:30,29.8,29.8,29.8,29.8,2000
2019-04-22 00:00:00+05:30,28.35,28.35,28.35,28.35,1000
2019-04-23 00:00:00+05:30,26.95,26.95,26.95,26.95,2000
2019-04-24 00:00:00+05:30,25.65,26.0,25.65,25.65,6000
2019-04-25 00:00:00+05:30,24.4,25.5,24.4,24.4,10000
2019-04-26 00:00:00+05:30,23.3,24.0,23.2,23.2,11000
2019-05-02 00:00:00+05:30,22.1,22.1,22.05,22.05,9000
2019-05-03 00:00:00+05:30,21.0,21.0,20.95,20.95,18000
2019-05-06 00:00:00+05:30,20.5,20.5,19.95,19.95,17000
2019-05-07 00:00:00+05:30,19.2,20.9,19.0,20.35,36000
2019-05-08 00:00:00+05:30,21.35,21.35,21.35,21.35,10000
2019-05-09 00:00:00+05:30,22.4,22.4,22.4,22.4,1000
2019-05-10 00:00:00+05:30,23.5,23.5,23.5,23.5,1000
2019-05-13 00:00:00+05:30,24.65,24.65,22.35,22.8,39000
2019-05-14 00:00:00+05:30,21.9,21.9,21.9,21.9,1000
2019-05-15 00:00:00+05:30,20.9,21.0,20.85,20.95,6000
2019-05-16 00:00:00+05:30,19.95,20.5,19.95,20.5,2000
2019-05-20 00:00:00+05:30,19.75,21.5,19.55,21.5,7000
2019-05-23 00:00:00+05:30,22.5,22.55,22.5,22.55,4000
2019-05-27 00:00:00+05:30,23.65,23.65,23.65,23.65,8000
2019-05-28 00:00:00+05:30,22.5,24.75,22.5,24.7,9000
2019-05-29 00:00:00+05:30,24.0,24.0,24.0,24.0,1000
2019-05-30 00:00:00+05:30,22.8,22.8,22.8,22.8,2000
2019-05-31 00:00:00+05:30,21.7,21.7,21.7,21.7,9000
2019-06-03 00:00:00+05:30,20.65,22.5,20.65,22.5,3000
2019-06-04 00:00:00+05:30,21.4,21.5,21.4,21.4,5000
2019-06-07 00:00:00+05:30,21.6,21.6,20.45,20.45,10000
2019-06-10 00:00:00+05:30,21.4,21.4,19.5,20.55,10000
2019-06-11 00:00:00+05:30,21.4,21.55,21.4,21.55,2000
2019-06-12 00:00:00+05:30,21.55,21.55,21.55,21.55,1000
2019-06-13 00:00:00+05:30,20.7,21.0,20.7,21.0,2000
2019-06-14 00:00:00+05:30,21.9,21.9,21.9,21.9,1000
2019-06-17 00:00:00+05:30,22.95,22.95,22.5,22.5,2000
2019-06-18 00:00:00+05:30,22.65,23.6,22.65,23.6,6000
2019-06-19 00:00:00+05:30,23.0,23.0,22.5,23.0,7000
2019-06-21 00:00:00+05:30,23.0,23.0,22.5,22.5,2000
2019-06-24 00:00:00+05:30,22.5,22.5,22.5,22.5,1000
2019-06-25 00:00:00+05:30,21.5,21.5,21.4,21.45,11000
2019-06-26 00:00:00+05:30,22.5,22.5,22.5,22.5,1000
2019-06-28 00:00:00+05:30,23.0,23.0,22.5,22.5,2000
2019-07-01 00:00:00+05:30,21.4,21.4,21.4,21.4,2000
2019-07-04 00:00:00+05:30,20.55,20.55,20.35,20.35,2000
2019-07-08 00:00:00+05:30,19.4,19.6,19.35,19.5,5000
2019-07-09 00:00:00+05:30,20.45,20.45,20.45,20.45,1000
2019-07-10 00:00:00+05:30,20.0,20.0,19.5,20.0,3000
2019-07-15 00:00:00+05:30,19.05,19.05,19.0,19.0,3000
2019-07-17 00:00:00+05:30,18.25,18.4,18.1,18.1,3000
2019-07-22 00:00:00+05:30,17.25,17.25,17.2,17.2,3000
2019-07-23 00:00:00+05:30,18.05,18.05,18.0,18.0,3000
2019-07-26 00:00:00+05:30,17.1,17.1,17.1,17.1,2000
2019-07-29 00:00:00+05:30,16.3,17.95,16.3,16.3,5000
2019-07-30 00:00:00+05:30,15.55,15.55,15.5,15.5,6000
2019-07-31 00:00:00+05:30,14.8,14.8,14.75,14.75,3000
2019-08-01 00:00:00+05:30,14.05,14.05,14.05,14.05,3000
2019-08-02 00:00:00+05:30,13.35,13.35,13.35,13.35,2000
2019-08-05 00:00:00+05:30,12.7,12.7,12.7,12.7,1000
2019-08-06 00:00:00+05:30,12.1,12.1,12.1,12.1,2000
2019-08-07 00:00:00+05:30,11.5,11.5,11.5,11.5,1000
2019-08-09 00:00:00+05:30,10.95,10.95,10.95,10.95,1000
2019-08-13 00:00:00+05:30,10.45,10.45,10.45,10.45,2000
2019-08-14 00:00:00+05:30,9.95,9.95,9.95,9.95,2000
2019-08-16 00:00:00+05:30,9.5,9.5,9.5,9.5,2000
2019-08-20 00:00:00+05:30,9.95,9.95,9.95,9.95,2000
2019-08-21 00:00:00+05:30,10.4,10.4,10.4,10.4,2000
2019-08-22 00:00:00+05:30,10.9,10.9,10.9,10.9,1000
2019-08-23 00:00:00+05:30,11.0,11.0,10.4,10.4,5000
2019-08-28 00:00:00+05:30,9.9,9.9,9.9,9.9,1000
2019-09-06 00:00:00+05:30,10.0,10.0,10.0,10.0,1000
2019-09-11 00:00:00+05:30,10.5,10.5,10.5,10.5,3000
2019-09-12 00:00:00+05:30,11.0,11.0,11.0,11.0,1000
2019-09-13 00:00:00+05:30,11.55,11.55,11.55,11.55,1000
2019-09-16 00:00:00+05:30,12.1,12.1,12.1,12.1,1000
2019-09-17 00:00:00+05:30,12.7,12.7,12.7,12.7,1000
2019-09-18 00:00:00+05:30,13.3,13.3,13.3,13.3,2000
2019-09-19 00:00:00+05:30,13.95,13.95,13.75,13.95,6000
2019-09-23 00:00:00+05:30,13.3,14.5,13.3,14.0,14000
2019-09-24 00:00:00+05:30,14.65,14.7,14.65,14.7,2000
2019-09-25 00:00:00+05:30,14.5,14.5,14.5,14.5,4000
2019-09-26 00:00:00+05:30,14.5,14.5,14.5,14.5,9000
2019-09-27 00:00:00+05:30,14.5,14.5,13.8,13.8,11000
2019-09-30 00:00:00+05:30,13.8,13.8,13.8,13.8,7000
2019-10-01 00:00:00+05:30,14.0,14.0,14.0,14.0,1000
2019-10-04 00:00:00+05:30,13.3,13.3,13.3,13.3,1000
2019-10-07 00:00:00+05:30,13.3,13.3,13.3,13.3,100000
2019-10-09 00:00:00+05:30,13.4,13.4,12.65,13.0,2000
2019-10-10 00:00:00+05:30,13.5,13.5,13.5,13.5,7000
2019-10-15 00:00:00+05:30,12.85,12.85,12.85,12.85,1000
2019-10-16 00:00:00+05:30,12.25,12.25,12.25,12.25,1000
2019-10-17 00:00:00+05:30,12.8,12.85,12.8,12.85,2000
2019-10-18 00:00:00+05:30,12.25,12.25,12.25,12.25,1000
2019-10-22 00:00:00+05:30,11.65,11.65,11.65,11.65,2000
2019-11-05 00:00:00+05:30,11.1,11.1,11.1,11.1,3000
2019-11-06 00:00:00+05:30,11.6,11.6,10.55,10.55,8000
2019-11-07 00:00:00+05:30,10.75,10.95,10.05,10.05,8000
2019-11-08 00:00:00+05:30,9.55,9.6,9.55,9.55,7000
2019-11-11 00:00:00+05:30,9.1,10.0,9.1,10.0,2000
2019-11-15 00:00:00+05:30,10.25,10.25,10.25,10.25,7000
2019-11-19 00:00:00+05:30,10.75,10.75,10.5,10.5,2000
2019-11-20 00:00:00+05:30,10.0,10.0,10.0,10.0,1000
2019-11-21 00:00:00+05:30,9.5,9.5,9.5,9.5,2000
2019-11-25 00:00:00+05:30,9.1,9.1,9.1,9.1,1000
2019-11-27 00:00:00+05:30,8.7,8.7,8.65,8.65,7000
2019-11-28 00:00:00+05:30,8.5,9.05,8.5,9.05,6000
2019-11-29 00:00:00+05:30,8.7,8.7,8.6,8.7,4000
2019-12-02 00:00:00+05:30,8.3,8.3,8.3,8.3,1000
2019-12-03 00:00:00+05:30,8.7,8.7,8.7,8.7,1000
2019-12-04 00:00:00+05:30,9.1,9.1,9.1,9.1,1000
2019-12-05 00:00:00+05:30,9.55,9.55,9.55,9.55,1000
2019-12-10 00:00:00+05:30,10.0,10.0,10.0,10.0,2000
2019-12-16 00:00:00+05:30,9.5,10.5,9.5,10.5,2000
2019-12-17 00:00:00+05:30,10.0,10.0,10.0,10.0,3000
2019-12-19 00:00:00+05:30,9.5,9.5,9.5,9.5,1000
2019-12-23 00:00:00+05:30,9.5,9.5,9.5,9.5,3000
2019-12-24 00:00:00+05:30,9.6,9.6,9.6,9.6,8000
2020-01-06 00:00:00+05:30,9.15,9.15,9.15,9.15,1000
2020-01-07 00:00:00+05:30,8.7,8.7,8.7,8.7,1000
2020-01-08 00:00:00+05:30,9.1,9.1,9.1,9.1,2000
2020-01-09 00:00:00+05:30,9.0,9.0,8.7,8.7,3000
2020-01-10 00:00:00+05:30,8.9,9.1,8.9,9.1,3000
2020-01-13 00:00:00+05:30,8.8,8.8,8.65,8.75,4000
2020-01-16 00:00:00+05:30,9.15,9.15,9.15,9.15,1000
2020-01-24 00:00:00+05:30,8.75,9.0,8.7,8.7,4000
2020-01-27 00:00:00+05:30,9.1,9.1,9.1,9.1,1000
2020-02-01 00:00:00+05:30,8.65,8.65,8.65,8.65,2000
2020-02-04 00:00:00+05:30,8.3,8.3,8.3,8.3,1000
2020-02-06 00:00:00+05:30,8.7,8.7,8.7,8.7,1000
2020-02-07 00:00:00+05:30,9.1,9.1,9.1,9.1,1000
2020-02-10 00:00:00+05:30,9.55,9.55,9.0,9.0,2000
2020-02-12 00:00:00+05:30,8.6,9.0,8.6,9.0,5000
2020-02-13 00:00:00+05:30,8.55,8.55,8.55,8.55,1000
2020-02-14 00:00:00+05:30,8.9,8.9,8.9,8.9,1000
2020-02-17 00:00:00+05:30,9.25,9.25,9.25,9.25,1000
2020-02-18 00:00:00+05:30,9.6,9.6,9.6,9.6,1000
2020-02-26 00:00:00+05:30,9.15,9.15,9.15,9.15,2000
2020-03-02 00:00:00+05:30,8.7,8.7,8.7,8.7,1000
2020-03-03 00:00:00+05:30,8.3,8.35,8.3,8.35,2000
2020-03-04 00:00:00+05:30,7.95,8.05,7.95,7.95,4000
2020-03-05 00:00:00+05:30,7.6,7.6,7.6,7.6,3000
2020-03-06 00:00:00+05:30,7.25,7.3,7.25,7.3,4000
2020-03-09 00:00:00+05:30,7.1,7.1,6.95,6.95,5000
2020-03-11 00:00:00+05:30,6.7,6.8,6.65,6.65,35000
2020-03-12 00:00:00+05:30,6.35,6.35,6.35,6.35,1000
2020-03-25 00:00:00+05:30,6.05,6.05,6.05,6.05,1000
2020-03-31 00:00:00+05:30,5.75,5.75,5.75,5.75,6000
2020-04-03 00:00:00+05:30,5.5,5.5,5.5,5.5,1000
2020-04-07 00:00:00+05:30,5.25,5.25,5.25,5.25,6000
2020-04-09 00:00:00+05:30,5.0,5.0,5.0,5.0,1000
2020-04-13 00:00:00+05:30,4.75,5.25,4.75,4.75,29000
2020-04-15 00:00:00+05:30,4.6,4.95,4.55,4.9,8000
2020-04-16 00:00:00+05:30,4.9,5.1,4.9,5.1,3000
2020-04-17 00:00:00+05:30,5.2,5.35,4.85,4.85,8000
2020-04-20 00:00:00+05:30,5.05,5.05,5.05,5.05,2000
2020-04-21 00:00:00+05:30,5.3,5.3,5.05,5.3,5000
2020-04-22 00:00:00+05:30,5.55,5.55,5.55,5.55,2000
2020-04-23 00:00:00+05:30,5.55,5.8,5.55,5.8,4000
2020-04-24 00:00:00+05:30,6.0,6.05,6.0,6.05,3000
2020-04-27 00:00:00+05:30,6.35,6.35,6.35,6.35,2000
2020-04-28 00:00:00+05:30,6.65,6.65,6.65,6.65,2000
2020-04-29 00:00:00+05:30,6.95,6.95,6.95,6.95,2000
2020-04-30 00:00:00+05:30,7.25,7.25,7.25,7.25,2000
2020-05-04 00:00:00+05:30,7.6,7.6,7.6,7.6,3000
