date,open,high,low,close,volume
2019-02-25 00:00:00+05:30,2.75,2.85,2.65,2.75,5507
2019-03-05 00:00:00+05:30,2.85,2.85,2.65,2.85,5200
2019-03-11 00:00:00+05:30,2.85,2.95,2.75,2.8,159254
2019-03-18 00:00:00+05:30,2.8,2.95,2.75,2.95,20576
2019-03-25 00:00:00+05:30,2.85,3.05,2.85,3.05,12266
2019-04-01 00:00:00+05:30,3.2,3.2,3.2,3.2,990
2019-04-08 00:00:00+05:30,3.35,3.35,3.35,3.35,42199
2019-04-09 00:00:00+05:30,3.5,3.5,3.5,3.5,510
2019-04-10 00:00:00+05:30,3.65,3.65,3.65,3.65,5010
2019-04-11 00:00:00+05:30,3.8,3.8,3.8,3.8,3000
2019-04-12 00:00:00+05:30,3.95,3.95,3.95,3.95,25893
2019-04-15 00:00:00+05:30,4.1,4.1,4.1,4.1,26724
2019-04-16 00:00:00+05:30,4.25,4.3,4.1,4.1,19087
2019-04-18 00:00:00+05:30,4.25,4.25,3.9,3.95,3987
2019-04-22 00:00:00+05:30,4.05,4.05,3.8,3.85,2489
2019-04-23 00:00:00+05:30,4.0,4.0,3.75,4.0,5
2019-04-24 00:00:00+05:30,3.9,3.9,3.8,3.8,46
2019-04-25 00:00:00+05:30,3.8,3.85,3.8,3.8,3520
2019-04-26 00:00:00+05:30,3.9,3.9,3.65,3.8,3
2019-05-02 00:00:00+05:30,3.85,3.85,3.85,3.85,31
2019-05-03 00:00:00+05:30,3.75,3.75,3.7,3.7,1001
2019-05-06 00:00:00+05:30,3.55,3.55,3.55,3.55,10
2019-05-07 00:00:00+05:30,3.4,3.4,3.4,3.4,111
2019-05-08 00:00:00+05:30,3.25,3.25,3.25,3.25,74
2019-05-09 00:00:00+05:30,3.1,3.25,3.1,3.25,8423
2019-05-10 00:00:00+05:30,3.1,3.1,3.1,3.1,1010
2019-05-13 00:00:00+05:30,2.95,2.95,2.95,2.95,125
2019-05-14 00:00:00+05:30,2.85,2.85,2.85,2.85,5135
2019-05-15 00:00:00+05:30,2.8,2.95,2.75,2.75,1360
2019-05-16 00:00:00+05:30,2.8,2.8,2.65,2.65,111
