date,open,high,low,close,volume
2020-04-16 00:00:00+05:30,15.0,15.1,14.65,15.0,1744000
2020-04-17 00:00:00+05:30,15.0,15.0,15.0,15.0,1008000
2020-04-20 00:00:00+05:30,15.0,15.05,15.0,15.05,56000
2020-04-21 00:00:00+05:30,15.45,15.8,14.95,14.95,72000
2020-04-22 00:00:00+05:30,15.0,15.65,15.0,15.65,16000
2020-04-23 00:00:00+05:30,16.3,16.3,15.3,15.3,32000
2020-04-24 00:00:00+05:30,16.0,16.05,16.0,16.05,16000
2020-04-27 00:00:00+05:30,15.25,15.25,15.25,15.25,8000
2020-04-28 00:00:00+05:30,15.0,15.0,15.0,15.0,16000
2020-04-29 00:00:00+05:30,15.05,15.05,15.05,15.05,16000
2020-05-05 00:00:00+05:30,15.0,15.0,15.0,15.0,16000
2020-05-06 00:00:00+05:30,15.05,15.05,15.05,15.05,24000
2020-05-08 00:00:00+05:30,15.45,15.45,14.95,15.05,176000
2020-05-18 00:00:00+05:30,15.75,15.75,15.75,15.75,8000
2020-06-08 00:00:00+05:30,15.2,16.1,15.2,16.1,16000
2020-07-24 00:00:00+05:30,15.65,15.65,15.65,15.65,64000
2020-07-29 00:00:00+05:30,15.65,15.65,15.65,15.65,64000
2020-09-23 00:00:00+05:30,15.4,15.4,15.4,15.4,8000
2020-11-26 00:00:00+05:30,15.0,15.0,15.0,15.0,16000
2020-12-04 00:00:00+05:30,15.0,15.0,15.0,15.0,16000
2020-12-09 00:00:00+05:30,15.0,15.0,15.0,15.0,16000
2021-01-06 00:00:00+05:30,15.4,15.4,12.5,12.5,16000
2021-01-27 00:00:00+05:30,15.0,15.0,15.0,15.0,8000
2021-02-18 00:00:00+05:30,16.6,16.6,16.6,16.6,144000
2021-02-19 00:00:00+05:30,18.0,18.0,18.0,18.0,8000
2021-02-22 00:00:00+05:30,21.0,21.0,21.0,21.0,8000
2021-02-25 00:00:00+05:30,21.5,21.5,21.5,21.5,8000
2021-02-26 00:00:00+05:30,20.0,20.0,20.0,20.0,24000
2021-03-04 00:00:00+05:30,20.05,20.05,20.05,20.05,8000
2021-03-09 00:00:00+05:30,20.05,20.05,20.05,20.05,8000
2021-03-16 00:00:00+05:30,18.05,18.05,18.05,18.05,8000
2021-03-26 00:00:00+05:30,16.25,16.25,16.25,16.25,8000
2021-04-09 00:00:00+05:30,15.5,15.5,15.5,15.5,16000
2021-04-26 00:00:00+05:30,14.75,14.75,14.75,14.75,8000
2021-04-29 00:00:00+05:30,15.45,15.45,15.45,15.45,8000
2021-05-14 00:00:00+05:30,14.7,14.7,14.7,14.7,8000
2021-05-17 00:00:00+05:30,14.1,14.1,14.1,14.1,48000
2021-05-18 00:00:00+05:30,14.0,14.0,14.0,14.0,32000
2021-06-04 00:00:00+05:30,14.65,14.65,14.65,14.65,16000
2021-06-07 00:00:00+05:30,15.35,15.35,14.25,14.25,24000
2021-06-11 00:00:00+05:30,14.5,14.5,14.5,14.5,16000
2021-07-05 00:00:00+05:30,14.95,14.95,14.95,14.95,48000
2021-08-02 00:00:00+05:30,15.0,15.0,15.0,15.0,32000
2021-08-23 00:00:00+05:30,14.25,14.25,14.25,14.25,8000
2021-08-26 00:00:00+05:30,14.9,14.9,14.9,14.9,16000
2021-08-27 00:00:00+05:30,15.05,15.05,15.05,15.05,8000
2021-08-31 00:00:00+05:30,15.0,15.0,15.0,15.0,8000
2021-10-13 00:00:00+05:30,14.25,14.25,14.25,14.25,8000
2021-12-30 00:00:00+05:30,14.25,14.25,14.25,14.25,8000
2022-01-04 00:00:00+05:30,14.9,14.9,14.9,14.9,8000
2022-01-11 00:00:00+05:30,15.6,15.6,15.6,15.6,8000
2022-02-17 00:00:00+05:30,14.9,16.35,14.9,15.6,16000
2022-03-04 00:00:00+05:30,14.85,14.85,14.85,14.85,16000
2022-03-23 00:00:00+05:30,14.2,14.2,14.2,14.2,24000
2022-06-17 00:00:00+05:30,14.9,14.9,14.5,14.5,32000
2022-06-20 00:00:00+05:30,14.95,14.95,14.95,14.95,40000
2022-06-21 00:00:00+05:30,15.3,15.65,15.3,15.3,64000
2022-06-22 00:00:00+05:30,15.95,15.95,15.95,15.95,8000
2022-07-01 00:00:00+05:30,16.7,16.7,16.7,16.7,8000
2022-07-06 00:00:00+05:30,17.5,17.5,17.5,17.5,8000
2022-07-08 00:00:00+05:30,16.65,16.7,16.65,16.7,16000
2022-07-13 00:00:00+05:30,15.95,15.95,15.95,15.95,520000
2022-07-15 00:00:00+05:30,15.9,15.9,15.9,15.9,424000
2022-07-19 00:00:00+05:30,15.2,15.2,15.2,15.2,424000
2022-07-26 00:00:00+05:30,15.0,15.8,15.0,15.15,192000
2022-07-27 00:00:00+05:30,15.05,15.8,15.05,15.8,80000
2022-07-28 00:00:00+05:30,16.4,16.4,16.4,16.4,8000
