date,open,high,low,close,volume
2023-07-06 00:00:00+05:30,91.15,95.7,86.6,95.7,942000
2023-07-07 00:00:00+05:30,94.5,97.0,90.95,91.55,220000
2023-07-10 00:00:00+05:30,87.05,90.0,87.0,87.0,20000
2023-07-11 00:00:00+05:30,82.65,82.65,82.65,82.65,4000
2023-07-12 00:00:00+05:30,78.55,78.55,78.55,78.55,22000
2023-07-13 00:00:00+05:30,75.2,82.2,74.65,74.65,286000
2023-07-14 00:00:00+05:30,74.65,78.35,74.65,78.35,110000
2023-07-17 00:00:00+05:30,82.0,82.25,78.4,82.25,50000
2023-07-18 00:00:00+05:30,86.35,86.35,85.8,86.35,86000
2023-07-19 00:00:00+05:30,90.0,90.65,88.1,90.65,82000
2023-07-20 00:00:00+05:30,90.9,90.9,80.0,81.95,124000
2023-07-21 00:00:00+05:30,84.6,85.0,78.1,79.8,62000
2023-07-24 00:00:00+05:30,78.0,92.9,77.6,91.85,126000
2023-07-25 00:00:00+05:30,91.8,93.95,84.0,89.0,84000
2023-07-26 00:00:00+05:30,89.0,89.5,85.5,88.05,26000
2023-07-27 00:00:00+05:30,88.1,89.7,85.0,86.35,54000
2023-07-28 00:00:00+05:30,84.5,86.0,84.5,84.75,30000
2023-07-31 00:00:00+05:30,88.45,89.7,86.5,88.7,74000
2023-08-01 00:00:00+05:30,85.8,86.4,84.5,84.65,46000
2023-08-02 00:00:00+05:30,84.0,85.9,83.1,84.0,16000
2023-08-03 00:00:00+05:30,82.6,85.0,82.6,85.0,18000
2023-08-04 00:00:00+05:30,83.0,86.55,83.0,85.05,52000
2023-08-07 00:00:00+05:30,83.0,84.0,81.65,83.5,28000
2023-08-08 00:00:00+05:30,82.2,83.4,81.55,82.9,20000
2023-08-09 00:00:00+05:30,82.9,82.9,80.0,82.4,18000
2023-08-10 00:00:00+05:30,81.1,81.15,80.5,81.0,20000
2023-08-11 00:00:00+05:30,80.5,81.5,80.0,81.2,34000
2023-08-14 00:00:00+05:30,80.1,81.2,80.1,80.2,16000
2023-08-16 00:00:00+05:30,78.3,81.4,78.2,81.0,34000
2023-08-17 00:00:00+05:30,81.0,81.0,78.55,80.25,18000
2023-08-18 00:00:00+05:30,80.0,80.0,77.0,79.95,20000
2023-08-21 00:00:00+05:30,78.35,82.1,78.35,80.35,32000
2023-08-22 00:00:00+05:30,80.5,86.0,78.55,84.8,80000
2023-08-23 00:00:00+05:30,85.3,85.3,83.3,84.0,10000
2023-08-24 00:00:00+05:30,82.8,84.0,82.8,83.3,16000
2023-08-25 00:00:00+05:30,82.3,83.7,82.2,83.5,12000
2023-08-28 00:00:00+05:30,82.0,83.5,82.0,82.8,18000
2023-08-29 00:00:00+05:30,82.5,85.35,82.5,83.0,54000
2023-08-30 00:00:00+05:30,83.3,83.5,82.2,83.35,14000
2023-08-31 00:00:00+05:30,83.0,83.3,81.5,81.9,32000
2023-09-01 00:00:00+05:30,80.0,83.7,80.0,82.0,52000
2023-09-04 00:00:00+05:30,80.0,82.7,80.0,81.2,32000
2023-09-05 00:00:00+05:30,79.0,81.05,79.0,80.6,36000
2023-09-06 00:00:00+05:30,80.1,80.5,79.9,79.9,12000
2023-09-07 00:00:00+05:30,80.0,84.65,80.0,82.85,50000
2023-09-08 00:00:00+05:30,83.95,83.95,81.2,81.2,8000
2023-09-11 00:00:00+05:30,81.2,84.0,80.3,81.85,40000
2023-09-12 00:00:00+05:30,80.4,81.95,79.0,79.65,42000
2023-09-13 00:00:00+05:30,78.0,80.95,78.0,80.95,12000
2023-09-14 00:00:00+05:30,80.0,80.1,79.05,79.05,10000
2023-09-15 00:00:00+05:30,80.0,80.4,78.0,79.3,38000
2023-09-18 00:00:00+05:30,81.9,82.0,80.2,80.2,20000
2023-09-20 00:00:00+05:30,81.7,81.7,80.2,80.25,16000
2023-09-21 00:00:00+05:30,80.1,81.5,79.45,80.8,28000
2023-09-22 00:00:00+05:30,79.5,82.1,79.5,81.55,32000
2023-09-25 00:00:00+05:30,83.0,83.0,80.4,81.05,50000
2023-09-26 00:00:00+05:30,79.7,81.95,79.7,81.4,24000
2023-09-27 00:00:00+05:30,82.5,83.0,81.4,83.0,28000
2023-09-28 00:00:00+05:30,82.5,92.8,82.5,89.5,124000
2023-09-29 00:00:00+05:30,91.0,92.7,86.0,90.05,78000
2023-10-03 00:00:00+05:30,93.3,93.3,87.65,88.9,46000
2023-10-04 00:00:00+05:30,87.1,89.2,86.0,88.45,44000
2023-10-05 00:00:00+05:30,87.2,87.2,86.0,86.15,20000
2023-10-06 00:00:00+05:30,86.15,87.0,85.35,86.1,44000
2023-10-09 00:00:00+05:30,83.5,85.0,82.35,82.35,30000
2023-10-10 00:00:00+05:30,82.5,88.0,82.5,87.05,66000
2023-10-11 00:00:00+05:30,87.9,88.95,84.7,85.35,18000
2023-10-12 00:00:00+05:30,87.8,87.8,82.3,83.95,28000
2023-10-13 00:00:00+05:30,82.6,86.0,82.6,83.25,36000
2023-10-16 00:00:00+05:30,83.2,87.0,82.3,85.15,50000
2023-10-17 00:00:00+05:30,87.45,90.0,86.05,87.0,102000
2023-10-18 00:00:00+05:30,87.0,88.0,87.0,87.0,22000
2023-10-19 00:00:00+05:30,88.45,88.75,87.0,87.1,12000
2023-10-20 00:00:00+05:30,87.0,88.5,87.0,88.3,14000
2023-10-23 00:00:00+05:30,88.7,88.7,85.0,85.25,22000
2023-10-25 00:00:00+05:30,85.5,85.5,83.0,83.0,28000
2023-10-26 00:00:00+05:30,81.2,83.0,81.0,82.2,18000
2023-10-27 00:00:00+05:30,82.8,85.0,82.8,85.0,10000
2023-10-30 00:00:00+05:30,86.9,87.2,83.15,84.5,22000
2023-10-31 00:00:00+05:30,86.0,86.0,85.1,85.1,4000
2023-11-01 00:00:00+05:30,84.2,84.2,84.05,84.05,6000
2023-11-02 00:00:00+05:30,84.5,84.5,84.5,84.5,2000
2023-11-03 00:00:00+05:30,85.3,88.0,85.0,87.25,36000
2023-11-06 00:00:00+05:30,89.0,104.7,89.0,104.7,332000
2023-11-07 00:00:00+05:30,120.0,125.6,113.0,125.6,292000
2023-11-08 00:00:00+05:30,131.0,131.0,118.0,118.25,194000
2023-11-09 00:00:00+05:30,118.25,130.05,111.15,130.05,388000
2023-11-10 00:00:00+05:30,136.55,143.05,136.05,141.7,174000
2023-11-12 00:00:00+05:30,140.0,140.0,130.25,132.2,40000
2023-11-13 00:00:00+05:30,131.0,131.0,120.0,123.9,98000
2023-11-15 00:00:00+05:30,129.8,129.8,121.0,124.5,34000
2023-11-16 00:00:00+05:30,125.0,125.0,117.5,119.5,40000
2023-11-17 00:00:00+05:30,116.0,116.0,111.7,114.95,28000
2023-11-20 00:00:00+05:30,114.25,121.9,114.25,120.0,18000
2023-11-21 00:00:00+05:30,119.8,130.0,115.0,122.7,58000
2023-11-22 00:00:00+05:30,128.2,134.95,128.2,134.35,100000
2023-11-23 00:00:00+05:30,134.5,134.95,132.0,134.95,20000
2023-11-24 00:00:00+05:30,128.3,130.0,126.7,126.7,12000
2023-11-28 00:00:00+05:30,125.0,125.0,121.25,121.25,14000
2023-11-29 00:00:00+05:30,118.0,121.75,116.0,116.8,22000
2023-11-30 00:00:00+05:30,116.0,118.5,113.6,118.5,20000
