date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,8.15,8.6,8.15,8.4,9128
2019-01-02 00:00:00+05:30,8.7,9.2,8.25,9.05,25948
2019-01-03 00:00:00+05:30,9.15,9.15,8.6,9.0,10107
2019-01-04 00:00:00+05:30,8.6,8.9,8.55,8.65,5508
2019-01-07 00:00:00+05:30,9.15,9.2,8.75,8.75,7090
2019-01-08 00:00:00+05:30,8.7,8.9,8.4,8.85,5646
2019-01-09 00:00:00+05:30,9.15,9.15,8.35,8.55,7885
2019-01-10 00:00:00+05:30,8.3,8.5,8.2,8.2,5804
2019-01-11 00:00:00+05:30,8.1,8.65,8.0,8.25,9485
2019-01-14 00:00:00+05:30,8.05,8.65,8.0,8.05,6715
2019-01-15 00:00:00+05:30,8.2,8.2,7.7,7.95,7255
2019-01-16 00:00:00+05:30,7.85,8.35,7.85,7.9,11218
2019-01-17 00:00:00+05:30,7.85,8.25,7.65,7.85,9548
2019-01-18 00:00:00+05:30,7.85,8.0,7.75,7.9,6042
2019-01-21 00:00:00+05:30,7.9,8.2,7.65,7.8,4878
2019-01-22 00:00:00+05:30,7.65,7.75,7.35,7.35,3792
2019-01-23 00:00:00+05:30,7.0,7.95,7.0,7.4,5674
2019-01-24 00:00:00+05:30,7.1,7.8,7.1,7.25,5305
2019-01-25 00:00:00+05:30,7.25,7.4,6.85,6.95,3830
2019-01-28 00:00:00+05:30,7.1,7.4,6.55,6.85,9477
2019-01-29 00:00:00+05:30,6.8,6.85,6.4,6.45,6481
2019-01-30 00:00:00+05:30,6.4,6.85,6.3,6.85,5241
2019-01-31 00:00:00+05:30,6.55,6.8,6.55,6.55,2189
2019-02-01 00:00:00+05:30,6.55,6.85,6.55,6.7,2190
2019-02-04 00:00:00+05:30,6.55,6.55,6.25,6.4,978
2019-02-05 00:00:00+05:30,6.5,6.7,6.4,6.5,4624
2019-02-06 00:00:00+05:30,6.85,6.9,6.25,6.75,1338
2019-02-07 00:00:00+05:30,7.05,7.2,6.25,6.75,7636
2019-02-08 00:00:00+05:30,6.95,6.95,6.35,6.6,389
2019-02-11 00:00:00+05:30,7.1,7.1,6.4,6.55,4740
2019-02-12 00:00:00+05:30,5.95,7.4,5.95,7.2,8219
2019-02-13 00:00:00+05:30,7.2,7.9,6.65,6.75,6524
2019-02-14 00:00:00+05:30,7.45,8.0,6.85,7.45,35029
2019-02-15 00:00:00+05:30,7.45,7.95,7.45,7.7,13583
2019-02-18 00:00:00+05:30,7.85,7.85,7.2,7.3,2962
2019-02-19 00:00:00+05:30,7.15,7.2,6.95,6.95,4170
2019-02-20 00:00:00+05:30,7.0,7.3,6.75,6.85,2233
2019-02-21 00:00:00+05:30,6.9,7.2,6.65,7.05,2223
2019-02-22 00:00:00+05:30,6.9,7.2,6.7,7.05,3108
2019-02-25 00:00:00+05:30,7.2,7.75,7.15,7.5,8922
2019-02-26 00:00:00+05:30,7.0,7.25,6.75,7.2,18269
2019-02-27 00:00:00+05:30,7.05,7.45,6.8,6.8,2337
2019-02-28 00:00:00+05:30,7.45,7.45,6.85,6.9,294
2019-03-01 00:00:00+05:30,6.95,7.4,6.85,7.35,7344
2019-03-05 00:00:00+05:30,7.9,7.9,6.8,7.25,12783
2019-03-06 00:00:00+05:30,7.85,7.85,7.2,7.25,11171
2019-03-07 00:00:00+05:30,7.5,7.5,7.3,7.3,9212
2019-03-08 00:00:00+05:30,7.75,7.75,7.1,7.25,10180
2019-03-11 00:00:00+05:30,7.3,7.7,7.2,7.2,4665
2019-03-12 00:00:00+05:30,7.6,7.65,7.0,7.55,36616
2019-03-13 00:00:00+05:30,7.55,8.25,7.15,7.5,102052
2019-03-14 00:00:00+05:30,7.4,7.85,7.25,7.35,246514
2019-03-15 00:00:00+05:30,7.35,7.7,7.15,7.3,509804
2019-03-18 00:00:00+05:30,7.1,7.4,6.85,6.95,534346
2019-03-19 00:00:00+05:30,7.3,7.3,6.8,6.9,577789
2019-03-20 00:00:00+05:30,7.0,7.0,6.6,6.6,541063
2019-03-22 00:00:00+05:30,6.7,7.0,6.4,6.5,450438
2019-03-25 00:00:00+05:30,7.05,7.05,6.55,6.8,322890
2019-03-26 00:00:00+05:30,6.95,7.3,6.7,7.05,211817
2019-03-27 00:00:00+05:30,7.0,7.5,6.85,7.0,33417
2019-03-28 00:00:00+05:30,7.1,7.8,6.8,7.0,16344
2019-03-29 00:00:00+05:30,7.0,7.05,6.6,6.9,14673
2019-04-01 00:00:00+05:30,7.5,7.5,6.8,6.9,30577
2019-04-02 00:00:00+05:30,7.0,7.0,6.8,6.9,6239
2019-04-03 00:00:00+05:30,7.15,7.15,6.75,6.9,10570
2019-04-04 00:00:00+05:30,6.9,7.0,6.8,7.0,8144
2019-04-05 00:00:00+05:30,7.0,7.1,6.85,7.1,5926
2019-04-08 00:00:00+05:30,7.0,7.4,7.0,7.25,23491
2019-04-09 00:00:00+05:30,7.25,7.25,6.9,7.0,5812
2019-04-10 00:00:00+05:30,7.3,7.3,6.9,6.95,18347
2019-04-11 00:00:00+05:30,6.95,7.15,6.85,6.9,4241
2019-04-12 00:00:00+05:30,6.8,7.05,6.6,6.95,2203
2019-04-15 00:00:00+05:30,6.95,7.1,6.95,6.95,2553
2019-04-16 00:00:00+05:30,7.25,7.25,6.85,6.9,11783
2019-04-18 00:00:00+05:30,6.85,7.2,6.85,6.85,3599
2019-04-22 00:00:00+05:30,7.3,7.3,6.85,6.95,11299
2019-04-23 00:00:00+05:30,7.1,7.15,6.85,6.85,3718
2019-04-24 00:00:00+05:30,6.85,7.1,6.85,6.95,5233
2019-04-25 00:00:00+05:30,7.0,7.0,6.9,6.95,1022
2019-04-26 00:00:00+05:30,6.85,7.15,6.85,6.95,4142
2019-04-30 00:00:00+05:30,6.7,7.1,6.7,6.9,5571
2019-05-02 00:00:00+05:30,6.8,7.3,6.5,6.7,4625
2019-05-03 00:00:00+05:30,6.95,6.95,6.55,6.6,6088
2019-05-06 00:00:00+05:30,7.0,7.0,6.25,6.75,11359
2019-05-07 00:00:00+05:30,6.75,6.85,6.4,6.45,8266
2019-05-08 00:00:00+05:30,6.7,6.7,6.15,6.6,13342
2019-05-09 00:00:00+05:30,6.6,6.75,6.4,6.75,2286
2019-05-10 00:00:00+05:30,6.75,6.8,6.6,6.7,11189
2019-05-13 00:00:00+05:30,6.6,6.65,6.25,6.6,11393
2019-05-14 00:00:00+05:30,6.4,6.8,6.25,6.55,2725
2019-05-15 00:00:00+05:30,6.65,6.65,6.3,6.45,6126
2019-05-16 00:00:00+05:30,6.4,6.6,6.15,6.3,2425
2019-05-17 00:00:00+05:30,6.3,6.4,6.3,6.4,2840
2019-05-20 00:00:00+05:30,6.25,6.65,5.85,6.25,13994
2019-05-21 00:00:00+05:30,6.05,6.95,6.05,6.3,18979
2019-05-22 00:00:00+05:30,6.6,7.2,6.45,6.95,17364
2019-05-23 00:00:00+05:30,6.75,7.15,6.7,6.75,9052
2019-05-24 00:00:00+05:30,7.0,7.05,6.3,6.7,25303
2019-05-27 00:00:00+05:30,6.9,7.3,6.65,6.85,9706
2019-05-28 00:00:00+05:30,6.65,7.2,6.65,6.7,13178
2019-05-29 00:00:00+05:30,6.7,7.25,6.65,7.2,11843
2019-05-30 00:00:00+05:30,7.2,7.6,7.0,7.25,30170
2019-05-31 00:00:00+05:30,7.8,7.8,6.7,7.15,7382
2019-06-03 00:00:00+05:30,7.1,7.4,6.6,6.95,5145
2019-06-04 00:00:00+05:30,6.9,7.1,6.7,7.0,3315
2019-06-06 00:00:00+05:30,7.0,7.3,6.65,6.9,15996
2019-06-07 00:00:00+05:30,6.95,7.0,6.4,6.4,12818
2019-06-10 00:00:00+05:30,6.4,6.6,6.25,6.6,1231
2019-06-11 00:00:00+05:30,6.4,6.6,5.85,6.2,32918
2019-06-12 00:00:00+05:30,6.8,6.9,5.6,5.85,17437
2019-06-13 00:00:00+05:30,5.9,6.5,5.7,6.15,11166
2019-06-14 00:00:00+05:30,6.0,6.2,6.0,6.2,1097
2019-06-17 00:00:00+05:30,6.2,6.2,5.65,6.15,2455
2019-06-18 00:00:00+05:30,6.55,6.55,5.6,5.75,10753
2019-06-19 00:00:00+05:30,5.75,6.2,5.5,5.75,4548
2019-06-20 00:00:00+05:30,6.2,6.2,5.35,6.1,5398
2019-06-21 00:00:00+05:30,6.45,6.5,5.35,5.5,8960
2019-06-24 00:00:00+05:30,5.35,5.85,5.35,5.75,482
2019-06-25 00:00:00+05:30,5.75,6.5,5.75,6.0,4668
2019-06-26 00:00:00+05:30,6.4,6.8,5.8,6.0,5110
2019-06-27 00:00:00+05:30,6.5,6.5,5.65,6.05,9691
2019-06-28 00:00:00+05:30,6.05,6.25,5.65,6.0,2055
2019-07-01 00:00:00+05:30,5.9,6.0,5.55,5.9,3360
2019-07-02 00:00:00+05:30,6.0,6.0,5.35,5.75,12076
2019-07-03 00:00:00+05:30,5.75,5.9,5.45,5.8,13682
2019-07-04 00:00:00+05:30,6.4,6.4,5.5,5.7,5261
2019-07-05 00:00:00+05:30,5.5,6.2,5.5,5.9,8650
2019-07-08 00:00:00+05:30,6.15,6.9,5.65,5.75,53489
2019-07-09 00:00:00+05:30,6.2,6.2,5.75,6.0,1118
2019-07-10 00:00:00+05:30,6.0,6.45,5.75,5.9,12532
2019-07-11 00:00:00+05:30,5.9,6.25,5.7,6.15,16086
2019-07-12 00:00:00+05:30,5.55,6.2,5.55,5.7,18294
2019-07-15 00:00:00+05:30,5.7,6.2,5.5,5.8,9283
2019-07-16 00:00:00+05:30,5.75,6.05,5.1,5.5,24096
2019-07-17 00:00:00+05:30,5.6,5.85,5.05,5.45,3560
2019-07-18 00:00:00+05:30,5.45,5.5,5.25,5.4,1736
2019-07-19 00:00:00+05:30,5.75,5.75,5.15,5.2,6138
2019-07-22 00:00:00+05:30,5.2,5.3,4.5,4.55,36062
2019-07-23 00:00:00+05:30,4.75,5.25,4.5,5.15,12860
2019-07-24 00:00:00+05:30,5.05,5.35,4.9,4.9,6574
2019-07-25 00:00:00+05:30,5.0,5.2,4.55,4.9,3048
2019-07-26 00:00:00+05:30,4.75,5.15,4.7,4.75,13537
2019-07-29 00:00:00+05:30,5.65,5.65,4.65,4.85,10701
2019-07-30 00:00:00+05:30,4.9,5.05,4.7,4.85,5770
2019-07-31 00:00:00+05:30,4.9,4.9,4.4,4.55,2582
2019-08-01 00:00:00+05:30,4.85,4.85,4.5,4.5,28154
